status,duration_ms,upstream_ms
200,1580,1579
200,1580,1579
200,1579,1579
200,1577,1577
200,1576,1576
200,1571,1570
200,1571,1571
200,1570,1570
200,1572,1571
200,1572,1571
200,1566,1566
200,1566,1566
200,1567,1567
200,1569,1569
200,1570,1569
200,1571,1571
200,1570,1569
200,1571,1571
200,1571,1571
200,1571,1570
200,1570,1570
200,2,2
200,1569,1569
200,1570,1569
200,1567,1567
200,1567,1567
200,1566,1566
200,1567,1567
200,1566,1566
200,1565,1565
200,1564,1564
200,1533,1533
200,1534,1534
200,1535,1535
200,1536,1535
200,1537,1537
200,1538,1538
200,1540,1540
200,1541,1541
200,1541,1541
200,1544,1543
200,1545,1544
200,1545,1545
200,1546,1546
200,1547,1547
200,1547,1547
200,1548,1548
200,1549,1549
200,1548,1548
200,1548,1548
200,1548,1547
200,1545,1545
200,1546,1545
200,1544,1543
200,1519,1519
200,1544,1543
200,1543,1543
200,1541,1541
200,1541,1541
200,1,1
200,1,1
200,1538,1538
200,1537,1537
200,1536,1536
200,1535,1535
200,2,1
200,1534,1534
200,1531,1531
200,1530,1529
200,1529,1529
200,1529,1529
200,1528,1528
200,1527,1527
200,1527,1527
200,1525,1525
200,1523,1523
200,1524,1524
200,1523,1523
200,1522,1522
200,1521,1521
200,1520,1520
200,1520,1519
200,1518,1518
200,1517,1517
200,1516,1516
200,1516,1516
200,1508,1508
200,1508,1508
200,1509,1509
200,1510,1510
200,1511,1511
200,1510,1510
200,1508,1508
200,1508,1508
200,1507,1507
200,1468,1468
200,1471,1471
200,1472,1472
200,1476,1476
200,5,5
200,2,1
200,126,126
200,125,125
200,125,125
200,125,125
200,125,124
200,124,124
200,124,124
200,123,123
200,123,123
200,122,122
200,122,121
200,121,121
200,120,120
200,120,120
200,120,120
200,120,120
200,118,118
200,117,117
200,1684,1684
200,117,116
200,116,116
200,115,115
200,1,1
200,115,115
200,114,114
200,114,114
200,1,1
200,2,1
200,114,113
200,114,114
200,115,115
200,115,114
200,114,114
200,114,114
200,114,114
200,114,114
200,113,113
200,113,112
200,112,112
200,1,1
200,2,2
200,112,112
200,112,112
200,112,112
200,112,112
200,111,111
200,111,111
200,111,110
200,111,111
200,110,110
200,110,110
200,110,110
200,111,111
200,111,111
200,110,110
200,110,110
200,1650,1650
200,1649,1649
200,110,110
200,110,110
200,110,110
200,1642,1642
200,109,109
200,108,108
200,108,108
200,109,109
200,109,109
200,109,109
200,109,109
200,107,107
200,108,108
200,109,109
200,109,109
200,1,1
200,110,110
200,109,109
200,109,109
200,109,109
200,4,4
200,113,113
200,113,113
200,113,113
