timestamp,pod,container_id,container_name,node,createdAt,startedAt,duration_ms
1774975765.1411312,helloworld-00001-deployment-69856c967d-xgp78,07965eae8ebfd3fb839d279f44d0b5b156dc8c6db707e6c9f0fcc30c7630af1a,queue-proxy,worker4,2026-03-31 18:49:25.246403338+02:00,2026-03-31 18:49:25.333617202+02:00,87.213864
1774975765.1411312,helloworld-00001-deployment-69856c967d-czwkx,dfe5ce6c3aab909bae0e47c3ac67be392c8444afb8da07977d5588afa937fd94,queue-proxy,worker5,2026-03-31 18:49:25.277165974+02:00,2026-03-31 18:49:25.360573526+02:00,83.407552
1774975811.8058643,helloworld-00001-deployment-69856c967d-hrmhq,2c6b3a6fa67d4528d06e4a3f73b4c4b8c37afd826b3d27dd4f3f055ecc1bc412,queue-proxy,worker4,2026-03-31 18:50:11.869616254+02:00,2026-03-31 18:50:11.942554112+02:00,72.93785799999999
1774975811.8058643,helloworld-00001-deployment-69856c967d-w6pwt,d3151f27aafa01ab22837cae515dac141b32ec005123bb63992f39099d40847e,queue-proxy,worker5,2026-03-31 18:50:11.941253587+02:00,2026-03-31 18:50:12.029892014+02:00,88.63842700000001
1774975856.2039511,helloworld-00001-deployment-69856c967d-zpd8t,1a6575032bd2937541b1376af85585c107a3b7add1b6cde2251c397d2b469973,queue-proxy,worker4,2026-03-31 18:50:57.145267363+02:00,2026-03-31 18:50:57.235864488+02:00,90.597125
1774975856.2039511,helloworld-00001-deployment-69856c967d-8bfwj,63134cc6a45159f168fd538aa9853aba76c9a22409c94f7ad70dabee47ceee3e,queue-proxy,worker5,2026-03-31 18:50:57.164912167+02:00,2026-03-31 18:50:57.248811737+02:00,83.89957000000001
1774975905.2186644,helloworld-00001-deployment-69856c967d-k7qrj,556a1aed623442a047a753dba2028ca90f89b07f8af429cbc2691485af204d96,queue-proxy,worker4,2026-03-31 18:51:45.280510624+02:00,2026-03-31 18:51:45.377060504+02:00,96.54988
1774975905.2186644,helloworld-00001-deployment-69856c967d-pczvl,68766f9d0e792ecaf0df01353dd2485fbff24723e473148c860e9f91c7025a48,queue-proxy,worker5,2026-03-31 18:51:45.553310964+02:00,2026-03-31 18:51:45.635830647+02:00,82.519683
1774975953.7665284,helloworld-00001-deployment-69856c967d-s66k2,890495833746b717fcbded2f2c28b215361bdc78438f49c0347418dcb9b74471,queue-proxy,worker4,2026-03-31 18:52:34.495396864+02:00,2026-03-31 18:52:34.595357996+02:00,99.96113199999999
1774975953.7665284,helloworld-00001-deployment-69856c967d-9fr89,140da186bfa68c4633f144b5ace5955354a79ce4ea9a41b2eccd5bcb8693dc21,queue-proxy,worker5,2026-03-31 18:52:34.495861559+02:00,2026-03-31 18:52:34.589390667+02:00,93.529108
1774976000.3365507,helloworld-00001-deployment-69856c967d-2g4zg,2caf3ad29340b151aeb38cc0751ddcfc2ba4995eda700fd272cf33b2f4347e89,queue-proxy,worker4,2026-03-31 18:53:21.262931742+02:00,2026-03-31 18:53:21.381931665+02:00,118.999923
1774976000.3365507,helloworld-00001-deployment-69856c967d-w7fk9,275431cfd320700cb98de06fe7ff4e64973c4fe581da4b2e23c9512fd9ff372e,queue-proxy,worker5,2026-03-31 18:53:21.113610870+02:00,2026-03-31 18:53:21.189405628+02:00,75.794758
1774976048.8847394,helloworld-00001-deployment-69856c967d-9ww4w,2036a344044f1071f6c8c1aca34b91172ade756f3f874cc882439a86590a67f8,queue-proxy,worker4,2026-03-31 18:54:09.767943157+02:00,2026-03-31 18:54:09.844066416+02:00,76.123259
1774976048.8847394,helloworld-00001-deployment-69856c967d-hlfdg,a7bde3a67e9fe79935d1cfd7a2bb7c75ebb7adf14a3854781081272dad43bb2e,queue-proxy,worker5,2026-03-31 18:54:09.793109728+02:00,2026-03-31 18:54:09.883969327+02:00,90.859599
