timestamp,pod,scheduling_time_ms
I0421 12:20:33.908937,default/helloworld-00001-deployment-668969567d-srdc2,19.363591
I0421 12:20:33.937105,default/helloworld-00001-deployment-668969567d-lxbp2,16.459721
I0421 12:20:33.943024,default/helloworld-00001-deployment-668969567d-79vmh,21.45072
I0421 12:20:34.001760,default/helloworld-00001-deployment-668969567d-jnlrf,42.380311
I0421 12:20:34.001760,default/helloworld-00001-deployment-668969567d-x5lbn,33.208256
I0421 12:20:34.012975,default/helloworld-00001-deployment-668969567d-4df9t,43.370459
I0421 12:20:34.036316,default/helloworld-00001-deployment-668969567d-4qrms,64.760531
I0421 12:20:34.113557,default/helloworld-00001-deployment-668969567d-22zmz,48.763458
I0421 12:20:34.127574,default/helloworld-00001-deployment-668969567d-8zpfb,58.562217
I0421 12:20:34.134991,default/helloworld-00001-deployment-668969567d-q47rd,51.743773
I0421 12:20:34.156678,default/helloworld-00001-deployment-668969567d-vbfrc,61.911698
I0421 12:20:34.182243,default/helloworld-00001-deployment-668969567d-nq2cf,95.367066
I0421 12:20:34.249583,default/helloworld-00001-deployment-668969567d-hrch5,98.278306
I0421 12:20:34.250068,default/helloworld-00001-deployment-668969567d-cmq5b,92.791436
I0421 12:20:34.256896,default/helloworld-00001-deployment-668969567d-k2tbg,111.697416
I0421 12:20:34.362841,default/helloworld-00001-deployment-668969567d-9lvvb,97.206991
I0421 12:20:34.438176,default/helloworld-00001-deployment-668969567d-cxbnq,92.374806
I0421 12:20:34.444963,default/helloworld-00001-deployment-668969567d-sq2vz,96.771991
I0421 12:20:34.445374,default/helloworld-00001-deployment-668969567d-mfc7b,116.434786
I0421 12:20:34.445767,default/helloworld-00001-deployment-668969567d-4bscx,133.408099
I0421 12:20:34.448558,default/helloworld-00001-deployment-668969567d-78gkj,122.850526
I0421 12:20:34.448791,default/helloworld-00001-deployment-668969567d-6tb2v,54.09742
I0421 12:20:34.448806,default/helloworld-00001-deployment-668969567d-5f6lw,120.9701
I0421 12:20:34.448805,default/helloworld-00001-deployment-668969567d-gbdm5,143.77269
I0421 12:20:34.448856,default/helloworld-00001-deployment-668969567d-hqb4k,138.845377
I0421 12:20:34.494492,default/helloworld-00001-deployment-668969567d-4hfqm,167.667133
I0421 12:20:34.494492,default/helloworld-00001-deployment-668969567d-jdhkv,185.263076
I0421 12:20:34.503537,default/helloworld-00001-deployment-668969567d-j766n,113.495063
I0421 12:20:34.503852,default/helloworld-00001-deployment-668969567d-pqd7d,105.601528
I0421 12:20:34.535080,default/helloworld-00001-deployment-668969567d-p9d2s,137.512117
I0421 12:20:34.578167,default/helloworld-00001-deployment-668969567d-dnlz6,174.689299
I0421 12:20:34.793167,default/helloworld-00001-deployment-668969567d-8t46n,177.395873
I0421 12:20:34.793167,default/helloworld-00001-deployment-668969567d-frq7x,174.225965
I0421 12:20:34.793167,default/helloworld-00001-deployment-668969567d-rcxsp,172.594262
I0421 12:20:34.793200,default/helloworld-00001-deployment-668969567d-d5qhk,179.02028
I0421 12:20:34.793221,default/helloworld-00001-deployment-668969567d-q8jth,171.773651
I0421 12:20:34.793360,default/helloworld-00001-deployment-668969567d-rc7x4,173.408225
I0421 12:20:34.793749,default/helloworld-00001-deployment-668969567d-kcb48,178.885132
I0421 12:20:34.863426,default/helloworld-00001-deployment-668969567d-wk57b,237.784293
I0421 12:20:34.865313,default/helloworld-00001-deployment-668969567d-mm77r,240.706774
I0421 12:20:34.865329,default/helloworld-00001-deployment-668969567d-lgr96,242.769848
I0421 12:20:34.875526,default/helloworld-00001-deployment-668969567d-lpt9b,251.608163
I0421 12:20:35.365811,default/helloworld-00001-deployment-668969567d-tx888,642.688275
I0421 12:20:35.447686,default/helloworld-00001-deployment-668969567d-m5x42,141.95795
I0421 12:20:35.475276,default/helloworld-00001-deployment-668969567d-vlvnt,561.67019
I0421 12:20:35.478098,default/helloworld-00001-deployment-668969567d-wk6jj,755.999172
I0421 12:20:35.478652,default/helloworld-00001-deployment-668969567d-l5qcv,113.740194
I0421 12:20:35.506887,default/helloworld-00001-deployment-668969567d-7mn96,67.054994
I0421 12:20:35.522812,default/helloworld-00001-deployment-668969567d-fjgqb,107.113157
I0421 12:20:35.549004,default/helloworld-00001-deployment-668969567d-rmjdj,122.108026
I0421 12:20:35.696856,default/helloworld-00001-deployment-668969567d-n56vn,266.807717
I0421 12:20:35.707815,default/helloworld-00001-deployment-668969567d-vh7wm,272.520179
I0421 12:20:35.708165,default/helloworld-00001-deployment-668969567d-rghm7,279.104919
I0421 12:20:35.728547,default/helloworld-00001-deployment-668969567d-j6zw4,294.225251
I0421 12:20:35.741517,default/helloworld-00001-deployment-668969567d-qfnh6,214.57024
I0421 12:20:35.742629,default/helloworld-00001-deployment-668969567d-mr6cc,243.955312
I0421 12:20:35.785315,default/helloworld-00001-deployment-668969567d-x2sw7,302.002362
I0421 12:20:35.788721,default/helloworld-00001-deployment-668969567d-6cjtz,357.318005
I0421 12:20:35.794585,default/helloworld-00001-deployment-668969567d-xx26r,290.407122
I0421 12:20:35.834968,default/helloworld-00001-deployment-668969567d-lw6x7,81.060937
I0421 12:20:35.891538,default/helloworld-00001-deployment-668969567d-sdkmm,368.084726
I0421 12:20:36.325350,default/helloworld-00001-deployment-668969567d-9xzps,34.357015
I0421 12:20:36.348171,default/helloworld-00001-deployment-668969567d-qrpbf,51.45857
I0421 12:20:36.349142,default/helloworld-00001-deployment-668969567d-t5n2x,53.397773
I0421 12:20:36.391239,default/helloworld-00001-deployment-668969567d-dm5j4,39.247552
I0421 12:20:36.954104,default/helloworld-00001-deployment-668969567d-m6kzq,552.552969
I0421 12:20:36.974480,default/helloworld-00001-deployment-668969567d-z2lcw,573.562856
I0421 12:20:36.987796,default/helloworld-00001-deployment-668969567d-rr4gk,584.560745
I0421 12:20:37.088315,default/helloworld-00001-deployment-668969567d-l28nj,95.79301
I0421 12:20:37.088315,default/helloworld-00001-deployment-668969567d-9tmx6,72.40979
I0421 12:20:37.091716,default/helloworld-00001-deployment-668969567d-zgmgp,77.158512
I0421 12:20:37.092187,default/helloworld-00001-deployment-668969567d-xp4tz,75.229641
I0421 12:20:37.092260,default/helloworld-00001-deployment-668969567d-xqw6m,130.05347
I0421 12:20:37.132431,default/helloworld-00001-deployment-668969567d-8mtr6,118.999267
I0421 12:20:37.136700,default/helloworld-00001-deployment-668969567d-sfpwl,118.796675
I0421 12:20:37.136990,default/helloworld-00001-deployment-668969567d-tkmdz,140.916802
I0421 12:20:37.355189,default/helloworld-00001-deployment-668969567d-c57kw,198.655556
I0421 12:20:37.359157,default/helloworld-00001-deployment-668969567d-g9t54,179.916299
I0421 12:20:37.359390,default/helloworld-00001-deployment-668969567d-xj9qn,164.317949
I0421 12:20:37.359570,default/helloworld-00001-deployment-668969567d-2tfnv,192.352205
