timestamp,pod,scheduling_time_ms
I0922 14:28:32.209432,default/hello-00001-deployment-84c48648dc-jdzww,11.323214
I0922 14:28:33.813847,default/hello-00001-deployment-84c48648dc-88d98,7.454271
I0922 14:28:33.831876,default/hello-00001-deployment-84c48648dc-2nxp5,8.612325
I0922 14:28:33.838985,default/hello-00001-deployment-84c48648dc-hppc7,10.987413
I0922 14:28:33.868156,default/hello-00001-deployment-84c48648dc-cx9dh,17.110925
I0922 14:28:33.894496,default/hello-00001-deployment-84c48648dc-bqc5s,36.116821
I0922 14:28:33.905165,default/hello-00001-deployment-84c48648dc-r6sln,40.453937
I0922 14:28:33.906634,default/hello-00001-deployment-84c48648dc-bxzgw,38.334241
I0922 14:28:33.939541,default/hello-00001-deployment-84c48648dc-9h4lm,40.028838
I0922 14:28:33.956101,default/hello-00001-deployment-84c48648dc-r2hcb,45.413618
I0922 14:28:33.956581,default/hello-00001-deployment-84c48648dc-8bn9k,46.746266
I0922 14:28:33.957826,default/hello-00001-deployment-84c48648dc-5zsm7,27.571738
I0922 14:28:34.004339,default/hello-00001-deployment-84c48648dc-bqr6z,61.624826
I0922 14:28:34.005335,default/hello-00001-deployment-84c48648dc-g797p,63.853135
I0922 14:28:34.006423,default/hello-00001-deployment-84c48648dc-75pcd,66.805103
I0922 14:28:34.006466,default/hello-00001-deployment-84c48648dc-kbks5,66.146093
I0922 14:28:34.097791,default/hello-00001-deployment-84c48648dc-s8mr7,60.320178
I0922 14:28:34.097836,default/hello-00001-deployment-84c48648dc-gpdh2,70.393449
I0922 14:28:34.098058,default/hello-00001-deployment-84c48648dc-jd2rv,56.582645
I0922 14:28:34.099403,default/hello-00001-deployment-84c48648dc-44pt9,61.119541
I0922 14:28:34.114149,default/hello-00001-deployment-84c48648dc-2r555,70.237984
I0922 14:28:34.116031,default/hello-00001-deployment-84c48648dc-p2v6n,75.694209
I0922 14:28:34.117644,default/hello-00001-deployment-84c48648dc-lldbv,72.367051
I0922 14:28:34.117875,default/hello-00001-deployment-84c48648dc-jkc2c,71.827246
I0922 14:28:34.146091,default/hello-00001-deployment-84c48648dc-dwkqk,94.362729
I0922 14:28:34.166033,default/hello-00001-deployment-84c48648dc-795jk,110.871182
I0922 14:28:34.166123,default/hello-00001-deployment-84c48648dc-cwlql,117.322921
I0922 14:28:34.166542,default/hello-00001-deployment-84c48648dc-8z4z2,119.62049
I0922 14:28:34.167959,default/hello-00001-deployment-84c48648dc-bxlrw,111.682194
I0922 14:28:34.168057,default/hello-00001-deployment-84c48648dc-d759q,110.76494
I0922 14:28:34.197683,default/hello-00001-deployment-84c48648dc-7znjx,137.168533
I0922 14:28:34.234855,default/hello-00001-deployment-84c48648dc-jv6sf,114.844238
I0922 14:28:34.306349,default/hello-00001-deployment-84c48648dc-968rc,172.644658
I0922 14:28:34.306434,default/hello-00001-deployment-84c48648dc-j8x8l,246.960144
I0922 14:28:34.360309,default/hello-00001-deployment-84c48648dc-mjsf2,228.596868
I0922 14:28:34.472529,default/hello-00001-deployment-84c48648dc-xv79n,111.954494
I0922 14:28:34.494149,default/hello-00001-deployment-84c48648dc-tv4rd,98.547732
I0922 14:28:34.503080,default/hello-00001-deployment-84c48648dc-zsbbx,71.419223
I0922 14:28:34.519140,default/hello-00001-deployment-84c48648dc-nz9cm,156.863419
I0922 14:28:34.613293,default/hello-00001-deployment-84c48648dc-4wx92,90.499564
I0922 14:28:34.630298,default/hello-00001-deployment-84c48648dc-zg7nl,135.896589
I0922 14:28:34.632312,default/hello-00001-deployment-84c48648dc-7xhps,43.072122
I0922 14:28:34.692917,default/hello-00001-deployment-84c48648dc-qzflr,66.980178
I0922 14:28:34.727307,default/hello-00001-deployment-84c48648dc-8xcfr,406.818327
I0922 14:28:34.727307,default/hello-00001-deployment-84c48648dc-8lmn5,26.099662
I0922 14:28:34.744680,default/hello-00001-deployment-84c48648dc-5z64r,51.646668
I0922 14:28:34.833471,default/hello-00001-deployment-84c48648dc-9h6mq,76.48533
I0922 14:28:34.899049,default/hello-00001-deployment-84c48648dc-9xppp,46.578856
I0922 14:28:34.903303,default/hello-00001-deployment-84c48648dc-22hcf,143.342841
I0922 14:28:34.990071,default/hello-00001-deployment-84c48648dc-449h7,90.956626
I0922 14:28:35.045563,default/hello-00001-deployment-84c48648dc-gvnh9,118.23236
I0922 14:28:35.511182,default/hello-00001-deployment-84c48648dc-jbtpp,24.850237
I0922 14:28:35.567220,default/hello-00001-deployment-84c48648dc-f49nv,34.077792
I0922 14:28:35.578058,default/hello-00001-deployment-84c48648dc-6pjr2,610.651163
I0922 14:28:35.578061,default/hello-00001-deployment-84c48648dc-zhrjp,59.187181
I0922 14:28:35.622400,default/hello-00001-deployment-84c48648dc-qbsb2,514.892637
I0922 14:28:35.666962,default/hello-00001-deployment-84c48648dc-r62zk,137.464777
I0922 14:28:35.695178,default/hello-00001-deployment-84c48648dc-gxpn6,164.018445
I0922 14:28:35.770091,default/hello-00001-deployment-84c48648dc-gql4q,235.845155
I0922 14:28:35.770114,default/hello-00001-deployment-84c48648dc-fl6cz,200.102136
I0922 14:28:35.770117,default/hello-00001-deployment-84c48648dc-k7hw5,659.753444
I0922 14:28:35.820966,default/hello-00001-deployment-84c48648dc-kth2t,253.673497
I0922 14:28:35.820966,default/hello-00001-deployment-84c48648dc-h7bdq,197.830216
I0922 14:28:35.910446,default/hello-00001-deployment-84c48648dc-8zr6p,242.231651
