timestamp,pod,scheduling_time_ms
I0420 16:36:59.607668,default/helloworld-00001-deployment-668969567d-7q9sb,12.986244
I0420 16:36:59.643679,default/helloworld-00001-deployment-668969567d-bbwfr,28.28035
I0420 16:36:59.657472,default/helloworld-00001-deployment-668969567d-cxshc,42.964843
I0420 16:37:01.533442,default/helloworld-00001-deployment-668969567d-5w8m9,22.329342
I0420 16:37:01.850175,default/helloworld-00001-deployment-668969567d-4n9q8,7.03468
I0420 16:37:01.869896,default/helloworld-00001-deployment-668969567d-crvt9,25.986989
I0420 16:37:01.895446,default/helloworld-00001-deployment-668969567d-k4bst,20.671057
I0420 16:37:01.908764,default/helloworld-00001-deployment-668969567d-mg4rl,32.361832
I0420 16:37:01.916414,default/helloworld-00001-deployment-668969567d-6j48f,35.49329
I0420 16:37:01.928748,default/helloworld-00001-deployment-668969567d-ms25g,29.891914
I0420 16:37:01.983803,default/helloworld-00001-deployment-668969567d-dgq7v,49.372187
I0420 16:37:02.005985,default/helloworld-00001-deployment-668969567d-6lhc7,58.882286
I0420 16:37:02.006023,default/helloworld-00001-deployment-668969567d-p8dqx,69.390111
I0420 16:37:02.027285,default/helloworld-00001-deployment-668969567d-rg8wf,79.075841
I0420 16:37:02.027332,default/helloworld-00001-deployment-668969567d-rrrgv,60.863758
I0420 16:37:02.111751,default/helloworld-00001-deployment-668969567d-2x2m9,108.586771
I0420 16:37:02.113487,default/helloworld-00001-deployment-668969567d-6r7bl,108.4879
I0420 16:37:02.125751,default/helloworld-00001-deployment-668969567d-gkbnn,118.951299
I0420 16:37:02.199477,default/helloworld-00001-deployment-668969567d-jc5pk,128.557564
I0420 16:37:02.216876,default/helloworld-00001-deployment-668969567d-cbh4n,95.11545
I0420 16:37:02.230670,default/helloworld-00001-deployment-668969567d-qfh9m,156.339173
I0420 16:37:02.234800,default/helloworld-00001-deployment-668969567d-wbnf9,92.210141
I0420 16:37:02.241536,default/helloworld-00001-deployment-668969567d-mvmmj,125.941868
I0420 16:37:02.241536,default/helloworld-00001-deployment-668969567d-p5xcl,176.50219
I0420 16:37:02.307070,default/helloworld-00001-deployment-668969567d-x8swc,147.898541
I0420 16:37:02.308266,default/helloworld-00001-deployment-668969567d-9wbsv,149.770032
I0420 16:37:02.318456,default/helloworld-00001-deployment-668969567d-rxsr9,154.475516
I0420 16:37:02.350793,default/helloworld-00001-deployment-668969567d-lfdqr,189.618731
I0420 16:37:02.350793,default/helloworld-00001-deployment-668969567d-sxmp4,187.911334
I0420 16:37:02.350882,default/helloworld-00001-deployment-668969567d-bnfnl,190.867718
I0420 16:37:02.353011,default/helloworld-00001-deployment-668969567d-8859n,144.097931
I0420 16:37:02.401610,default/helloworld-00001-deployment-668969567d-d5n9z,134.011052
I0420 16:37:02.401728,default/helloworld-00001-deployment-668969567d-6rbng,191.138831
I0420 16:37:02.564499,default/helloworld-00001-deployment-668969567d-tvw5l,402.470864
I0420 16:37:02.691109,default/helloworld-00001-deployment-668969567d-vs2tf,268.863313
I0420 16:37:02.691492,default/helloworld-00001-deployment-668969567d-7f2f5,268.675682
I0420 16:37:02.691059,default/helloworld-00001-deployment-668969567d-jbhh8,267.561899
