timestamp,pod,scheduling_time_ms
I0408 13:03:53.609241,default/helloworld-00001-deployment-69856c967d-nbvxc,14.808576
I0408 13:03:53.630530,default/helloworld-00001-deployment-69856c967d-596q5,9.804729
I0408 13:04:40.171431,default/helloworld-00001-deployment-69856c967d-srz7q,9.727155
I0408 13:04:40.182245,default/helloworld-00001-deployment-69856c967d-x784s,5.615369
I0408 13:05:28.834234,default/helloworld-00001-deployment-69856c967d-c894c,5.769685
I0408 13:05:28.847939,default/helloworld-00001-deployment-69856c967d-tqq6f,7.300677
I0408 13:06:16.877331,default/helloworld-00001-deployment-69856c967d-zmz9z,48.604126
I0408 13:06:16.890873,default/helloworld-00001-deployment-69856c967d-44zfb,35.692783
I0408 13:07:04.837759,default/helloworld-00001-deployment-69856c967d-nnlv4,7.669216
I0408 13:07:04.854901,default/helloworld-00001-deployment-69856c967d-2slcs,13.871329
I0408 13:07:51.717255,default/helloworld-00001-deployment-69856c967d-8rh25,14.081122
I0408 13:07:51.723573,default/helloworld-00001-deployment-69856c967d-ckfm9,37.684271
I0408 13:08:38.844129,default/helloworld-00001-deployment-69856c967d-zvb72,9.340484
I0408 13:08:38.854608,default/helloworld-00001-deployment-69856c967d-t58d6,24.838227
I0408 13:09:25.726588,default/helloworld-00001-deployment-69856c967d-lnqhv,12.57535
I0408 13:09:25.731973,default/helloworld-00001-deployment-69856c967d-jz2f8,10.50166
I0408 13:10:12.103676,default/helloworld-00001-deployment-69856c967d-89b4m,4.972371
I0408 13:10:12.114932,default/helloworld-00001-deployment-69856c967d-9rjwc,6.40435
I0408 13:10:58.070341,default/helloworld-00001-deployment-69856c967d-nd7tl,9.450585
I0408 13:10:58.082092,default/helloworld-00001-deployment-69856c967d-f7xd7,8.328999
I0408 13:11:46.262671,default/helloworld-00001-deployment-69856c967d-pvrhn,18.105858
I0408 13:11:46.266882,default/helloworld-00001-deployment-69856c967d-vl4n7,12.460632
I0408 13:12:33.841503,default/helloworld-00001-deployment-69856c967d-2c4lh,7.636671
