timestamp,pod,scheduling_time_ms
I0420 18:04:41.764423,default/helloworld-00001-deployment-668969567d-7wxkh,13.683382
I0420 18:04:41.774115,default/helloworld-00001-deployment-668969567d-59d4j,11.143425
I0420 18:06:18.240454,default/helloworld-00001-deployment-668969567d-c6gl9,8.276851
I0420 18:06:18.268118,default/helloworld-00001-deployment-668969567d-2mh57,19.151084
I0420 18:07:55.747321,default/helloworld-00001-deployment-668969567d-77grh,11.975936
I0420 18:07:55.764067,default/helloworld-00001-deployment-668969567d-v769z,11.930713
I0420 18:09:32.692679,default/helloworld-00001-deployment-668969567d-rtdq4,6.454559
I0420 18:09:32.711845,default/helloworld-00001-deployment-668969567d-jsvhz,13.13725
I0420 18:11:10.267721,default/helloworld-00001-deployment-668969567d-m2qq8,6.316853
I0420 18:11:10.284887,default/helloworld-00001-deployment-668969567d-7st2n,10.469201
I0420 18:12:48.250303,default/helloworld-00001-deployment-668969567d-6h2fj,18.675407
I0420 18:12:48.260536,default/helloworld-00001-deployment-668969567d-tl5rl,17.809756
I0420 18:14:25.608529,default/helloworld-00001-deployment-668969567d-chpjz,13.217388
I0420 18:14:25.619023,default/helloworld-00001-deployment-668969567d-8pxwd,13.663889
I0420 18:16:02.284292,default/helloworld-00001-deployment-668969567d-rvnpq,14.130444
I0420 18:16:02.300225,default/helloworld-00001-deployment-668969567d-s82n6,14.97052
I0420 18:17:39.573448,default/helloworld-00001-deployment-668969567d-bnchj,13.364125
I0420 18:17:39.591962,default/helloworld-00001-deployment-668969567d-qc5r5,20.190715
I0420 18:19:16.044924,default/helloworld-00001-deployment-668969567d-87wtc,8.157815
I0420 18:19:16.059470,default/helloworld-00001-deployment-668969567d-rl9kx,12.082899
I0420 18:20:55.241588,default/helloworld-00001-deployment-668969567d-thtml,9.661391
I0420 18:20:55.252759,default/helloworld-00001-deployment-668969567d-5jwp8,13.797049
I0420 18:22:31.592865,default/helloworld-00001-deployment-668969567d-vbvsd,8.494629
I0420 18:22:31.614179,default/helloworld-00001-deployment-668969567d-bzzq4,15.648681
I0420 18:24:09.787313,default/helloworld-00001-deployment-668969567d-4cs8m,13.351824
I0420 18:24:09.794303,default/helloworld-00001-deployment-668969567d-hmz4c,12.69736
I0420 18:25:45.794633,default/helloworld-00001-deployment-668969567d-fbc57,6.768606
I0420 18:25:45.820923,default/helloworld-00001-deployment-668969567d-pb287,15.687346
I0420 18:27:22.238396,default/helloworld-00001-deployment-668969567d-m7f4z,9.16961
I0420 18:27:22.255929,default/helloworld-00001-deployment-668969567d-rlxjb,17.505756
I0420 18:29:00.244456,default/helloworld-00001-deployment-668969567d-ncn48,12.685543
I0420 18:29:00.258331,default/helloworld-00001-deployment-668969567d-dkdwf,15.812141
I0420 18:30:37.756025,default/helloworld-00001-deployment-668969567d-nvz82,11.260347
I0420 18:30:37.768438,default/helloworld-00001-deployment-668969567d-8829r,18.22275
I0420 18:32:16.024961,default/helloworld-00001-deployment-668969567d-92pl7,5.957685
I0420 18:32:16.045785,default/helloworld-00001-deployment-668969567d-tcphs,12.689184
I0420 18:33:54.252013,default/helloworld-00001-deployment-668969567d-ppdt6,14.858928
I0420 18:33:54.293602,default/helloworld-00001-deployment-668969567d-r52h4,48.684117
I0420 18:35:33.761221,default/helloworld-00001-deployment-668969567d-p29dr,12.837171
I0420 18:35:33.769815,default/helloworld-00001-deployment-668969567d-ltvll,13.061431
I0420 18:37:11.796276,default/helloworld-00001-deployment-668969567d-wgkbd,6.886375
I0420 18:37:11.813630,default/helloworld-00001-deployment-668969567d-xtltr,10.60345
I0420 18:38:50.437853,default/helloworld-00001-deployment-668969567d-qrbrw,14.833733
I0420 18:38:50.442331,default/helloworld-00001-deployment-668969567d-shkjl,10.065674
I0420 18:40:28.127129,default/helloworld-00001-deployment-668969567d-4dkch,14.881087
I0420 18:40:28.131710,default/helloworld-00001-deployment-668969567d-h6gz2,13.202437
I0420 18:42:05.407591,default/helloworld-00001-deployment-668969567d-llj6r,10.107472
I0420 18:42:05.420033,default/helloworld-00001-deployment-668969567d-klsvv,13.157604
I0420 18:43:42.241498,default/helloworld-00001-deployment-668969567d-gz59g,7.152656
I0420 18:43:42.256468,default/helloworld-00001-deployment-668969567d-jgvl6,9.548824
