timestamp,pod,scheduling_time_ms
I0421 15:34:49.712132,default/helloworld-00001-deployment-668969567d-8sxqk,8.372833
I0421 15:34:49.722510,default/helloworld-00001-deployment-668969567d-f6jt6,10.78211
I0421 15:36:27.245543,default/helloworld-00001-deployment-668969567d-g6vf7,14.420686
I0421 15:36:27.252203,default/helloworld-00001-deployment-668969567d-drs6d,13.084464
I0421 15:38:04.669552,default/helloworld-00001-deployment-668969567d-whfr8,14.799355
I0421 15:38:04.676521,default/helloworld-00001-deployment-668969567d-zrm2h,11.573151
I0421 15:39:41.828852,default/helloworld-00001-deployment-668969567d-tttcp,6.900373
I0421 15:39:41.841112,default/helloworld-00001-deployment-668969567d-2mj8v,9.618133
I0421 15:41:18.240910,default/helloworld-00001-deployment-668969567d-5hglv,8.115818
I0421 15:41:18.252881,default/helloworld-00001-deployment-668969567d-xmct9,7.245836
I0421 15:42:56.147554,default/helloworld-00001-deployment-668969567d-qk55c,13.987841
I0421 15:42:56.151322,default/helloworld-00001-deployment-668969567d-ddrj2,9.548708
I0421 15:44:33.249760,default/helloworld-00001-deployment-668969567d-xjk4c,17.205362
I0421 15:44:33.253965,default/helloworld-00001-deployment-668969567d-k7bn5,12.110062
I0421 15:46:10.240959,default/helloworld-00001-deployment-668969567d-dddz8,11.110525
I0421 15:46:10.247589,default/helloworld-00001-deployment-668969567d-tw5wt,8.238079
I0421 15:47:49.243189,default/helloworld-00001-deployment-668969567d-ffcs2,12.515415
I0421 15:47:49.251551,default/helloworld-00001-deployment-668969567d-pp5dc,12.303526
I0421 15:49:26.241911,default/helloworld-00001-deployment-668969567d-fzfvn,10.436248
I0421 15:49:26.258148,default/helloworld-00001-deployment-668969567d-scv7x,15.317029
I0421 15:51:02.202972,default/helloworld-00001-deployment-668969567d-ctwzm,11.566249
I0421 15:51:02.207558,default/helloworld-00001-deployment-668969567d-gcwjh,10.618008
I0421 15:52:38.576889,default/helloworld-00001-deployment-668969567d-bsrd7,15.264771
I0421 15:52:38.584686,default/helloworld-00001-deployment-668969567d-tnx4n,13.223121
I0421 15:54:13.677800,default/helloworld-00001-deployment-668969567d-tlwfk,7.130635
I0421 15:54:13.691835,default/helloworld-00001-deployment-668969567d-fddb5,8.64734
I0421 15:55:50.410226,default/helloworld-00001-deployment-668969567d-sgc85,13.942789
I0421 15:55:50.416173,default/helloworld-00001-deployment-668969567d-lw2jf,10.558879
I0421 15:57:26.661678,default/helloworld-00001-deployment-668969567d-chx56,8.394137
I0421 15:57:26.680307,default/helloworld-00001-deployment-668969567d-4b9ff,11.970417
I0421 15:59:04.743519,default/helloworld-00001-deployment-668969567d-5pxpr,6.184579
I0421 15:59:04.783007,default/helloworld-00001-deployment-668969567d-5tbfm,29.769672
I0421 16:00:42.522829,default/helloworld-00001-deployment-668969567d-v8nvz,13.315233
I0421 16:00:42.539071,default/helloworld-00001-deployment-668969567d-pr97x,17.893052
I0421 16:02:20.608829,default/helloworld-00001-deployment-668969567d-4ph66,10.543138
I0421 16:02:20.616599,default/helloworld-00001-deployment-668969567d-9wpk4,12.668974
I0421 16:03:58.925983,default/helloworld-00001-deployment-668969567d-rndpj,7.141099
I0421 16:03:58.939847,default/helloworld-00001-deployment-668969567d-44p88,7.24908
I0421 16:05:36.537880,default/helloworld-00001-deployment-668969567d-7gtjg,15.964828
I0421 16:05:36.547302,default/helloworld-00001-deployment-668969567d-44flv,10.486639
I0421 16:07:12.859501,default/helloworld-00001-deployment-668969567d-g6c9s,7.553828
I0421 16:07:12.868934,default/helloworld-00001-deployment-668969567d-b2mpk,8.142493
I0421 16:08:50.808909,default/helloworld-00001-deployment-668969567d-9xdg8,5.876763
I0421 16:08:50.821226,default/helloworld-00001-deployment-668969567d-d9q8j,8.413608
I0421 16:10:28.241070,default/helloworld-00001-deployment-668969567d-tdxlt,6.88793
I0421 16:10:28.261609,default/helloworld-00001-deployment-668969567d-chjcz,19.05972
I0421 16:12:06.199650,default/helloworld-00001-deployment-668969567d-ssg7j,10.082316
I0421 16:12:06.206534,default/helloworld-00001-deployment-668969567d-gdpj6,9.880632
I0421 16:13:44.596686,default/helloworld-00001-deployment-668969567d-5m9l2,10.040116
I0421 16:13:44.597073,default/helloworld-00001-deployment-668969567d-8r8vv,19.874362
I0421 16:15:22.679073,default/helloworld-00001-deployment-668969567d-qx4qv,9.815582
I0421 16:15:22.688177,default/helloworld-00001-deployment-668969567d-qkgs8,5.04805
I0421 16:17:00.242360,default/helloworld-00001-deployment-668969567d-xzqqq,10.999879
I0421 16:17:00.254868,default/helloworld-00001-deployment-668969567d-q4nbr,9.911213
I0421 16:18:36.199299,default/helloworld-00001-deployment-668969567d-khvb9,10.800141
I0421 16:18:36.231126,default/helloworld-00001-deployment-668969567d-h52c5,36.622531
I0421 16:20:11.666104,default/helloworld-00001-deployment-668969567d-9tdkg,9.025551
I0421 16:20:11.674815,default/helloworld-00001-deployment-668969567d-6b7qd,11.73905
I0421 16:21:49.050369,default/helloworld-00001-deployment-668969567d-ptkdg,7.233275
I0421 16:21:49.063578,default/helloworld-00001-deployment-668969567d-bcwnp,7.006923
I0421 16:23:27.046142,default/helloworld-00001-deployment-668969567d-4cxd6,14.48931
I0421 16:23:27.050353,default/helloworld-00001-deployment-668969567d-swhxr,10.591293
I0421 16:25:03.943181,default/helloworld-00001-deployment-668969567d-sm5t7,7.920906
I0421 16:25:03.964401,default/helloworld-00001-deployment-668969567d-sv6ql,15.91544
I0421 16:26:41.251559,default/helloworld-00001-deployment-668969567d-4k5cc,18.513442
I0421 16:26:41.251558,default/helloworld-00001-deployment-668969567d-6cfw6,8.574036
I0421 16:28:18.595039,default/helloworld-00001-deployment-668969567d-crncw,6.880759
I0421 16:28:18.604121,default/helloworld-00001-deployment-668969567d-kkq9p,9.715277
I0421 16:29:56.942733,default/helloworld-00001-deployment-668969567d-lt5cm,8.406981
I0421 16:29:56.957404,default/helloworld-00001-deployment-668969567d-ww9rp,13.522333
I0421 16:31:34.670605,default/helloworld-00001-deployment-668969567d-sxj2f,8.492556
I0421 16:31:34.682055,default/helloworld-00001-deployment-668969567d-9kxt8,10.163278
I0421 16:33:13.019604,default/helloworld-00001-deployment-668969567d-t7gfd,7.847001
I0421 16:33:13.038803,default/helloworld-00001-deployment-668969567d-dvffv,16.015278
I0421 16:34:50.242547,default/helloworld-00001-deployment-668969567d-dtzvg,10.424057
I0421 16:34:50.251557,default/helloworld-00001-deployment-668969567d-txc22,9.563297
I0421 16:36:28.429396,default/helloworld-00001-deployment-668969567d-cbn9t,9.420853
I0421 16:36:28.440889,default/helloworld-00001-deployment-668969567d-zv6d4,7.784297
I0421 16:38:06.369437,default/helloworld-00001-deployment-668969567d-4822f,5.636556
I0421 16:38:06.382523,default/helloworld-00001-deployment-668969567d-njmqh,10.279038
I0421 16:39:44.397369,default/helloworld-00001-deployment-668969567d-kqtpc,8.417353
I0421 16:39:44.403419,default/helloworld-00001-deployment-668969567d-6vvsf,8.873056
I0421 16:41:22.625890,default/helloworld-00001-deployment-668969567d-5c478,7.091631
I0421 16:41:22.641464,default/helloworld-00001-deployment-668969567d-wcs4f,8.555691
I0421 16:42:57.978768,default/helloworld-00001-deployment-668969567d-77zks,6.047588
