function,status,duration_ms,upstream_ms
grayscale,200,2568,2567
grayscale,200,1076,1075
genmatrix,200,2528,2527
genmatrix,200,1035,1033
genmatrix,200,1540,1539
genmatrix,200,1973,1967
genmatrix,200,8,7
resnet,200,2993,2993
resnet,200,1560,1560
genmatrix,200,34,28
resnet,200,1083,1082
resnet,200,1103,1103
genmatrix,200,4,3
resnet,200,3145,3145
resnet,200,2866,2866
genmatrix,200,4,3
genmatrix,200,35,29
genmatrix,200,34,28
matrixmul,200,3836,3832
matrixmul,200,3452,3449
linpack,200,802,800
linpack,200,1007,1005
grayscale,200,743,740
grayscale,200,257,254
grayscale,200,2886,2797
grayscale,200,2225,2219
resnet,200,186,186
resnet,200,224,223
linpack,200,2553,2551
linpack,200,2659,2657
fastfouriertransform,200,6502,6500
fastfouriertransform,200,6214,6212
fastfouriertransform,200,4720,4718
matrixmul,200,21,15
matrixmul,200,236,26
linpack,200,4718,4716
linpack,200,926,920
linpack,200,1832,1618
fastfouriertransform,200,13,11
fastfouriertransform,200,4757,4755
fastfouriertransform,200,4663,4661
fastfouriertransform,200,4269,4267
fastfouriertransform,200,6475,6473
fastfouriertransform,200,4079,4077
linpack,200,10,8
fetchdata,200,3495,3494
fetchdata,200,1573,1573
fetchdata,200,1255,1255
fetchdata,200,1438,1438
fetchdata,200,328,328
fastfouriertransform,200,4583,4581
fastfouriertransform,200,3990,3988
fetchdata,200,110,109
fastfouriertransform,200,9,7
genmatrix,200,4,4
linpack,200,10,8
fastfouriertransform,200,1890,1679
genmatrix,200,4,3
genmatrix,200,34,31
fastfouriertransform,200,15,13
linpack,200,657,655
fetchdata,200,84,84
fetchdata,200,82,82
matrixmul,200,20,17
linpack,200,1108,1106
pagerank,200,9472,9472
pagerank,200,690,689
pagerank,200,8903,8903
genmatrix,200,34,28
pagerank,200,5659,5659
pagerank,200,2908,2905
pagerank,200,8966,8964
graphgen,200,9628,9624
graphgen,200,4157,4155
graphgen,200,1681,1679
fastfouriertransform,200,10,8
pagerank,200,4971,4909
genmatrix,200,4,3
mobilenet,200,8360,8359
mobilenet,200,5608,5608
genmatrix,200,34,29
mobilenet,200,5752,5751
resnet,200,157,157
pagerank,200,2731,2720
linpack,200,661,659
linpack,200,268,266
mobilenet,200,4807,4806
genmatrix,200,11,8
graphgen,200,3316,3272
mobilenet,200,1747,1746
mobilenet,200,4192,4191
fastfouriertransform,200,12,10
mobilenet,200,1538,1538
mobilenet,200,6881,6881
graphgen,200,32,30
pagerank,200,2748,2738
fastfouriertransform,200,25,16
grayscale,200,3870,3856
grayscale,200,7467,4555
grayscale,200,6989,6873
linpack,200,15,8
grayscale,200,1222,1217
pagerank,200,1763,1726
mobilenet,200,46,46
pagerank,200,1943,1923
pagerank,200,1620,1617
resnet,200,136,135
mobilenet,200,37,36
pagerank,200,541,540
pagerank,200,252,252
mobilenet,200,45,45
genmatrix,200,4,3
fastfouriertransform,200,9,7
graphgen,200,10811,10807
graphgen,200,10046,9975
graphgen,200,3848,2839
graphgen,200,5350,4811
mobilenet,200,29,28
fastfouriertransform,200,9,7
matrixmul,200,517,513
linpack,200,10,8
genmatrix,200,5,4
graphgen,200,509,471
genmatrix,200,48,43
mobilenet,200,28,28
matrixmul,200,879,838
matrixmul,200,539,535
matrixmul,200,52,49
genmatrix,200,5,4
mobilenet,200,45,45
fastfouriertransform,200,12,12
pagerank,200,16,16
fastfouriertransform,200,14,12
fetchdata,200,89,89
mobilenet,200,55,55
graphgen,200,39,27
grayscale,200,2846,2771
grayscale,200,954,949
matrixmul,200,14,11
genmatrix,200,216,10
mobilenet,200,43,43
mobilenet,200,51,50
genmatrix,200,11,10
matrixmul,200,536,533
matrixmul,200,351,348
genmatrix,200,5,4
pagerank,200,15,14
resnet,200,129,129
linpack,200,13,11
pagerank,200,633,623
mobilenet,200,27,27
pagerank,200,100,99
fastfouriertransform,200,9,7
graphgen,200,486,448
fastfouriertransform,200,12,10
fastfouriertransform,200,12,10
genmatrix,200,10,9
graphgen,200,523,481
fastfouriertransform,200,17,13
genmatrix,200,46,41
resnet,200,176,176
matrixmul,200,15,12
resnet,200,217,216
resnet,200,177,176
grayscale,200,11,10
pagerank,200,109,106
linpack,200,13,11
grayscale,200,66,61
fetchdata,200,88,88
grayscale,200,65,61
linpack,200,12,10
graphgen,200,103,94
fastfouriertransform,200,9,7
resnet,200,130,130
pagerank,200,15,14
pagerank,200,59,57
fetchdata,200,89,89
fastfouriertransform,200,9,7
fetchdata,200,91,91
pagerank,200,16,15
pagerank,200,60,57
fastfouriertransform,200,9,7
pagerank,200,376,365
linpack,200,688,686
fastfouriertransform,200,9,7
pagerank,200,15,14
grayscale,200,13867,8385
resnet,200,130,130
grayscale,200,12633,9825
linpack,200,32,21
mobilenet,200,45,44
graphgen,200,27,25
graphgen,200,26,23
linpack,200,9,7
mobilenet,200,21,21
matrixmul,200,518,515
matrixmul,200,29,26
graphgen,200,26,24
fastfouriertransform,200,12,10
fetchdata,200,89,89
graphgen,200,139,131
resnet,200,125,125
fetchdata,200,90,90
fetchdata,200,86,86
grayscale,200,2364,2361
grayscale,200,1176,1173
grayscale,200,2814,2733
graphgen,200,124,96
genmatrix,200,37,29
grayscale,200,2136,2128
genmatrix,200,33,28
pagerank,200,87,84
resnet,200,153,153
fetchdata,200,91,90
fetchdata,200,88,88
matrixmul,200,14,11
fastfouriertransform,200,640,638
grayscale,200,14547,11756
fetchdata,200,90,89
grayscale,200,14314,14221
grayscale,200,1118,1101
genmatrix,200,7,6
fetchdata,200,89,89
graphgen,200,102,94
genmatrix,200,4,3
mobilenet,200,45,45
linpack,200,677,660
grayscale,200,12,11
genmatrix,200,3,3
genmatrix,200,8,6
fastfouriertransform,200,603,601
pagerank,200,110,108
pagerank,200,58,56
graphgen,200,25,23
grayscale,200,10,8
linpack,200,673,671
linpack,200,481,479
fastfouriertransform,200,605,603
graphgen,200,25,23
resnet,200,126,126
linpack,200,10,7
resnet,200,126,126
resnet,200,124,124
grayscale,200,10,9
resnet,200,128,128
