function,status,duration_ms,upstream_ms
grayscale,200,2762,2760
grayscale,200,2322,2318
grayscale,200,2279,2275
grayscale,200,2648,2645
grayscale,200,2540,2532
fetchdata,200,2539,2538
grayscale,200,2203,2196
grayscale,200,184,164
fetchdata,200,2238,2237
fetchdata,200,2101,2101
graphgen,200,3092,3089
fetchdata,200,2243,2243
fetchdata,200,2624,2623
fetchdata,200,2711,2711
fetchdata,200,2819,2818
matrixmul,200,3330,3326
fetchdata,200,2755,2754
matrixmul,200,2443,2437
matrixmul,200,3315,3311
matrixmul,200,2874,2871
matrixmul,200,2865,2862
graphgen,200,3983,3979
graphgen,200,3275,3273
graphgen,200,4028,4023
resnet,200,4608,4607
mobilenet,200,4598,4598
resnet,200,4639,4639
mobilenet,200,4349,4349
mobilenet,200,4359,4359
mobilenet,200,4287,4286
mobilenet,200,4237,4237
mobilenet,200,4016,4016
mobilenet,200,4004,4003
mobilenet,200,1932,1932
pagerank,200,4922,4921
mobilenet,200,1483,1482
pagerank,200,1479,1476
pagerank,200,4561,4558
mobilenet,200,1479,1478
mobilenet,200,1488,1488
mobilenet,200,4629,4629
pagerank,200,4128,4127
resnet,200,4782,4780
mobilenet,200,231,230
pagerank,200,1648,1647
pagerank,200,4976,4975
mobilenet,200,147,146
mobilenet,200,130,130
pagerank,200,4418,4415
mobilenet,200,83,82
graphgen,200,1964,1937
graphgen,200,4393,2886
fetchdata,200,105,105
pagerank,200,144,143
mobilenet,200,55,35
mobilenet,200,39,19
matrixmul,200,528,521
pagerank,200,2388,2372
mobilenet,200,32,32
resnet,200,5207,5206
pagerank,200,5198,5195
pagerank,200,112,111
pagerank,200,97,96
graphgen,200,4663,3915
graphgen,200,4489,3228
graphgen,200,767,721
graphgen,200,557,536
graphgen,200,5410,4861
pagerank,200,5088,5069
resnet,200,5116,5115
matrixmul,200,1042,1031
matrixmul,200,840,836
matrixmul,200,753,748
matrixmul,200,668,664
matrixmul,200,59,55
resnet,200,5896,5896
pagerank,200,5164,5140
linpack,200,5861,5858
linpack,200,5629,5626
linpack,200,856,826
linpack,200,5216,5208
linpack,200,3160,3155
fetchdata,200,96,95
graphgen,200,934,830
graphgen,200,129,120
fetchdata,200,92,92
genmatrix,200,6233,6232
matrixmul,200,1193,962
genmatrix,200,5976,5973
genmatrix,200,6111,6103
matrixmul,200,1159,1118
genmatrix,200,939,929
genmatrix,200,1140,1130
fastfouriertransform,200,6305,6301
genmatrix,200,1161,1158
genmatrix,200,863,847
genmatrix,200,1272,1264
fetchdata,200,83,83
genmatrix,200,5299,5293
resnet,200,5797,5796
genmatrix,200,5490,5484
genmatrix,200,1422,1420
genmatrix,200,5961,5958
genmatrix,200,5932,5924
genmatrix,200,5527,5526
pagerank,200,5558,5518
genmatrix,200,6041,6040
genmatrix,200,5578,5576
genmatrix,200,1510,1503
graphgen,200,33,31
mobilenet,200,51,47
genmatrix,200,1538,1537
genmatrix,200,5947,5940
genmatrix,200,3383,3382
genmatrix,200,2348,2346
matrixmul,200,27,11
graphgen,200,26,23
grayscale,200,144,128
genmatrix,200,3631,3629
genmatrix,200,3482,3475
grayscale,200,76,71
graphgen,200,107,99
genmatrix,200,6428,6421
resnet,200,195,194
genmatrix,200,6474,6455
mobilenet,200,114,113
genmatrix,200,6217,6207
fetchdata,200,87,87
graphgen,200,1324,1253
fetchdata,200,106,106
graphgen,200,118,109
genmatrix,200,77,70
grayscale,200,111,80
matrixmul,200,34,12
genmatrix,200,99,93
genmatrix,200,30,29
genmatrix,200,3,3
fetchdata,200,89,88
genmatrix,200,3,3
genmatrix,200,8,7
fetchdata,200,108,108
grayscale,200,33,32
mobilenet,200,63,63
resnet,200,224,223
graphgen,200,199,192
graphgen,200,108,96
graphgen,200,43,41
fetchdata,200,157,156
resnet,200,3240,3239
linpack,200,3960,3943
fetchdata,200,175,174
graphgen,200,25,22
pagerank,200,5789,5773
fetchdata,200,178,178
genmatrix,200,8,7
resnet,200,317,298
resnet,200,254,253
matrixmul,200,741,524
matrixmul,200,323,317
resnet,200,6906,6906
matrixmul,200,322,313
pagerank,200,6154,6130
matrixmul,200,22,14
resnet,200,430,429
pagerank,200,1539,1479
linpack,200,723,687
linpack,200,645,639
fetchdata,200,83,83
matrixmul,200,56,11
matrixmul,200,14,11
pagerank,200,1632,1621
fastfouriertransform,200,7174,7165
fetchdata,200,90,90
fastfouriertransform,200,7044,7041
linpack,200,6975,6973
pagerank,200,1352,1339
matrixmul,200,15,11
fastfouriertransform,200,7109,7105
linpack,200,4111,4108
resnet,200,640,639
linpack,200,7110,7108
fastfouriertransform,200,6664,6662
fastfouriertransform,200,6553,6551
linpack,200,6969,6967
linpack,200,6878,6866
fastfouriertransform,200,2472,2468
linpack,200,6753,6751
fastfouriertransform,200,2142,2139
graphgen,200,114,106
fastfouriertransform,200,4661,4655
genmatrix,200,24,23
genmatrix,200,54,45
graphgen,200,28,26
genmatrix,200,25,24
mobilenet,200,70,70
pagerank,200,1421,1412
pagerank,200,1220,1188
fetchdata,200,94,94
genmatrix,200,6,5
pagerank,200,1225,1217
graphgen,200,28,26
mobilenet,200,128,128
resnet,200,4666,4665
mobilenet,200,126,124
fetchdata,200,87,87
pagerank,200,1097,1080
mobilenet,200,87,87
fetchdata,200,113,113
pagerank,200,993,992
mobilenet,200,112,111
resnet,200,823,822
genmatrix,200,9,8
mobilenet,200,95,94
fetchdata,200,87,87
mobilenet,200,73,72
pagerank,200,1425,1392
mobilenet,200,80,79
matrixmul,200,570,558
matrixmul,200,459,451
genmatrix,200,6,6
matrixmul,200,274,267
fetchdata,200,93,93
pagerank,200,318,314
mobilenet,200,36,35
fetchdata,200,88,87
graphgen,200,29,27
resnet,200,552,552
resnet,200,630,629
matrixmul,200,589,583
linpack,200,1420,1407
resnet,200,2906,2905
matrixmul,200,607,592
matrixmul,200,366,360
genmatrix,200,9,8
genmatrix,200,11,9
fastfouriertransform,200,722,720
linpack,200,7826,7824
fastfouriertransform,200,720,715
graphgen,200,641,541
pagerank,200,3045,2932
fastfouriertransform,200,454,451
graphgen,200,126,115
pagerank,200,630,627
resnet,200,782,781
graphgen,200,25,24
fetchdata,200,88,87
fetchdata,200,109,109
pagerank,200,677,658
genmatrix,200,8,8
matrixmul,200,556,553
mobilenet,200,79,79
resnet,200,943,942
graphgen,200,111,103
pagerank,200,1750,1738
resnet,200,2774,2774
graphgen,200,575,469
graphgen,200,329,319
pagerank,200,1806,1798
pagerank,200,309,305
genmatrix,200,15,14
graphgen,200,27,25
resnet,200,368,367
fetchdata,200,82,81
genmatrix,200,11,10
fetchdata,200,125,125
fastfouriertransform,200,8377,8374
matrixmul,200,580,577
fastfouriertransform,200,8461,8458
matrixmul,200,544,533
fastfouriertransform,200,2414,2386
matrixmul,200,628,406
fastfouriertransform,200,5585,5581
genmatrix,200,3,3
fastfouriertransform,200,8712,8710
matrixmul,200,529,519
genmatrix,200,3,3
fastfouriertransform,200,8053,8050
fastfouriertransform,200,8691,8689
fastfouriertransform,200,3924,3922
fastfouriertransform,200,3485,3483
fetchdata,200,84,84
fastfouriertransform,200,5541,5539
resnet,200,1307,1303
fastfouriertransform,200,3781,3778
linpack,200,1999,1992
fastfouriertransform,200,4663,4660
linpack,200,2007,2000
linpack,200,1940,1936
fastfouriertransform,200,3505,3502
linpack,200,1782,1779
fastfouriertransform,200,8644,8642
fastfouriertransform,200,8548,8546
pagerank,200,2579,2420
fastfouriertransform,200,2781,2704
fastfouriertransform,200,2636,2626
pagerank,200,783,494
pagerank,200,472,469
fetchdata,200,100,100
matrixmul,200,1049,1038
mobilenet,200,114,113
mobilenet,200,85,84
resnet,200,1361,1361
linpack,200,8078,7858
mobilenet,200,54,53
fetchdata,200,156,156
mobilenet,200,91,91
graphgen,200,117,99
resnet,200,3371,3370
mobilenet,200,158,157
genmatrix,200,9,8
resnet,200,388,388
genmatrix,200,53,47
graphgen,200,722,486
mobilenet,200,88,87
resnet,200,3540,3539
graphgen,200,26,24
pagerank,200,2416,2402
fastfouriertransform,200,864,853
resnet,200,562,562
fastfouriertransform,200,681,678
fastfouriertransform,200,800,796
genmatrix,200,9,8
fastfouriertransform,200,589,586
pagerank,200,517,466
matrixmul,200,927,903
pagerank,200,228,227
mobilenet,200,114,114
mobilenet,200,73,72
genmatrix,200,4,4
mobilenet,200,91,90
genmatrix,200,7,6
matrixmul,200,1553,1549
mobilenet,200,113,113
resnet,200,707,706
matrixmul,200,1153,1140
genmatrix,200,36,31
graphgen,200,925,851
fetchdata,200,111,110
graphgen,200,523,467
mobilenet,200,121,120
linpack,200,2165,2162
