function,status,duration_ms,upstream_ms
fastfouriertransform,200,1854,1852
fastfouriertransform,200,9,7
genmatrix,200,1529,1529
grayscale,200,2865,2864
pagerank,200,2341,2340
fastfouriertransform,200,13,11
genmatrix,200,42,36
resnet,200,3100,3099
graphgen,200,2157,2155
resnet,200,132,132
pagerank,200,23,23
pagerank,200,119,117
genmatrix,200,11,10
resnet,200,156,155
graphgen,200,25,22
grayscale,200,16,15
genmatrix,200,12,10
fastfouriertransform,200,13,11
matrixmul,200,3033,3030
matrixmul,200,14,11
resnet,200,143,143
graphgen,200,549,511
linpack,200,2712,2710
fastfouriertransform,200,661,659
fastfouriertransform,200,9,7
mobilenet,200,2615,2614
resnet,200,148,148
resnet,200,121,121
grayscale,200,2814,2741
fastfouriertransform,200,12,10
genmatrix,200,9,8
fastfouriertransform,200,10,8
fastfouriertransform,200,608,605
grayscale,200,66,61
linpack,200,13,11
linpack,200,1033,1031
genmatrix,200,49,43
fastfouriertransform,200,13,10
grayscale,200,2837,2762
genmatrix,200,4,4
mobilenet,200,47,46
fetchdata,200,2773,2772
pagerank,200,15,14
linpack,200,13,11
grayscale,200,2809,2733
genmatrix,200,6,5
grayscale,200,10,10
linpack,200,1034,1032
genmatrix,200,35,29
linpack,200,13,11
mobilenet,200,25,24
mobilenet,200,20,20
grayscale,200,10,10
genmatrix,200,50,44
pagerank,200,321,310
resnet,200,134,134
resnet,200,152,152
grayscale,200,2802,2729
linpack,200,13,11
fetchdata,200,90,90
mobilenet,200,24,24
graphgen,200,36,34
fetchdata,200,79,78
fetchdata,200,78,78
matrixmul,200,15,12
fastfouriertransform,200,630,627
matrixmul,200,21,18
mobilenet,200,29,29
graphgen,200,507,469
fastfouriertransform,200,10,8
grayscale,200,2773,2698
pagerank,200,55,52
linpack,200,13,11
grayscale,200,65,60
fetchdata,200,125,125
graphgen,200,513,474
fetchdata,200,88,88
fastfouriertransform,200,9,7
grayscale,200,2814,2740
pagerank,200,363,352
genmatrix,200,6,5
grayscale,200,2772,2699
linpack,200,13,11
pagerank,200,318,308
graphgen,200,483,445
graphgen,200,36,34
linpack,200,1056,1054
genmatrix,200,4,4
linpack,200,1035,1033
genmatrix,200,34,28
fastfouriertransform,200,9,7
mobilenet,200,25,24
pagerank,200,15,14
fetchdata,200,80,80
mobilenet,200,27,26
fetchdata,200,87,87
pagerank,200,354,343
matrixmul,200,14,11
pagerank,200,366,356
genmatrix,200,50,44
grayscale,200,92,87
linpack,200,1039,1037
pagerank,200,87,85
fastfouriertransform,200,13,11
genmatrix,200,4,4
linpack,200,14,11
resnet,200,148,147
genmatrix,200,34,28
genmatrix,200,5,4
fastfouriertransform,200,9,7
graphgen,200,25,23
fastfouriertransform,200,13,10
linpack,200,14,12
pagerank,200,23,22
mobilenet,200,20,20
pagerank,200,23,22
grayscale,200,2776,2702
resnet,200,124,123
mobilenet,200,20,20
mobilenet,200,21,21
genmatrix,200,5,5
fastfouriertransform,200,14,11
matrixmul,200,559,555
matrixmul,200,723,512
mobilenet,200,21,20
graphgen,200,509,471
fastfouriertransform,200,9,7
matrixmul,200,15,12
linpack,200,15,13
genmatrix,200,7,6
genmatrix,200,49,43
mobilenet,200,27,27
matrixmul,200,21,18
grayscale,200,69,62
genmatrix,200,4,3
mobilenet,200,21,20
fastfouriertransform,200,9,7
pagerank,200,15,14
fastfouriertransform,200,9,7
fetchdata,200,126,125
mobilenet,200,26,26
genmatrix,200,9,8
graphgen,200,36,34
matrixmul,200,19,16
matrixmul,200,515,512
mobilenet,200,25,25
matrixmul,200,15,11
pagerank,200,320,310
mobilenet,200,28,28
genmatrix,200,12,11
genmatrix,200,4,3
resnet,200,156,155
pagerank,200,21,20
linpack,200,13,11
graphgen,200,524,485
mobilenet,200,24,24
pagerank,200,15,14
graphgen,200,482,444
fastfouriertransform,200,13,11
fastfouriertransform,200,13,10
fastfouriertransform,200,13,11
genmatrix,200,9,7
fastfouriertransform,200,9,7
genmatrix,200,34,28
resnet,200,124,124
resnet,200,125,125
matrixmul,200,15,12
resnet,200,124,123
pagerank,200,57,54
grayscale,200,15,14
linpack,200,13,11
grayscale,200,67,62
fetchdata,200,132,132
grayscale,200,66,61
linpack,200,13,11
graphgen,200,102,94
resnet,200,123,122
fastfouriertransform,200,13,11
pagerank,200,79,79
pagerank,200,56,54
fetchdata,200,88,88
fastfouriertransform,200,10,8
linpack,200,1031,1029
fetchdata,200,79,79
pagerank,200,346,336
pagerank,200,15,14
pagerank,200,57,55
grayscale,200,2796,2723
fastfouriertransform,200,14,12
grayscale,200,10,9
fastfouriertransform,200,9,7
pagerank,200,23,22
grayscale,200,100,95
resnet,200,125,124
linpack,200,13,11
mobilenet,200,28,28
graphgen,200,38,36
grayscale,200,2809,2736
matrixmul,200,553,550
graphgen,200,35,33
linpack,200,13,11
grayscale,200,10,9
mobilenet,200,24,24
matrixmul,200,15,11
graphgen,200,37,35
fastfouriertransform,200,13,11
fetchdata,200,132,131
graphgen,200,122,113
resnet,200,146,146
fetchdata,200,88,87
fetchdata,200,78,78
grayscale,200,66,61
graphgen,200,120,112
genmatrix,200,50,44
genmatrix,200,48,41
fastfouriertransform,200,686,684
pagerank,200,119,117
resnet,200,141,141
fetchdata,200,87,87
fetchdata,200,82,82
matrixmul,200,15,12
fetchdata,200,86,86
genmatrix,200,12,10
linpack,200,1036,1033
fetchdata,200,89,89
fastfouriertransform,200,635,633
graphgen,200,139,130
genmatrix,200,4,3
mobilenet,200,32,31
grayscale,200,10,9
genmatrix,200,5,4
genmatrix,200,17,15
linpack,200,1033,1030
fastfouriertransform,200,642,640
linpack,200,13,11
pagerank,200,80,78
pagerank,200,85,83
graphgen,200,37,35
grayscale,200,10,9
resnet,200,133,132
graphgen,200,25,23
resnet,200,124,124
linpack,200,13,11
linpack,200,1053,1051
resnet,200,148,148
fastfouriertransform,200,610,608
resnet,200,138,138
grayscale,200,10,9
matrixmul,200,15,12
pagerank,200,320,309
genmatrix,200,12,10
matrixmul,200,226,223
linpack,200,13,11
linpack,200,13,11
fastfouriertransform,200,10,8
matrixmul,200,518,514
matrixmul,200,15,12
fetchdata,200,124,124
grayscale,200,5447,2698
matrixmul,200,21,18
matrixmul,200,21,18
fetchdata,200,88,87
grayscale,200,7162,4425
grayscale,200,4220,4132
resnet,200,146,146
matrixmul,200,15,12
graphgen,200,110,102
grayscale,200,10,9
matrixmul,200,15,12
resnet,200,134,133
mobilenet,200,29,28
linpack,200,1054,1052
genmatrix,200,34,29
mobilenet,200,25,25
fetchdata,200,87,87
fastfouriertransform,200,604,602
pagerank,200,364,353
resnet,200,149,148
fastfouriertransform,200,13,11
grayscale,200,15,14
genmatrix,200,4,4
graphgen,200,37,34
genmatrix,200,8,7
resnet,200,152,152
mobilenet,200,20,20
resnet,200,125,125
matrixmul,200,516,513
matrixmul,200,15,12
fetchdata,200,79,79
graphgen,200,26,24
matrixmul,200,21,18
fetchdata,200,133,133
pagerank,200,78,75
graphgen,200,513,475
genmatrix,200,5,5
mobilenet,200,24,24
mobilenet,200,28,27
pagerank,200,323,312
resnet,200,151,150
mobilenet,200,29,28
pagerank,200,82,80
pagerank,200,106,103
fetchdata,200,88,88
mobilenet,200,20,20
grayscale,200,10,9
mobilenet,200,32,32
genmatrix,200,13,11
grayscale,200,2805,2729
mobilenet,200,26,26
grayscale,200,49,48
grayscale,200,65,60
linpack,200,13,11
fastfouriertransform,200,9,7
fetchdata,200,79,79
matrixmul,200,15,12
fetchdata,200,78,78
genmatrix,200,6,5
matrixmul,200,546,543
linpack,200,13,11
mobilenet,200,25,24
graphgen,200,37,34
matrixmul,200,515,512
resnet,200,122,122
graphgen,200,484,446
matrixmul,200,583,580
graphgen,200,103,95
grayscale,200,91,86
matrixmul,200,15,12
pagerank,200,362,352
genmatrix,200,10,8
genmatrix,200,8,7
matrixmul,200,541,538
graphgen,200,104,95
linpack,200,14,12
matrixmul,200,15,12
fetchdata,200,124,124
fetchdata,200,87,87
pagerank,200,22,21
matrixmul,200,20,17
resnet,200,179,179
graphgen,200,37,35
matrixmul,200,16,12
mobilenet,200,22,21
graphgen,200,103,95
matrixmul,200,558,555
genmatrix,200,9,8
linpack,200,1035,1032
matrixmul,200,522,519
matrixmul,200,517,514
fastfouriertransform,200,645,643
graphgen,200,482,444
pagerank,200,112,111
linpack,200,13,11
fastfouriertransform,200,13,11
graphgen,200,24,22
genmatrix,200,4,4
graphgen,200,516,477
fetchdata,200,87,87
fetchdata,200,84,84
fastfouriertransform,200,10,7
genmatrix,200,11,10
grayscale,200,101,96
fetchdata,200,79,79
resnet,200,150,149
fastfouriertransform,200,13,11
grayscale,200,10,9
resnet,200,122,122
matrixmul,200,518,515
genmatrix,200,7,6
grayscale,200,2804,2728
resnet,200,147,147
genmatrix,200,5,5
resnet,200,125,125
resnet,200,122,122
grayscale,200,2782,2708
linpack,200,14,12
matrixmul,200,16,12
linpack,200,13,11
pagerank,200,372,362
linpack,200,13,11
matrixmul,200,519,515
fastfouriertransform,200,633,630
linpack,200,48,46
mobilenet,200,28,27
fetchdata,200,135,135
fetchdata,200,87,87
pagerank,200,348,337
pagerank,200,57,54
mobilenet,200,28,27
grayscale,200,2807,2733
resnet,200,124,124
linpack,200,14,12
fastfouriertransform,200,641,639
mobilenet,200,21,20
mobilenet,200,21,20
resnet,200,193,192
matrixmul,200,518,515
graphgen,200,104,96
linpack,200,13,11
mobilenet,200,27,26
linpack,200,1039,1037
linpack,200,1083,1081
resnet,200,143,142
graphgen,200,520,482
genmatrix,200,5,4
grayscale,200,2778,2704
genmatrix,200,49,43
matrixmul,200,518,515
pagerank,200,16,15
mobilenet,200,27,27
mobilenet,200,27,27
graphgen,200,36,34
grayscale,200,16,15
matrixmul,200,15,12
genmatrix,200,8,7
resnet,200,124,124
mobilenet,200,25,25
pagerank,200,107,104
matrixmul,200,21,18
pagerank,200,58,56
linpack,200,17,15
mobilenet,200,21,21
grayscale,200,66,61
genmatrix,200,4,4
genmatrix,200,8,7
fastfouriertransform,200,10,7
pagerank,200,319,309
fetchdata,200,123,123
genmatrix,200,49,43
mobilenet,200,29,29
resnet,200,147,147
resnet,200,124,123
fastfouriertransform,200,9,7
grayscale,200,11,10
linpack,200,13,11
grayscale,200,14,14
pagerank,200,16,15
grayscale,200,15,14
graphgen,200,481,443
fetchdata,200,88,88
mobilenet,200,21,20
grayscale,200,2804,2731
graphgen,200,503,465
grayscale,200,65,60
mobilenet,200,21,21
linpack,200,13,11
graphgen,200,136,127
mobilenet,200,29,28
fastfouriertransform,200,683,681
mobilenet,200,21,20
resnet,200,150,150
graphgen,200,38,36
fetchdata,200,79,78
grayscale,200,11,10
genmatrix,200,6,5
pagerank,200,59,56
resnet,200,139,138
resnet,200,123,123
pagerank,200,129,127
mobilenet,200,24,24
matrixmul,200,516,513
resnet,200,147,147
grayscale,200,2782,2708
graphgen,200,488,450
fastfouriertransform,200,13,10
genmatrix,200,12,11
fastfouriertransform,200,13,13
genmatrix,200,4,3
pagerank,200,24,23
fetchdata,200,134,134
matrixmul,200,520,517
resnet,200,174,174
grayscale,200,15,14
genmatrix,200,13,11
mobilenet,200,28,27
genmatrix,200,8,7
grayscale,200,2825,2752
resnet,200,151,151
genmatrix,200,8,7
fastfouriertransform,200,10,8
genmatrix,200,49,43
fetchdata,200,79,79
fetchdata,200,83,83
graphgen,200,25,23
resnet,200,139,139
mobilenet,200,24,24
grayscale,200,2805,2732
mobilenet,200,21,21
matrixmul,200,517,514
pagerank,200,317,306
grayscale,200,2769,2695
mobilenet,200,27,26
fastfouriertransform,200,14,11
graphgen,200,106,97
linpack,200,14,12
grayscale,200,10,9
fastfouriertransform,200,9,7
resnet,200,174,174
graphgen,200,507,469
graphgen,200,24,22
mobilenet,200,29,29
grayscale,200,2805,2731
mobilenet,200,26,26
fetchdata,200,133,133
matrixmul,200,21,18
mobilenet,200,25,25
mobilenet,200,20,20
matrixmul,200,545,514
linpack,200,13,11
fastfouriertransform,200,9,7
mobilenet,200,27,27
linpack,200,1036,1034
matrixmul,200,21,18
graphgen,200,155,147
fastfouriertransform,200,689,687
grayscale,200,65,60
fastfouriertransform,200,605,603
pagerank,200,16,15
pagerank,200,58,55
matrixmul,200,15,12
genmatrix,200,50,43
linpack,200,13,11
mobilenet,200,29,28
mobilenet,200,25,25
genmatrix,200,8,7
pagerank,200,23,23
grayscale,200,66,61
mobilenet,200,24,24
graphgen,200,485,446
resnet,200,130,129
fetchdata,200,80,80
pagerank,200,65,65
pagerank,200,87,85
fastfouriertransform,200,10,8
fastfouriertransform,200,608,606
fastfouriertransform,200,9,7
fetchdata,200,125,125
mobilenet,200,29,28
grayscale,200,1826,1811
grayscale,200,2833,2735
genmatrix,200,9,7
pagerank,200,23,22
matrixmul,200,21,18
resnet,200,138,138
fetchdata,200,98,98
grayscale,200,65,60
linpack,200,13,11
grayscale,200,10,9
resnet,200,148,148
mobilenet,200,31,31
mobilenet,200,21,20
mobilenet,200,21,20
grayscale,200,5520,2740
grayscale,200,4592,4498
linpack,200,13,11
pagerank,200,58,55
mobilenet,200,26,26
genmatrix,200,49,43
genmatrix,200,48,42
matrixmul,200,21,18
matrixmul,200,21,18
linpack,200,13,11
mobilenet,200,24,24
matrixmul,200,518,515
fetchdata,200,79,78
graphgen,200,25,23
pagerank,200,321,311
linpack,200,14,11
mobilenet,200,27,26
pagerank,200,86,83
graphgen,200,523,485
fetchdata,200,133,133
fetchdata,200,79,79
mobilenet,200,24,24
linpack,200,48,46
matrixmul,200,15,12
fastfouriertransform,200,639,637
pagerank,200,133,130
linpack,200,13,11
mobilenet,200,29,28
graphgen,200,513,475
fastfouriertransform,200,9,7
grayscale,200,10,10
fastfouriertransform,200,682,680
fastfouriertransform,200,9,7
fastfouriertransform,200,644,642
fetchdata,200,78,78
grayscale,200,16,15
graphgen,200,138,129
graphgen,200,103,95
matrixmul,200,14,11
linpack,200,1037,1035
genmatrix,200,49,43
matrixmul,200,15,12
fetchdata,200,89,89
fetchdata,200,89,89
resnet,200,159,159
resnet,200,124,124
genmatrix,200,10,8
resnet,200,142,141
genmatrix,200,8,7
grayscale,200,66,61
graphgen,200,104,96
grayscale,200,2816,2741
pagerank,200,17,16
fastfouriertransform,200,650,648
linpack,200,13,11
grayscale,200,3554,3480
matrixmul,200,15,12
grayscale,200,2774,2698
grayscale,200,779,772
grayscale,200,10,9
matrixmul,200,517,514
fastfouriertransform,200,13,11
matrixmul,200,22,18
linpack,200,14,11
matrixmul,200,518,515
grayscale,200,1764,1759
grayscale,200,2803,2727
graphgen,200,519,481
graphgen,200,483,445
mobilenet,200,28,28
genmatrix,200,50,44
linpack,200,13,11
genmatrix,200,34,28
fetchdata,200,132,132
fastfouriertransform,200,9,7
grayscale,200,2772,2697
graphgen,200,127,119
mobilenet,200,24,24
resnet,200,122,121
fetchdata,200,81,81
grayscale,200,66,61
matrixmul,200,21,18
genmatrix,200,4,4
pagerank,200,79,77
pagerank,200,357,347
grayscale,200,14,13
grayscale,200,93,88
linpack,200,13,11
mobilenet,200,29,28
grayscale,200,2770,2696
fetchdata,200,133,133
matrixmul,200,22,19
linpack,200,14,12
matrixmul,200,14,11
fastfouriertransform,200,612,610
linpack,200,13,11
grayscale,200,2793,2720
matrixmul,200,21,18
linpack,200,14,12
grayscale,200,2772,2699
genmatrix,200,8,7
graphgen,200,513,474
pagerank,200,84,82
resnet,200,136,136
fastfouriertransform,200,9,7
mobilenet,200,21,20
matrixmul,200,113,12
fetchdata,200,124,123
grayscale,200,2810,2736
graphgen,200,145,137
mobilenet,200,21,21
fastfouriertransform,200,10,8
pagerank,200,23,23
matrixmul,200,519,516
linpack,200,13,11
pagerank,200,131,128
resnet,200,125,125
fetchdata,200,80,80
fastfouriertransform,200,679,677
resnet,200,149,149
grayscale,200,11,10
linpack,200,13,11
mobilenet,200,25,25
genmatrix,200,111,12
fastfouriertransform,200,13,11
linpack,200,13,10
linpack,200,13,11
matrixmul,200,545,542
genmatrix,200,4,4
mobilenet,200,21,21
genmatrix,200,37,31
resnet,200,123,123
graphgen,200,120,112
genmatrix,200,5,4
resnet,200,122,121
fastfouriertransform,200,13,11
genmatrix,200,43,37
genmatrix,200,4,4
linpack,200,13,11
resnet,200,153,152
grayscale,200,10,9
fetchdata,200,125,125
grayscale,200,10,9
fastfouriertransform,200,9,7
graphgen,200,26,24
graphgen,200,105,96
genmatrix,200,35,29
linpack,200,14,12
fetchdata,200,90,89
graphgen,200,37,35
matrixmul,200,15,12
fastfouriertransform,200,9,7
fastfouriertransform,200,608,606
mobilenet,200,30,29
pagerank,200,328,317
fastfouriertransform,200,651,649
pagerank,200,22,22
resnet,200,144,144
pagerank,200,81,79
mobilenet,200,25,24
graphgen,200,34,32
mobilenet,200,21,21
matrixmul,200,15,12
fastfouriertransform,200,638,636
mobilenet,200,32,32
fastfouriertransform,200,606,604
resnet,200,156,156
fastfouriertransform,200,9,7
resnet,200,124,123
grayscale,200,2823,2750
linpack,200,1039,1037
resnet,200,123,122
grayscale,200,66,61
pagerank,200,326,316
matrixmul,200,21,18
fastfouriertransform,200,13,11
pagerank,200,384,374
genmatrix,200,9,7
mobilenet,200,21,20
matrixmul,200,520,517
mobilenet,200,21,20
matrixmul,200,16,13
fastfouriertransform,200,675,672
matrixmul,200,556,552
grayscale,200,66,61
fetchdata,200,134,134
mobilenet,200,28,27
fastfouriertransform,200,9,7
fastfouriertransform,200,639,637
fastfouriertransform,200,9,7
linpack,200,14,11
pagerank,200,23,22
resnet,200,146,146
pagerank,200,107,105
fastfouriertransform,200,644,642
linpack,200,13,11
matrixmul,200,15,12
graphgen,200,128,119
resnet,200,151,150
linpack,200,13,11
resnet,200,121,121
genmatrix,200,6,5
mobilenet,200,27,26
fastfouriertransform,200,670,668
pagerank,200,80,78
fastfouriertransform,200,604,602
resnet,200,122,121
matrixmul,200,15,12
resnet,200,123,123
pagerank,200,65,64
resnet,200,125,124
grayscale,200,15,14
fetchdata,200,88,88
grayscale,200,66,61
linpack,200,13,11
fetchdata,200,88,88
resnet,200,123,123
matrixmul,200,15,11
fetchdata,200,134,134
graphgen,200,27,24
pagerank,200,17,14
matrixmul,200,557,553
mobilenet,200,22,21
fetchdata,200,89,89
linpack,200,13,11
resnet,200,124,123
grayscale,200,2813,2739
graphgen,200,26,24
fetchdata,200,80,80
graphgen,200,486,448
fastfouriertransform,200,633,631
mobilenet,200,32,32
matrixmul,200,552,549
resnet,200,199,199
matrixmul,200,519,516
genmatrix,200,49,43
fastfouriertransform,200,640,638
matrixmul,200,16,13
resnet,200,152,152
pagerank,200,355,344
grayscale,200,2817,2744
grayscale,200,10,9
genmatrix,200,8,7
resnet,200,124,124
graphgen,200,25,23
grayscale,200,14,14
fetchdata,200,80,79
grayscale,200,92,87
fastfouriertransform,200,13,11
mobilenet,200,32,32
matrixmul,200,21,18
fetchdata,200,133,133
pagerank,200,391,380
genmatrix,200,51,45
pagerank,200,376,366
linpack,200,13,11
matrixmul,200,21,18
graphgen,200,106,98
graphgen,200,142,134
fastfouriertransform,200,662,660
resnet,200,148,147
resnet,200,165,164
matrixmul,200,521,518
fastfouriertransform,200,605,603
graphgen,200,143,134
fetchdata,200,85,85
mobilenet,200,27,27
linpack,200,15,13
matrixmul,200,21,18
genmatrix,200,10,8
resnet,200,153,152
pagerank,200,22,22
matrixmul,200,522,519
linpack,200,13,11
linpack,200,13,11
fastfouriertransform,200,17,15
fastfouriertransform,200,13,11
pagerank,200,23,23
linpack,200,1040,1038
fetchdata,200,90,90
fastfouriertransform,200,9,7
grayscale,200,10,10
fetchdata,200,124,124
fetchdata,200,80,79
fastfouriertransform,200,13,11
mobilenet,200,62,62
resnet,200,152,151
mobilenet,200,22,21
resnet,200,125,125
resnet,200,125,125
linpack,200,13,11
mobilenet,200,29,28
mobilenet,200,27,26
grayscale,200,94,89
resnet,200,145,144
linpack,200,15,13
fastfouriertransform,200,669,667
mobilenet,200,20,20
graphgen,200,39,37
fastfouriertransform,200,9,7
linpack,200,1040,1038
fastfouriertransform,200,9,7
resnet,200,150,150
matrixmul,200,565,561
resnet,200,125,124
graphgen,200,143,135
resnet,200,125,124
genmatrix,200,9,8
resnet,200,125,125
pagerank,200,16,15
graphgen,200,106,97
fastfouriertransform,200,649,647
fastfouriertransform,200,10,7
fetchdata,200,134,133
genmatrix,200,35,29
mobilenet,200,24,24
pagerank,200,358,347
resnet,200,127,126
linpack,200,1037,1035
grayscale,200,66,61
matrixmul,200,522,518
resnet,200,125,124
linpack,200,14,11
linpack,200,13,11
pagerank,200,386,376
matrixmul,200,535,532
resnet,200,152,151
linpack,200,13,11
grayscale,200,2808,2734
resnet,200,125,125
fetchdata,200,79,79
matrixmul,200,20,17
resnet,200,151,151
grayscale,200,2774,2701
fastfouriertransform,200,611,609
pagerank,200,79,77
linpack,200,219,217
pagerank,200,15,14
matrixmul,200,15,12
linpack,200,13,10
linpack,200,1045,1043
fetchdata,200,88,87
genmatrix,200,5,4
linpack,200,1045,1042
fetchdata,200,132,132
fastfouriertransform,200,606,604
fastfouriertransform,200,10,7
pagerank,200,325,314
pagerank,200,15,15
linpack,200,14,12
fetchdata,200,88,88
matrixmul,200,21,18
fetchdata,200,87,87
resnet,200,150,149
mobilenet,200,26,26
matrixmul,200,519,516
genmatrix,200,12,11
resnet,200,124,123
mobilenet,200,29,28
pagerank,200,16,15
grayscale,200,87,82
genmatrix,200,8,7
resnet,200,149,148
mobilenet,200,26,25
matrixmul,200,15,12
pagerank,200,108,105
fetchdata,200,79,78
resnet,200,124,123
grayscale,200,15,14
mobilenet,200,27,26
pagerank,200,23,22
pagerank,200,23,22
grayscale,200,10,9
fetchdata,200,79,79
mobilenet,200,21,20
fetchdata,200,123,123
fastfouriertransform,200,13,11
mobilenet,200,29,29
graphgen,200,2030,2022
pagerank,200,78,75
graphgen,200,1130,1122
genmatrix,200,9,8
fastfouriertransform,200,617,615
genmatrix,200,5,4
linpack,200,13,11
linpack,200,13,11
fetchdata,200,79,78
grayscale,200,98,93
fetchdata,200,88,88
mobilenet,200,29,29
resnet,200,142,141
fastfouriertransform,200,9,7
grayscale,200,10,9
fetchdata,200,80,80
resnet,200,124,124
matrixmul,200,15,12
grayscale,200,15,14
grayscale,200,15,14
graphgen,200,38,36
matrixmul,200,21,18
resnet,200,141,141
fastfouriertransform,200,9,7
mobilenet,200,28,28
pagerank,200,16,15
pagerank,200,333,323
genmatrix,200,52,46
fetchdata,200,124,124
matrixmul,200,21,18
resnet,200,150,150
genmatrix,200,35,29
matrixmul,200,15,12
fastfouriertransform,200,9,7
linpack,200,14,11
pagerank,200,401,391
pagerank,200,328,318
pagerank,200,15,15
matrixmul,200,552,549
graphgen,200,541,503
matrixmul,200,531,528
graphgen,200,103,95
fastfouriertransform,200,612,610
grayscale,200,2773,2700
genmatrix,200,47,42
fastfouriertransform,200,14,12
linpack,200,13,11
graphgen,200,137,129
pagerank,200,80,78
fetchdata,200,90,90
mobilenet,200,20,20
mobilenet,200,20,20
fetchdata,200,79,79
fastfouriertransform,200,13,11
mobilenet,200,26,26
grayscale,200,15,15
graphgen,200,37,35
graphgen,200,136,127
matrixmul,200,15,12
mobilenet,200,25,24
grayscale,200,2770,2698
graphgen,200,483,446
genmatrix,200,12,10
linpack,200,13,11
linpack,200,1043,1041
fastfouriertransform,200,648,646
matrixmul,200,554,551
mobilenet,200,21,21
linpack,200,13,11
mobilenet,200,22,22
mobilenet,200,21,20
pagerank,200,107,104
fastfouriertransform,200,13,10
matrixmul,200,21,18
matrixmul,200,21,18
fetchdata,200,135,135
grayscale,200,70,66
fastfouriertransform,200,10,8
linpack,200,13,11
grayscale,200,65,60
mobilenet,200,28,28
matrixmul,200,15,12
mobilenet,200,37,37
mobilenet,200,27,27
linpack,200,13,11
matrixmul,200,550,547
graphgen,200,25,23
matrixmul,200,518,515
pagerank,200,355,344
fetchdata,200,125,125
fetchdata,200,80,80
mobilenet,200,28,28
fetchdata,200,82,82
genmatrix,200,35,29
matrixmul,200,22,19
linpack,200,1047,1044
graphgen,200,485,447
fetchdata,200,84,84
mobilenet,200,21,20
fastfouriertransform,200,9,7
linpack,200,1040,1038
fetchdata,200,79,79
linpack,200,1050,1048
linpack,200,64,62
grayscale,200,11,10
fastfouriertransform,200,9,7
fetchdata,200,132,132
pagerank,200,89,87
pagerank,200,15,15
grayscale,200,91,86
mobilenet,200,26,26
mobilenet,200,30,29
resnet,200,1819,1819
fastfouriertransform,200,13,11
fastfouriertransform,200,611,609
fetchdata,200,87,87
mobilenet,200,46,46
linpack,200,13,11
linpack,200,13,11
fastfouriertransform,200,12,10
pagerank,200,108,105
grayscale,200,15,14
fetchdata,200,132,132
pagerank,200,23,22
fastfouriertransform,200,11,9
fetchdata,200,88,88
mobilenet,200,21,21
linpack,200,13,11
resnet,200,126,126
mobilenet,200,27,26
fetchdata,200,80,80
fastfouriertransform,200,15,11
grayscale,200,73,68
mobilenet,200,21,20
matrixmul,200,520,517
resnet,200,144,143
fetchdata,200,80,80
fastfouriertransform,200,609,607
mobilenet,200,26,26
pagerank,200,59,57
fetchdata,200,125,125
resnet,200,150,150
fetchdata,200,87,87
pagerank,200,22,21
fastfouriertransform,200,9,7
fetchdata,200,78,78
fetchdata,200,80,79
linpack,200,13,10
genmatrix,200,12,11
pagerank,200,86,83
fastfouriertransform,200,649,647
genmatrix,200,36,30
pagerank,200,101,99
fetchdata,200,132,132
pagerank,200,22,21
pagerank,200,350,339
grayscale,200,2805,2733
fetchdata,200,79,79
resnet,200,127,127
fetchdata,200,87,87
resnet,200,148,148
resnet,200,125,125
resnet,200,126,126
graphgen,200,1722,1720
resnet,200,134,133
graphgen,200,1239,1201
genmatrix,200,49,43
matrixmul,200,21,18
graphgen,200,138,130
pagerank,200,88,86
grayscale,200,67,62
genmatrix,200,36,30
matrixmul,200,517,514
mobilenet,200,41,41
graphgen,200,36,34
mobilenet,200,27,27
mobilenet,200,27,27
genmatrix,200,12,11
resnet,200,129,129
linpack,200,13,11
linpack,200,13,11
linpack,200,1041,1039
fetchdata,200,123,123
pagerank,200,330,319
fastfouriertransform,200,626,623
genmatrix,200,12,11
fastfouriertransform,200,649,647
mobilenet,200,29,29
fetchdata,200,132,131
graphgen,200,138,130
matrixmul,200,15,12
matrixmul,200,15,12
fetchdata,200,79,78
resnet,200,157,156
linpack,200,13,11
