function,status,duration_ms,upstream_ms
grayscale,200,2946,2945
graphgen,200,2004,2001
grayscale,200,10,10
graphgen,200,423,421
genmatrix,200,3049,3048
genmatrix,200,1057,1056
genmatrix,200,1890,1883
genmatrix,200,92,91
pagerank,200,3199,3198
pagerank,200,2013,2012
resnet,200,3017,3016
pagerank,200,1899,1896
fastfouriertransform,200,4133,4131
resnet,200,2341,2341
fastfouriertransform,200,541,539
fastfouriertransform,200,3546,3544
fastfouriertransform,200,2752,2750
resnet,200,1663,1663
resnet,200,195,195
graphgen,200,518,479
fastfouriertransform,200,609,606
fastfouriertransform,200,415,413
resnet,200,151,151
resnet,200,132,132
fastfouriertransform,200,10,8
genmatrix,200,11,10
fastfouriertransform,200,9,7
fastfouriertransform,200,613,610
mobilenet,200,2498,2497
genmatrix,200,44,38
linpack,200,3634,3631
linpack,200,841,839
fastfouriertransform,200,41,39
matrixmul,200,4854,4851
matrixmul,200,4066,4063
genmatrix,200,5,5
grayscale,200,1434,1426
grayscale,200,2836,2726
mobilenet,200,29,28
linpack,200,1284,1282
pagerank,200,22,21
linpack,200,10,8
genmatrix,200,5,5
genmatrix,200,48,42
linpack,200,655,653
linpack,200,62,60
mobilenet,200,27,26
mobilenet,200,27,27
genmatrix,200,34,28
grayscale,200,1368,1365
grayscale,200,385,381
grayscale,200,3400,3325
fetchdata,200,3398,3398
pagerank,200,368,342
resnet,200,150,150
resnet,200,136,135
linpack,200,13,10
fetchdata,200,90,89
mobilenet,200,26,25
graphgen,200,37,34
fetchdata,200,91,90
fetchdata,200,90,90
matrixmul,200,15,12
matrixmul,200,15,12
mobilenet,200,27,27
grayscale,200,5156,5079
fastfouriertransform,200,640,638
fastfouriertransform,200,10,8
pagerank,200,58,56
graphgen,200,535,496
linpack,200,13,10
fetchdata,200,88,88
graphgen,200,480,442
fetchdata,200,88,88
fastfouriertransform,200,11,9
genmatrix,200,6,5
grayscale,200,5304,5230
grayscale,200,1736,1731
linpack,200,12,10
pagerank,200,398,388
pagerank,200,338,327
graphgen,200,486,446
graphgen,200,86,75
genmatrix,200,5,4
linpack,200,682,680
genmatrix,200,49,43
fastfouriertransform,200,12,7
mobilenet,200,26,25
linpack,200,925,923
pagerank,200,15,15
fetchdata,200,87,87
mobilenet,200,21,20
fetchdata,200,88,88
grayscale,200,5509,5436
matrixmul,200,20,17
pagerank,200,345,335
genmatrix,200,49,43
pagerank,200,381,371
pagerank,200,56,54
fastfouriertransform,200,13,11
genmatrix,200,5,4
linpack,200,661,659
linpack,200,9,7
resnet,200,125,124
genmatrix,200,49,43
genmatrix,200,4,3
grayscale,200,6631,6554
fastfouriertransform,200,40,11
grayscale,200,1863,1858
graphgen,200,36,34
fastfouriertransform,200,12,10
linpack,200,13,10
pagerank,200,21,20
mobilenet,200,26,26
pagerank,200,22,21
resnet,200,126,126
mobilenet,200,26,26
mobilenet,200,30,29
genmatrix,200,4,3
fastfouriertransform,200,12,10
grayscale,200,8825,8748
mobilenet,200,29,29
matrixmul,200,519,516
fastfouriertransform,200,12,10
matrixmul,200,838,822
matrixmul,200,50,47
graphgen,200,507,469
linpack,200,13,10
genmatrix,200,4,4
genmatrix,200,34,28
mobilenet,200,21,20
matrixmul,200,20,17
genmatrix,200,5,4
mobilenet,200,21,20
fastfouriertransform,200,10,7
grayscale,200,4556,4480
grayscale,200,786,781
pagerank,200,22,21
fastfouriertransform,200,9,7
fetchdata,200,89,89
mobilenet,200,21,20
genmatrix,200,11,10
graphgen,200,25,23
matrixmul,200,20,17
mobilenet,200,21,20
matrixmul,200,562,556
matrixmul,200,170,167
mobilenet,200,21,21
pagerank,200,333,323
genmatrix,200,11,10
genmatrix,200,5,4
resnet,200,126,125
pagerank,200,14,14
linpack,200,9,7
mobilenet,200,30,30
pagerank,200,14,13
graphgen,200,511,473
fastfouriertransform,200,12,10
fastfouriertransform,200,13,11
graphgen,200,485,448
fastfouriertransform,200,12,10
genmatrix,200,11,10
fastfouriertransform,200,12,10
genmatrix,200,49,43
resnet,200,125,125
resnet,200,145,145
matrixmul,200,15,12
resnet,200,123,122
pagerank,200,138,136
grayscale,200,15,14
linpack,200,9,7
grayscale,200,87,81
fetchdata,200,89,88
grayscale,200,65,60
linpack,200,13,11
graphgen,200,102,94
resnet,200,127,126
fastfouriertransform,200,38,36
pagerank,200,15,14
pagerank,200,57,55
fetchdata,200,89,89
fastfouriertransform,200,9,7
fetchdata,200,88,88
linpack,200,688,686
pagerank,200,334,323
pagerank,200,15,14
pagerank,200,60,57
fastfouriertransform,200,9,7
fastfouriertransform,200,9,7
pagerank,200,15,14
resnet,200,147,147
linpack,200,10,8
mobilenet,200,21,21
graphgen,200,36,33
grayscale,200,1970,1968
grayscale,200,2811,2738
grayscale,200,1433,1426
