Architecture,cold starts,total requests,echec,Delai
Local,13,2000,0,1s
Local,13,2000,2,1s
Local,13,2000,2,1s
Local,13,2000,0,1s
Local,12,2000,0,1s
Local,12,2000,0,1s
Local,13,2000,0,1s
Local,12,2000,0,1s
Local,13,2000,0,1s
Local,12,2000,1,1s
Local,65,2000,0,10ms
Local,75,2000,2,10ms
Local,76,2000,1,10ms
Local,63,2000,2,10ms
Local,63,2000,0,10ms
Local,60,2000,1,10ms
Local,73,2000,3,10ms
Local,67,2000,2,10ms
Local,72,2000,54,10ms
Local,78,2000,0,10ms
Local,37,2001,0,50ms
Local,31,2000,2,50ms
Local,21,2000,2,50ms
Local,22,2000,1,50ms
Local,19,2000,1,50ms
Local,22,2000,2,50ms
Local,20,2000,1,50ms
Local,21,2000,3,50ms
Local,21,2000,3,50ms
Local,19,2000,2,50ms
Local,14,2000,0,100ms
Local,15,2000,0,100ms
Local,14,2001,0,100ms
Local,14,2001,0,100ms
Local,14,2001,0,100ms
Local,14,2000,0,100ms
Local,14,2001,0,100ms
Local,14,2001,0,100ms
Local,14,2001,0,100ms
Local,14,2000,1,100ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local,12,2001,0,200ms
Local,11,2001,0,200ms
Local,11,2001,0,200ms
Local_apiserver,13,2000,0,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,13,2000,1,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,12,2000,0,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,13,2000,0,1s
Local_apiserver,67,2000,1,10ms
Local_apiserver,70,2000,1,10ms
Local_apiserver,65,2000,0,10ms
Local_apiserver,67,2000,2,10ms
Local_apiserver,73,2000,1,10ms
Local_apiserver,67,2000,1,10ms
Local_apiserver,68,2000,3,10ms
Local_apiserver,61,2000,2,10ms
Local_apiserver,70,2000,1,10ms
Local_apiserver,68,2000,0,10ms
Local_apiserver,30,2000,1,50ms
Local_apiserver,18,2000,0,50ms
Local_apiserver,17,2000,0,50ms
Local_apiserver,23,2000,0,50ms
Local_apiserver,16,2000,2,50ms
Local_apiserver,19,2000,1,50ms
Local_apiserver,17,2000,0,50ms
Local_apiserver,21,2000,0,50ms
Local_apiserver,20,2000,3,50ms
Local_apiserver,14,2000,1,50ms
Local_apiserver,16,2000,1,100ms
Local_apiserver,16,2000,0,100ms
Local_apiserver,13,2001,0,100ms
Local_apiserver,15,2001,0,100ms
Local_apiserver,15,2001,0,100ms
Local_apiserver,15,2001,0,100ms
Local_apiserver,13,2001,0,100ms
Local_apiserver,15,2001,0,100ms
Local_apiserver,14,2001,0,100ms
Local_apiserver,14,2001,0,100ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,12,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_apiserver,11,2001,0,200ms
Local_1core,13,2000,0,1s
Local_1core,13,2000,0,1s
Local_1core,13,2000,0,1s
Local_1core,13,2000,0,1s
Local_1core,13,2000,1,1s
Local_1core,13,2000,0,1s
Local_1core,13,2000,0,1s
Local_1core,13,2000,0,1s
Local_1core,13,2000,0,1s
Local_1core,12,2000,0,1s
Local_1core,74,2000,2,10ms
Local_1core,74,2000,1,10ms
Local_1core,65,2000,4,10ms
Local_1core,78,2000,0,10ms
Local_1core,70,2000,2,10ms
Local_1core,73,2000,0,10ms
Local_1core,77,2000,4,10ms
Local_1core,75,2000,0,10ms
Local_1core,71,2000,4,10ms
Local_1core,72,2000,0,10ms
Local_1core,35,2001,0,50ms
Local_1core,19,2000,0,50ms
Local_1core,20,2000,1,50ms
Local_1core,26,2000,1,50ms
Local_1core,23,2000,0,50ms
Local_1core,22,2000,1,50ms
Local_1core,23,2000,1,50ms
Local_1core,23,2000,1,50ms
Local_1core,19,2000,0,50ms
Local_1core,19,2000,0,50ms
Local_1core,17,2001,0,100ms
Local_1core,14,2001,0,100ms
Local_1core,13,2001,0,100ms
Local_1core,14,2001,0,100ms
Local_1core,13,2001,0,100ms
Local_1core,13,2001,0,100ms
Local_1core,15,2001,0,100ms
Local_1core,13,2001,0,100ms
Local_1core,13,2001,0,100ms
Local_1core,14,2001,0,100ms
Local_1core,12,2001,0,200ms
Local_1core,11,2001,0,200ms
Local_1core,11,2001,0,200ms
Local_1core,12,2001,0,200ms
Local_1core,12,2001,0,200ms
Local_1core,11,2001,0,200ms
Local_1core,12,2001,0,200ms
Local_1core,12,2001,0,200ms
Local_1core,11,2001,0,200ms
Local_1core,11,2001,0,200ms
