function,status,duration_ms,upstream_ms
fastfouriertransform,200,2720,2718
fastfouriertransform,200,1925,1922
fastfouriertransform,200,1134,1131
grayscale,200,3151,3150
fetchdata,200,3421,3421
grayscale,200,438,415
grayscale,200,1796,1790
fetchdata,200,1708,1707
graphgen,200,3051,3042
graphgen,200,768,766
grayscale,200,2368,2362
fetchdata,200,1188,1188
graphgen,200,2364,2354
fetchdata,200,474,473
fetchdata,200,1261,1260
graphgen,200,1705,1696
graphgen,200,2922,2920
fetchdata,200,946,945
graphgen,200,1225,1217
fetchdata,200,817,816
fetchdata,200,3344,3344
fetchdata,200,3838,3838
linpack,200,4127,4124
linpack,200,538,535
fetchdata,200,435,435
linpack,200,45,42
linpack,200,2651,2648
linpack,200,1658,1656
resnet,200,3971,3970
resnet,200,3629,3628
mobilenet,200,3222,3221
mobilenet,200,2882,2881
resnet,200,3764,3764
linpack,200,1638,1635
linpack,200,247,243
resnet,200,835,834
linpack,200,50,47
matrixmul,200,3377,3373
matrixmul,200,994,990
linpack,200,11,8
resnet,200,207,206
graphgen,200,107,98
graphgen,200,108,96
matrixmul,200,1321,1318
matrixmul,200,2533,2529
fastfouriertransform,200,12,10
pagerank,200,1193,1191
grayscale,200,2396,2393
pagerank,200,1393,1390
grayscale,200,1914,1909
grayscale,200,5627,5551
mobilenet,200,40,20
pagerank,200,2349,2346
pagerank,200,467,466
matrixmul,200,2972,2968
matrixmul,200,684,675
matrixmul,200,1595,1591
fetchdata,200,77,77
mobilenet,200,27,26
pagerank,200,4472,4460
linpack,200,11,8
genmatrix,200,2975,2974
genmatrix,200,576,575
genmatrix,200,976,976
genmatrix,200,677,677
fastfouriertransform,200,10,7
fetchdata,200,79,78
matrixmul,200,15,12
pagerank,200,485,473
resnet,200,145,144
genmatrix,200,4,4
fastfouriertransform,200,13,10
genmatrix,200,5,5
fetchdata,200,77,77
linpack,200,685,682
linpack,200,392,389
linpack,200,100,96
resnet,200,191,190
matrixmul,200,15,11
fastfouriertransform,200,11,8
resnet,200,164,163
fastfouriertransform,200,15,12
grayscale,200,34,32
matrixmul,200,559,553
fetchdata,200,80,79
pagerank,200,24,23
grayscale,200,1110,1107
grayscale,200,5649,5575
genmatrix,200,4,3
resnet,200,283,281
genmatrix,200,3,2
matrixmul,200,888,884
mobilenet,200,30,29
resnet,200,196,195
pagerank,200,429,417
resnet,200,144,143
resnet,200,172,171
fetchdata,200,78,78
matrixmul,200,534,530
matrixmul,200,166,142
linpack,200,675,672
fetchdata,200,82,82
fastfouriertransform,200,10,7
graphgen,200,511,472
fetchdata,200,77,77
matrixmul,200,14,10
linpack,200,11,8
pagerank,200,19,18
resnet,200,271,271
pagerank,200,19,18
resnet,200,249,248
pagerank,200,125,122
fetchdata,200,89,89
graphgen,200,490,451
mobilenet,200,68,68
mobilenet,200,43,43
fastfouriertransform,200,10,8
fetchdata,200,77,77
mobilenet,200,21,21
matrixmul,200,19,16
pagerank,200,429,417
pagerank,200,19,18
mobilenet,200,29,29
grayscale,200,3070,3066
grayscale,200,1485,1480
grayscale,200,593,591
grayscale,200,4657,4516
fetchdata,200,99,98
resnet,200,170,169
fetchdata,200,78,77
genmatrix,200,3,2
pagerank,200,449,382
linpack,200,702,699
pagerank,200,77,73
fastfouriertransform,200,16,13
mobilenet,200,85,84
mobilenet,200,66,66
mobilenet,200,25,24
pagerank,200,140,136
grayscale,502,1710,1698
grayscale,200,3920,3913
grayscale,502,1321,1320
grayscale,200,9998,7139
grayscale,200,9500,9384
pagerank,200,25,18
resnet,200,136,136
matrixmul,200,15,11
resnet,200,136,136
fastfouriertransform,200,10,8
graphgen,200,533,448
fastfouriertransform,200,14,10
resnet,200,193,192
fetchdata,200,81,81
fetchdata,200,78,78
pagerank,200,442,430
fetchdata,200,77,77
fetchdata,200,81,81
graphgen,200,25,24
graphgen,200,24,23
mobilenet,200,23,23
linpack,200,11,8
matrixmul,200,17,12
resnet,200,298,298
graphgen,200,502,465
genmatrix,200,4,3
matrixmul,200,14,11
grayscale,200,6830,6754
grayscale,200,2640,2633
grayscale,200,1508,1502
linpack,200,675,672
fetchdata,200,82,82
resnet,200,125,125
genmatrix,200,2,2
resnet,200,170,170
grayscale,200,3143,3135
graphgen,200,546,501
grayscale,200,4072,4020
grayscale,200,8268,8095
fetchdata,200,81,80
fastfouriertransform,200,695,662
genmatrix,200,4,4
linpack,200,1151,1149
linpack,200,13,10
resnet,200,219,218
matrixmul,200,550,546
resnet,200,195,194
fetchdata,200,77,77
linpack,200,12,8
resnet,200,234,234
fetchdata,200,82,82
resnet,200,213,212
graphgen,200,27,25
matrixmul,200,19,15
pagerank,200,104,100
fastfouriertransform,200,14,12
mobilenet,200,35,35
linpack,200,682,678
linpack,200,389,386
fastfouriertransform,200,10,8
matrixmul,200,15,11
linpack,200,10,7
mobilenet,200,23,22
grayscale,200,4115,4035
fastfouriertransform,200,30,7
fetchdata,200,80,80
genmatrix,200,2,2
pagerank,200,491,479
genmatrix,200,3,2
genmatrix,200,3,3
graphgen,200,514,469
fastfouriertransform,200,718,714
fetchdata,200,77,77
resnet,200,143,142
linpack,200,666,663
genmatrix,200,4,4
genmatrix,200,3,2
mobilenet,200,24,24
genmatrix,200,2,2
fastfouriertransform,200,927,923
graphgen,200,523,480
genmatrix,200,2,2
fetchdata,200,82,82
matrixmul,200,560,536
