function,status,duration_ms,upstream_ms
fetchdata,200,2507,2506
linpack,200,1736,1733
fetchdata,200,78,78
grayscale,200,1648,1647
resnet,200,2468,2467
fetchdata,200,79,78
graphgen,200,2319,2310
fastfouriertransform,200,1812,1810
graphgen,200,25,23
resnet,200,408,407
grayscale,200,2863,2788
resnet,200,374,373
grayscale,200,71,64
graphgen,200,113,105
fastfouriertransform,200,14,10
linpack,200,13,8
grayscale,200,74,68
mobilenet,200,2233,2232
fetchdata,200,90,90
mobilenet,200,83,82
graphgen,200,159,151
fastfouriertransform,200,15,11
matrixmul,200,2279,2276
fetchdata,200,78,78
fetchdata,200,83,82
pagerank,200,2417,2406
linpack,200,12,9
graphgen,200,123,114
graphgen,200,26,24
fetchdata,200,84,84
grayscale,200,77,72
fetchdata,200,78,78
fetchdata,200,86,86
linpack,200,706,703
matrixmul,200,16,12
matrixmul,200,531,527
linpack,200,12,9
fetchdata,200,125,125
grayscale,200,2876,2802
grayscale,200,39,10
genmatrix,200,1922,1922
pagerank,200,77,73
linpack,200,10,7
resnet,200,292,292
matrixmul,200,16,12
grayscale,200,11,10
matrixmul,200,566,562
linpack,200,11,8
matrixmul,200,16,12
pagerank,200,137,134
grayscale,200,2876,2800
pagerank,200,19,18
linpack,200,10,7
resnet,200,269,268
linpack,200,12,9
grayscale,200,2875,2801
graphgen,200,109,101
graphgen,200,119,111
matrixmul,200,16,11
genmatrix,200,4,4
pagerank,200,16,15
fastfouriertransform,200,16,12
genmatrix,200,3,3
genmatrix,200,4,4
mobilenet,200,59,58
fetchdata,200,77,77
mobilenet,200,71,70
pagerank,200,395,378
linpack,200,17,14
fastfouriertransform,200,18,15
fetchdata,200,126,126
resnet,200,232,231
matrixmul,200,16,12
linpack,200,727,723
genmatrix,200,3,3
fastfouriertransform,200,16,13
linpack,200,10,7
genmatrix,200,6,5
fetchdata,200,82,81
linpack,200,16,12
resnet,200,344,344
grayscale,200,12,11
matrixmul,200,15,11
resnet,200,386,385
fastfouriertransform,200,22,18
matrixmul,200,530,526
fastfouriertransform,200,15,10
matrixmul,200,557,553
grayscale,200,15,13
fetchdata,200,78,78
pagerank,200,16,15
grayscale,200,2860,2782
resnet,200,367,367
genmatrix,200,5,5
pagerank,200,362,350
genmatrix,200,9,8
resnet,200,358,357
mobilenet,200,85,85
resnet,200,359,359
linpack,200,714,711
matrixmul,200,530,525
grayscale,200,2910,2835
resnet,200,365,364
fetchdata,200,131,131
grayscale,200,11,10
matrixmul,200,15,11
graphgen,200,520,482
fetchdata,200,82,82
grayscale,200,1844,1823
grayscale,200,2862,2786
fastfouriertransform,200,14,10
fetchdata,200,77,77
matrixmul,200,17,13
resnet,200,383,383
linpack,200,13,10
pagerank,200,16,15
resnet,200,339,338
graphgen,200,526,486
pagerank,200,17,15
pagerank,200,78,73
grayscale,200,10,9
fetchdata,200,84,84
mobilenet,200,82,82
mobilenet,200,93,92
pagerank,200,451,437
fastfouriertransform,200,15,10
fetchdata,200,83,83
mobilenet,200,72,71
matrixmul,200,16,11
grayscale,200,10,9
pagerank,200,21,20
mobilenet,200,59,58
grayscale,200,2853,2778
linpack,200,737,733
grayscale,200,9,9
pagerank,200,363,351
fetchdata,200,127,127
resnet,200,342,341
fetchdata,200,83,83
genmatrix,200,3,3
pagerank,200,73,70
grayscale,200,65,60
fastfouriertransform,200,18,14
mobilenet,200,55,54
mobilenet,200,77,77
pagerank,200,143,139
mobilenet,200,54,54
resnet,200,338,337
pagerank,200,19,18
grayscale,200,73,67
grayscale,200,10,9
graphgen,200,526,487
resnet,200,286,286
matrixmul,200,16,12
fastfouriertransform,200,14,11
pagerank,200,333,322
resnet,200,406,405
fastfouriertransform,200,15,12
fetchdata,200,86,86
fetchdata,200,81,81
fetchdata,200,81,81
grayscale,200,66,61
fetchdata,200,83,82
graphgen,200,29,27
graphgen,200,25,23
grayscale,200,2880,2803
mobilenet,200,79,78
graphgen,200,527,489
resnet,200,276,275
linpack,200,14,10
matrixmul,200,15,12
linpack,200,719,716
genmatrix,200,3,3
linpack,200,711,708
matrixmul,200,17,13
fastfouriertransform,200,1103,1100
graphgen,200,508,470
fetchdata,200,126,126
resnet,200,434,433
resnet,200,380,379
genmatrix,200,5,5
fetchdata,200,82,82
matrixmul,200,534,529
genmatrix,200,3,2
resnet,200,453,452
linpack,200,15,13
resnet,200,417,417
resnet,200,426,426
fetchdata,200,79,79
linpack,200,13,8
fetchdata,200,81,80
resnet,200,411,409
linpack,200,736,733
graphgen,200,30,28
matrixmul,200,14,11
linpack,200,19,16
pagerank,200,68,64
fastfouriertransform,200,17,13
mobilenet,200,30,29
fastfouriertransform,200,15,10
matrixmul,200,18,13
linpack,200,11,8
pagerank,200,431,418
mobilenet,200,27,26
fastfouriertransform,200,16,11
fetchdata,200,82,82
genmatrix,200,3,3
fastfouriertransform,200,1027,1022
graphgen,200,519,481
genmatrix,200,3,3
genmatrix,200,4,3
linpack,200,747,744
fastfouriertransform,200,1045,1041
fetchdata,200,127,127
resnet,200,449,449
graphgen,200,515,477
genmatrix,200,4,4
grayscale,200,5621,2773
grayscale,200,4683,4552
genmatrix,200,3,2
mobilenet,200,31,30
