function,status,duration_ms,upstream_ms
grayscale,200,2553,2552
grayscale,200,621,612
fastfouriertransform,200,2336,2334
fastfouriertransform,200,746,743
linpack,200,3539,3536
linpack,200,551,548
graphgen,200,2756,2747
graphgen,200,1974,1972
fetchdata,200,3796,3795
fetchdata,200,277,277
graphgen,200,1288,1278
fetchdata,200,2559,2558
fetchdata,200,3439,3439
graphgen,200,135,127
resnet,200,2341,2340
fastfouriertransform,200,9,7
resnet,200,3760,3759
resnet,200,2491,2490
fetchdata,200,85,85
fetchdata,200,79,78
linpack,200,16,13
mobilenet,200,2297,2296
mobilenet,200,1520,1519
graphgen,200,125,115
graphgen,200,34,32
fetchdata,200,76,76
grayscale,200,2528,2514
grayscale,200,4328,4218
grayscale,200,73,68
fetchdata,200,89,89
fetchdata,200,79,78
matrixmul,200,3571,3567
linpack,200,1083,1080
fetchdata,200,85,85
linpack,200,294,280
pagerank,200,3249,3238
matrixmul,200,1101,1098
matrixmul,200,1312,1307
pagerank,200,65,62
linpack,200,224,10
resnet,200,139,138
matrixmul,200,16,13
linpack,200,30,16
matrixmul,200,587,584
matrixmul,200,15,12
grayscale,200,2044,2042
grayscale,200,1063,1057
grayscale,200,2866,2791
pagerank,200,135,132
pagerank,200,18,17
linpack,200,231,10
genmatrix,200,2879,2878
linpack,200,15,11
resnet,200,399,399
graphgen,200,116,107
graphgen,200,116,108
matrixmul,200,17,12
genmatrix,200,3,2
pagerank,200,20,19
fastfouriertransform,200,13,11
genmatrix,200,3,2
genmatrix,200,6,6
mobilenet,200,84,83
grayscale,200,3331,3253
fetchdata,200,77,77
mobilenet,200,61,61
linpack,200,14,9
pagerank,200,360,349
fastfouriertransform,200,9,6
fetchdata,200,84,84
matrixmul,200,15,11
resnet,200,273,273
genmatrix,200,2,2
fastfouriertransform,200,9,6
genmatrix,200,2,2
linpack,200,1077,1074
fetchdata,200,78,78
linpack,200,486,483
grayscale,200,5139,5065
linpack,200,14,11
grayscale,200,12,11
resnet,200,313,312
matrixmul,200,18,13
fastfouriertransform,200,14,11
resnet,200,362,361
fastfouriertransform,200,10,7
matrixmul,200,549,546
grayscale,200,10,9
fetchdata,200,84,84
matrixmul,200,690,687
pagerank,200,21,19
resnet,200,144,143
genmatrix,200,2,2
genmatrix,200,2,2
pagerank,200,352,339
mobilenet,200,40,39
resnet,200,295,294
resnet,200,298,298
resnet,200,238,237
grayscale,200,2855,2782
fetchdata,200,77,76
matrixmul,200,546,542
matrixmul,200,20,16
linpack,200,1077,1072
graphgen,200,516,477
fetchdata,200,78,78
fastfouriertransform,200,9,7
fetchdata,200,86,85
matrixmul,200,16,12
resnet,200,133,129
linpack,200,15,12
pagerank,200,18,17
resnet,200,141,140
grayscale,200,2619,2617
grayscale,200,1839,1835
grayscale,200,3670,3587
pagerank,200,21,20
pagerank,200,63,60
graphgen,200,537,497
fetchdata,200,85,85
mobilenet,200,22,21
mobilenet,200,33,32
fastfouriertransform,200,12,8
pagerank,200,410,398
fetchdata,200,81,81
mobilenet,200,66,66
matrixmul,200,15,11
pagerank,200,24,22
grayscale,200,2225,2220
grayscale,200,434,429
grayscale,200,4864,4789
mobilenet,200,26,25
fetchdata,200,91,91
pagerank,200,383,369
resnet,200,267,267
fetchdata,200,76,76
linpack,200,1079,1074
genmatrix,200,4,3
pagerank,200,75,72
fastfouriertransform,200,10,7
mobilenet,200,45,44
mobilenet,200,39,39
grayscale,200,2215,2208
grayscale,200,3052,2974
grayscale,200,867,859
pagerank,200,181,124
mobilenet,200,49,49
pagerank,200,18,17
resnet,200,233,232
grayscale,200,75,69
grayscale,200,11,10
matrixmul,200,19,15
graphgen,200,521,481
resnet,200,332,331
fastfouriertransform,200,9,6
fastfouriertransform,200,10,7
pagerank,200,420,408
resnet,200,326,325
fetchdata,200,77,77
fetchdata,200,77,77
fetchdata,200,82,82
grayscale,200,81,61
fetchdata,200,79,79
graphgen,200,28,27
graphgen,200,24,23
mobilenet,200,65,64
resnet,200,138,138
linpack,200,18,15
graphgen,200,529,491
matrixmul,200,18,14
genmatrix,200,3,3
matrixmul,200,15,11
linpack,200,1080,1077
grayscale,200,2856,2782
fetchdata,200,123,122
graphgen,200,524,486
fastfouriertransform,200,719,716
resnet,200,149,148
genmatrix,200,4,4
resnet,200,399,398
fetchdata,200,76,76
linpack,200,1798,1795
genmatrix,200,3,2
matrixmul,200,576,572
linpack,200,15,10
resnet,200,294,294
resnet,200,166,166
fetchdata,200,77,77
resnet,200,343,342
linpack,200,14,10
fetchdata,200,78,78
resnet,200,347,346
graphgen,200,25,23
matrixmul,200,14,11
pagerank,200,74,71
fastfouriertransform,200,13,10
linpack,200,1084,1081
linpack,200,494,489
