timestamp,pod,scheduling_time_ms
I0507 12:12:08.696177,default/genmatrix-00001-deployment-7dbddd585-g5jnx,30.543576
I0507 12:12:08.713053,default/fetchdata-00001-deployment-99f85775b-pdqvk,52.869437
I0507 12:12:08.735719,default/graphgen-00001-deployment-778bbfcf48-jc8tf,78.736599
I0507 12:12:08.753511,default/fastfouriertransform-00001-deployment-5f7f4bb84b-k4xbp,73.09087
I0507 12:12:08.818483,default/matrixmul-00001-deployment-7dc7847b4f-s2ttg,55.609108
I0507 12:12:08.993588,default/grayscale-00001-deployment-94d4646fd-vmtkj,31.495947
I0507 12:12:09.100831,default/linpack-00001-deployment-5f6694d7c6-jd7jc,31.797855
I0507 12:12:09.118196,default/mobilenet-00001-deployment-59bbf999b6-989wk,42.429535
I0507 12:12:09.172830,default/resnet-00001-deployment-57c4bfb987-rc5kn,46.947578
I0507 12:12:09.410651,default/pagerank-00001-deployment-7d5555f8bb-2f7w8,230.256531
I0507 12:12:10.154903,default/fastfouriertransform-00001-deployment-5f7f4bb84b-b6vh8,24.61379
I0507 12:12:10.239845,default/matrixmul-00001-deployment-7dc7847b4f-bbxtv,35.522526
I0507 12:12:10.476169,default/linpack-00001-deployment-5f6694d7c6-r4mwt,47.840357
I0507 12:12:10.553143,default/linpack-00001-deployment-5f6694d7c6-tmsdp,12.514386
I0507 12:12:10.743630,default/pagerank-00001-deployment-7d5555f8bb-86p8n,7.414084
I0507 12:12:11.188855,default/graphgen-00001-deployment-778bbfcf48-46547,40.216866
I0507 12:12:11.678333,default/resnet-00001-deployment-57c4bfb987-8lfb2,33.974284
I0507 12:12:11.957740,default/grayscale-00001-deployment-94d4646fd-5r9mw,215.248236
I0507 12:12:12.062732,default/grayscale-00001-deployment-94d4646fd-27hn6,103.386964
I0507 12:12:12.127239,default/genmatrix-00001-deployment-7dbddd585-62hp2,172.051977
I0507 12:12:12.271206,default/fetchdata-00001-deployment-99f85775b-9wcdr,45.344558
I0507 12:12:13.019502,default/mobilenet-00001-deployment-59bbf999b6-zsz4h,14.969834
I0507 12:12:13.071593,default/matrixmul-00001-deployment-7dc7847b4f-rdq9p,26.117533
I0507 12:12:13.184653,default/fetchdata-00001-deployment-99f85775b-hs8vc,29.640519
I0507 12:12:13.373009,default/resnet-00001-deployment-57c4bfb987-qdq55,128.881164
I0507 12:12:14.571191,default/matrixmul-00001-deployment-7dc7847b4f-vn6lw,60.781207
I0507 12:12:14.583612,default/fetchdata-00001-deployment-99f85775b-khtfn,61.399726
I0507 12:12:14.663269,default/graphgen-00001-deployment-778bbfcf48-vdnsb,92.821303
I0507 12:12:14.883922,default/grayscale-00001-deployment-94d4646fd-x6brh,56.868757
I0507 12:12:15.153436,default/pagerank-00001-deployment-7d5555f8bb-thk4q,72.743741
I0507 12:12:15.586759,default/resnet-00001-deployment-57c4bfb987-j9wnn,22.832437
I0507 12:12:15.704537,default/linpack-00001-deployment-5f6694d7c6-h8qgf,400.671216
I0507 12:12:16.815960,default/grayscale-00001-deployment-94d4646fd-5xqn9,109.477862
I0507 12:12:16.874327,default/grayscale-00001-deployment-94d4646fd-kbrdk,44.958095
I0507 12:12:16.985377,default/resnet-00001-deployment-57c4bfb987-cjvxz,74.041743
I0507 12:12:17.263794,default/matrixmul-00001-deployment-7dc7847b4f-97l24,145.338205
I0507 12:12:18.294176,default/resnet-00001-deployment-57c4bfb987-jm8np,20.874212
I0507 12:12:18.317750,default/graphgen-00001-deployment-778bbfcf48-zqpr8,35.20812
I0507 12:12:20.293176,default/resnet-00001-deployment-57c4bfb987-ksl8c,74.129003
I0507 12:12:20.766024,default/grayscale-00001-deployment-94d4646fd-92r9f,70.422998
I0507 12:12:20.819896,default/grayscale-00001-deployment-94d4646fd-fwrfl,48.790877
I0507 12:12:22.103347,default/grayscale-00001-deployment-94d4646fd-qsz7v,29.288242
I0507 12:12:22.135634,default/fastfouriertransform-00001-deployment-5f7f4bb84b-29j5l,43.78776
I0507 12:12:22.499352,default/resnet-00001-deployment-57c4bfb987-pcvh5,60.821763
I0507 12:12:24.179092,default/fastfouriertransform-00001-deployment-5f7f4bb84b-78smq,79.975085
I0507 12:12:24.199990,default/grayscale-00001-deployment-94d4646fd-h4599,99.116313
I0507 12:12:25.987597,default/fastfouriertransform-00001-deployment-5f7f4bb84b-whrpr,19.611655
I0507 12:12:28.056721,default/grayscale-00001-deployment-94d4646fd-vkjpb,41.759759
I0507 12:12:29.985039,default/grayscale-00001-deployment-94d4646fd-wrlvx,19.686711
I0507 12:12:30.016792,default/grayscale-00001-deployment-94d4646fd-fsdtd,23.245123
I0507 12:12:32.122984,default/grayscale-00001-deployment-94d4646fd-lcnl7,83.290258
I0507 12:12:32.123225,default/grayscale-00001-deployment-94d4646fd-lc7vw,34.483323
I0507 12:12:34.192413,default/grayscale-00001-deployment-94d4646fd-vgbz8,102.330542
I0507 12:19:38.571929,default/fetchdata-00001-deployment-99f85775b-tpjzd,29.573835
I0507 12:19:38.573187,default/linpack-00001-deployment-5f6694d7c6-kgvzm,27.979943
I0507 12:19:38.669370,default/grayscale-00001-deployment-94d4646fd-bklwp,42.515249
I0507 12:19:38.710023,default/resnet-00001-deployment-57c4bfb987-2bwsd,55.014977
I0507 12:19:38.876904,default/graphgen-00001-deployment-778bbfcf48-ld2pq,48.598316
I0507 12:19:39.415213,default/fastfouriertransform-00001-deployment-5f7f4bb84b-pcjxv,109.977176
I0507 12:19:39.474333,default/matrixmul-00001-deployment-7dc7847b4f-lwdt5,118.319989
I0507 12:19:39.512718,default/mobilenet-00001-deployment-59bbf999b6-cblff,36.736849
I0507 12:19:39.637898,default/pagerank-00001-deployment-7d5555f8bb-vtlhz,47.728592
I0507 12:19:39.813446,default/genmatrix-00001-deployment-7dbddd585-2fsx2,33.905454
I0507 12:19:42.158851,default/fastfouriertransform-00001-deployment-5f7f4bb84b-7t75l,17.689701
I0507 12:19:42.174986,default/fetchdata-00001-deployment-99f85775b-nqcw7,49.960764
I0507 12:19:42.291267,default/fetchdata-00001-deployment-99f85775b-n8b67,61.757879
I0507 12:19:42.448467,default/grayscale-00001-deployment-94d4646fd-s6wst,93.471107
I0507 12:19:42.508298,default/grayscale-00001-deployment-94d4646fd-tcpsc,49.291429
I0507 12:19:42.523390,default/graphgen-00001-deployment-778bbfcf48-thbt5,65.290608
I0507 12:19:42.694535,default/matrixmul-00001-deployment-7dc7847b4f-l2cb5,9.093296
I0507 12:19:42.906333,default/linpack-00001-deployment-5f6694d7c6-9rbxx,88.968302
I0507 12:19:42.906702,default/pagerank-00001-deployment-7d5555f8bb-bv8bx,82.239992
I0507 12:19:42.931618,default/linpack-00001-deployment-5f6694d7c6-2bng6,64.084791
I0507 12:19:43.073332,default/genmatrix-00001-deployment-7dbddd585-fz6c6,84.179293
I0507 12:19:43.310425,default/resnet-00001-deployment-57c4bfb987-pdpsx,261.996953
I0507 12:19:44.154473,default/matrixmul-00001-deployment-7dc7847b4f-9j9tn,69.961062
I0507 12:19:44.338135,default/resnet-00001-deployment-57c4bfb987-4sltl,136.087005
I0507 12:19:46.071242,default/graphgen-00001-deployment-778bbfcf48-p74hz,54.168476
I0507 12:19:46.079656,default/pagerank-00001-deployment-7d5555f8bb-zfr9t,31.847396
I0507 12:19:46.230059,default/grayscale-00001-deployment-94d4646fd-prdjc,56.7765
I0507 12:19:46.393438,default/grayscale-00001-deployment-94d4646fd-z5md6,129.200936
I0507 12:19:46.394400,default/matrixmul-00001-deployment-7dc7847b4f-56fxm,146.206877
I0507 12:19:46.489933,default/matrixmul-00001-deployment-7dc7847b4f-xshdq,109.144397
I0507 12:19:46.491090,default/linpack-00001-deployment-5f6694d7c6-88dtw,91.666437
I0507 12:19:46.693037,default/linpack-00001-deployment-5f6694d7c6-ms6f9,89.591693
I0507 12:19:46.861066,default/resnet-00001-deployment-57c4bfb987-rmqff,65.227961
I0507 12:19:47.177587,default/resnet-00001-deployment-57c4bfb987-t95dc,171.927038
I0507 12:19:48.241155,default/grayscale-00001-deployment-94d4646fd-8vh4h,96.891966
I0507 12:19:48.346768,default/resnet-00001-deployment-57c4bfb987-kjxbs,94.836185
I0507 12:19:50.899666,default/resnet-00001-deployment-57c4bfb987-xrl6n,221.167134
I0507 12:19:50.975607,default/grayscale-00001-deployment-94d4646fd-zj9ml,172.262688
I0507 12:19:51.056896,default/grayscale-00001-deployment-94d4646fd-p72gq,112.843349
I0507 12:19:51.518882,default/linpack-00001-deployment-5f6694d7c6-z2kf8,86.670392
I0507 12:19:52.394932,default/grayscale-00001-deployment-94d4646fd-4grvh,105.287168
I0507 12:19:52.550891,default/grayscale-00001-deployment-94d4646fd-dfjgt,206.068902
I0507 12:19:54.485557,default/grayscale-00001-deployment-94d4646fd-9zfhh,84.335498
I0507 12:19:54.532420,default/grayscale-00001-deployment-94d4646fd-rvfk2,81.263047
I0507 12:19:56.819639,default/fastfouriertransform-00001-deployment-5f7f4bb84b-bg6pg,118.470843
I0507 12:19:57.599670,default/grayscale-00001-deployment-94d4646fd-qblsn,346.788993
I0507 12:19:58.525133,default/fastfouriertransform-00001-deployment-5f7f4bb84b-nhdd8,94.970149
I0507 12:19:58.686599,default/grayscale-00001-deployment-94d4646fd-l6rw6,119.377715
I0507 12:20:02.136516,default/fastfouriertransform-00001-deployment-5f7f4bb84b-479fl,72.312957
I0507 12:20:02.300051,default/grayscale-00001-deployment-94d4646fd-22vkv,114.562836
I0507 12:27:56.865789,default/grayscale-00001-deployment-94d4646fd-6mllb,45.594973
I0507 12:27:56.933066,default/fetchdata-00001-deployment-99f85775b-42dz4,110.390321
