timestamp,pod,scheduling_time_ms
I0506 15:00:20.027973,default/fetchdata-00001-deployment-99f85775b-cc48p,6.992876
I0506 15:00:21.730325,default/linpack-00001-deployment-5f6694d7c6-vkpvk,16.79394
I0506 15:00:21.731048,default/grayscale-00001-deployment-94d4646fd-k499x,18.636423
I0506 15:00:23.705505,default/resnet-00001-deployment-57c4bfb987-sm7mm,9.289064
I0506 15:00:25.729371,default/fastfouriertransform-00001-deployment-5f7f4bb84b-s5c75,21.490389
I0506 15:00:25.758730,default/graphgen-00001-deployment-778bbfcf48-v2nlx,26.260726
I0506 15:00:35.699618,default/mobilenet-00001-deployment-59bbf999b6-2z4xh,12.836974
I0506 15:00:39.728954,default/matrixmul-00001-deployment-7dc7847b4f-84xmx,14.519919
I0506 15:00:43.721805,default/pagerank-00001-deployment-7d5555f8bb-b87jk,16.74618
I0506 15:01:00.051087,default/genmatrix-00001-deployment-7dbddd585-hg7l6,8.683341
I0506 15:15:49.110150,default/fastfouriertransform-00001-deployment-5f7f4bb84b-zhh9v,8.545158
I0506 15:17:40.194364,default/graphgen-00001-deployment-778bbfcf48-tsn9j,5.817229
I0506 15:18:32.362909,default/fastfouriertransform-00001-deployment-5f7f4bb84b-q57hx,11.038678
I0506 15:44:11.047385,default/fetchdata-00001-deployment-99f85775b-ztj7l,11.510968
I0506 15:44:11.837132,default/linpack-00001-deployment-5f6694d7c6-7pml9,5.807179
I0506 15:44:12.836792,default/grayscale-00001-deployment-94d4646fd-wgwk7,8.449647
I0506 15:44:14.830368,default/resnet-00001-deployment-57c4bfb987-qqvk6,8.507277
I0506 15:44:15.845985,default/graphgen-00001-deployment-778bbfcf48-tznxj,6.046069
I0506 15:44:16.843345,default/fastfouriertransform-00001-deployment-5f7f4bb84b-5vn92,10.218595
I0506 15:44:25.832502,default/mobilenet-00001-deployment-59bbf999b6-l2ww2,8.978259
I0506 15:44:30.833391,default/matrixmul-00001-deployment-7dc7847b4f-n68tc,12.107396
I0506 15:44:33.878132,default/pagerank-00001-deployment-7d5555f8bb-hxmdv,14.47253
I0506 15:44:49.973023,default/genmatrix-00001-deployment-7dbddd585-j7g67,7.598997
I0506 15:59:41.130447,default/fastfouriertransform-00001-deployment-5f7f4bb84b-nwsz5,12.22133
I0506 16:01:31.868535,default/graphgen-00001-deployment-778bbfcf48-gs89w,9.429456
I0506 16:02:23.864534,default/fastfouriertransform-00001-deployment-5f7f4bb84b-rtzlc,14.086739
I0506 16:21:14.216489,default/fetchdata-00001-deployment-99f85775b-hzx2z,6.748028
I0506 16:21:14.954674,default/linpack-00001-deployment-5f6694d7c6-mbktb,8.482939
I0506 16:21:16.033050,default/grayscale-00001-deployment-94d4646fd-kw799,19.106066
I0506 16:21:17.966713,default/resnet-00001-deployment-57c4bfb987-5px6m,11.784036
I0506 16:21:18.953284,default/graphgen-00001-deployment-778bbfcf48-xv5rj,9.284644
I0506 16:21:19.994460,default/fastfouriertransform-00001-deployment-5f7f4bb84b-9h5tv,14.846319
I0506 16:21:28.952402,default/mobilenet-00001-deployment-59bbf999b6-wkd59,9.09894
I0506 16:21:33.955151,default/matrixmul-00001-deployment-7dc7847b4f-2nkzt,11.063368
I0506 16:21:36.986702,default/pagerank-00001-deployment-7d5555f8bb-ngddp,7.584826
I0506 16:21:52.980019,default/genmatrix-00001-deployment-7dbddd585-cvqgd,6.39514
I0506 16:36:43.967620,default/fastfouriertransform-00001-deployment-5f7f4bb84b-dl6t2,10.386365
I0506 16:38:35.276886,default/graphgen-00001-deployment-778bbfcf48-xxchg,7.198139
I0506 16:39:26.980107,default/fastfouriertransform-00001-deployment-5f7f4bb84b-zgtbg,9.047029
I0506 16:58:19.359262,default/fetchdata-00001-deployment-99f85775b-fxl49,8.506043
I0506 16:58:20.262431,default/linpack-00001-deployment-5f6694d7c6-4wqd8,10.377027
I0506 16:58:21.273491,default/grayscale-00001-deployment-94d4646fd-xn6tm,12.859603
I0506 16:58:23.270749,default/resnet-00001-deployment-57c4bfb987-smhl7,11.54375
I0506 16:58:24.258242,default/graphgen-00001-deployment-778bbfcf48-45ljw,7.674284
I0506 16:58:25.294725,default/fastfouriertransform-00001-deployment-5f7f4bb84b-mgzf2,27.148355
I0506 16:58:34.293888,default/mobilenet-00001-deployment-59bbf999b6-xp4l2,14.919142
I0506 16:58:39.268880,default/matrixmul-00001-deployment-7dc7847b4f-2j8r6,20.539775
I0506 16:58:42.286159,default/pagerank-00001-deployment-7d5555f8bb-7l7f9,9.502211
I0506 16:58:58.371408,default/genmatrix-00001-deployment-7dbddd585-qp9q8,17.031866
I0506 17:13:49.329363,default/fastfouriertransform-00001-deployment-5f7f4bb84b-r5jd2,17.578833
I0506 17:15:40.280581,default/graphgen-00001-deployment-778bbfcf48-x6786,19.37002
I0506 17:16:32.415472,default/fastfouriertransform-00001-deployment-5f7f4bb84b-5vkth,63.174901
I0507 07:42:41.533315,default/fetchdata-00001-deployment-99f85775b-wq8nk,9.275601
I0507 07:42:42.396715,default/linpack-00001-deployment-5f6694d7c6-7jslz,8.815008
I0507 07:42:43.388650,default/grayscale-00001-deployment-94d4646fd-qxgdl,10.908325
I0507 07:42:45.400835,default/resnet-00001-deployment-57c4bfb987-kgcjg,12.746141
I0507 07:42:46.387009,default/graphgen-00001-deployment-778bbfcf48-m75fl,8.200026
I0507 07:42:47.399531,default/fastfouriertransform-00001-deployment-5f7f4bb84b-nvt9s,9.70912
I0507 07:42:56.384278,default/mobilenet-00001-deployment-59bbf999b6-jfccw,11.518955
I0507 07:43:01.411175,default/matrixmul-00001-deployment-7dc7847b4f-nzw9z,16.674367
I0507 07:43:04.416515,default/pagerank-00001-deployment-7d5555f8bb-2xcvg,7.901767
I0507 07:43:20.675386,default/genmatrix-00001-deployment-7dbddd585-8vqz7,6.292617
I0507 07:58:11.554675,default/fastfouriertransform-00001-deployment-5f7f4bb84b-9vklg,6.122543
I0507 08:00:02.489138,default/graphgen-00001-deployment-778bbfcf48-tq5xt,11.718253
I0507 08:00:54.414058,default/fastfouriertransform-00001-deployment-5f7f4bb84b-q7j22,9.806011
I0507 08:23:07.361791,default/fetchdata-00001-deployment-99f85775b-wlb7l,11.236086
I0507 08:23:07.867285,default/linpack-00001-deployment-5f6694d7c6-gvmr4,9.370769
I0507 08:23:08.868584,default/grayscale-00001-deployment-94d4646fd-jz2wf,13.982552
I0507 08:23:10.866665,default/resnet-00001-deployment-57c4bfb987-pvbpj,11.948531
I0507 08:23:11.887646,default/graphgen-00001-deployment-778bbfcf48-vc8r2,14.926442
I0507 08:23:12.892099,default/fastfouriertransform-00001-deployment-5f7f4bb84b-hj4nj,12.488791
I0507 08:23:21.883964,default/mobilenet-00001-deployment-59bbf999b6-5vclh,11.888439
I0507 08:23:26.865033,default/matrixmul-00001-deployment-7dc7847b4f-p4qhx,7.829157
I0507 08:23:29.908164,default/pagerank-00001-deployment-7d5555f8bb-z7btk,18.366094
I0507 08:23:46.093568,default/genmatrix-00001-deployment-7dbddd585-tb7d9,7.160914
I0507 08:38:37.014597,default/fastfouriertransform-00001-deployment-5f7f4bb84b-689zh,9.568862
I0507 08:40:27.912612,default/graphgen-00001-deployment-778bbfcf48-pjv5r,4.822801
I0507 08:41:19.904801,default/fastfouriertransform-00001-deployment-5f7f4bb84b-nwrq5,7.274749
I0507 09:02:37.359804,default/fetchdata-00001-deployment-99f85775b-5kczb,7.667954
I0507 09:02:37.798565,default/linpack-00001-deployment-5f6694d7c6-v29xh,7.068897
I0507 09:02:38.817991,default/grayscale-00001-deployment-94d4646fd-2qz4g,15.052906
I0507 09:02:40.805203,default/resnet-00001-deployment-57c4bfb987-8fkqr,8.603121
I0507 09:02:41.802690,default/graphgen-00001-deployment-778bbfcf48-k9q4n,10.321679
I0507 09:02:42.807157,default/fastfouriertransform-00001-deployment-5f7f4bb84b-kd7zb,12.780922
I0507 09:02:51.808175,default/mobilenet-00001-deployment-59bbf999b6-mfxf5,9.136399
I0507 09:02:56.797794,default/matrixmul-00001-deployment-7dc7847b4f-k8dfz,5.682562
I0507 09:02:59.902313,default/pagerank-00001-deployment-7d5555f8bb-gq9fl,74.302734
I0507 09:03:16.037021,default/genmatrix-00001-deployment-7dbddd585-8b6tt,5.392302
I0507 09:18:06.849671,default/fastfouriertransform-00001-deployment-5f7f4bb84b-bpkg8,10.786012
I0507 09:19:58.168783,default/graphgen-00001-deployment-778bbfcf48-2qkvz,8.319451
I0507 09:20:49.838731,default/fastfouriertransform-00001-deployment-5f7f4bb84b-w8xmd,9.756008
I0507 09:41:26.923560,default/fetchdata-00001-deployment-99f85775b-sfxm5,30.938384
I0507 09:41:27.702769,default/linpack-00001-deployment-5f6694d7c6-cpjnk,6.263932
I0507 09:41:28.702952,default/grayscale-00001-deployment-94d4646fd-jxl7c,11.534494
I0507 09:41:30.791433,default/resnet-00001-deployment-57c4bfb987-75jdk,6.414729
I0507 09:41:31.714839,default/graphgen-00001-deployment-778bbfcf48-z7gjm,6.934989
I0507 09:41:32.708490,default/fastfouriertransform-00001-deployment-5f7f4bb84b-bv96k,14.942145
I0507 09:41:41.694797,default/mobilenet-00001-deployment-59bbf999b6-6cdrh,7.679212
I0507 09:41:46.706979,default/matrixmul-00001-deployment-7dc7847b4f-8zr7l,9.277084
I0507 09:41:49.733082,default/pagerank-00001-deployment-7d5555f8bb-9tqbl,6.351932
I0507 09:42:06.361417,default/genmatrix-00001-deployment-7dbddd585-qzmcj,9.306436
I0507 09:56:57.278032,default/fastfouriertransform-00001-deployment-5f7f4bb84b-5p6md,7.973841
I0507 09:58:48.024446,default/graphgen-00001-deployment-778bbfcf48-vq52q,12.697796
I0507 09:59:39.738394,default/fastfouriertransform-00001-deployment-5f7f4bb84b-lh65l,15.450227
I0507 10:24:48.771395,default/fetchdata-00001-deployment-99f85775b-4mrd6,10.676478
I0507 10:24:49.636277,default/linpack-00001-deployment-5f6694d7c6-lzvgk,6.755861
I0507 10:24:50.708264,default/grayscale-00001-deployment-94d4646fd-kld4z,22.282699
I0507 10:24:52.640631,default/resnet-00001-deployment-57c4bfb987-fd8pr,9.208809
I0507 10:24:53.643748,default/graphgen-00001-deployment-778bbfcf48-gl6lt,15.463892
I0507 10:24:54.636372,default/fastfouriertransform-00001-deployment-5f7f4bb84b-8qzkw,8.363178
I0507 10:25:03.638978,default/mobilenet-00001-deployment-59bbf999b6-jgp9t,17.209988
I0507 10:25:08.630207,default/matrixmul-00001-deployment-7dc7847b4f-nwfdg,6.258176
I0507 10:25:11.682217,default/pagerank-00001-deployment-7d5555f8bb-q7zzv,14.429965
I0507 10:25:28.359669,default/genmatrix-00001-deployment-7dbddd585-q88m6,6.521583
I0507 10:40:18.898951,default/fastfouriertransform-00001-deployment-5f7f4bb84b-r46fl,5.401762
I0507 10:42:10.150533,default/graphgen-00001-deployment-778bbfcf48-kj46v,8.89956
I0507 10:43:01.646336,default/fastfouriertransform-00001-deployment-5f7f4bb84b-8cx2b,7.592986
I0507 11:03:44.481666,default/fetchdata-00001-deployment-99f85775b-mcxj9,14.772181
I0507 11:03:45.472739,default/linpack-00001-deployment-5f6694d7c6-qsllv,11.251025
I0507 11:03:46.487847,default/grayscale-00001-deployment-94d4646fd-hzvbk,12.610076
I0507 11:03:48.469820,default/resnet-00001-deployment-57c4bfb987-th64p,8.845328
I0507 11:03:49.477393,default/graphgen-00001-deployment-778bbfcf48-fpfrc,13.747443
I0507 11:03:50.481835,default/fastfouriertransform-00001-deployment-5f7f4bb84b-l7ghg,8.770569
