timestamp,pod,scheduling_time_ms
I0505 09:37:17.371005,default/linpack-00001-deployment-5f6694d7c6-24fzc,13.990446
I0505 09:37:17.371378,default/fetchdata-00001-deployment-99f85775b-cslpx,12.388946
I0505 09:37:18.504942,default/grayscale-00001-deployment-94d4646fd-8czw5,10.93626
I0505 09:37:20.514432,default/graphgen-00001-deployment-778bbfcf48-pb287,12.099243
I0505 09:37:20.527766,default/resnet-00001-deployment-57c4bfb987-m5jzk,15.418613
I0505 09:37:22.612554,default/fastfouriertransform-00001-deployment-5f7f4bb84b-zd8hk,46.823191
I0505 09:37:30.496903,default/mobilenet-00001-deployment-59bbf999b6-jr6wv,6.649835
I0505 09:37:36.509079,default/matrixmul-00001-deployment-7dc7847b4f-xj97j,10.536261
I0505 09:37:38.513638,default/pagerank-00001-deployment-7d5555f8bb-cnq29,18.595725
I0505 09:37:54.658440,default/genmatrix-00001-deployment-7dbddd585-kq8cd,5.602167
I0505 09:52:45.245406,default/fastfouriertransform-00001-deployment-5f7f4bb84b-pbfts,7.650876
I0505 09:54:36.202167,default/graphgen-00001-deployment-778bbfcf48-chg9s,8.669322
I0505 09:55:28.364695,default/fastfouriertransform-00001-deployment-5f7f4bb84b-bxdth,10.584824
I0505 10:20:01.358266,default/fetchdata-00001-deployment-99f85775b-h6bmn,6.348154
I0505 10:20:02.182095,default/linpack-00001-deployment-5f6694d7c6-2hb5z,8.410119
I0505 10:20:03.186230,default/grayscale-00001-deployment-94d4646fd-swv2m,6.191024
I0505 10:20:05.199973,default/resnet-00001-deployment-57c4bfb987-hhtwf,8.722397
I0505 10:20:06.196886,default/graphgen-00001-deployment-778bbfcf48-9jpv8,11.330565
I0505 10:20:07.192589,default/fastfouriertransform-00001-deployment-5f7f4bb84b-5j8d2,8.545656
I0505 10:20:16.186647,default/mobilenet-00001-deployment-59bbf999b6-rrmzg,14.394661
I0505 10:20:21.178277,default/matrixmul-00001-deployment-7dc7847b4f-cn5zl,6.758265
I0505 10:20:24.232524,default/pagerank-00001-deployment-7d5555f8bb-glw2x,14.421717
I0505 10:20:40.361589,default/genmatrix-00001-deployment-7dbddd585-s7wfg,10.218398
I0505 10:35:31.367333,default/fastfouriertransform-00001-deployment-5f7f4bb84b-j8l8p,7.993711
I0505 10:37:22.248297,default/graphgen-00001-deployment-778bbfcf48-9h5fc,17.036682
I0505 10:38:14.194501,default/fastfouriertransform-00001-deployment-5f7f4bb84b-l772c,8.215193
I0505 11:03:29.361263,default/fetchdata-00001-deployment-99f85775b-l2kcj,9.257531
I0505 11:03:30.299959,default/linpack-00001-deployment-5f6694d7c6-rcqqb,10.87907
I0505 11:03:31.288800,default/grayscale-00001-deployment-94d4646fd-bj9ns,7.099676
I0505 11:03:33.284505,default/resnet-00001-deployment-57c4bfb987-fjfl7,8.442993
I0505 11:03:34.285271,default/graphgen-00001-deployment-778bbfcf48-96c6h,7.419269
I0505 11:03:35.399527,default/fastfouriertransform-00001-deployment-5f7f4bb84b-lzk42,68.535182
I0505 11:03:44.299568,default/mobilenet-00001-deployment-59bbf999b6-7lh5n,11.517348
I0505 11:03:49.289639,default/matrixmul-00001-deployment-7dc7847b4f-mblmx,9.624328
I0505 11:03:52.319766,default/pagerank-00001-deployment-7d5555f8bb-grwwn,7.685492
I0505 11:04:08.365424,default/genmatrix-00001-deployment-7dbddd585-dzbvs,5.625619
I0505 11:18:59.316687,default/fastfouriertransform-00001-deployment-5f7f4bb84b-9lbz7,8.908376
I0505 11:20:50.365612,default/graphgen-00001-deployment-778bbfcf48-qwzbt,8.881896
I0505 11:21:42.371604,default/fastfouriertransform-00001-deployment-5f7f4bb84b-bq9w8,6.063894
I0505 11:45:49.672140,default/fetchdata-00001-deployment-99f85775b-m54dd,46.466791
I0505 11:45:50.525399,default/linpack-00001-deployment-5f6694d7c6-g9xds,7.395453
I0505 11:45:51.520659,default/grayscale-00001-deployment-94d4646fd-948tc,9.418177
I0505 11:45:53.558755,default/resnet-00001-deployment-57c4bfb987-nh8g2,24.553231
I0505 11:45:54.516399,default/graphgen-00001-deployment-778bbfcf48-bt79v,12.902829
I0505 11:45:55.535215,default/fastfouriertransform-00001-deployment-5f7f4bb84b-swjcv,15.314961
I0505 11:46:04.522400,default/mobilenet-00001-deployment-59bbf999b6-b5w8m,14.554405
I0505 11:46:09.515884,default/matrixmul-00001-deployment-7dc7847b4f-hx7dv,7.123359
I0505 11:46:12.544275,default/pagerank-00001-deployment-7d5555f8bb-27chr,9.118528
I0505 11:46:28.535990,default/genmatrix-00001-deployment-7dbddd585-w9fk8,8.849732
I0505 12:01:19.807722,default/fastfouriertransform-00001-deployment-5f7f4bb84b-88kk7,9.829287
I0505 12:03:10.563851,default/graphgen-00001-deployment-778bbfcf48-kj95b,18.542498
I0505 12:04:02.675591,default/fastfouriertransform-00001-deployment-5f7f4bb84b-r2rmp,10.418491
I0505 12:25:32.371893,default/fetchdata-00001-deployment-99f85775b-lhj6h,13.325483
I0505 12:25:32.479966,default/linpack-00001-deployment-5f6694d7c6-wrbqz,6.376861
I0505 12:25:33.480967,default/grayscale-00001-deployment-94d4646fd-6nlwq,9.964432
I0505 12:25:35.480570,default/resnet-00001-deployment-57c4bfb987-t6mjc,9.663245
I0505 12:25:36.539143,default/graphgen-00001-deployment-778bbfcf48-f9jkq,25.026051
I0505 12:25:37.486051,default/fastfouriertransform-00001-deployment-5f7f4bb84b-qjdfr,11.07801
I0505 12:25:46.492008,default/mobilenet-00001-deployment-59bbf999b6-7k56z,10.755287
I0505 12:25:51.477866,default/matrixmul-00001-deployment-7dc7847b4f-2bqns,5.389448
I0505 12:25:54.510447,default/pagerank-00001-deployment-7d5555f8bb-lp66f,5.947729
I0505 12:26:10.995951,default/genmatrix-00001-deployment-7dbddd585-w8cnf,6.411156
I0505 12:41:01.531846,default/fastfouriertransform-00001-deployment-5f7f4bb84b-lj69h,11.452004
I0505 12:42:52.915646,default/graphgen-00001-deployment-778bbfcf48-7xpt5,9.173517
I0505 12:43:44.988335,default/fastfouriertransform-00001-deployment-5f7f4bb84b-p2lvp,6.820827
I0505 13:07:39.361552,default/fetchdata-00001-deployment-99f85775b-wsv9f,8.303662
I0505 13:07:40.185276,default/linpack-00001-deployment-5f6694d7c6-hml5d,11.726531
I0505 13:07:41.164222,default/grayscale-00001-deployment-94d4646fd-9nv8z,6.768089
I0505 13:07:43.192362,default/resnet-00001-deployment-57c4bfb987-fqz56,26.651707
I0505 13:07:44.157707,default/graphgen-00001-deployment-778bbfcf48-m7spn,8.47505
I0505 13:07:45.210680,default/fastfouriertransform-00001-deployment-5f7f4bb84b-6lf2q,21.108359
I0505 13:07:54.159275,default/mobilenet-00001-deployment-59bbf999b6-snvz8,6.464034
I0505 13:07:59.180765,default/matrixmul-00001-deployment-7dc7847b4f-8684f,16.852843
I0505 13:08:02.191672,default/pagerank-00001-deployment-7d5555f8bb-98f52,10.270254
I0505 13:08:18.306983,default/genmatrix-00001-deployment-7dbddd585-5ptk4,8.980199
I0505 13:23:09.358946,default/fastfouriertransform-00001-deployment-5f7f4bb84b-5z64n,7.803634
I0505 13:25:00.341190,default/graphgen-00001-deployment-778bbfcf48-wqpp5,5.997449
I0505 13:25:52.189918,default/fastfouriertransform-00001-deployment-5f7f4bb84b-97qjm,10.340674
I0505 13:55:08.546281,default/fetchdata-00001-deployment-99f85775b-lhpff,8.168249
I0505 13:55:09.508376,default/linpack-00001-deployment-5f6694d7c6-zzr5m,11.724289
I0505 13:55:10.500823,default/grayscale-00001-deployment-94d4646fd-zjd8m,10.006899
I0505 13:55:12.550286,default/resnet-00001-deployment-57c4bfb987-t8ppg,12.401697
I0505 13:55:13.500059,default/graphgen-00001-deployment-778bbfcf48-nghbd,7.298711
I0505 13:55:14.509020,default/fastfouriertransform-00001-deployment-5f7f4bb84b-rzvkr,10.458548
I0505 13:55:23.516716,default/mobilenet-00001-deployment-59bbf999b6-b5gcq,12.785161
I0505 13:55:28.523053,default/matrixmul-00001-deployment-7dc7847b4f-q79b5,23.678616
I0505 13:55:31.531975,default/pagerank-00001-deployment-7d5555f8bb-k79rg,7.806156
I0505 13:55:47.788270,default/genmatrix-00001-deployment-7dbddd585-n2249,10.466325
I0505 14:10:38.786912,default/fastfouriertransform-00001-deployment-5f7f4bb84b-87zvh,10.786402
I0505 14:12:30.166834,default/graphgen-00001-deployment-778bbfcf48-5v977,6.369896
I0505 14:13:21.934186,default/fastfouriertransform-00001-deployment-5f7f4bb84b-799jm,9.154103
I0505 14:37:45.015200,default/fetchdata-00001-deployment-99f85775b-mtrjm,8.145008
I0505 14:37:45.619580,default/linpack-00001-deployment-5f6694d7c6-6gb72,11.667864
I0505 14:37:46.626016,default/grayscale-00001-deployment-94d4646fd-2w6d2,15.79935
I0505 14:37:48.690976,default/resnet-00001-deployment-57c4bfb987-wtfj5,85.540162
I0505 14:37:49.623077,default/graphgen-00001-deployment-778bbfcf48-vqxgl,12.591661
I0505 14:37:50.615784,default/fastfouriertransform-00001-deployment-5f7f4bb84b-kbvg7,6.324192
I0505 14:37:59.615289,default/mobilenet-00001-deployment-59bbf999b6-mnvs8,12.17842
I0505 14:38:04.621338,default/matrixmul-00001-deployment-7dc7847b4f-vkbcn,8.97775
I0505 14:38:07.665952,default/pagerank-00001-deployment-7d5555f8bb-sq484,15.698442
I0505 14:38:24.079374,default/genmatrix-00001-deployment-7dbddd585-22pr8,7.040804
I0505 14:53:14.706502,default/fastfouriertransform-00001-deployment-5f7f4bb84b-nnztl,24.198982
I0505 14:55:05.616919,default/graphgen-00001-deployment-778bbfcf48-g5qnf,8.669563
I0505 14:55:58.107422,default/fastfouriertransform-00001-deployment-5f7f4bb84b-8f4b4,10.867953
I0505 15:20:53.366236,default/fetchdata-00001-deployment-99f85775b-46455,14.442257
I0505 15:20:54.091797,default/linpack-00001-deployment-5f6694d7c6-wsnd9,16.53155
I0505 15:20:55.082107,default/grayscale-00001-deployment-94d4646fd-c596l,8.43947
I0505 15:20:57.086240,default/resnet-00001-deployment-57c4bfb987-9wr9c,14.599923
I0505 15:20:58.092524,default/graphgen-00001-deployment-778bbfcf48-6gnnd,7.032175
I0505 15:20:59.110583,default/fastfouriertransform-00001-deployment-5f7f4bb84b-dt8g6,9.872338
I0505 15:21:08.080140,default/mobilenet-00001-deployment-59bbf999b6-xsf2n,7.993081
