timestamp,pod,scheduling_time_ms
I0506 12:32:56.619157,default/grayscale-00001-deployment-94d4646fd-njlkp,24.176073
I0506 12:32:56.632623,default/graphgen-00001-deployment-778bbfcf48-zgb9v,35.73085
I0506 12:32:56.684608,default/linpack-00001-deployment-5f6694d7c6-mc68f,12.661351
I0506 12:32:56.766610,default/resnet-00001-deployment-57c4bfb987-4zmx6,18.788295
I0506 12:32:56.948348,default/fastfouriertransform-00001-deployment-5f7f4bb84b-68x8q,42.840201
I0506 12:32:56.993166,default/fetchdata-00001-deployment-99f85775b-bhz64,57.293607
I0506 12:32:58.388998,default/mobilenet-00001-deployment-59bbf999b6-hssql,14.770165
I0506 12:33:00.424325,default/matrixmul-00001-deployment-7dc7847b4f-6kckp,9.751814
I0506 12:33:00.510119,default/pagerank-00001-deployment-7d5555f8bb-rbnd5,26.837757
I0506 12:33:04.395910,default/genmatrix-00001-deployment-7dbddd585-pp69n,13.96198
I0506 12:37:42.565595,default/grayscale-00001-deployment-94d4646fd-xzdmz,5.439537
I0506 12:47:13.498027,default/fetchdata-00001-deployment-99f85775b-pqkjq,11.84698
I0506 12:47:13.523190,default/linpack-00001-deployment-5f6694d7c6-dlhwm,11.506425
I0506 12:47:13.726430,default/grayscale-00001-deployment-94d4646fd-7z7x7,19.412968
I0506 12:47:14.183639,default/resnet-00001-deployment-57c4bfb987-q5wz8,20.748595
I0506 12:47:14.346694,default/graphgen-00001-deployment-778bbfcf48-drljn,13.892365
I0506 12:47:14.524107,default/fastfouriertransform-00001-deployment-5f7f4bb84b-jf4pm,9.28717
I0506 12:47:16.318812,default/mobilenet-00001-deployment-59bbf999b6-rqbgt,18.852691
I0506 12:47:17.309003,default/matrixmul-00001-deployment-7dc7847b4f-6pljm,11.651777
I0506 12:47:18.008907,default/pagerank-00001-deployment-7d5555f8bb-xhs2h,47.356552
I0506 12:47:21.102039,default/genmatrix-00001-deployment-7dbddd585-pmt89,6.570582
I0506 12:52:00.429967,default/grayscale-00001-deployment-94d4646fd-hvf7g,8.064028
I0506 12:59:27.942120,default/fetchdata-00001-deployment-99f85775b-2ljgw,10.223085
I0506 12:59:28.139332,default/linpack-00001-deployment-5f6694d7c6-c7x56,14.220694
I0506 12:59:28.342725,default/grayscale-00001-deployment-94d4646fd-h8wm9,10.814345
I0506 12:59:28.757772,default/resnet-00001-deployment-57c4bfb987-h8kpv,12.776862
I0506 12:59:28.922529,default/graphgen-00001-deployment-778bbfcf48-jlrgn,9.482049
I0506 12:59:29.336455,default/fastfouriertransform-00001-deployment-5f7f4bb84b-48mfp,32.074497
I0506 12:59:30.946530,default/mobilenet-00001-deployment-59bbf999b6-f8pfl,22.94467
I0506 12:59:31.924953,default/matrixmul-00001-deployment-7dc7847b4f-5dztv,16.026434
I0506 12:59:32.552057,default/pagerank-00001-deployment-7d5555f8bb-t8zw9,9.107068
I0506 12:59:35.724665,default/genmatrix-00001-deployment-7dbddd585-fpf5l,9.454456
I0506 13:04:14.595555,default/grayscale-00001-deployment-94d4646fd-jq7gm,7.90444
I0506 13:11:35.889067,default/fetchdata-00001-deployment-99f85775b-gwpns,14.247253
I0506 13:11:35.974770,default/linpack-00001-deployment-5f6694d7c6-qzjrv,32.677597
I0506 13:11:36.208746,default/grayscale-00001-deployment-94d4646fd-dv2zl,18.758492
I0506 13:11:36.509080,default/resnet-00001-deployment-57c4bfb987-h5xq7,12.606068
I0506 13:11:36.756989,default/graphgen-00001-deployment-778bbfcf48-47wxb,11.408236
I0506 13:11:36.918591,default/fastfouriertransform-00001-deployment-5f7f4bb84b-rwhtq,7.700664
I0506 13:11:38.735998,default/mobilenet-00001-deployment-59bbf999b6-z778x,13.441512
I0506 13:11:39.698888,default/matrixmul-00001-deployment-7dc7847b4f-vq5d9,11.76968
I0506 13:11:40.327365,default/pagerank-00001-deployment-7d5555f8bb-cxg6r,11.061236
I0506 13:11:43.493007,default/genmatrix-00001-deployment-7dbddd585-jtz6d,6.413034
I0506 13:16:22.454770,default/grayscale-00001-deployment-94d4646fd-qrcxv,8.374738
I0506 13:27:17.168296,default/fetchdata-00001-deployment-99f85775b-x2fn8,13.699818
I0506 13:27:17.194999,default/linpack-00001-deployment-5f6694d7c6-vd78p,11.752371
I0506 13:27:17.578065,default/grayscale-00001-deployment-94d4646fd-s4r2s,22.953759
I0506 13:27:17.782690,default/resnet-00001-deployment-57c4bfb987-j26mn,11.374352
I0506 13:27:18.010005,default/graphgen-00001-deployment-778bbfcf48-9szw6,18.476084
I0506 13:27:18.209083,default/fastfouriertransform-00001-deployment-5f7f4bb84b-z65mf,21.65346
I0506 13:27:20.251792,default/mobilenet-00001-deployment-59bbf999b6-4fz5k,72.970356
I0506 13:27:20.993620,default/matrixmul-00001-deployment-7dc7847b4f-25cwl,11.441426
I0506 13:27:21.639403,default/pagerank-00001-deployment-7d5555f8bb-865sg,12.05189
I0506 13:27:24.778602,default/genmatrix-00001-deployment-7dbddd585-shbgh,10.320423
I0506 13:32:04.427073,default/grayscale-00001-deployment-94d4646fd-7j9h4,12.122253
I0506 13:43:49.416651,default/fetchdata-00001-deployment-99f85775b-fhdtm,8.579819
I0506 13:43:49.547634,default/linpack-00001-deployment-5f6694d7c6-gkq27,7.189467
I0506 13:43:49.744241,default/grayscale-00001-deployment-94d4646fd-nlj58,14.672526
I0506 13:43:50.137275,default/resnet-00001-deployment-57c4bfb987-86jfl,8.440263
I0506 13:43:50.350127,default/graphgen-00001-deployment-778bbfcf48-xtklz,14.838378
I0506 13:43:50.562868,default/fastfouriertransform-00001-deployment-5f7f4bb84b-sc75x,8.542671
I0506 13:43:52.338683,default/mobilenet-00001-deployment-59bbf999b6-262bb,10.987413
I0506 13:43:53.334352,default/matrixmul-00001-deployment-7dc7847b4f-gkdxp,8.851023
I0506 13:43:54.034313,default/pagerank-00001-deployment-7d5555f8bb-7thnc,39.451318
I0506 13:43:57.139085,default/genmatrix-00001-deployment-7dbddd585-jmf2r,8.610338
I0506 13:48:36.488668,default/grayscale-00001-deployment-94d4646fd-lc585,20.598083
I0506 13:56:03.911043,default/fetchdata-00001-deployment-99f85775b-hzkg4,15.071954
I0506 13:56:04.068344,default/linpack-00001-deployment-5f6694d7c6-kkb9s,11.885226
I0506 13:56:04.294177,default/grayscale-00001-deployment-94d4646fd-kgmn5,21.096687
I0506 13:56:04.680268,default/resnet-00001-deployment-57c4bfb987-vs2zx,14.423249
I0506 13:56:04.887744,default/graphgen-00001-deployment-778bbfcf48-kmkjw,10.598853
I0506 13:56:05.076132,default/fastfouriertransform-00001-deployment-5f7f4bb84b-zl2vx,9.22585
I0506 13:56:07.125366,default/mobilenet-00001-deployment-59bbf999b6-44ltk,252.039867
I0506 13:56:07.867641,default/matrixmul-00001-deployment-7dc7847b4f-mvs78,11.9763
I0506 13:56:08.533667,default/pagerank-00001-deployment-7d5555f8bb-c5gp6,26.0389
I0506 13:56:11.675468,default/genmatrix-00001-deployment-7dbddd585-ptrs2,8.423534
I0506 14:00:50.389819,default/grayscale-00001-deployment-94d4646fd-t2c8c,9.804513
I0506 14:16:55.454494,default/fetchdata-00001-deployment-99f85775b-qsdcx,25.256629
I0506 14:16:55.611511,default/linpack-00001-deployment-5f6694d7c6-l4rtn,8.063153
I0506 14:16:55.821912,default/grayscale-00001-deployment-94d4646fd-4d5qz,9.714062
I0506 14:16:56.242904,default/resnet-00001-deployment-57c4bfb987-fqsnb,13.054454
I0506 14:16:56.414220,default/graphgen-00001-deployment-778bbfcf48-66klx,10.459285
I0506 14:16:56.622531,default/fastfouriertransform-00001-deployment-5f7f4bb84b-nzng7,14.087362
I0506 14:16:58.432349,default/mobilenet-00001-deployment-59bbf999b6-fp682,15.779845
I0506 14:16:59.410461,default/matrixmul-00001-deployment-7dc7847b4f-k8l6s,10.942119
I0506 14:17:00.062393,default/pagerank-00001-deployment-7d5555f8bb-9vd6l,16.499567
I0506 14:17:03.203231,default/genmatrix-00001-deployment-7dbddd585-ghhbj,6.65506
I0506 14:21:42.539150,default/grayscale-00001-deployment-94d4646fd-mr55w,35.312023
I0506 14:23:20.598580,default/grayscale-00001-deployment-94d4646fd-xjbxl,8.371858
I0506 14:31:50.595559,default/fetchdata-00001-deployment-99f85775b-fz9bb,14.856571
I0506 14:31:50.636405,default/linpack-00001-deployment-5f6694d7c6-wltbp,20.012923
I0506 14:31:50.826251,default/grayscale-00001-deployment-94d4646fd-gv75s,13.98609
I0506 14:31:51.212800,default/resnet-00001-deployment-57c4bfb987-5xh5f,10.872405
I0506 14:31:51.420848,default/graphgen-00001-deployment-778bbfcf48-h8dln,24.79331
I0506 14:31:51.631858,default/fastfouriertransform-00001-deployment-5f7f4bb84b-2j4sx,17.94396
I0506 14:31:53.430671,default/mobilenet-00001-deployment-59bbf999b6-vnchz,13.712165
I0506 14:31:54.461524,default/matrixmul-00001-deployment-7dc7847b4f-kphkx,11.656924
I0506 14:31:55.065678,default/pagerank-00001-deployment-7d5555f8bb-pkzb9,6.670313
I0506 14:31:58.212635,default/genmatrix-00001-deployment-7dbddd585-w65jb,6.466184
I0506 14:36:36.712584,default/grayscale-00001-deployment-94d4646fd-srq4f,6.77126
I0506 14:44:24.232619,default/fetchdata-00001-deployment-99f85775b-tv5sj,14.692246
I0506 14:44:24.299554,default/linpack-00001-deployment-5f6694d7c6-bcx7z,16.083042
I0506 14:44:24.468553,default/grayscale-00001-deployment-94d4646fd-7pqgx,15.59882
I0506 14:44:24.861656,default/resnet-00001-deployment-57c4bfb987-t8xc5,7.324447
I0506 14:44:25.083130,default/graphgen-00001-deployment-778bbfcf48-znd9g,30.414787
I0506 14:44:25.287593,default/fastfouriertransform-00001-deployment-5f7f4bb84b-wr8lg,25.506804
I0506 14:44:27.044643,default/mobilenet-00001-deployment-59bbf999b6-rcwm2,9.863762
I0506 14:44:28.050053,default/matrixmul-00001-deployment-7dc7847b4f-jdjbz,7.222114
I0506 14:44:28.713871,default/pagerank-00001-deployment-7d5555f8bb-x8mzc,18.521191
I0506 14:44:31.845304,default/genmatrix-00001-deployment-7dbddd585-6crgp,10.90967
I0506 14:49:10.413981,default/grayscale-00001-deployment-94d4646fd-685q2,15.30308
