timestamp,pod,scheduling_time_ms
I0504 15:24:11.234700,default/fetchdata-00001-deployment-99f85775b-th7h6,15.459365
I0504 15:24:11.237011,default/grayscale-00001-deployment-94d4646fd-9gnr9,31.263044
I0504 15:24:11.255750,default/linpack-00001-deployment-5f6694d7c6-slxdl,54.232453
I0504 15:24:13.002246,default/fastfouriertransform-00001-deployment-5f7f4bb84b-2fhjr,36.58648
I0504 15:24:13.030977,default/resnet-00001-deployment-57c4bfb987-dqzkn,22.425057
I0504 15:24:13.084381,default/graphgen-00001-deployment-778bbfcf48-v5w8w,29.878898
I0504 15:24:14.897960,default/mobilenet-00001-deployment-59bbf999b6-w2zrz,19.581711
I0504 15:24:14.905851,default/matrixmul-00001-deployment-7dc7847b4f-ckpvt,30.991063
I0504 15:24:16.891540,default/pagerank-00001-deployment-7d5555f8bb-z2p94,12.055296
I0504 15:24:18.900872,default/genmatrix-00001-deployment-7dbddd585-lsn6k,8.309469
I0504 15:28:56.896295,default/grayscale-00001-deployment-94d4646fd-kpt6t,6.771824
I0504 15:37:30.002393,default/fetchdata-00001-deployment-99f85775b-kvslc,37.312726
I0504 15:37:30.134312,default/linpack-00001-deployment-5f6694d7c6-9dmh7,29.228552
I0504 15:37:30.454194,default/grayscale-00001-deployment-94d4646fd-nzqvv,53.058944
I0504 15:37:30.635177,default/resnet-00001-deployment-57c4bfb987-nl552,16.878235
I0504 15:37:30.852161,default/graphgen-00001-deployment-778bbfcf48-8xl27,12.053168
I0504 15:37:31.031242,default/fastfouriertransform-00001-deployment-5f7f4bb84b-v9q6m,8.903895
I0504 15:37:32.828276,default/mobilenet-00001-deployment-59bbf999b6-5jfjd,9.091691
I0504 15:37:33.830154,default/matrixmul-00001-deployment-7dc7847b4f-2rl4p,14.337017
I0504 15:37:34.454541,default/pagerank-00001-deployment-7d5555f8bb-4sghw,8.268858
I0504 15:37:37.635308,default/genmatrix-00001-deployment-7dbddd585-qpz68,9.194154
I0504 15:42:16.948430,default/grayscale-00001-deployment-94d4646fd-mkvlp,7.021731
I0504 15:50:26.757128,default/fetchdata-00001-deployment-99f85775b-2d8vr,8.563894
I0504 15:50:26.861032,default/linpack-00001-deployment-5f6694d7c6-4b8v9,19.268026
I0504 15:50:27.115089,default/grayscale-00001-deployment-94d4646fd-8m8zz,14.093756
I0504 15:50:27.428149,default/resnet-00001-deployment-57c4bfb987-zbd8k,13.861979
I0504 15:50:27.653289,default/graphgen-00001-deployment-778bbfcf48-2pfgr,16.674364
I0504 15:50:27.836486,default/fastfouriertransform-00001-deployment-5f7f4bb84b-rr66q,13.101646
I0504 15:50:29.645875,default/mobilenet-00001-deployment-59bbf999b6-96pf9,17.652991
I0504 15:50:30.622544,default/matrixmul-00001-deployment-7dc7847b4f-n6f67,9.441115
I0504 15:50:31.326570,default/pagerank-00001-deployment-7d5555f8bb-cz58z,7.014508
I0504 15:50:34.421962,default/genmatrix-00001-deployment-7dbddd585-lqm5j,12.629944
I0504 15:55:13.018670,default/grayscale-00001-deployment-94d4646fd-6xp7s,5.911325
I0504 16:04:49.146010,default/fetchdata-00001-deployment-99f85775b-2zxdz,19.504713
I0504 16:04:49.196292,default/linpack-00001-deployment-5f6694d7c6-spjhm,20.734378
I0504 16:04:49.509983,default/grayscale-00001-deployment-94d4646fd-rngkh,42.666884
I0504 16:04:49.792115,default/resnet-00001-deployment-57c4bfb987-jp5rw,11.807798
I0504 16:04:49.972138,default/graphgen-00001-deployment-778bbfcf48-5wx8d,16.738643
I0504 16:04:50.162409,default/fastfouriertransform-00001-deployment-5f7f4bb84b-fsrzh,16.50857
I0504 16:04:51.956948,default/mobilenet-00001-deployment-59bbf999b6-mhfvj,9.83043
I0504 16:04:52.952042,default/matrixmul-00001-deployment-7dc7847b4f-pz5bn,13.344796
I0504 16:04:53.585573,default/pagerank-00001-deployment-7d5555f8bb-dg227,12.924981
I0504 16:04:56.761421,default/genmatrix-00001-deployment-7dbddd585-jdlnv,16.182273
I0504 16:09:35.260702,default/grayscale-00001-deployment-94d4646fd-jsqlt,10.559133
I0504 16:15:02.670207,default/fetchdata-00001-deployment-99f85775b-w9bzc,9.201691
I0504 16:15:02.780123,default/linpack-00001-deployment-5f6694d7c6-24sz2,12.166871
I0504 16:15:02.989344,default/grayscale-00001-deployment-94d4646fd-kmxt8,30.50868
I0504 16:15:03.353475,default/resnet-00001-deployment-57c4bfb987-vlshr,9.030932
I0504 16:15:03.571674,default/graphgen-00001-deployment-778bbfcf48-bncp4,11.992243
I0504 16:15:03.767678,default/fastfouriertransform-00001-deployment-5f7f4bb84b-qfv8b,18.402623
I0504 16:15:05.553480,default/mobilenet-00001-deployment-59bbf999b6-v2k7v,6.046917
I0504 16:15:06.545184,default/matrixmul-00001-deployment-7dc7847b4f-njk27,7.214342
