function,status,duration_ms,upstream_ms
mobilenet,200,3424,3422
mobilenet,200,3152,3150
mobilenet,200,3077,3075
mobilenet,200,2903,2902
mobilenet,200,2832,2830
mobilenet,200,2752,2750
mobilenet,200,2674,2672
mobilenet,200,2286,2285
mobilenet,200,2013,2011
mobilenet,200,1940,1938
mobilenet,200,1458,1457
mobilenet,200,1380,1379
mobilenet,200,1114,1113
mobilenet,200,1034,1033
mobilenet,200,958,956
mobilenet,200,882,881
mobilenet,200,806,804
mobilenet,200,3622,3621
mobilenet,200,453,452
mobilenet,200,307,305
mobilenet,200,226,224
mobilenet,200,146,145
resnet,200,3827,3826
mobilenet,200,22,20
resnet,200,3007,3006
mobilenet,200,22,20
resnet,200,3305,3303
mobilenet,200,27,25
resnet,200,3549,3547
mobilenet,200,21,19
resnet,200,257,256
resnet,200,391,389
resnet,200,3663,3662
resnet,200,319,317
mobilenet,200,21,19
resnet,200,235,233
mobilenet,200,30,29
mobilenet,200,21,19
resnet,200,532,530
mobilenet,200,24,22
resnet,200,385,383
resnet,200,4626,4624
resnet,200,217,216
mobilenet,200,129,127
resnet,200,252,250
mobilenet,200,21,19
mobilenet,200,128,126
resnet,200,347,345
resnet,200,5147,5146
resnet,200,365,363
resnet,200,197,195
resnet,200,4969,4967
resnet,200,209,208
mobilenet,200,26,25
mobilenet,200,64,62
resnet,200,303,301
resnet,200,5352,5350
mobilenet,200,39,37
resnet,200,209,207
mobilenet,200,89,87
resnet,200,5442,5440
resnet,200,148,147
mobilenet,200,127,125
mobilenet,200,87,85
resnet,200,194,192
resnet,200,4750,4748
mobilenet,200,76,74
mobilenet,200,105,103
resnet,200,419,417
mobilenet,200,99,97
mobilenet,200,164,163
resnet,200,5440,5438
resnet,200,134,132
resnet,200,677,676
mobilenet,200,236,234
mobilenet,200,49,47
resnet,200,228,226
mobilenet,200,22,21
resnet,200,8514,8513
resnet,200,242,240
resnet,200,5891,5889
resnet,200,509,507
resnet,200,250,248
mobilenet,200,59,57
mobilenet,200,33,32
resnet,200,306,304
resnet,200,7090,7088
mobilenet,200,37,35
mobilenet,200,39,37
mobilenet,200,156,155
mobilenet,200,29,27
mobilenet,200,78,77
resnet,200,6786,6781
mobilenet,200,75,74
resnet,200,140,138
mobilenet,200,47,46
resnet,200,7982,7981
mobilenet,200,95,93
resnet,200,6758,6756
resnet,200,134,132
mobilenet,200,39,37
resnet,200,547,545
resnet,200,6776,6775
mobilenet,200,121,115
resnet,200,6738,6737
resnet,200,563,561
resnet,200,185,183
resnet,200,6579,6577
mobilenet,200,78,77
resnet,200,181,179
resnet,200,294,292
mobilenet,200,30,28
resnet,200,7679,7678
resnet,200,142,141
mobilenet,200,92,90
resnet,200,243,242
mobilenet,200,95,93
resnet,200,7484,7482
resnet,200,207,205
resnet,200,125,123
mobilenet,200,28,26
resnet,200,148,146
resnet,200,7607,7605
mobilenet,200,64,62
resnet,200,235,233
mobilenet,200,40,38
mobilenet,200,21,19
resnet,200,160,158
resnet,200,210,209
mobilenet,200,55,53
resnet,200,216,215
mobilenet,200,36,34
resnet,200,140,139
resnet,200,138,136
resnet,200,264,263
mobilenet,200,75,74
mobilenet,200,21,19
mobilenet,200,24,23
resnet,200,125,124
mobilenet,200,28,27
mobilenet,200,29,27
resnet,200,125,124
mobilenet,200,31,30
mobilenet,200,21,19
mobilenet,200,21,20
mobilenet,200,27,25
mobilenet,200,22,20
mobilenet,200,34,32
mobilenet,200,27,26
mobilenet,200,44,42
mobilenet,200,36,34
resnet,200,190,189
mobilenet,200,48,47
resnet,200,326,325
resnet,200,249,247
resnet,200,123,121
mobilenet,200,29,27
resnet,200,162,160
mobilenet,200,21,19
mobilenet,200,32,30
mobilenet,200,78,77
resnet,200,197,195
resnet,200,321,319
resnet,200,215,213
mobilenet,200,22,20
resnet,200,147,145
mobilenet,200,58,56
resnet,200,470,468
resnet,200,398,396
resnet,200,124,123
mobilenet,200,27,26
mobilenet,200,30,28
mobilenet,200,58,57
resnet,200,237,235
resnet,200,149,148
resnet,200,176,174
mobilenet,200,28,26
resnet,200,143,141
mobilenet,200,35,33
resnet,200,150,149
resnet,200,222,220
resnet,200,209,207
resnet,200,220,218
mobilenet,200,37,36
mobilenet,200,37,36
resnet,200,267,265
mobilenet,200,30,28
mobilenet,200,27,25
mobilenet,200,21,19
mobilenet,200,26,24
mobilenet,200,34,32
resnet,200,171,170
mobilenet,200,113,111
mobilenet,200,51,49
mobilenet,200,78,76
mobilenet,200,106,104
mobilenet,200,21,19
resnet,200,374,372
mobilenet,200,29,28
resnet,200,123,121
resnet,200,128,126
mobilenet,200,65,63
mobilenet,200,34,32
mobilenet,200,27,25
mobilenet,200,28,26
mobilenet,200,27,25
resnet,200,124,122
mobilenet,200,70,68
resnet,200,179,177
mobilenet,200,21,19
mobilenet,200,43,41
resnet,200,148,147
resnet,200,237,236
resnet,200,214,212
mobilenet,200,132,130
mobilenet,200,34,32
resnet,200,425,423
mobilenet,200,75,73
resnet,200,252,251
resnet,200,166,164
mobilenet,200,35,33
resnet,200,155,154
mobilenet,200,56,55
mobilenet,200,35,33
mobilenet,200,39,37
resnet,200,197,195
resnet,200,171,170
resnet,200,302,300
mobilenet,200,30,28
resnet,200,191,189
resnet,200,151,150
resnet,200,176,174
resnet,200,136,134
resnet,200,251,249
mobilenet,200,128,126
resnet,200,389,387
resnet,200,128,126
mobilenet,200,28,27
resnet,200,256,254
mobilenet,200,26,24
resnet,200,174,172
resnet,200,385,383
mobilenet,200,27,25
resnet,200,302,301
resnet,200,421,419
resnet,200,217,215
mobilenet,200,74,72
resnet,200,197,195
mobilenet,200,39,38
mobilenet,200,27,25
resnet,200,125,124
mobilenet,200,70,67
mobilenet,200,25,23
mobilenet,200,133,131
resnet,200,391,390
mobilenet,200,49,47
mobilenet,200,36,34
resnet,200,245,243
resnet,200,177,175
resnet,200,123,122
mobilenet,200,43,41
mobilenet,200,27,25
mobilenet,200,52,50
resnet,200,170,169
mobilenet,200,61,60
resnet,200,232,230
resnet,200,123,121
resnet,200,147,145
resnet,200,129,127
resnet,200,125,124
resnet,200,152,151
resnet,200,188,186
resnet,200,416,414
mobilenet,200,169,168
resnet,200,341,340
resnet,200,143,142
resnet,200,557,555
mobilenet,200,42,41
resnet,200,266,264
resnet,200,411,409
mobilenet,200,28,27
resnet,200,237,235
mobilenet,200,26,25
resnet,200,134,132
mobilenet,200,35,33
resnet,200,243,241
mobilenet,200,75,74
resnet,200,299,297
mobilenet,200,26,24
resnet,200,396,394
mobilenet,200,37,36
resnet,200,355,353
resnet,200,158,156
resnet,200,179,178
mobilenet,200,29,27
resnet,200,131,129
mobilenet,200,29,27
mobilenet,200,20,19
resnet,200,124,122
resnet,200,149,147
mobilenet,200,26,25
resnet,200,129,127
mobilenet,200,31,29
mobilenet,200,33,31
mobilenet,200,26,24
resnet,200,286,285
mobilenet,200,96,94
resnet,200,358,356
mobilenet,200,83,81
resnet,200,275,273
resnet,200,135,133
resnet,200,290,289
mobilenet,200,32,30
resnet,200,134,133
mobilenet,200,36,35
mobilenet,200,54,52
mobilenet,200,38,36
mobilenet,200,37,35
mobilenet,200,30,28
mobilenet,200,29,27
mobilenet,200,32,30
mobilenet,200,33,31
mobilenet,200,30,29
mobilenet,200,28,26
mobilenet,200,21,20
mobilenet,200,26,24
resnet,200,148,146
mobilenet,200,27,25
mobilenet,200,21,19
resnet,200,124,122
resnet,200,123,121
mobilenet,200,25,23
mobilenet,200,30,29
mobilenet,200,58,57
resnet,200,208,206
mobilenet,200,31,29
resnet,200,161,159
resnet,200,209,208
mobilenet,200,74,72
resnet,200,276,274
resnet,200,327,325
resnet,200,127,125
mobilenet,200,57,56
mobilenet,200,51,49
resnet,200,294,293
resnet,200,189,188
resnet,200,152,150
resnet,200,135,133
mobilenet,200,27,26
resnet,200,197,195
mobilenet,200,123,122
resnet,200,370,368
mobilenet,200,141,139
resnet,200,127,125
resnet,200,128,126
resnet,200,472,470
resnet,200,291,290
resnet,200,222,220
mobilenet,200,32,30
resnet,200,217,215
mobilenet,200,28,26
mobilenet,200,27,25
resnet,200,130,128
mobilenet,200,33,31
resnet,200,175,173
mobilenet,200,102,101
resnet,200,210,209
resnet,200,145,144
mobilenet,200,38,37
resnet,200,150,149
resnet,200,286,284
resnet,200,253,251
resnet,200,129,127
resnet,200,302,300
mobilenet,200,29,27
resnet,200,248,246
mobilenet,200,50,48
mobilenet,200,27,25
mobilenet,200,26,25
mobilenet,200,27,25
resnet,200,185,184
mobilenet,200,43,42
mobilenet,200,40,39
resnet,200,307,305
mobilenet,200,75,74
mobilenet,200,52,50
mobilenet,200,41,39
mobilenet,200,21,19
mobilenet,200,21,19
resnet,200,126,125
mobilenet,200,46,45
resnet,200,173,171
resnet,200,124,122
resnet,200,154,153
resnet,200,125,123
mobilenet,200,27,26
mobilenet,200,45,44
resnet,200,165,163
resnet,200,149,148
mobilenet,200,38,37
mobilenet,200,24,22
mobilenet,200,35,34
resnet,200,266,264
mobilenet,200,93,91
resnet,200,264,262
resnet,200,215,213
mobilenet,200,24,22
mobilenet,200,44,42
resnet,200,410,408
mobilenet,200,33,31
resnet,200,368,367
mobilenet,200,24,23
mobilenet,200,33,31
mobilenet,200,69,67
mobilenet,200,39,38
mobilenet,200,24,22
resnet,200,274,272
resnet,200,286,284
resnet,200,134,132
resnet,200,126,125
mobilenet,200,39,37
resnet,200,169,167
mobilenet,200,28,26
mobilenet,200,36,34
mobilenet,200,27,25
mobilenet,200,22,20
mobilenet,200,21,19
mobilenet,200,21,19
resnet,200,123,121
mobilenet,200,26,25
resnet,200,154,153
resnet,200,197,196
resnet,200,215,213
mobilenet,200,93,92
mobilenet,200,35,33
resnet,200,301,300
mobilenet,200,130,129
mobilenet,200,29,27
resnet,200,517,515
resnet,200,153,151
resnet,200,500,498
mobilenet,200,114,112
resnet,200,148,146
mobilenet,200,30,28
resnet,200,149,148
resnet,200,226,224
resnet,200,125,123
resnet,200,498,496
mobilenet,200,107,105
resnet,200,452,451
resnet,200,351,349
resnet,200,140,138
resnet,200,148,147
mobilenet,200,26,24
resnet,200,126,124
mobilenet,200,22,20
