function,status,duration_ms,upstream_ms
mobilenet,200,2567,2565
mobilenet,200,1839,1837
mobilenet,200,1877,1876
mobilenet,200,2252,2250
mobilenet,200,1986,1985
mobilenet,200,2060,2060
mobilenet,200,2365,2364
mobilenet,200,2149,2148
mobilenet,200,2436,2435
mobilenet,200,2232,2230
mobilenet,200,2503,2502
mobilenet,200,95,93
mobilenet,200,2338,2337
mobilenet,200,2661,2660
mobilenet,200,135,134
mobilenet,200,2505,2504
mobilenet,200,89,89
mobilenet,200,2816,2807
resnet,200,3131,3129
mobilenet,200,2595,2593
mobilenet,200,164,163
mobilenet,200,41,39
mobilenet,200,2648,2647
mobilenet,200,89,88
mobilenet,200,2750,2748
mobilenet,200,37,36
mobilenet,200,53,51
mobilenet,200,2887,2887
mobilenet,200,68,67
mobilenet,200,27,27
mobilenet,200,2960,2958
resnet,200,3326,3325
resnet,200,350,349
mobilenet,200,38,36
mobilenet,200,3200,3199
mobilenet,200,35,32
mobilenet,200,3298,3296
mobilenet,200,30,30
mobilenet,200,23,21
mobilenet,200,3362,3361
mobilenet,200,30,30
resnet,200,393,393
mobilenet,200,3456,3455
mobilenet,200,25,23
resnet,200,3489,3484
mobilenet,200,3481,3480
mobilenet,200,24,23
mobilenet,200,3542,3541
mobilenet,200,32,32
mobilenet,200,29,27
mobilenet,200,3598,3597
mobilenet,200,66,65
resnet,200,230,228
mobilenet,200,3642,3641
mobilenet,200,31,31
mobilenet,200,57,57
resnet,200,608,607
mobilenet,200,3709,3708
mobilenet,200,106,105
mobilenet,200,57,57
mobilenet,200,3519,3517
resnet,200,3648,3647
mobilenet,200,130,130
mobilenet,200,101,101
mobilenet,200,3123,3122
resnet,200,511,510
mobilenet,200,101,101
mobilenet,200,204,202
mobilenet,200,3629,3627
mobilenet,200,2950,2949
mobilenet,200,54,52
mobilenet,200,3267,3266
mobilenet,200,225,224
mobilenet,200,3736,3735
mobilenet,200,260,260
mobilenet,200,3103,3102
mobilenet,200,61,59
resnet,200,906,904
mobilenet,200,3178,3177
resnet,200,531,530
resnet,200,3649,3647
mobilenet,200,3176,3175
mobilenet,200,288,288
mobilenet,200,54,52
mobilenet,200,3283,3281
mobilenet,200,3251,3250
mobilenet,200,305,304
mobilenet,200,3376,3375
mobilenet,200,52,50
mobilenet,200,3480,3478
mobilenet,200,315,315
mobilenet,200,91,91
mobilenet,200,3557,3556
mobilenet,200,73,73
mobilenet,200,249,247
mobilenet,200,141,139
mobilenet,200,3555,3554
resnet,200,1034,1034
mobilenet,200,250,248
mobilenet,200,3687,3685
mobilenet,200,130,130
mobilenet,200,508,506
resnet,200,4319,4318
mobilenet,200,3673,3672
mobilenet,200,170,168
mobilenet,200,246,245
resnet,200,966,966
mobilenet,200,3749,3748
resnet,200,1390,1390
mobilenet,200,149,149
mobilenet,200,3637,3635
mobilenet,200,243,242
mobilenet,200,135,134
mobilenet,200,4608,4607
mobilenet,200,314,313
