function,status,duration_ms,upstream_ms
mobilenet,200,3932,3930
mobilenet,200,3232,3231
mobilenet,200,3251,3250
mobilenet,200,3250,3248
mobilenet,200,61,60
mobilenet,200,26,25
mobilenet,200,3247,3246
mobilenet,200,3717,3715
mobilenet,200,3293,3292
mobilenet,200,3771,3769
mobilenet,200,4075,4074
mobilenet,200,3837,3835
mobilenet,200,3976,3974
mobilenet,200,3907,3906
mobilenet,200,4058,4056
mobilenet,200,3956,3954
mobilenet,200,3984,3982
mobilenet,200,4014,4013
mobilenet,200,4139,4138
mobilenet,200,4059,4057
mobilenet,200,4310,4309
mobilenet,200,4126,4125
mobilenet,200,4289,4287
mobilenet,200,3743,3741
mobilenet,200,3726,3725
mobilenet,200,3809,3807
mobilenet,200,3869,3867
mobilenet,200,3952,3950
mobilenet,200,3545,3543
mobilenet,200,3573,3571
mobilenet,200,3601,3599
mobilenet,200,3631,3630
mobilenet,200,3836,3834
mobilenet,200,3712,3684
mobilenet,200,4614,4612
mobilenet,200,755,754
mobilenet,200,3847,3845
mobilenet,200,4235,4233
mobilenet,200,3984,3982
mobilenet,200,3940,3938
mobilenet,200,4666,4665
mobilenet,200,3913,3912
mobilenet,200,4128,4124
mobilenet,200,3998,3996
mobilenet,200,4445,4443
mobilenet,200,4488,4487
mobilenet,200,3982,3980
mobilenet,200,4356,4354
mobilenet,200,4391,4390
mobilenet,200,4946,4944
mobilenet,200,4636,4635
mobilenet,200,4975,4973
mobilenet,200,4463,4461
mobilenet,200,4603,4602
mobilenet,200,5011,5010
mobilenet,200,1032,1032
mobilenet,200,986,984
mobilenet,200,990,989
mobilenet,200,932,931
mobilenet,200,933,932
mobilenet,200,895,893
mobilenet,200,896,894
mobilenet,200,840,837
mobilenet,200,811,810
mobilenet,200,800,798
mobilenet,200,795,793
mobilenet,200,715,714
mobilenet,200,706,704
mobilenet,200,623,620
mobilenet,200,623,621
mobilenet,200,623,620
mobilenet,200,606,605
mobilenet,200,589,588
mobilenet,200,586,585
mobilenet,200,587,584
mobilenet,200,588,586
mobilenet,200,586,584
mobilenet,200,587,586
mobilenet,200,580,578
mobilenet,200,582,580
mobilenet,200,578,577
mobilenet,200,559,557
mobilenet,200,521,520
mobilenet,200,479,478
mobilenet,200,485,484
mobilenet,200,479,477
mobilenet,200,442,441
mobilenet,200,385,383
mobilenet,200,367,365
mobilenet,200,348,346
mobilenet,200,355,353
mobilenet,200,332,331
mobilenet,200,262,260
mobilenet,200,249,247
mobilenet,200,172,170
mobilenet,200,174,172
mobilenet,200,178,177
mobilenet,200,173,170
mobilenet,200,176,174
mobilenet,200,175,175
mobilenet,200,156,154
mobilenet,200,158,157
mobilenet,200,153,152
mobilenet,200,152,152
mobilenet,200,132,132
mobilenet,200,131,131
mobilenet,200,124,124
mobilenet,200,100,100
mobilenet,200,110,109
mobilenet,200,111,111
mobilenet,200,121,120
mobilenet,200,132,131
mobilenet,200,77,77
mobilenet,200,85,85
mobilenet,200,59,59
resnet,200,6560,6559
mobilenet,200,132,131
mobilenet,200,53,52
resnet,200,2345,2343
mobilenet,200,57,55
resnet,200,1904,1903
resnet,200,2647,2645
mobilenet,200,23,21
mobilenet,200,45,45
mobilenet,200,21,20
resnet,200,2846,2844
mobilenet,200,31,29
resnet,200,3143,3141
resnet,200,3291,3289
resnet,200,3428,3426
mobilenet,200,23,21
resnet,200,3606,3604
resnet,200,3749,3747
resnet,200,3926,3924
resnet,200,8197,8196
resnet,200,7495,7493
mobilenet,200,29,27
resnet,200,3485,3483
resnet,200,7983,7981
mobilenet,200,23,21
resnet,200,4121,4120
mobilenet,200,81,80
resnet,200,8725,8723
resnet,200,4939,4937
resnet,200,5954,5952
resnet,200,6669,6667
mobilenet,200,86,85
resnet,200,7247,7246
mobilenet,200,67,66
mobilenet,200,24,24
resnet,200,606,605
mobilenet,200,28,26
resnet,200,7674,7672
mobilenet,200,81,79
mobilenet,200,110,110
mobilenet,200,86,86
mobilenet,200,27,27
resnet,200,7965,7963
mobilenet,200,23,22
resnet,200,848,848
resnet,200,7489,7487
mobilenet,200,24,23
mobilenet,200,23,23
resnet,200,1161,1160
mobilenet,200,90,89
resnet,200,12110,12109
mobilenet,200,25,24
resnet,200,867,865
resnet,200,1465,1465
resnet,200,13086,13085
resnet,200,1624,1624
resnet,200,8746,8744
resnet,200,1300,1300
resnet,200,13768,13766
resnet,200,1938,1938
resnet,200,1686,1684
mobilenet,200,23,22
resnet,200,14253,14251
resnet,200,1684,1683
resnet,200,15298,15297
resnet,200,1873,1872
mobilenet,200,68,66
mobilenet,200,27,27
