function,status,duration_ms,upstream_ms
mobilenet,200,2479,2479
mobilenet,200,498,497
mobilenet,200,35,33
resnet,200,2195,2193
mobilenet,200,25,23
resnet,200,186,184
mobilenet,200,69,67
mobilenet,200,27,26
mobilenet,200,48,46
mobilenet,200,68,66
resnet,200,256,254
resnet,200,150,148
resnet,200,341,339
mobilenet,200,61,59
resnet,200,355,354
resnet,200,159,158
mobilenet,200,55,53
mobilenet,200,24,23
resnet,200,142,141
resnet,200,294,293
resnet,200,215,213
resnet,200,181,180
mobilenet,200,35,32
mobilenet,200,26,24
resnet,200,140,138
resnet,200,340,338
mobilenet,200,47,46
mobilenet,200,74,72
mobilenet,200,30,29
mobilenet,200,42,41
mobilenet,200,29,27
resnet,200,367,365
resnet,200,171,169
resnet,200,330,329
mobilenet,200,46,44
resnet,200,338,337
mobilenet,200,21,19
mobilenet,200,41,36
mobilenet,200,23,22
resnet,200,156,155
resnet,200,296,294
mobilenet,200,44,42
resnet,200,313,311
mobilenet,200,28,26
resnet,200,299,298
resnet,200,138,137
mobilenet,200,64,62
resnet,200,313,311
resnet,200,224,222
resnet,200,318,316
resnet,200,179,177
mobilenet,200,81,80
resnet,200,133,132
resnet,200,272,270
resnet,200,208,207
mobilenet,200,29,28
resnet,200,411,406
mobilenet,200,30,28
mobilenet,200,49,47
mobilenet,200,29,27
resnet,200,133,132
mobilenet,200,79,78
resnet,200,303,302
resnet,200,233,231
resnet,200,338,336
mobilenet,200,72,71
mobilenet,200,29,28
resnet,200,133,131
resnet,200,303,302
resnet,200,136,134
mobilenet,200,75,74
mobilenet,200,62,61
resnet,200,200,199
mobilenet,200,56,54
mobilenet,200,61,59
resnet,200,239,238
mobilenet,200,61,59
resnet,200,343,341
mobilenet,200,48,46
resnet,200,350,349
mobilenet,200,22,20
resnet,200,323,320
mobilenet,200,21,19
mobilenet,200,34,32
mobilenet,200,45,44
resnet,200,140,138
mobilenet,200,59,54
resnet,200,371,370
mobilenet,200,59,57
resnet,200,332,330
mobilenet,200,46,44
resnet,200,306,304
resnet,200,144,143
resnet,200,299,297
mobilenet,200,31,29
mobilenet,200,48,47
mobilenet,200,57,55
mobilenet,200,25,23
mobilenet,200,44,42
mobilenet,200,31,29
mobilenet,200,22,20
mobilenet,200,28,27
resnet,200,328,326
mobilenet,200,22,20
resnet,200,304,302
mobilenet,200,26,25
resnet,200,254,252
resnet,200,163,162
mobilenet,200,22,20
mobilenet,200,35,33
resnet,200,208,207
resnet,200,174,173
resnet,200,385,383
mobilenet,200,53,52
mobilenet,200,70,65
resnet,200,192,191
resnet,200,186,184
mobilenet,200,77,75
mobilenet,200,29,28
resnet,200,219,217
resnet,200,396,395
resnet,200,270,268
mobilenet,200,29,28
resnet,200,176,175
mobilenet,200,49,47
mobilenet,200,21,20
mobilenet,200,22,20
resnet,200,395,393
resnet,200,263,261
resnet,200,207,206
mobilenet,200,24,22
mobilenet,200,90,88
resnet,200,172,171
resnet,200,198,196
resnet,200,370,368
mobilenet,200,45,44
mobilenet,200,82,80
mobilenet,200,52,51
resnet,200,184,183
mobilenet,200,35,33
resnet,200,299,297
mobilenet,200,37,35
mobilenet,200,34,32
mobilenet,200,22,21
mobilenet,200,112,110
mobilenet,200,86,84
mobilenet,200,29,27
mobilenet,200,27,26
mobilenet,200,52,50
mobilenet,200,23,22
resnet,200,140,138
mobilenet,200,85,84
resnet,200,224,223
resnet,200,186,184
mobilenet,200,73,70
resnet,200,150,149
resnet,200,198,196
mobilenet,200,71,69
mobilenet,200,26,24
mobilenet,200,34,32
resnet,200,323,321
resnet,200,187,186
mobilenet,200,40,38
resnet,200,135,133
resnet,200,198,196
resnet,200,324,322
mobilenet,200,45,44
resnet,200,321,319
mobilenet,200,25,24
resnet,200,316,315
mobilenet,200,25,23
mobilenet,200,32,30
resnet,200,322,321
mobilenet,200,22,20
resnet,200,328,327
resnet,200,135,134
resnet,200,195,193
mobilenet,200,71,68
resnet,200,137,135
mobilenet,200,45,43
resnet,200,339,337
resnet,200,205,203
resnet,200,294,293
resnet,200,199,198
mobilenet,200,77,72
mobilenet,200,22,21
mobilenet,200,37,35
mobilenet,200,84,81
mobilenet,200,28,26
mobilenet,200,28,26
resnet,200,417,416
mobilenet,200,47,45
mobilenet,200,86,84
mobilenet,200,21,20
mobilenet,200,21,20
resnet,200,319,317
mobilenet,200,25,23
mobilenet,200,61,59
resnet,200,271,270
mobilenet,200,57,55
resnet,200,299,298
mobilenet,200,40,35
mobilenet,200,48,47
mobilenet,200,22,21
mobilenet,200,32,31
mobilenet,200,32,31
resnet,200,157,155
resnet,200,192,191
mobilenet,200,31,29
mobilenet,200,21,20
resnet,200,169,168
mobilenet,200,47,45
resnet,200,147,146
resnet,200,160,158
resnet,200,344,342
mobilenet,200,48,47
mobilenet,200,75,73
resnet,200,228,226
mobilenet,200,28,27
resnet,200,359,356
resnet,200,206,205
mobilenet,200,38,37
mobilenet,200,26,24
mobilenet,200,33,32
resnet,200,258,257
mobilenet,200,37,35
resnet,200,351,349
resnet,200,220,219
resnet,200,349,348
mobilenet,200,35,33
resnet,200,346,345
resnet,200,167,166
resnet,200,300,298
resnet,200,139,137
resnet,200,262,257
mobilenet,200,35,34
resnet,200,135,134
resnet,200,321,319
mobilenet,200,21,20
resnet,200,225,223
mobilenet,200,27,26
resnet,200,137,135
resnet,200,302,301
resnet,200,204,202
resnet,200,211,210
mobilenet,200,89,84
resnet,200,135,134
mobilenet,200,39,37
mobilenet,200,41,40
resnet,200,139,137
mobilenet,200,33,32
resnet,200,306,305
mobilenet,200,30,29
mobilenet,200,36,34
mobilenet,200,23,21
mobilenet,200,22,20
resnet,200,291,289
mobilenet,200,31,30
resnet,200,171,169
resnet,200,294,293
mobilenet,200,48,45
mobilenet,200,39,37
resnet,200,362,360
mobilenet,200,25,24
resnet,200,251,250
mobilenet,200,26,25
resnet,200,171,170
resnet,200,257,255
resnet,200,148,146
resnet,200,218,217
resnet,200,352,350
resnet,200,186,184
resnet,200,363,361
resnet,200,147,145
resnet,200,364,362
mobilenet,200,52,51
resnet,200,280,278
resnet,200,173,171
resnet,200,136,135
resnet,200,302,301
mobilenet,200,42,41
mobilenet,200,42,40
resnet,200,383,383
mobilenet,200,50,49
mobilenet,200,26,24
resnet,200,134,133
resnet,200,291,290
resnet,200,176,175
mobilenet,200,99,98
resnet,200,378,376
mobilenet,200,36,35
resnet,200,330,328
mobilenet,200,59,59
resnet,200,260,258
resnet,200,172,170
mobilenet,200,41,40
mobilenet,200,44,42
resnet,200,210,208
mobilenet,200,49,47
resnet,200,8147,3234
mobilenet,200,3281,46
mobilenet,200,79,73
mobilenet,200,122,117
mobilenet,200,146,142
mobilenet,200,165,164
resnet,200,4841,1573
mobilenet,200,190,187
mobilenet,200,217,214
mobilenet,200,254,250
mobilenet,200,273,269
mobilenet,200,295,289
mobilenet,200,331,330
mobilenet,200,352,350
mobilenet,200,74,74
resnet,200,406,402
mobilenet,200,48,43
resnet,200,750,746
resnet,200,1100,1095
mobilenet,200,24,23
resnet,200,1340,1338
resnet,200,1478,1477
mobilenet,200,33,32
resnet,200,306,302
resnet,200,149,149
mobilenet,200,25,19
mobilenet,200,24,23
mobilenet,200,65,61
mobilenet,200,50,49
resnet,200,256,255
mobilenet,200,33,31
resnet,200,366,364
mobilenet,200,52,50
mobilenet,200,46,45
resnet,200,262,261
mobilenet,200,27,26
mobilenet,200,44,43
resnet,200,154,154
resnet,200,185,183
resnet,200,339,339
resnet,200,162,162
mobilenet,200,64,62
resnet,200,233,231
resnet,200,228,226
mobilenet,200,36,36
mobilenet,200,28,27
resnet,200,232,230
resnet,200,398,396
resnet,200,246,244
resnet,200,279,277
mobilenet,200,62,62
resnet,200,378,377
mobilenet,200,41,41
resnet,200,323,321
mobilenet,200,28,28
resnet,200,360,359
resnet,200,158,157
resnet,200,289,288
resnet,200,143,141
resnet,200,214,214
mobilenet,200,94,93
mobilenet,200,39,38
mobilenet,200,72,71
resnet,200,323,322
mobilenet,200,33,32
resnet,200,337,335
resnet,200,167,166
mobilenet,200,58,58
resnet,200,258,257
resnet,200,217,216
mobilenet,200,62,61
resnet,200,151,150
resnet,200,188,186
resnet,200,360,359
resnet,200,145,145
resnet,200,251,250
mobilenet,200,28,27
mobilenet,200,22,21
mobilenet,200,28,27
mobilenet,200,41,39
mobilenet,200,29,27
resnet,200,164,162
resnet,200,320,320
mobilenet,200,43,42
mobilenet,200,33,33
mobilenet,200,57,57
mobilenet,200,21,20
mobilenet,200,41,39
mobilenet,200,44,42
resnet,200,256,256
mobilenet,200,44,41
resnet,200,368,367
mobilenet,200,54,52
resnet,200,299,296
resnet,200,149,147
resnet,200,238,237
mobilenet,200,29,27
resnet,200,137,137
mobilenet,200,78,76
resnet,200,216,214
mobilenet,200,44,42
mobilenet,200,36,34
resnet,200,157,155
mobilenet,200,28,26
resnet,200,326,326
mobilenet,200,32,30
resnet,200,314,312
resnet,200,186,185
resnet,200,240,238
mobilenet,200,36,34
mobilenet,200,31,30
mobilenet,200,39,38
mobilenet,200,38,38
mobilenet,200,28,26
mobilenet,200,33,31
mobilenet,200,30,28
resnet,200,204,203
resnet,200,148,146
mobilenet,200,48,47
resnet,200,156,156
resnet,200,192,191
resnet,200,359,357
mobilenet,200,28,27
mobilenet,200,58,55
mobilenet,200,44,43
mobilenet,200,61,59
mobilenet,200,88,86
mobilenet,200,38,38
mobilenet,200,62,60
resnet,200,250,248
resnet,200,172,171
mobilenet,200,46,44
resnet,200,195,193
resnet,200,175,174
resnet,200,306,306
mobilenet,200,27,25
mobilenet,200,92,90
resnet,200,200,200
resnet,200,207,205
mobilenet,200,92,91
mobilenet,200,57,55
resnet,200,182,180
mobilenet,200,44,44
resnet,200,161,160
resnet,200,176,174
mobilenet,200,37,35
resnet,200,393,392
resnet,200,247,245
resnet,200,326,324
resnet,200,268,268
resnet,200,261,260
mobilenet,200,43,41
resnet,200,371,370
resnet,200,177,175
resnet,200,367,365
mobilenet,200,31,30
mobilenet,200,73,71
resnet,200,143,142
mobilenet,200,63,61
mobilenet,200,69,67
resnet,200,136,134
mobilenet,200,45,43
resnet,200,410,408
resnet,200,263,261
resnet,200,212,211
mobilenet,200,28,26
mobilenet,200,100,98
resnet,200,186,184
resnet,200,195,193
mobilenet,200,75,73
mobilenet,200,28,27
mobilenet,200,64,63
mobilenet,200,73,71
resnet,200,401,398
mobilenet,200,63,62
resnet,200,321,320
mobilenet,200,56,54
resnet,200,340,338
resnet,200,194,193
resnet,200,414,412
mobilenet,200,61,60
mobilenet,200,68,67
mobilenet,200,31,30
mobilenet,200,24,23
resnet,200,333,331
resnet,200,153,151
resnet,200,329,328
resnet,200,138,137
resnet,200,218,217
resnet,200,404,403
resnet,200,304,302
resnet,200,185,183
resnet,200,178,177
resnet,200,327,325
resnet,200,159,158
mobilenet,200,88,87
resnet,200,139,138
resnet,200,210,208
resnet,200,334,333
resnet,200,200,198
resnet,200,318,316
mobilenet,200,75,73
mobilenet,200,57,55
resnet,200,222,221
resnet,200,195,194
resnet,200,335,334
mobilenet,200,22,20
mobilenet,200,72,71
resnet,200,374,372
resnet,200,240,238
resnet,200,300,298
mobilenet,200,63,62
resnet,200,332,330
resnet,200,181,179
mobilenet,200,39,38
mobilenet,200,23,21
resnet,200,144,143
mobilenet,200,65,63
mobilenet,200,93,92
mobilenet,200,26,25
mobilenet,200,88,86
resnet,200,149,148
mobilenet,200,37,36
mobilenet,200,36,34
resnet,200,157,155
resnet,200,205,203
mobilenet,200,81,79
resnet,200,155,153
mobilenet,200,96,95
mobilenet,200,69,67
resnet,200,147,145
mobilenet,200,62,60
mobilenet,200,62,60
resnet,200,150,148
resnet,200,319,318
resnet,200,151,150
mobilenet,200,71,69
resnet,200,294,293
mobilenet,200,27,25
resnet,200,361,359
resnet,200,165,164
resnet,200,307,305
resnet,200,193,192
resnet,200,305,303
resnet,200,181,180
mobilenet,200,27,26
resnet,200,289,288
resnet,200,139,137
resnet,200,284,283
resnet,200,189,188
resnet,200,179,178
mobilenet,200,93,91
mobilenet,200,28,27
resnet,200,170,168
mobilenet,200,77,75
