timestamp,pod,scheduling_time_ms
I0518 07:30:14.890375,default/resnet-00001-deployment-57c4bfb987-ldhcq,17.038173
I0518 07:30:14.899559,default/mobilenet-00001-deployment-59bbf999b6-dzzhw,28.707153
I0518 07:30:14.901875,default/mobilenet-00001-deployment-59bbf999b6-c5c5c,15.753936
I0518 07:30:14.902190,default/mobilenet-00001-deployment-59bbf999b6-5b7kq,13.793735
I0518 07:30:15.012651,default/resnet-00001-deployment-57c4bfb987-6b67b,100.39025
I0518 07:30:15.106017,default/resnet-00001-deployment-57c4bfb987-lw8n9,195.714842
I0518 07:30:16.630027,default/mobilenet-00001-deployment-59bbf999b6-ps7th,26.419379
I0518 07:30:16.630392,default/resnet-00001-deployment-57c4bfb987-pp94m,34.713421
I0518 07:30:16.672871,default/resnet-00001-deployment-57c4bfb987-xdr6f,22.241498
I0518 07:30:16.697635,default/mobilenet-00001-deployment-59bbf999b6-rhfl4,57.715195
I0518 07:30:16.737048,default/mobilenet-00001-deployment-59bbf999b6-xcgb4,62.342316
I0518 07:30:16.750617,default/resnet-00001-deployment-57c4bfb987-pcqv2,74.138463
I0518 07:30:16.789828,default/resnet-00001-deployment-57c4bfb987-rx76v,59.441822
I0518 07:30:16.815417,default/mobilenet-00001-deployment-59bbf999b6-xmkhs,64.121573
I0518 07:30:16.826148,default/mobilenet-00001-deployment-59bbf999b6-67bns,72.57078
I0518 07:30:16.826276,default/mobilenet-00001-deployment-59bbf999b6-jgjcm,92.030061
I0518 07:30:16.826292,default/resnet-00001-deployment-57c4bfb987-r8vnf,81.295321
I0518 07:30:16.826395,default/resnet-00001-deployment-57c4bfb987-rkmwg,73.88937
I0518 07:30:18.569163,default/resnet-00001-deployment-57c4bfb987-rt8dx,13.507255
I0518 07:30:18.573017,default/mobilenet-00001-deployment-59bbf999b6-7vpgp,14.105957
I0518 07:30:18.629979,default/resnet-00001-deployment-57c4bfb987-lfxqg,21.45937
I0518 07:30:18.635203,default/mobilenet-00001-deployment-59bbf999b6-g6zvm,25.770418
I0518 07:30:20.608024,default/resnet-00001-deployment-57c4bfb987-pfrpx,45.39942
I0518 07:30:20.657293,default/resnet-00001-deployment-57c4bfb987-q8tdh,29.984837
I0518 07:30:20.670155,default/mobilenet-00001-deployment-59bbf999b6-xcdbx,29.430226
I0518 07:30:20.673078,default/resnet-00001-deployment-57c4bfb987-ktrs4,44.492403
I0518 07:30:20.796262,default/mobilenet-00001-deployment-59bbf999b6-hlrwq,83.230039
I0518 07:30:20.827421,default/resnet-00001-deployment-57c4bfb987-hcn8x,113.04556
I0518 07:30:20.827448,default/mobilenet-00001-deployment-59bbf999b6-fjzx4,100.25412
I0518 07:30:20.827421,default/resnet-00001-deployment-57c4bfb987-8fd8x,66.684401
I0518 07:30:23.829205,default/resnet-00001-deployment-57c4bfb987-l6qpg,223.629199
I0518 07:30:23.974121,default/resnet-00001-deployment-57c4bfb987-7hhh5,182.171013
I0518 07:30:24.120771,default/resnet-00001-deployment-57c4bfb987-ncq2w,296.827125
I0518 07:30:25.233031,default/resnet-00001-deployment-57c4bfb987-46r7s,129.885309
I0518 07:30:25.339885,default/resnet-00001-deployment-57c4bfb987-2vd8g,68.299361
I0518 07:30:25.370247,default/resnet-00001-deployment-57c4bfb987-92dwm,137.265684
I0518 07:30:25.652117,default/resnet-00001-deployment-57c4bfb987-x8cg8,74.156314
I0518 07:30:26.694455,default/resnet-00001-deployment-57c4bfb987-n487p,62.971926
I0518 07:30:26.815946,default/resnet-00001-deployment-57c4bfb987-lk2q7,71.302486
I0518 07:30:26.815946,default/resnet-00001-deployment-57c4bfb987-drvcf,72.29915
I0518 07:30:29.411868,default/resnet-00001-deployment-57c4bfb987-28pth,69.051471
I0518 07:30:29.637063,default/resnet-00001-deployment-57c4bfb987-cvvrs,105.495721
I0518 07:42:53.230133,default/resnet-00001-deployment-57c4bfb987-b7rl9,24.407948
