timestamp,pod,scheduling_time_ms
I0526 12:30:20.976429,default/resnet-00001-deployment-947756658-gpcc4,21.512103
I0526 12:30:20.984224,default/mobilenet-00001-deployment-6bcf547895-8vjbh,34.28959
I0526 12:30:26.660322,default/resnet-00001-deployment-947756658-skl6v,11.835557
I0526 12:32:00.853430,default/resnet-00001-deployment-947756658-zr78x,7.308738
I0526 12:33:20.669202,default/resnet-00001-deployment-947756658-9w69j,10.451011
I0526 12:34:56.902038,default/resnet-00001-deployment-947756658-v9rn2,5.742378
I0526 12:36:38.893913,default/resnet-00001-deployment-947756658-7dq79,5.514265
I0526 12:42:33.019939,default/mobilenet-00001-deployment-6bcf547895-gtt4k,7.089772
I0526 12:42:33.155510,default/resnet-00001-deployment-947756658-pzqdv,17.813503
I0526 12:42:38.654806,default/resnet-00001-deployment-947756658-97l8b,6.860382
I0526 12:53:57.375404,default/mobilenet-00001-deployment-6bcf547895-dnsbv,11.060084
I0526 12:53:57.413127,default/resnet-00001-deployment-947756658-xjrnm,8.033404
I0526 12:54:02.746074,default/resnet-00001-deployment-947756658-5r2m5,23.193246
I0526 12:55:38.663151,default/resnet-00001-deployment-947756658-nm4wf,5.142992
I0526 12:55:42.659039,default/resnet-00001-deployment-947756658-z7jcv,6.248499
I0526 12:56:58.722375,default/resnet-00001-deployment-947756658-q5w9r,6.156942
I0526 12:57:02.666698,default/resnet-00001-deployment-947756658-c5htx,8.218527
I0526 12:58:26.736444,default/resnet-00001-deployment-947756658-qlsjr,13.408221
I0526 13:00:08.778433,default/resnet-00001-deployment-947756658-vq2x5,5.218453
I0526 13:05:38.335242,default/mobilenet-00001-deployment-6bcf547895-m4xvr,10.144086
I0526 13:05:38.498037,default/resnet-00001-deployment-947756658-r9hdk,9.59975
I0526 13:05:46.660249,default/resnet-00001-deployment-947756658-spj6m,14.804923
I0526 13:22:44.515904,default/mobilenet-00001-deployment-6bcf547895-vw64z,14.868251
I0526 13:22:44.634524,default/resnet-00001-deployment-947756658-wpwxs,12.172295
I0526 13:35:30.046820,default/mobilenet-00001-deployment-6bcf547895-6h8ch,10.124884
I0526 13:35:30.136589,default/resnet-00001-deployment-947756658-vz9mx,9.582899
I0526 13:55:00.540646,default/mobilenet-00001-deployment-6bcf547895-dxwq4,13.921989
I0526 13:55:00.582546,default/resnet-00001-deployment-947756658-9dgdm,14.808993
I0526 14:12:28.756234,default/mobilenet-00001-deployment-6bcf547895-gnfdf,6.708488
I0526 14:12:28.995128,default/resnet-00001-deployment-947756658-h594v,30.682838
I0526 14:12:36.661080,default/resnet-00001-deployment-947756658-xzpv6,8.968886
I0526 14:14:03.154769,default/resnet-00001-deployment-947756658-5f6gr,11.390599
I0526 14:15:29.182900,default/resnet-00001-deployment-947756658-crw2h,5.401576
I0526 14:18:18.677160,default/resnet-00001-deployment-947756658-lbwzn,9.052203
I0526 14:23:12.302860,default/mobilenet-00001-deployment-6bcf547895-rp9wg,6.133914
I0526 14:23:12.471123,default/resnet-00001-deployment-947756658-r9qxd,12.779053
I0526 14:24:09.007816,default/resnet-00001-deployment-947756658-smr98,8.26996
I0526 14:25:34.808418,default/resnet-00001-deployment-947756658-7plpv,6.350119
I0526 14:26:51.154455,default/resnet-00001-deployment-947756658-t7kwn,5.071484
I0526 14:28:16.968604,default/resnet-00001-deployment-947756658-hmfbz,11.730104
I0526 14:29:31.225954,default/resnet-00001-deployment-947756658-cpz58,5.983729
I0526 14:29:34.719902,default/resnet-00001-deployment-947756658-fgzgj,76.005692
I0526 14:32:54.492010,default/mobilenet-00001-deployment-6bcf547895-tgv95,7.033789
I0526 14:32:54.612874,default/resnet-00001-deployment-947756658-cgsr9,10.175932
