timestamp,pod,scheduling_time_ms
I0519 11:31:01.869074,default/mobilenet-00001-deployment-59bbf999b6-gmxwh,13.480482
I0519 11:31:01.871657,default/resnet-00001-deployment-57c4bfb987-wt7pg,21.921521
I0519 11:31:01.899009,default/mobilenet-00001-deployment-59bbf999b6-vpgsl,14.660008
I0519 11:31:03.153206,default/resnet-00001-deployment-57c4bfb987-ftbcx,14.381024
I0519 11:31:03.155607,default/mobilenet-00001-deployment-59bbf999b6-6rsct,23.725698
I0519 11:31:03.219588,default/mobilenet-00001-deployment-59bbf999b6-kbptj,34.255085
I0519 11:31:03.224461,default/resnet-00001-deployment-57c4bfb987-dmcbx,36.094968
I0519 11:31:03.234781,default/resnet-00001-deployment-57c4bfb987-x9tf9,43.069719
I0519 11:31:05.206466,default/mobilenet-00001-deployment-59bbf999b6-l5bh6,14.948972
I0519 11:31:05.228460,default/mobilenet-00001-deployment-59bbf999b6-gtzbm,14.241485
I0519 11:31:05.235385,default/mobilenet-00001-deployment-59bbf999b6-w49n5,24.670686
I0519 11:31:05.282278,default/resnet-00001-deployment-57c4bfb987-pj4dp,44.737136
I0519 11:31:05.317735,default/resnet-00001-deployment-57c4bfb987-snqq5,18.85585
I0519 11:31:05.320558,default/resnet-00001-deployment-57c4bfb987-lz5wj,36.776324
I0519 11:31:05.365859,default/resnet-00001-deployment-57c4bfb987-qxbf8,18.976647
I0519 11:31:07.135575,default/resnet-00001-deployment-57c4bfb987-dsr26,10.047864
I0519 11:31:07.159921,default/resnet-00001-deployment-57c4bfb987-tkf8g,12.631955
I0519 11:31:07.161467,default/resnet-00001-deployment-57c4bfb987-ssg4x,11.751209
I0519 11:31:07.184096,default/resnet-00001-deployment-57c4bfb987-7p6sf,12.221323
I0519 11:31:09.535912,default/resnet-00001-deployment-57c4bfb987-gz7q6,219.13025
I0519 11:32:17.366124,default/resnet-00001-deployment-57c4bfb987-85hkh,7.383228
I0519 11:32:17.394512,default/resnet-00001-deployment-57c4bfb987-745dg,19.332574
I0519 11:32:19.145657,default/resnet-00001-deployment-57c4bfb987-4cnmc,16.797411
I0519 11:32:19.179878,default/resnet-00001-deployment-57c4bfb987-64pjk,26.150094
