function,status,duration_ms,upstream_ms
linpack,200,2526,2518
genmatrix,200,2884,2883
genmatrix,200,1401,1400
genmatrix,200,1004,1002
genmatrix,200,444,436
fastfouriertransform,200,3077,3068
fastfouriertransform,200,2799,2791
fastfouriertransform,200,2509,2501
fastfouriertransform,200,1319,1311
fastfouriertransform,200,2428,2420
fastfouriertransform,200,1739,1731
fastfouriertransform,200,56,46
fastfouriertransform,200,960,953
genmatrix,200,9,7
fetchdata,200,3132,3132
genmatrix,200,4,3
fetchdata,200,429,429
fetchdata,200,2686,2686
genmatrix,200,9,8
fetchdata,200,1876,1876
fetchdata,200,2444,2444
linpack,200,963,955
linpack,200,869,861
linpack,200,2671,2665
fetchdata,200,143,142
genmatrix,200,43,36
fastfouriertransform,200,1453,1445
fastfouriertransform,200,1359,1351
fastfouriertransform,200,958,944
fetchdata,200,76,76
fetchdata,200,81,81
genmatrix,200,40,32
matrixmul,200,2328,2318
linpack,200,3264,3260
genmatrix,200,5,5
fetchdata,200,86,86
fastfouriertransform,200,1389,1379
fastfouriertransform,200,798,794
genmatrix,200,8,7
genmatrix,200,4,3
matrixmul,200,690,686
matrixmul,200,2479,2470
fetchdata,200,76,76
genmatrix,200,4,4
linpack,200,3760,3752
linpack,200,783,774
genmatrix,200,5,4
matrixmul,200,3831,3822
fetchdata,200,78,78
linpack,200,14,10
genmatrix,200,37,28
linpack,200,5272,5264
linpack,200,4873,4865
genmatrix,200,6,5
matrixmul,200,884,875
matrixmul,200,790,786
fetchdata,200,80,80
matrixmul,200,16,11
fastfouriertransform,200,11,7
fetchdata,200,79,79
linpack,200,696,692
fetchdata,200,92,92
matrixmul,200,28,17
linpack,200,4373,4366
matrixmul,200,16,11
matrixmul,200,16,11
genmatrix,200,37,29
fastfouriertransform,200,19,10
linpack,200,1273,1270
fastfouriertransform,200,13,9
genmatrix,200,5,5
fastfouriertransform,200,731,720
genmatrix,200,8,7
fetchdata,200,76,76
fastfouriertransform,200,13,7
genmatrix,200,42,34
linpack,200,673,670
fetchdata,200,84,83
fastfouriertransform,200,15,11
genmatrix,200,35,29
linpack,200,10,7
fetchdata,200,78,78
genmatrix,200,8,7
linpack,200,22,9
genmatrix,200,9,8
fastfouriertransform,200,98,94
fastfouriertransform,200,10,6
genmatrix,200,8,7
fetchdata,200,86,86
fetchdata,200,87,87
fastfouriertransform,200,15,12
matrixmul,200,16,11
linpack,200,11,7
fetchdata,200,78,78
matrixmul,200,20,14
fetchdata,200,90,89
linpack,200,13,9
matrixmul,200,20,15
linpack,200,11,8
fetchdata,200,81,81
genmatrix,200,12,10
genmatrix,200,14,12
fastfouriertransform,200,14,10
fetchdata,200,76,76
genmatrix,200,4,4
linpack,200,19,18
fetchdata,200,83,82
fetchdata,200,83,83
linpack,200,697,690
fastfouriertransform,200,12,8
fastfouriertransform,200,11,7
fastfouriertransform,200,11,7
genmatrix,200,5,4
linpack,200,18,8
genmatrix,200,42,33
matrixmul,200,16,11
linpack,200,12,8
linpack,200,14,9
matrixmul,200,17,12
fetchdata,200,85,84
fastfouriertransform,200,11,7
matrixmul,200,554,549
fastfouriertransform,200,16,13
fastfouriertransform,200,14,10
genmatrix,200,4,4
fetchdata,200,77,76
matrixmul,200,813,807
fetchdata,200,78,78
genmatrix,200,12,10
fetchdata,200,78,77
matrixmul,200,1266,1262
matrixmul,200,1180,1174
matrixmul,200,888,883
matrixmul,200,497,492
matrixmul,200,414,409
fastfouriertransform,200,10,7
matrixmul,200,126,121
linpack,200,11,7
fastfouriertransform,200,15,11
fetchdata,200,83,82
fetchdata,200,76,76
fastfouriertransform,200,11,7
matrixmul,200,544,539
matrixmul,200,258,250
linpack,200,11,6
fetchdata,200,77,77
fetchdata,200,87,87
matrixmul,200,714,697
linpack,200,14,8
linpack,200,12,8
genmatrix,200,4,4
fastfouriertransform,200,10,7
linpack,200,11,7
matrixmul,200,1132,1127
matrixmul,200,1043,1038
matrixmul,200,853,848
matrixmul,200,169,163
fastfouriertransform,200,12,11
fastfouriertransform,200,13,8
fastfouriertransform,200,14,8
fastfouriertransform,200,10,7
fetchdata,200,78,78
fastfouriertransform,200,12,8
fetchdata,200,94,94
linpack,200,11,7
linpack,200,17,12
matrixmul,200,17,12
linpack,200,10,7
genmatrix,200,8,8
genmatrix,200,6,5
genmatrix,200,10,9
fetchdata,200,76,76
genmatrix,200,8,7
genmatrix,200,4,4
linpack,200,678,674
linpack,200,12,9
fastfouriertransform,200,14,10
linpack,200,11,7
fetchdata,200,76,75
fastfouriertransform,200,708,704
genmatrix,200,15,12
fastfouriertransform,200,224,11
fetchdata,200,83,83
linpack,200,11,7
genmatrix,200,90,28
linpack,200,702,698
linpack,200,10,6
fastfouriertransform,200,11,7
genmatrix,200,6,6
fastfouriertransform,200,14,10
linpack,200,14,10
genmatrix,200,8,7
linpack,200,11,6
linpack,200,684,680
genmatrix,200,4,4
genmatrix,200,47,35
fastfouriertransform,200,15,11
fastfouriertransform,200,10,7
genmatrix,200,4,4
genmatrix,200,5,5
matrixmul,200,562,556
fastfouriertransform,200,11,7
fastfouriertransform,200,11,7
fetchdata,200,76,76
matrixmul,200,908,903
matrixmul,200,518,512
matrixmul,200,435,429
linpack,200,15,11
fetchdata,200,87,87
fetchdata,200,81,81
genmatrix,200,8,7
fetchdata,200,76,76
fastfouriertransform,200,750,738
fetchdata,200,83,83
linpack,200,10,7
fetchdata,200,76,76
fastfouriertransform,200,753,749
fetchdata,200,76,76
matrixmul,200,18,12
fetchdata,200,81,80
fastfouriertransform,200,708,705
genmatrix,200,12,11
linpack,200,714,710
fetchdata,200,84,84
fetchdata,200,79,78
fetchdata,200,85,85
genmatrix,200,5,5
fetchdata,200,84,83
fetchdata,200,76,76
genmatrix,200,9,7
fastfouriertransform,200,713,709
fastfouriertransform,200,713,709
matrixmul,200,559,554
genmatrix,200,49,33
fastfouriertransform,200,13,9
genmatrix,200,4,3
