function,status,duration_ms,upstream_ms
fastfouriertransform,200,1844,1841
genmatrix,200,1686,1685
fastfouriertransform,200,12,8
fetchdata,200,2055,2055
fastfouriertransform,200,20,17
linpack,200,2305,2301
fastfouriertransform,200,11,7
linpack,200,2040,2037
fetchdata,200,83,82
linpack,200,12,8
linpack,200,11,7
linpack,200,883,879
fetchdata,200,83,83
linpack,200,713,709
fastfouriertransform,200,15,11
genmatrix,200,10,9
fetchdata,200,88,87
matrixmul,200,2698,2680
fastfouriertransform,200,11,7
matrixmul,200,21,16
genmatrix,200,9,8
linpack,200,713,709
fastfouriertransform,200,16,12
matrixmul,200,20,16
fastfouriertransform,200,740,736
fastfouriertransform,200,11,7
genmatrix,200,37,31
linpack,200,724,721
linpack,200,11,7
fastfouriertransform,200,12,8
fetchdata,200,85,85
fastfouriertransform,200,11,7
fastfouriertransform,200,724,720
genmatrix,200,10,8
genmatrix,200,4,4
genmatrix,200,10,9
fetchdata,200,132,131
genmatrix,200,37,31
fastfouriertransform,200,11,8
fetchdata,200,93,93
fetchdata,200,78,78
matrixmul,200,566,561
genmatrix,200,40,33
linpack,200,11,7
genmatrix,200,5,4
fetchdata,200,85,84
genmatrix,200,8,7
genmatrix,200,6,5
fetchdata,200,82,82
genmatrix,200,4,4
matrixmul,200,562,557
matrixmul,200,16,12
genmatrix,200,5,4
fetchdata,200,80,80
linpack,200,14,11
genmatrix,200,35,29
linpack,200,729,726
linpack,200,707,704
genmatrix,200,5,4
fetchdata,200,89,89
matrixmul,200,16,11
fastfouriertransform,200,12,8
fetchdata,200,87,86
fetchdata,200,78,77
matrixmul,200,16,11
fastfouriertransform,200,725,721
matrixmul,200,16,11
matrixmul,200,23,17
genmatrix,200,46,39
fastfouriertransform,200,11,7
fastfouriertransform,200,12,9
linpack,200,734,730
genmatrix,200,4,4
genmatrix,200,9,8
fetchdata,200,131,130
fastfouriertransform,200,11,7
genmatrix,200,48,42
fetchdata,200,83,83
fastfouriertransform,200,11,7
genmatrix,200,45,38
linpack,200,16,12
fetchdata,200,81,81
genmatrix,200,8,7
linpack,200,19,15
fastfouriertransform,200,14,11
genmatrix,200,10,8
fastfouriertransform,200,12,8
genmatrix,200,9,8
fetchdata,200,77,77
fetchdata,200,80,80
fastfouriertransform,200,11,7
matrixmul,200,16,11
linpack,200,13,9
fetchdata,200,85,85
matrixmul,200,15,11
fetchdata,200,89,89
linpack,200,12,7
matrixmul,200,16,12
linpack,200,15,11
fetchdata,200,85,85
genmatrix,200,8,7
genmatrix,200,10,9
linpack,200,743,739
fastfouriertransform,200,11,7
fetchdata,200,87,87
genmatrix,200,5,4
linpack,200,11,7
fetchdata,200,130,130
fetchdata,200,82,81
fastfouriertransform,200,11,7
fastfouriertransform,200,14,10
fastfouriertransform,200,11,7
genmatrix,200,5,4
linpack,200,14,10
genmatrix,200,42,33
