function,status,duration_ms,upstream_ms
fastfouriertransform,200,2668,2657
fastfouriertransform,200,2345,2337
fastfouriertransform,200,2002,1994
fastfouriertransform,200,1812,1804
fetchdata,200,353,352
genmatrix,200,2985,2983
genmatrix,200,1412,1411
genmatrix,200,361,354
genmatrix,200,498,497
fetchdata,200,705,704
genmatrix,200,1833,1826
genmatrix,200,1384,1383
genmatrix,200,690,689
genmatrix,200,1440,1439
genmatrix,200,795,794
genmatrix,200,2152,2150
genmatrix,200,954,953
genmatrix,200,1336,1329
fetchdata,200,3097,3096
genmatrix,200,1115,1108
genmatrix,200,915,913
genmatrix,200,2414,2413
genmatrix,200,329,328
linpack,200,3074,3066
fetchdata,200,1493,1492
fetchdata,200,1877,1877
genmatrix,200,34,28
fetchdata,200,2623,2623
fastfouriertransform,200,2293,2285
fastfouriertransform,200,2251,2243
fastfouriertransform,200,2058,2050
fastfouriertransform,200,1957,1950
fastfouriertransform,200,2416,2408
fetchdata,200,482,482
genmatrix,200,6,6
genmatrix,200,12,10
fetchdata,200,511,511
fetchdata,200,3163,3163
genmatrix,200,50,43
fetchdata,200,1609,1608
fetchdata,200,1991,1990
genmatrix,200,37,28
linpack,200,2643,2635
fetchdata,200,2034,2034
genmatrix,200,6,6
fetchdata,200,3727,3726
fetchdata,200,1265,1264
genmatrix,200,9,9
fastfouriertransform,200,2647,2640
fastfouriertransform,200,2360,2352
fastfouriertransform,200,4120,4113
fastfouriertransform,200,3973,3965
fastfouriertransform,200,1238,1230
fetchdata,200,621,621
genmatrix,200,12,12
fetchdata,200,572,572
fetchdata,200,472,472
fetchdata,200,212,212
linpack,200,26,16
fetchdata,200,262,262
linpack,200,3674,3666
linpack,200,2583,2576
linpack,200,3340,3332
linpack,200,2040,2030
fetchdata,200,156,156
linpack,200,15,8
fetchdata,200,150,150
linpack,200,14,7
genmatrix,200,11,10
fetchdata,200,94,93
genmatrix,200,9,8
fastfouriertransform,200,1826,1811
fastfouriertransform,200,1629,1624
fastfouriertransform,200,1584,1577
fastfouriertransform,200,1339,1331
fastfouriertransform,200,1204,1195
fastfouriertransform,200,904,898
fastfouriertransform,200,812,809
fastfouriertransform,200,621,614
fastfouriertransform,200,15,8
matrixmul,200,4420,4411
genmatrix,200,9,8
fetchdata,200,101,100
fetchdata,200,94,93
fastfouriertransform,200,12,9
linpack,200,2630,2628
fastfouriertransform,200,15,7
fetchdata,200,135,135
fastfouriertransform,200,10,7
genmatrix,200,5,4
genmatrix,200,43,35
matrixmul,200,3682,3673
linpack,200,730,722
linpack,200,551,548
linpack,200,202,195
linpack,200,58,54
linpack,200,18,15
fastfouriertransform,200,15,8
fetchdata,200,100,100
linpack,200,3408,3403
fastfouriertransform,200,12,7
fastfouriertransform,200,11,8
matrixmul,200,3805,3797
matrixmul,200,3314,3306
matrixmul,200,3777,3768
matrixmul,200,3156,3146
matrixmul,200,3047,3043
matrixmul,200,1825,1818
matrixmul,200,3034,3026
matrixmul,200,5235,5227
genmatrix,200,4,4
matrixmul,200,5443,5434
matrixmul,200,683,676
matrixmul,200,541,532
matrixmul,200,1760,1753
matrixmul,200,1611,1600
fetchdata,200,107,106
matrixmul,200,551,546
genmatrix,200,26,25
fetchdata,200,102,101
fastfouriertransform,200,12,9
linpack,200,12,9
fastfouriertransform,200,16,13
linpack,200,6706,6698
fetchdata,200,96,95
matrixmul,200,1102,1098
matrixmul,200,520,517
matrixmul,200,481,477
fastfouriertransform,200,11,7
matrixmul,200,1047,1043
matrixmul,200,1004,995
matrixmul,200,859,844
matrixmul,200,469,465
linpack,200,11,8
fetchdata,200,958,958
fetchdata,200,452,452
fetchdata,200,99,99
linpack,200,9,7
fetchdata,200,92,92
linpack,200,9,7
matrixmul,200,643,639
matrixmul,200,501,498
genmatrix,200,6,5
fastfouriertransform,200,10,7
