timestamp,pod,scheduling_time_ms
I0529 13:00:44.156770,default/fastfouriertransform-00001-deployment-d48746479-qfv5f,22.677017
I0529 13:00:44.163039,default/fetchdata-00001-deployment-d457c4fdf-f9f89,30.903291
I0529 13:00:44.227253,default/fastfouriertransform-00001-deployment-d48746479-rd42f,20.362434
I0529 13:00:44.227596,default/fastfouriertransform-00001-deployment-d48746479-7djdl,25.137768
I0529 13:00:44.260452,default/genmatrix-00001-deployment-776c8ff9db-gdwt4,18.684817
I0529 13:00:44.265898,default/fetchdata-00001-deployment-d457c4fdf-nspwt,30.338622
I0529 13:00:44.265898,default/fetchdata-00001-deployment-d457c4fdf-h4td4,54.282423
I0529 13:00:44.266921,default/linpack-00001-deployment-788844df7-wg25m,15.831119
I0529 13:00:44.298901,default/fetchdata-00001-deployment-d457c4fdf-gx8q4,89.874789
I0529 13:00:44.340917,default/linpack-00001-deployment-788844df7-lcnpm,128.643279
I0529 13:00:44.346023,default/fastfouriertransform-00001-deployment-d48746479-q2gcd,31.228737
I0529 13:00:44.374592,default/fastfouriertransform-00001-deployment-d48746479-kb5nn,54.968907
I0529 13:00:44.398434,default/genmatrix-00001-deployment-776c8ff9db-6sdjd,63.752757
I0529 13:00:44.405872,default/genmatrix-00001-deployment-776c8ff9db-bw5ss,59.097887
I0529 13:00:44.410887,default/linpack-00001-deployment-788844df7-fx9qk,78.639318
I0529 13:00:44.439701,default/matrixmul-00001-deployment-5cf6968dcf-fqx5v,54.772832
I0529 13:00:44.440093,default/linpack-00001-deployment-788844df7-fmxt4,91.997242
I0529 13:00:44.488053,default/genmatrix-00001-deployment-776c8ff9db-4kp74,51.635135
I0529 13:00:44.488094,default/genmatrix-00001-deployment-776c8ff9db-gj2z7,52.427119
I0529 13:00:44.638469,default/matrixmul-00001-deployment-5cf6968dcf-8jzjf,84.834435
I0529 13:00:45.026541,default/matrixmul-00001-deployment-5cf6968dcf-88nxn,390.553021
I0529 13:00:46.038536,default/fetchdata-00001-deployment-d457c4fdf-dxwq4,25.343825
I0529 13:00:46.210964,default/genmatrix-00001-deployment-776c8ff9db-5dctn,28.178781
I0529 13:00:46.404655,default/fastfouriertransform-00001-deployment-d48746479-wdpts,61.386415
I0529 13:00:46.430281,default/linpack-00001-deployment-788844df7-svvdq,76.799033
I0529 13:00:48.209948,default/linpack-00001-deployment-788844df7-cb4nh,18.847113
I0529 13:00:48.392978,default/fetchdata-00001-deployment-d457c4fdf-qftcv,66.353268
I0529 13:00:48.500225,default/matrixmul-00001-deployment-5cf6968dcf-zln4t,93.512174
I0529 13:00:48.633811,default/matrixmul-00001-deployment-5cf6968dcf-tr27d,71.779086
I0529 13:00:50.059752,default/matrixmul-00001-deployment-5cf6968dcf-87bh4,26.310329
I0529 13:00:50.141488,default/linpack-00001-deployment-788844df7-mxjrx,79.996175
I0529 13:00:50.143214,default/matrixmul-00001-deployment-5cf6968dcf-rkb4w,40.095236
I0529 13:00:50.167455,default/matrixmul-00001-deployment-5cf6968dcf-2xhg6,59.852315
I0529 13:00:50.235378,default/linpack-00001-deployment-788844df7-kr2nk,74.966154
I0529 13:00:52.023768,default/linpack-00001-deployment-788844df7-xdss4,18.318981
I0529 13:00:52.131142,default/matrixmul-00001-deployment-5cf6968dcf-pvfht,61.225358
I0529 13:00:52.143761,default/matrixmul-00001-deployment-5cf6968dcf-kd4tc,38.517656
I0529 13:00:52.178738,default/matrixmul-00001-deployment-5cf6968dcf-szn47,47.992527
I0529 13:00:52.207037,default/matrixmul-00001-deployment-5cf6968dcf-2hhql,41.763224
I0529 13:00:54.049498,default/matrixmul-00001-deployment-5cf6968dcf-86c28,26.025531
I0529 13:00:54.126507,default/matrixmul-00001-deployment-5cf6968dcf-bfnwz,46.253261
I0529 13:00:54.128734,default/matrixmul-00001-deployment-5cf6968dcf-qqdsl,96.49052
I0529 13:00:57.958803,default/fastfouriertransform-00001-deployment-d48746479-5vjbm,17.993221
I0529 13:00:57.970865,default/fastfouriertransform-00001-deployment-d48746479-qt8t6,19.992636
I0529 13:00:58.000871,default/fastfouriertransform-00001-deployment-d48746479-gnsw7,26.447422
I0529 13:00:58.013463,default/fastfouriertransform-00001-deployment-d48746479-r2pcm,27.409815
I0529 13:00:59.989411,default/fastfouriertransform-00001-deployment-d48746479-bh8z7,31.159588
I0529 13:01:00.001091,default/fastfouriertransform-00001-deployment-d48746479-4hjhp,17.609497
I0529 13:01:00.009358,default/fastfouriertransform-00001-deployment-d48746479-sh278,31.909425
I0529 13:01:00.102322,default/fastfouriertransform-00001-deployment-d48746479-vnlfl,57.073972
I0529 13:01:02.969728,default/fastfouriertransform-00001-deployment-d48746479-7m8z9,66.347194
I0529 13:10:53.424885,default/genmatrix-00001-deployment-776c8ff9db-vs75l,26.516037
I0529 13:10:53.425266,default/fetchdata-00001-deployment-d457c4fdf-xj8t2,31.630188
I0529 13:10:53.425565,default/fastfouriertransform-00001-deployment-d48746479-ns56l,30.254085
I0529 13:10:53.509718,default/linpack-00001-deployment-788844df7-p9qxm,101.653691
I0529 13:10:53.645051,default/matrixmul-00001-deployment-5cf6968dcf-gc5mw,27.46923
I0529 13:10:54.144731,default/fetchdata-00001-deployment-d457c4fdf-cfdgr,192.500094
I0529 13:10:54.158100,default/fastfouriertransform-00001-deployment-d48746479-72g7p,83.402438
I0529 13:10:54.259389,default/fastfouriertransform-00001-deployment-d48746479-qb655,74.107256
I0529 13:10:54.410917,default/genmatrix-00001-deployment-776c8ff9db-b8zrj,27.979197
I0529 13:10:54.437316,default/linpack-00001-deployment-788844df7-b4hzv,10.704675
I0529 13:10:54.542275,default/linpack-00001-deployment-788844df7-7rvs6,7.409038
I0529 13:10:56.023155,default/linpack-00001-deployment-788844df7-d6bz7,29.392189
I0529 13:10:56.144073,default/linpack-00001-deployment-788844df7-vwckd,70.010816
I0529 13:10:56.246967,default/fetchdata-00001-deployment-d457c4fdf-kw6v4,78.553808
I0529 13:10:56.428990,default/fetchdata-00001-deployment-d457c4fdf-bl2bp,51.325061
I0529 13:10:56.454983,default/fetchdata-00001-deployment-d457c4fdf-xzfb8,67.839059
I0529 13:10:56.478622,default/matrixmul-00001-deployment-5cf6968dcf-fvkql,95.553086
I0529 13:10:56.654792,default/matrixmul-00001-deployment-5cf6968dcf-h8vgs,107.792254
I0529 13:10:56.700131,default/genmatrix-00001-deployment-776c8ff9db-bzsn4,46.265467
I0529 13:10:56.700131,default/fastfouriertransform-00001-deployment-d48746479-4hkrr,42.533253
I0529 13:10:56.801162,default/fastfouriertransform-00001-deployment-d48746479-pgxcp,67.460018
I0529 13:10:56.860098,default/genmatrix-00001-deployment-776c8ff9db-lmnpf,56.654306
I0529 13:10:56.972856,default/genmatrix-00001-deployment-776c8ff9db-ltcgg,194.450699
I0529 13:10:58.035470,default/linpack-00001-deployment-788844df7-ch4lj,46.193965
I0529 13:10:58.145379,default/fastfouriertransform-00001-deployment-d48746479-22949,76.695422
I0529 13:10:58.391945,default/matrixmul-00001-deployment-5cf6968dcf-22s46,35.584662
I0529 13:10:58.644227,default/matrixmul-00001-deployment-5cf6968dcf-wk7zq,120.308257
I0529 13:11:00.024659,default/fastfouriertransform-00001-deployment-d48746479-gzgxc,28.640145
I0529 13:11:00.024768,default/linpack-00001-deployment-788844df7-rlqdp,32.347822
I0529 13:11:00.074271,default/linpack-00001-deployment-788844df7-xx42w,10.732249
I0529 13:11:00.167309,default/matrixmul-00001-deployment-5cf6968dcf-xsx9w,38.221922
I0529 13:11:00.220507,default/matrixmul-00001-deployment-5cf6968dcf-p9pb6,30.071897
I0529 13:11:00.243977,default/matrixmul-00001-deployment-5cf6968dcf-5hwsb,44.408211
I0529 13:11:01.976398,default/linpack-00001-deployment-788844df7-lxgnl,28.850925
I0529 13:11:01.976614,default/matrixmul-00001-deployment-5cf6968dcf-snmvm,18.031546
I0529 13:11:02.057165,default/matrixmul-00001-deployment-5cf6968dcf-hxk9n,57.882295
I0529 13:11:02.123139,default/matrixmul-00001-deployment-5cf6968dcf-f78g5,55.950688
I0529 13:11:02.195153,default/matrixmul-00001-deployment-5cf6968dcf-fs94j,61.97553
I0529 13:11:04.363958,default/matrixmul-00001-deployment-5cf6968dcf-pdkxp,26.762631
I0529 13:11:04.600651,default/matrixmul-00001-deployment-5cf6968dcf-2wqrt,95.94614
I0529 13:11:04.600735,default/matrixmul-00001-deployment-5cf6968dcf-82sbr,74.478661
I0529 13:11:08.016373,default/fastfouriertransform-00001-deployment-d48746479-twrgp,23.792107
I0529 13:11:08.034031,default/fastfouriertransform-00001-deployment-d48746479-j275k,26.949223
I0529 13:11:10.417100,default/fastfouriertransform-00001-deployment-d48746479-276fj,26.187143
I0529 13:11:10.448502,default/fastfouriertransform-00001-deployment-d48746479-kxc4f,26.405052
I0529 13:11:10.511675,default/fastfouriertransform-00001-deployment-d48746479-v8gkz,42.19608
I0529 13:11:12.084948,default/fastfouriertransform-00001-deployment-d48746479-95gbl,15.61897
I0529 13:20:53.859464,default/genmatrix-00001-deployment-776c8ff9db-9vnvb,85.143443
I0529 13:20:53.859490,default/fastfouriertransform-00001-deployment-d48746479-5tg4f,86.669543
I0529 13:20:54.012635,default/linpack-00001-deployment-788844df7-4x4md,40.327931
I0529 13:20:54.047072,default/fetchdata-00001-deployment-d457c4fdf-9vbjl,27.491284
I0529 13:20:54.159810,default/matrixmul-00001-deployment-5cf6968dcf-4chz6,54.535437
I0529 13:20:55.977164,default/matrixmul-00001-deployment-5cf6968dcf-472vr,13.27363
I0529 13:20:55.993549,default/fastfouriertransform-00001-deployment-d48746479-mgwwk,26.468983
I0529 13:20:56.017542,default/matrixmul-00001-deployment-5cf6968dcf-rwr6x,21.28912
I0529 13:20:56.079744,default/fastfouriertransform-00001-deployment-d48746479-wbrxw,54.373787
I0529 13:20:56.137658,default/fastfouriertransform-00001-deployment-d48746479-69nn6,110.239194
I0529 13:20:56.286029,default/genmatrix-00001-deployment-776c8ff9db-2vdhm,199.189195
I0529 13:20:56.419022,default/linpack-00001-deployment-788844df7-x9vx8,130.445752
I0529 13:20:56.509029,default/genmatrix-00001-deployment-776c8ff9db-zxz5v,139.145265
