timestamp,pod,scheduling_time_ms
I0602 12:40:47.473806,default/fastfouriertransform-00001-deployment-78d877fd9c-8sp6c,11.197222
I0602 12:40:47.474614,default/genmatrix-00001-deployment-5444456b78-9p8vx,14.402066
I0602 12:40:47.479878,default/genmatrix-00001-deployment-5444456b78-w5fc5,10.108774
I0602 12:40:47.482027,default/fastfouriertransform-00001-deployment-78d877fd9c-ch4qm,11.245
I0602 12:40:47.490449,default/genmatrix-00001-deployment-5444456b78-hqjxk,16.670166
I0602 12:40:47.492291,default/fastfouriertransform-00001-deployment-78d877fd9c-frg9b,20.296418
I0602 12:40:47.499156,default/fastfouriertransform-00001-deployment-78d877fd9c-j8rnv,16.955204
I0602 12:40:47.503798,default/genmatrix-00001-deployment-5444456b78-n6vrv,16.146979
I0602 12:40:47.545174,default/fetchdata-00001-deployment-759f5b8c55-j7rfk,12.639931
I0602 12:40:47.547767,default/matrixmul-00001-deployment-78f7668cf4-fx2kk,9.50868
I0602 12:40:47.554300,default/fetchdata-00001-deployment-759f5b8c55-8dw8c,10.231126
I0602 12:40:47.558474,default/fetchdata-00001-deployment-759f5b8c55-hst7v,15.849034
I0602 12:40:47.568833,default/fetchdata-00001-deployment-759f5b8c55-msspr,15.827515
I0602 12:40:47.712052,default/linpack-00001-deployment-6d74694468-4twcs,5.467296
I0602 12:40:47.803354,default/matrixmul-00001-deployment-78f7668cf4-j44wv,5.923945
I0602 12:40:47.854658,default/matrixmul-00001-deployment-78f7668cf4-4bgln,5.793186
I0602 12:40:48.053253,default/linpack-00001-deployment-6d74694468-ltqc6,5.635315
I0602 12:40:48.102983,default/linpack-00001-deployment-6d74694468-bnlxv,4.767812
I0602 12:40:48.352619,default/linpack-00001-deployment-6d74694468-pjvcs,5.125869
I0602 12:40:49.951852,default/fetchdata-00001-deployment-759f5b8c55-ttfkn,4.908202
I0602 12:40:50.054479,default/linpack-00001-deployment-6d74694468-5k52j,6.027057
I0602 12:40:50.102775,default/fastfouriertransform-00001-deployment-78d877fd9c-r9k2x,5.133554
I0602 12:40:50.181516,default/genmatrix-00001-deployment-5444456b78-4v4st,12.619209
I0602 12:40:50.355651,default/fastfouriertransform-00001-deployment-78d877fd9c-gbb8k,5.681926
I0602 12:40:50.405310,default/genmatrix-00001-deployment-5444456b78-9vg59,6.58893
I0602 12:40:51.510461,default/matrixmul-00001-deployment-78f7668cf4-pnppl,5.633907
I0602 12:40:51.704450,default/fetchdata-00001-deployment-759f5b8c55-7xjn5,4.585145
I0602 12:40:51.753143,default/matrixmul-00001-deployment-78f7668cf4-chs4l,4.449571
I0602 12:40:52.002876,default/fetchdata-00001-deployment-759f5b8c55-wxfph,4.322459
I0602 12:40:52.152785,default/linpack-00001-deployment-6d74694468-gtpjg,4.352125
I0602 12:40:52.203678,default/fastfouriertransform-00001-deployment-78d877fd9c-cdldx,5.334814
I0602 12:40:53.503581,default/linpack-00001-deployment-6d74694468-f76v8,5.787741
I0602 12:40:54.004268,default/fetchdata-00001-deployment-759f5b8c55-wl9sj,6.069039
I0602 12:40:54.154162,default/fetchdata-00001-deployment-759f5b8c55-zttfj,5.22937
I0602 12:40:55.404029,default/fetchdata-00001-deployment-759f5b8c55-x4kz7,5.22861
I0602 12:40:55.563138,default/fetchdata-00001-deployment-759f5b8c55-6qgzn,8.22325
I0602 12:40:55.602478,default/fetchdata-00001-deployment-759f5b8c55-bdrsh,3.87331
I0602 12:40:57.233411,default/fetchdata-00001-deployment-759f5b8c55-bqhgc,7.504544
I0602 12:40:57.240121,default/matrixmul-00001-deployment-78f7668cf4-f42bt,9.869571
I0602 12:40:57.249473,default/matrixmul-00001-deployment-78f7668cf4-lhrs4,10.55524
I0602 12:40:59.228820,default/matrixmul-00001-deployment-78f7668cf4-d86ng,4.450997
I0602 12:41:05.231507,default/fetchdata-00001-deployment-759f5b8c55-8tt5p,4.983869
I0602 12:41:07.228180,default/fetchdata-00001-deployment-759f5b8c55-qx25k,5.986169
I0602 12:51:34.338984,default/genmatrix-00001-deployment-5444456b78-rjv5f,7.925464
I0602 12:51:34.340332,default/fastfouriertransform-00001-deployment-78d877fd9c-czz4j,7.661166
I0602 12:51:34.364030,default/fetchdata-00001-deployment-759f5b8c55-x7kqt,15.430666
I0602 12:51:34.379494,default/linpack-00001-deployment-6d74694468-5k52k,15.671261
I0602 12:51:34.473025,default/matrixmul-00001-deployment-78f7668cf4-w8rgx,7.731407
I0602 12:51:35.234133,default/genmatrix-00001-deployment-5444456b78-zzt8s,8.236577
I0602 12:51:35.240577,default/genmatrix-00001-deployment-5444456b78-jhdd7,7.876908
I0602 12:51:35.240954,default/fastfouriertransform-00001-deployment-78d877fd9c-5xvtj,10.780707
I0602 12:51:35.246725,default/fastfouriertransform-00001-deployment-78d877fd9c-c9zqn,7.115384
I0602 12:51:35.365962,default/fetchdata-00001-deployment-759f5b8c55-f2xr7,4.270845
I0602 12:51:35.495227,default/linpack-00001-deployment-6d74694468-gzr6h,12.272458
I0602 12:51:35.664365,default/matrixmul-00001-deployment-78f7668cf4-rxc6p,4.880146
I0602 12:51:35.716963,default/linpack-00001-deployment-6d74694468-9k772,5.823634
I0602 12:51:37.270376,default/fastfouriertransform-00001-deployment-78d877fd9c-jqgtf,6.686382
I0602 12:51:37.324425,default/fetchdata-00001-deployment-759f5b8c55-527lp,4.55931
