timestamp,pod,scheduling_time_ms
I0528 12:50:30.632137,default/fastfouriertransform-00001-deployment-d48746479-hfc8p,18.942457
I0528 12:50:30.717155,default/fetchdata-00001-deployment-d457c4fdf-cp2z8,104.744158
I0528 12:50:30.795450,default/genmatrix-00001-deployment-776c8ff9db-67xth,211.480638
I0528 12:50:30.881598,default/linpack-00001-deployment-788844df7-6d8r2,59.236791
I0528 12:50:32.391380,default/matrixmul-00001-deployment-5cf6968dcf-fl7dj,14.766068
I0528 12:50:36.383754,default/linpack-00001-deployment-788844df7-92chh,9.610462
I0528 13:03:04.240230,default/fastfouriertransform-00001-deployment-d48746479-phz4b,9.256014
I0528 13:03:04.397017,default/genmatrix-00001-deployment-776c8ff9db-8slql,6.297826
I0528 13:03:04.797378,default/fetchdata-00001-deployment-d457c4fdf-7mrkp,13.113251
I0528 13:03:05.008093,default/linpack-00001-deployment-788844df7-2xhbf,12.464335
I0528 13:03:07.209163,default/matrixmul-00001-deployment-5cf6968dcf-pwk9h,13.425848
I0528 13:15:07.822741,default/fastfouriertransform-00001-deployment-d48746479-j5sdw,14.004298
I0528 13:15:07.859197,default/genmatrix-00001-deployment-776c8ff9db-48c95,8.20698
I0528 13:15:08.181202,default/fetchdata-00001-deployment-d457c4fdf-p4d8l,12.444314
I0528 13:15:08.421820,default/linpack-00001-deployment-788844df7-wft5m,9.071603
I0528 13:15:10.635520,default/matrixmul-00001-deployment-5cf6968dcf-fngvj,12.441536
I0528 13:25:38.366669,default/fastfouriertransform-00001-deployment-d48746479-qmnpf,11.525005
I0528 13:25:38.552247,default/genmatrix-00001-deployment-776c8ff9db-h27tm,63.915293
I0528 13:25:38.720975,default/fetchdata-00001-deployment-d457c4fdf-lk6p9,10.952497
I0528 13:25:39.110247,default/linpack-00001-deployment-788844df7-7strl,15.455057
I0528 13:25:41.295780,default/matrixmul-00001-deployment-5cf6968dcf-d6fhj,7.41671
I0528 13:36:07.745431,default/fastfouriertransform-00001-deployment-d48746479-j6cgp,21.158216
I0528 13:36:07.800563,default/genmatrix-00001-deployment-776c8ff9db-kwshs,28.967915
I0528 13:36:07.955038,default/fetchdata-00001-deployment-d457c4fdf-xjxrc,16.463299
I0528 13:36:08.359150,default/linpack-00001-deployment-788844df7-nl9gx,23.054
I0528 13:36:10.537912,default/matrixmul-00001-deployment-5cf6968dcf-mplzs,8.818232
I0528 13:48:11.217527,default/fastfouriertransform-00001-deployment-d48746479-q9t6s,12.962507
I0528 13:48:11.273355,default/genmatrix-00001-deployment-776c8ff9db-49jvf,37.952769
I0528 13:48:11.497181,default/fetchdata-00001-deployment-d457c4fdf-q5ckb,23.037143
I0528 13:48:11.895425,default/linpack-00001-deployment-788844df7-2xrr2,74.729521
I0528 13:48:14.034670,default/matrixmul-00001-deployment-5cf6968dcf-gdqrn,6.260547
I0528 13:57:43.984433,default/fastfouriertransform-00001-deployment-d48746479-7hxvd,7.83492
I0528 13:57:44.040697,default/genmatrix-00001-deployment-776c8ff9db-5jwjg,9.170548
I0528 13:57:44.252369,default/fetchdata-00001-deployment-d457c4fdf-prssf,8.104052
I0528 13:57:44.602799,default/linpack-00001-deployment-788844df7-wz6cj,8.087942
I0528 13:57:46.795404,default/matrixmul-00001-deployment-5cf6968dcf-n5tch,8.37702
I0528 14:10:02.443737,default/fastfouriertransform-00001-deployment-d48746479-n2cs9,9.76875
I0528 14:10:02.482445,default/genmatrix-00001-deployment-776c8ff9db-f9ngv,22.511449
I0528 14:10:02.704180,default/fetchdata-00001-deployment-d457c4fdf-c7v69,34.957311
I0528 14:10:03.129630,default/linpack-00001-deployment-788844df7-d6dtn,70.160089
I0528 14:10:05.264259,default/matrixmul-00001-deployment-5cf6968dcf-gsxdx,7.403771
I0528 14:20:46.239003,default/fastfouriertransform-00001-deployment-d48746479-hrj2b,8.33528
I0528 14:20:46.347407,default/genmatrix-00001-deployment-776c8ff9db-sthp8,37.43366
I0528 14:20:46.520904,default/fetchdata-00001-deployment-d457c4fdf-pcgp5,29.432625
I0528 14:20:47.075774,default/linpack-00001-deployment-788844df7-w74kk,43.165646
I0528 14:20:49.079290,default/matrixmul-00001-deployment-5cf6968dcf-bs5nl,11.321858
I0528 14:32:52.404765,default/fastfouriertransform-00001-deployment-d48746479-flxps,26.444598
I0528 14:32:52.452598,default/genmatrix-00001-deployment-776c8ff9db-b6d8n,15.702045
I0528 14:32:52.580209,default/fetchdata-00001-deployment-d457c4fdf-zqhw8,9.833151
I0528 14:32:53.082630,default/linpack-00001-deployment-788844df7-874xf,11.916273
I0528 14:32:55.181918,default/matrixmul-00001-deployment-5cf6968dcf-wlbw7,9.262051
