Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-06-12,15:09:36,68.5,242.9,0.513,2.092
2026-06-12,15:09:37,68.5,242.9,0.513,2.092
2026-06-12,15:09:38,68.5,242.9,0.513,2.092
2026-06-12,15:09:39,68.5,242.9,0.513,2.092
2026-06-12,15:09:40,68.5,242.9,0.513,2.092
2026-06-12,15:09:41,68.5,242.9,0.513,2.092
2026-06-12,15:09:42,68.5,242.9,0.513,2.092
2026-06-12,15:09:43,68.5,242.9,0.513,2.092
2026-06-12,15:09:44,68.5,242.9,0.513,2.092
2026-06-12,15:09:45,68.5,242.9,0.513,2.092
2026-06-12,15:09:46,68.5,242.9,0.513,2.092
2026-06-12,15:09:47,68.5,242.9,0.513,2.092
2026-06-12,15:09:48,68.5,242.9,0.513,2.092
2026-06-12,15:09:49,68.5,242.9,0.513,2.092
2026-06-12,15:09:50,68.5,242.9,0.513,2.092
2026-06-12,15:09:51,68.5,242.9,0.513,2.092
2026-06-12,15:09:52,68.5,242.9,0.513,2.092
2026-06-12,15:09:53,68.5,242.9,0.513,2.092
2026-06-12,15:09:54,68.5,242.9,0.513,2.092
2026-06-12,15:09:55,68.5,242.9,0.513,2.092
2026-06-12,15:09:56,95.3,242.5,0.651,2.092
2026-06-12,15:09:57,95.3,242.5,0.651,2.092
2026-06-12,15:09:58,95.3,242.5,0.651,2.092
2026-06-12,15:09:59,95.3,242.5,0.651,2.092
2026-06-12,15:10:00,95.3,242.5,0.651,2.092
2026-06-12,15:10:01,95.3,242.5,0.651,2.092
2026-06-12,15:10:02,95.3,242.5,0.651,2.092
2026-06-12,15:10:03,95.3,242.5,0.651,2.092
2026-06-12,15:10:04,95.3,242.5,0.651,2.092
2026-06-12,15:10:05,95.3,242.5,0.651,2.092
2026-06-12,15:10:06,95.3,242.5,0.651,2.092
2026-06-12,15:10:07,95.3,242.5,0.651,2.092
2026-06-12,15:10:08,95.3,242.5,0.651,2.092
2026-06-12,15:10:09,95.3,242.5,0.651,2.092
2026-06-12,15:10:10,95.3,242.5,0.651,2.092
2026-06-12,15:10:11,95.3,242.5,0.651,2.092
2026-06-12,15:10:12,95.3,242.5,0.651,2.092
2026-06-12,15:10:13,95.3,242.5,0.651,2.092
2026-06-12,15:10:14,95.3,242.5,0.651,2.092
2026-06-12,15:10:15,95.3,242.5,0.651,2.092
2026-06-12,15:10:16,95.3,242.5,0.651,2.092
2026-06-12,15:10:17,95.3,242.5,0.651,2.092
2026-06-12,15:10:18,95.3,242.5,0.651,2.092
2026-06-12,15:10:19,95.3,242.5,0.651,2.092
2026-06-12,15:10:20,95.3,242.5,0.651,2.092
2026-06-12,15:10:21,95.3,242.5,0.651,2.092
2026-06-12,15:10:22,95.3,242.5,0.651,2.092
2026-06-12,15:10:23,95.3,242.5,0.651,2.092
2026-06-12,15:10:24,95.3,242.5,0.651,2.092
2026-06-12,15:10:25,95.3,242.5,0.651,2.092
2026-06-12,15:10:26,95.3,242.5,0.651,2.092
2026-06-12,15:10:27,95.3,242.5,0.651,2.092
2026-06-12,15:10:28,95.3,242.5,0.651,2.092
2026-06-12,15:10:29,95.3,242.5,0.651,2.092
2026-06-12,15:10:30,95.3,242.5,0.651,2.092
2026-06-12,15:10:31,95.3,242.5,0.651,2.092
2026-06-12,15:10:32,95.3,242.5,0.651,2.092
2026-06-12,15:10:33,95.3,242.5,0.651,2.092
2026-06-12,15:10:34,95.3,242.5,0.651,2.092
2026-06-12,15:10:36,95.3,242.5,0.651,2.092
2026-06-12,15:10:37,95.3,242.5,0.651,2.092
2026-06-12,15:10:38,95.3,242.5,0.651,2.092
2026-06-12,15:10:39,95.3,242.5,0.651,2.092
2026-06-12,15:10:40,95.3,242.5,0.651,2.092
2026-06-12,15:10:41,95.3,242.5,0.651,2.092
2026-06-12,15:10:42,95.3,242.5,0.651,2.092
2026-06-12,15:10:43,95.3,242.5,0.651,2.092
2026-06-12,15:10:44,95.3,242.5,0.651,2.092
2026-06-12,15:10:45,95.3,242.5,0.651,2.092
2026-06-12,15:10:46,95.3,242.5,0.651,2.092
2026-06-12,15:10:47,95.3,242.5,0.651,2.092
2026-06-12,15:10:48,95.3,242.5,0.651,2.092
2026-06-12,15:10:49,95.3,242.5,0.651,2.092
2026-06-12,15:10:50,95.3,242.5,0.651,2.092
2026-06-12,15:10:51,95.3,242.5,0.651,2.092
2026-06-12,15:10:52,95.3,242.5,0.651,2.092
2026-06-12,15:10:53,95.3,242.5,0.651,2.092
2026-06-12,15:10:54,95.3,242.5,0.651,2.092
2026-06-12,15:10:55,95.3,242.5,0.651,2.092
2026-06-12,15:10:56,95.3,242.5,0.651,2.092
2026-06-12,15:10:57,95.3,242.5,0.651,2.092
2026-06-12,15:10:58,95.3,242.5,0.651,2.092
2026-06-12,15:10:59,95.3,242.5,0.651,2.092
2026-06-12,15:11:00,95.3,242.5,0.651,2.092
2026-06-12,15:11:01,95.3,242.5,0.651,2.092
2026-06-12,15:11:02,95.3,242.5,0.651,2.092
2026-06-12,15:11:03,95.3,242.5,0.651,2.092
2026-06-12,15:11:04,95.3,242.5,0.651,2.092
2026-06-12,15:11:05,95.3,242.5,0.651,2.092
2026-06-12,15:11:06,95.3,242.5,0.651,2.092
2026-06-12,15:11:07,95.3,242.5,0.651,2.092
2026-06-12,15:11:08,95.3,242.5,0.651,2.092
2026-06-12,15:11:09,95.3,242.5,0.651,2.092
2026-06-12,15:11:10,95.3,242.5,0.651,2.092
2026-06-12,15:11:11,95.3,242.5,0.651,2.092
2026-06-12,15:11:12,95.3,242.5,0.651,2.092
2026-06-12,15:11:13,95.3,242.5,0.651,2.092
2026-06-12,15:11:14,95.3,242.5,0.651,2.092
2026-06-12,15:11:15,95.3,242.5,0.651,2.092
