Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-06-22,09:17:14,67.3,243.8,0.526,14.369
2026-06-22,09:17:15,67.3,243.8,0.526,14.369
2026-06-22,09:17:16,67.3,243.8,0.526,14.369
2026-06-22,09:17:17,67.3,243.8,0.526,14.369
2026-06-22,09:17:18,67.3,243.8,0.526,14.369
2026-06-22,09:17:19,67.3,243.8,0.526,14.369
2026-06-22,09:17:20,67.3,243.8,0.526,14.369
2026-06-22,09:17:21,67.3,243.8,0.526,14.369
2026-06-22,09:17:22,67.3,243.8,0.526,14.369
2026-06-22,09:17:23,67.3,243.8,0.526,14.369
2026-06-22,09:17:24,67.3,243.8,0.526,14.369
2026-06-22,09:17:25,67.3,243.8,0.526,14.369
2026-06-22,09:17:26,67.3,243.8,0.526,14.369
2026-06-22,09:17:27,67.3,243.8,0.526,14.369
2026-06-22,09:17:28,67.3,243.8,0.526,14.369
2026-06-22,09:17:29,67.3,243.8,0.526,14.369
2026-06-22,09:17:30,67.3,243.8,0.526,14.369
2026-06-22,09:17:31,67.3,243.8,0.526,14.369
2026-06-22,09:17:32,67.3,243.8,0.526,14.369
2026-06-22,09:17:33,67.3,243.8,0.526,14.369
2026-06-22,09:17:34,67.3,243.8,0.526,14.369
2026-06-22,09:17:35,67.3,243.8,0.526,14.369
2026-06-22,09:17:36,67.3,243.8,0.526,14.369
2026-06-22,09:17:37,67.3,243.8,0.526,14.369
2026-06-22,09:17:38,67.3,243.8,0.526,14.369
2026-06-22,09:17:39,67.3,243.8,0.526,14.369
2026-06-22,09:17:40,67.3,243.8,0.526,14.369
2026-06-22,09:17:41,67.3,243.8,0.526,14.369
2026-06-22,09:17:42,67.3,243.8,0.526,14.369
2026-06-22,09:17:43,67.3,243.8,0.526,14.369
2026-06-22,09:17:44,67.3,243.8,0.526,14.369
2026-06-22,09:17:45,67.3,243.8,0.526,14.369
2026-06-22,09:17:46,67.3,243.8,0.526,14.369
2026-06-22,09:17:47,67.3,243.8,0.526,14.369
2026-06-22,09:17:48,67.3,243.8,0.526,14.369
2026-06-22,09:17:49,87.2,243.5,0.643,14.369
