Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-07-07,16:36:36,66.6,240.8,0.49,6.078
2026-07-07,16:36:37,66.6,240.8,0.49,6.078
2026-07-07,16:36:38,66.6,240.8,0.49,6.078
2026-07-07,16:36:39,66.6,240.8,0.49,6.078
2026-07-07,16:36:40,66.6,240.8,0.49,6.078
2026-07-07,16:36:41,66.6,240.8,0.49,6.078
2026-07-07,16:36:42,66.6,240.8,0.49,6.078
2026-07-07,16:36:43,66.6,240.8,0.49,6.078
2026-07-07,16:36:44,66.6,240.8,0.49,6.078
2026-07-07,16:36:45,66.6,240.8,0.49,6.078
2026-07-07,16:36:46,66.6,240.8,0.49,6.078
2026-07-07,16:36:47,66.6,240.8,0.49,6.078
2026-07-07,16:36:48,66.6,240.8,0.49,6.078
2026-07-07,16:36:49,66.6,240.8,0.49,6.078
2026-07-07,16:36:50,66.6,240.8,0.49,6.078
2026-07-07,16:36:51,66.6,240.8,0.49,6.078
2026-07-07,16:36:52,66.6,240.8,0.49,6.078
2026-07-07,16:36:53,66.6,240.8,0.49,6.078
2026-07-07,16:36:54,66.6,240.8,0.49,6.078
2026-07-07,16:36:55,66.6,240.8,0.49,6.078
2026-07-07,16:36:56,66.6,240.8,0.49,6.078
2026-07-07,16:36:57,66.6,240.8,0.49,6.078
2026-07-07,16:36:58,66.6,240.8,0.49,6.078
2026-07-07,16:36:59,66.6,240.8,0.49,6.078
2026-07-07,16:37:00,66.6,240.8,0.49,6.078
2026-07-07,16:37:01,66.6,240.8,0.49,6.078
2026-07-07,16:37:02,66.6,240.8,0.49,6.078
2026-07-07,16:37:03,66.6,240.8,0.49,6.078
2026-07-07,16:37:04,66.6,240.8,0.49,6.078
2026-07-07,16:37:05,66.6,240.8,0.49,6.078
2026-07-07,16:37:06,66.6,240.8,0.49,6.078
2026-07-07,16:37:07,66.6,240.8,0.49,6.078
2026-07-07,16:37:08,66.6,240.8,0.49,6.078
2026-07-07,16:37:09,66.6,240.8,0.49,6.078
2026-07-07,16:37:10,66.6,240.8,0.49,6.078
2026-07-07,16:37:11,66.6,240.8,0.49,6.078
2026-07-07,16:37:12,66.6,240.8,0.49,6.078
2026-07-07,16:37:13,66.6,240.8,0.49,6.078
2026-07-07,16:37:14,66.6,240.8,0.49,6.078
2026-07-07,16:37:15,66.6,240.8,0.49,6.078
2026-07-07,16:37:16,66.6,240.8,0.49,6.078
2026-07-07,16:37:17,66.6,240.8,0.49,6.078
2026-07-07,16:37:18,66.6,240.8,0.49,6.078
2026-07-07,16:37:19,66.6,240.8,0.49,6.078
2026-07-07,16:37:20,66.6,240.8,0.49,6.078
2026-07-07,16:37:21,66.6,240.8,0.49,6.078
2026-07-07,16:37:22,66.6,240.8,0.49,6.078
2026-07-07,16:37:23,66.6,240.8,0.49,6.078
2026-07-07,16:37:24,66.6,240.8,0.49,6.078
2026-07-07,16:37:25,66.6,240.8,0.49,6.078
2026-07-07,16:37:26,66.6,240.8,0.49,6.078
2026-07-07,16:37:27,66.6,240.8,0.49,6.078
2026-07-07,16:37:28,66.6,240.8,0.49,6.078
2026-07-07,16:37:29,66.6,240.8,0.49,6.078
2026-07-07,16:37:30,66.6,240.8,0.49,6.078
2026-07-07,16:37:31,66.6,240.8,0.49,6.078
2026-07-07,16:37:32,94.9,241.7,0.659,6.078
2026-07-07,16:37:33,94.9,241.7,0.659,6.078
2026-07-07,16:37:34,94.9,241.7,0.659,6.078
2026-07-07,16:37:35,94.9,241.7,0.659,6.078
2026-07-07,16:37:36,94.9,241.7,0.659,6.078
2026-07-07,16:37:37,94.9,241.7,0.659,6.078
2026-07-07,16:37:38,94.9,241.7,0.659,6.078
2026-07-07,16:37:39,94.9,241.7,0.659,6.078
2026-07-07,16:37:41,94.9,241.7,0.659,6.078
2026-07-07,16:37:42,94.9,241.7,0.659,6.078
2026-07-07,16:37:43,94.9,241.7,0.659,6.078
2026-07-07,16:37:44,94.9,241.7,0.659,6.078
2026-07-07,16:37:45,94.9,241.7,0.659,6.078
2026-07-07,16:37:46,94.9,241.7,0.659,6.078
2026-07-07,16:37:47,94.9,241.7,0.659,6.078
2026-07-07,16:37:48,94.9,241.7,0.659,6.078
2026-07-07,16:37:49,94.9,241.7,0.659,6.078
2026-07-07,16:37:50,94.9,241.7,0.659,6.078
2026-07-07,16:37:51,94.9,241.7,0.659,6.078
2026-07-07,16:37:52,94.9,241.7,0.659,6.078
2026-07-07,16:37:53,94.9,241.7,0.659,6.078
2026-07-07,16:37:54,94.9,241.7,0.659,6.078
2026-07-07,16:37:55,94.9,241.7,0.659,6.078
2026-07-07,16:37:56,94.9,241.7,0.659,6.078
2026-07-07,16:37:57,94.9,241.7,0.659,6.078
2026-07-07,16:37:58,94.9,241.7,0.659,6.078
2026-07-07,16:37:59,94.9,241.7,0.659,6.078
2026-07-07,16:38:00,94.9,241.7,0.659,6.078
2026-07-07,16:38:01,94.9,241.7,0.659,6.078
2026-07-07,16:38:02,94.9,241.7,0.659,6.078
2026-07-07,16:38:03,94.9,241.7,0.659,6.078
2026-07-07,16:38:04,94.9,241.7,0.659,6.078
2026-07-07,16:38:05,94.9,241.7,0.659,6.078
2026-07-07,16:38:06,94.9,241.7,0.659,6.078
2026-07-07,16:38:07,94.9,241.7,0.659,6.078
2026-07-07,16:38:08,94.9,241.7,0.659,6.078
2026-07-07,16:38:09,94.9,241.7,0.659,6.078
2026-07-07,16:38:10,94.9,241.7,0.659,6.078
2026-07-07,16:38:11,94.9,241.7,0.659,6.078
2026-07-07,16:38:12,94.9,241.7,0.659,6.078
2026-07-07,16:38:13,94.9,241.7,0.659,6.078
2026-07-07,16:38:14,94.9,241.7,0.659,6.078
2026-07-07,16:38:15,94.9,241.7,0.659,6.078
2026-07-07,16:38:16,94.9,241.7,0.659,6.078
2026-07-07,16:38:17,94.9,241.7,0.659,6.078
2026-07-07,16:38:18,94.9,241.7,0.659,6.078
2026-07-07,16:38:19,94.9,241.7,0.659,6.078
2026-07-07,16:38:20,94.9,241.7,0.659,6.078
2026-07-07,16:38:21,94.9,241.7,0.659,6.078
2026-07-07,16:38:22,94.9,241.7,0.659,6.078
2026-07-07,16:38:23,94.9,241.7,0.659,6.078
2026-07-07,16:38:24,94.9,241.7,0.659,6.078
2026-07-07,16:38:25,94.9,241.7,0.659,6.078
2026-07-07,16:38:26,94.9,241.7,0.659,6.078
2026-07-07,16:38:27,94.9,241.7,0.659,6.078
2026-07-07,16:38:28,94.9,241.7,0.659,6.078
2026-07-07,16:38:29,94.9,241.7,0.659,6.078
2026-07-07,16:38:30,94.9,241.7,0.659,6.078
2026-07-07,16:38:31,94.9,241.7,0.659,6.078
2026-07-07,16:38:32,94.9,241.7,0.659,6.078
2026-07-07,16:38:33,94.9,241.7,0.659,6.078
2026-07-07,16:38:34,94.9,241.7,0.659,6.078
2026-07-07,16:38:35,94.9,241.7,0.659,6.078
2026-07-07,16:38:36,94.9,241.7,0.659,6.078
2026-07-07,16:38:37,94.9,241.7,0.659,6.078
2026-07-07,16:38:38,147.2,241.3,0.968,6.078
2026-07-07,16:38:39,147.2,241.3,0.968,6.078
2026-07-07,16:38:40,147.2,241.3,0.968,6.078
2026-07-07,16:38:41,147.2,241.3,0.968,6.078
2026-07-07,16:38:42,147.2,241.3,0.968,6.078
2026-07-07,16:38:43,147.2,241.3,0.968,6.078
2026-07-07,16:38:44,147.2,241.3,0.968,6.078
2026-07-07,16:38:45,147.2,241.3,0.968,6.078
2026-07-07,16:38:46,147.2,241.3,0.968,6.078
2026-07-07,16:38:47,147.2,241.3,0.968,6.078
2026-07-07,16:38:48,147.2,241.3,0.968,6.078
2026-07-07,16:38:49,147.2,241.3,0.968,6.078
2026-07-07,16:38:50,147.2,241.3,0.968,6.078
2026-07-07,16:38:51,147.2,241.3,0.968,6.078
2026-07-07,16:38:52,147.2,241.3,0.968,6.078
2026-07-07,16:38:53,147.2,241.3,0.968,6.078
2026-07-07,16:38:54,147.2,241.3,0.968,6.078
2026-07-07,16:38:55,147.2,241.3,0.968,6.078
2026-07-07,16:38:56,147.2,241.3,0.968,6.078
2026-07-07,16:38:57,147.2,241.3,0.968,6.078
2026-07-07,16:38:58,147.2,241.3,0.968,6.078
2026-07-07,16:38:59,147.2,241.3,0.968,6.078
2026-07-07,16:39:00,147.2,241.3,0.968,6.078
2026-07-07,16:39:01,147.2,241.3,0.968,6.078
2026-07-07,16:39:02,147.2,241.3,0.968,6.078
2026-07-07,16:39:03,147.2,241.3,0.968,6.078
2026-07-07,16:39:04,147.2,241.3,0.968,6.078
2026-07-07,16:39:05,147.2,241.3,0.968,6.078
2026-07-07,16:39:06,147.2,241.3,0.968,6.078
2026-07-07,16:39:07,147.2,241.3,0.968,6.078
2026-07-07,16:39:08,147.2,241.3,0.968,6.078
2026-07-07,16:39:09,147.2,241.3,0.968,6.078
2026-07-07,16:39:10,147.2,241.3,0.968,6.078
2026-07-07,16:39:11,147.2,241.3,0.968,6.078
2026-07-07,16:39:12,147.2,241.3,0.968,6.078
2026-07-07,16:39:13,96.9,241.8,0.681,6.078
2026-07-07,16:39:14,96.9,241.8,0.681,6.078
2026-07-07,16:39:15,96.9,241.8,0.681,6.078
2026-07-07,16:39:16,96.9,241.8,0.681,6.078
2026-07-07,16:39:17,96.9,241.8,0.681,6.078
