Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-07-02,10:39:28,66.1,243.9,0.483,1.231
2026-07-02,10:39:29,66.1,243.9,0.483,1.231
2026-07-02,10:39:30,66.1,243.9,0.483,1.231
2026-07-02,10:39:31,66.1,243.9,0.483,1.231
2026-07-02,10:39:32,66.1,243.9,0.483,1.231
2026-07-02,10:39:33,66.1,243.9,0.483,1.231
2026-07-02,10:39:34,66.1,243.9,0.483,1.231
2026-07-02,10:39:35,66.1,243.9,0.483,1.231
2026-07-02,10:39:36,66.1,243.9,0.483,1.231
2026-07-02,10:39:37,66.1,243.9,0.483,1.231
2026-07-02,10:39:38,66.1,243.9,0.483,1.231
2026-07-02,10:39:39,66.1,243.9,0.483,1.231
2026-07-02,10:39:40,66.1,243.9,0.483,1.231
2026-07-02,10:39:41,66.1,243.9,0.483,1.231
2026-07-02,10:39:42,66.1,243.9,0.483,1.231
2026-07-02,10:39:43,66.1,243.9,0.483,1.231
2026-07-02,10:39:44,66.1,243.9,0.483,1.231
2026-07-02,10:39:45,66.1,243.9,0.483,1.231
2026-07-02,10:39:46,66.1,243.9,0.483,1.231
2026-07-02,10:39:47,66.1,243.9,0.483,1.231
2026-07-02,10:39:48,66.1,243.9,0.483,1.231
2026-07-02,10:39:49,66.1,243.9,0.483,1.231
2026-07-02,10:39:50,66.1,243.9,0.483,1.231
2026-07-02,10:39:51,66.1,243.9,0.483,1.231
2026-07-02,10:39:52,66.1,243.9,0.483,1.231
2026-07-02,10:39:53,66.1,243.9,0.483,1.231
2026-07-02,10:39:54,66.1,243.9,0.483,1.231
2026-07-02,10:39:55,66.1,243.9,0.483,1.231
2026-07-02,10:39:56,66.1,243.9,0.483,1.231
2026-07-02,10:39:57,66.1,243.9,0.483,1.231
2026-07-02,10:39:58,66.1,243.9,0.483,1.231
2026-07-02,10:39:59,66.1,243.9,0.483,1.231
2026-07-02,10:40:00,66.1,243.9,0.483,1.231
2026-07-02,10:40:01,66.1,243.9,0.483,1.231
2026-07-02,10:40:02,66.1,243.9,0.483,1.231
2026-07-02,10:40:03,66.1,243.9,0.483,1.231
2026-07-02,10:40:04,66.1,243.9,0.483,1.231
2026-07-02,10:40:05,66.1,243.9,0.483,1.231
2026-07-02,10:40:06,66.1,243.9,0.483,1.231
2026-07-02,10:40:07,66.1,243.9,0.483,1.231
2026-07-02,10:40:08,66.1,243.9,0.483,1.231
2026-07-02,10:40:09,66.1,243.9,0.483,1.231
2026-07-02,10:40:10,66.1,243.9,0.483,1.231
2026-07-02,10:40:11,66.1,243.9,0.483,1.231
2026-07-02,10:40:12,66.1,243.9,0.483,1.231
2026-07-02,10:40:13,66.1,243.9,0.483,1.231
2026-07-02,10:40:14,66.1,243.9,0.483,1.231
2026-07-02,10:40:15,66.1,243.9,0.483,1.231
2026-07-02,10:40:16,66.1,243.9,0.483,1.231
2026-07-02,10:40:18,66.1,243.9,0.483,1.231
2026-07-02,10:40:19,66.1,243.9,0.483,1.231
2026-07-02,10:40:20,66.1,243.9,0.483,1.231
2026-07-02,10:40:21,66.1,243.9,0.483,1.231
2026-07-02,10:40:22,66.1,243.9,0.483,1.231
2026-07-02,10:40:23,66.1,243.9,0.483,1.231
2026-07-02,10:40:24,66.1,243.9,0.483,1.231
2026-07-02,10:40:25,66.1,243.9,0.483,1.231
2026-07-02,10:40:26,66.1,243.9,0.483,1.231
2026-07-02,10:40:27,66.1,243.9,0.483,1.231
2026-07-02,10:40:28,66.1,243.9,0.483,1.231
2026-07-02,10:40:29,66.1,243.9,0.483,1.231
2026-07-02,10:40:30,66.1,243.9,0.483,1.231
2026-07-02,10:40:31,66.1,243.9,0.483,1.231
2026-07-02,10:40:32,66.1,243.9,0.483,1.231
2026-07-02,10:40:33,66.1,243.9,0.483,1.231
2026-07-02,10:40:34,66.1,243.9,0.483,1.231
2026-07-02,10:40:35,66.1,243.9,0.483,1.231
2026-07-02,10:40:36,66.1,243.9,0.483,1.231
2026-07-02,10:40:37,66.1,243.9,0.483,1.231
2026-07-02,10:40:38,66.1,243.9,0.483,1.231
2026-07-02,10:40:39,66.1,243.9,0.483,1.231
2026-07-02,10:40:40,66.1,243.9,0.483,1.231
2026-07-02,10:40:41,66.1,243.9,0.483,1.231
2026-07-02,10:40:42,66.1,243.9,0.483,1.231
2026-07-02,10:40:43,66.1,243.9,0.483,1.231
2026-07-02,10:40:44,66.1,243.9,0.483,1.231
2026-07-02,10:40:45,66.1,243.9,0.483,1.231
2026-07-02,10:40:46,66.1,243.9,0.483,1.231
2026-07-02,10:40:47,66.1,243.9,0.483,1.231
2026-07-02,10:40:48,66.1,243.9,0.483,1.231
2026-07-02,10:40:49,66.1,243.9,0.483,1.231
2026-07-02,10:40:50,66.1,243.9,0.483,1.231
2026-07-02,10:40:51,66.1,243.9,0.483,1.231
2026-07-02,10:40:52,66.1,243.9,0.483,1.231
2026-07-02,10:40:53,66.1,243.9,0.483,1.231
2026-07-02,10:40:54,66.1,243.9,0.483,1.231
2026-07-02,10:40:55,66.1,243.9,0.483,1.231
2026-07-02,10:40:56,66.1,243.9,0.483,1.231
2026-07-02,10:40:57,66.1,243.9,0.483,1.231
2026-07-02,10:40:58,66.1,243.9,0.483,1.231
2026-07-02,10:40:59,66.1,243.9,0.483,1.231
2026-07-02,10:41:00,66.1,243.9,0.483,1.231
2026-07-02,10:41:01,66.1,243.9,0.483,1.231
2026-07-02,10:41:02,66.1,243.9,0.483,1.231
