delay,n_runs,max_power_W,energy_total_J,J_per_req_mean,J_per_req_std,config
10ms,10,118.8,17267.4,0.86341,0.0602852008742149,1core
50ms,10,87.8,15238.5,0.7619,0.0544243817910073,1core
100ms,10,89.0,15836.9,0.79182,0.0662449293657006,1core
200ms,10,83.1,16825.9,0.84131,0.1333893503161994,1core
1s,6,75.1,17723.0,1.4769,0.1154935322864445,1core
10ms,10,136.8,17111.4,0.85559,0.052291117792604,apiserver
50ms,10,89.8,14970.9,0.74855,0.0609750996536928,apiserver
100ms,10,85.9,14866.7,0.7433099999999999,0.0301412397444652,apiserver
200ms,10,83.2,15680.3,0.78403,0.0318676795515456,apiserver
1s,6,73.8,16526.4,1.3771666666666669,0.194679374014472,apiserver
10ms,10,149.0,18381.3,0.91908,0.1252217836924195,local
50ms,10,90.4,15536.5,0.7767999999999999,0.0752579416259691,local
100ms,10,81.8,15380.0,0.76903,0.0864947660587364,local
200ms,10,79.4,15727.6,0.7864,0.062224396787398,local
1s,6,75.0,15893.6,1.3244333333333334,0.2071517382660997,local
10ms,10,135.7,18913.2,0.94565,0.0850098981165004,adaptive
50ms,9,89.3,14648.5,0.8137888888888889,0.0454099781007556,adaptive
100ms,10,87.9,17280.1,0.86399,0.1347928653733407,adaptive
200ms,10,84.9,19874.5,0.99369,0.0826045526052354,adaptive
1s,6,74.8,18513.9,1.5428,0.1852417771454376,adaptive
10s,1,78.2,32735.1,16.3676,,local
10s,1,75.8,28753.4,14.3767,,1core
10s,1,77.3,30517.6,15.2588,,apiserver
10s,1,79.0,27142.7,13.5713,,adaptive
