timestamp,pod,scheduling_time_ms
I0417 07:53:08.424516,default/fastfouriertransform-00001-deployment-7f6c4dd4f-9ncg4,11.936476
I0417 07:53:10.048796,default/grayscale-00001-deployment-5875667469-l2n4s,12.954814
I0417 07:53:10.050133,default/genmatrix-00001-deployment-57fdd67855-dz6sn,6.936085
I0417 07:53:12.035444,default/pagerank-00001-deployment-669c956d7d-gggpj,7.644625
I0417 07:53:14.061043,default/resnet-00001-deployment-5ccbb786c-gl8kc,11.254658
I0417 07:53:14.081581,default/graphgen-00001-deployment-f5bfdc858-gw7vm,22.780596
I0417 07:53:24.045717,default/matrixmul-00001-deployment-5975545bc-mzxhs,7.198956
I0417 07:53:28.035741,default/linpack-00001-deployment-59cb5bb6f4-t9m9q,12.38496
I0417 07:53:32.042855,default/mobilenet-00001-deployment-69d9c64d47-r645j,13.38826
I0417 07:53:48.060914,default/fetchdata-00001-deployment-95bdf5d98-k5k9q,7.798662
I0417 08:08:38.073536,default/graphgen-00001-deployment-f5bfdc858-b7hn6,8.23909
I0417 08:10:28.999182,default/resnet-00001-deployment-5ccbb786c-7f27w,22.194575
I0417 08:11:21.244411,default/graphgen-00001-deployment-f5bfdc858-lp86t,9.729208
I0417 08:34:32.207736,default/fastfouriertransform-00001-deployment-7f6c4dd4f-47qqt,12.305793
I0417 08:34:32.805395,default/grayscale-00001-deployment-5875667469-hhvpk,6.261897
I0417 08:34:33.806174,default/genmatrix-00001-deployment-57fdd67855-6vlkp,6.658214
I0417 08:34:35.805168,default/pagerank-00001-deployment-669c956d7d-6fqjg,7.340975
I0417 08:34:36.803587,default/resnet-00001-deployment-5ccbb786c-pp6h8,7.52155
I0417 08:34:37.811786,default/graphgen-00001-deployment-f5bfdc858-nj767,10.486007
I0417 08:34:46.815964,default/matrixmul-00001-deployment-5975545bc-lgn45,7.550421
I0417 08:34:51.810583,default/linpack-00001-deployment-59cb5bb6f4-d6xmg,12.036218
I0417 08:34:54.797321,default/mobilenet-00001-deployment-69d9c64d47-77wp5,5.34093
I0417 08:35:10.869251,default/fetchdata-00001-deployment-95bdf5d98-7kklj,17.713444
I0417 08:50:02.098589,default/graphgen-00001-deployment-f5bfdc858-kqdgt,13.10374
I0417 08:51:52.820191,default/resnet-00001-deployment-5ccbb786c-5chj5,11.679475
I0417 08:52:44.947764,default/graphgen-00001-deployment-f5bfdc858-mbm7r,7.300271
I0417 09:18:58.112044,default/fastfouriertransform-00001-deployment-7f6c4dd4f-x6tk7,11.064824
I0417 09:18:59.080447,default/grayscale-00001-deployment-5875667469-jmmnf,7.155919
I0417 09:19:00.187022,default/genmatrix-00001-deployment-57fdd67855-2tnkp,25.721757
I0417 09:19:02.085250,default/pagerank-00001-deployment-669c956d7d-wdlsp,10.207598
I0417 09:19:03.082041,default/resnet-00001-deployment-5ccbb786c-7xgb4,8.008181
I0417 09:19:04.136162,default/graphgen-00001-deployment-f5bfdc858-v7xrj,14.924915
I0417 09:19:13.095692,default/matrixmul-00001-deployment-5975545bc-5bdwk,7.743403
I0417 09:19:18.082345,default/linpack-00001-deployment-59cb5bb6f4-xjmfd,7.907737
I0417 09:19:21.084923,default/mobilenet-00001-deployment-69d9c64d47-qbb2h,13.526335
I0417 09:19:37.235330,default/fetchdata-00001-deployment-95bdf5d98-ms6cb,6.234359
I0417 09:34:28.176111,default/graphgen-00001-deployment-f5bfdc858-hnt9x,7.783718
I0417 09:36:19.259675,default/resnet-00001-deployment-5ccbb786c-lxk8g,14.377816
I0417 09:37:11.172578,default/graphgen-00001-deployment-f5bfdc858-cplqn,7.096912
I0417 10:04:28.441040,default/fastfouriertransform-00001-deployment-7f6c4dd4f-6w5wp,5.825716
I0417 10:04:29.388670,default/grayscale-00001-deployment-5875667469-vhjmp,5.89955
I0417 10:04:30.394109,default/genmatrix-00001-deployment-57fdd67855-6472m,13.418628
I0417 10:04:32.391783,default/pagerank-00001-deployment-669c956d7d-qrqsl,8.437527
I0417 10:04:33.384703,default/resnet-00001-deployment-5ccbb786c-pgt54,7.521356
I0417 10:04:34.388898,default/graphgen-00001-deployment-f5bfdc858-zlzlv,9.988683
I0417 10:04:43.399040,default/matrixmul-00001-deployment-5975545bc-tnk97,8.46286
I0417 10:04:48.391627,default/linpack-00001-deployment-59cb5bb6f4-pd5kx,8.578194
I0417 10:04:51.387753,default/mobilenet-00001-deployment-69d9c64d47-pmvzm,8.028821
I0417 10:05:07.573677,default/fetchdata-00001-deployment-95bdf5d98-ncgdr,7.365576
I0417 10:19:58.407009,default/graphgen-00001-deployment-f5bfdc858-hgcdj,7.056852
I0417 10:21:49.674009,default/resnet-00001-deployment-5ccbb786c-rkqnv,9.195862
I0417 10:22:41.662398,default/graphgen-00001-deployment-f5bfdc858-2wsp2,15.338246
I0417 10:43:36.249370,default/fastfouriertransform-00001-deployment-7f6c4dd4f-bk75t,12.471194
I0417 10:43:36.608620,default/grayscale-00001-deployment-5875667469-x2v96,10.882148
I0417 10:43:37.635916,default/genmatrix-00001-deployment-57fdd67855-nd7zw,12.018099
I0417 10:43:39.612435,default/pagerank-00001-deployment-669c956d7d-5lzqv,6.681535
I0417 10:43:40.610265,default/resnet-00001-deployment-5ccbb786c-q255j,10.096626
I0417 10:43:41.619864,default/graphgen-00001-deployment-f5bfdc858-ntvbs,10.915038
I0417 10:43:50.623825,default/matrixmul-00001-deployment-5975545bc-fdd2h,11.665709
I0417 10:43:55.609945,default/linpack-00001-deployment-59cb5bb6f4-9p5sf,6.638608
I0417 10:43:58.614101,default/mobilenet-00001-deployment-69d9c64d47-5rxgb,7.083796
I0417 10:44:14.959122,default/fetchdata-00001-deployment-95bdf5d98-l82kq,7.413742
I0417 10:59:05.720977,default/graphgen-00001-deployment-f5bfdc858-45khw,7.579488
I0417 11:00:57.240191,default/resnet-00001-deployment-5ccbb786c-j4sdx,6.423629
I0417 11:01:48.685048,default/graphgen-00001-deployment-f5bfdc858-ddtfb,7.096928
I0417 11:57:47.294075,default/fastfouriertransform-00001-deployment-7f6c4dd4f-979zg,52.530917
I0417 11:57:48.117662,default/grayscale-00001-deployment-5875667469-8598z,6.300752
I0417 11:57:49.108935,default/genmatrix-00001-deployment-57fdd67855-wgvbt,10.048233
I0417 11:57:51.110912,default/pagerank-00001-deployment-669c956d7d-qgxlk,8.4243
I0417 11:57:52.123329,default/resnet-00001-deployment-5ccbb786c-99pnf,10.331716
I0417 11:57:53.128612,default/graphgen-00001-deployment-f5bfdc858-45lb8,11.888187
I0417 11:58:02.132136,default/matrixmul-00001-deployment-5975545bc-m4f9b,10.263549
I0417 11:58:07.111136,default/linpack-00001-deployment-59cb5bb6f4-2hgz5,8.921506
I0417 11:58:10.122964,default/mobilenet-00001-deployment-69d9c64d47-d6fgr,10.524828
I0417 11:58:26.172623,default/fetchdata-00001-deployment-95bdf5d98-dtsr2,19.265759
I0417 12:13:17.242357,default/graphgen-00001-deployment-f5bfdc858-ctd8v,6.961758
I0417 12:15:08.243956,default/resnet-00001-deployment-5ccbb786c-4lsb2,10.093126
I0417 12:16:00.244160,default/graphgen-00001-deployment-f5bfdc858-fl85g,8.397432
I0417 12:41:17.691886,default/fastfouriertransform-00001-deployment-7f6c4dd4f-s6245,14.128331
I0417 12:41:18.261139,default/grayscale-00001-deployment-5875667469-5pgds,14.375963
I0417 12:41:19.261524,default/genmatrix-00001-deployment-57fdd67855-bpznk,28.677924
I0417 12:41:21.286701,default/pagerank-00001-deployment-669c956d7d-nr8n2,82.809515
I0417 12:41:22.225604,default/resnet-00001-deployment-5ccbb786c-q6mlj,7.543168
I0417 12:41:23.213057,default/graphgen-00001-deployment-f5bfdc858-4zcb8,8.379302
I0417 12:41:32.225235,default/matrixmul-00001-deployment-5975545bc-6m2v9,12.110581
I0417 12:41:37.209519,default/linpack-00001-deployment-59cb5bb6f4-576xr,5.518361
I0417 12:41:40.215819,default/mobilenet-00001-deployment-69d9c64d47-gkhm2,16.695178
I0417 12:41:56.476437,default/fetchdata-00001-deployment-95bdf5d98-xgzbg,10.665888
I0417 12:56:47.386620,default/graphgen-00001-deployment-f5bfdc858-7gcll,6.484607
I0417 12:58:38.649962,default/resnet-00001-deployment-5ccbb786c-wqjl4,11.238021
I0417 12:59:30.231129,default/graphgen-00001-deployment-f5bfdc858-tg8qv,7.533835
I0417 13:18:43.131846,default/fastfouriertransform-00001-deployment-7f6c4dd4f-wc5x9,5.8094
I0417 13:18:43.913847,default/grayscale-00001-deployment-5875667469-fjmvc,6.965148
I0417 13:18:44.918820,default/genmatrix-00001-deployment-57fdd67855-wf5mq,10.312608
I0417 13:18:46.921587,default/pagerank-00001-deployment-669c956d7d-fbzl5,6.860517
I0417 13:18:47.921164,default/resnet-00001-deployment-5ccbb786c-z25dm,10.417591
I0417 13:18:48.921322,default/graphgen-00001-deployment-f5bfdc858-4nhbz,6.737794
I0417 13:18:57.926985,default/matrixmul-00001-deployment-5975545bc-gf4pw,9.086751
I0417 13:19:02.919440,default/linpack-00001-deployment-59cb5bb6f4-97dtk,9.859976
I0417 13:19:05.909368,default/mobilenet-00001-deployment-69d9c64d47-588lt,8.517266
I0417 13:19:21.960361,default/fetchdata-00001-deployment-95bdf5d98-wqwl2,14.809336
I0417 13:34:13.055025,default/graphgen-00001-deployment-f5bfdc858-rztxr,9.724921
I0417 13:36:04.216916,default/resnet-00001-deployment-5ccbb786c-pm582,6.374706
I0417 13:36:55.934070,default/graphgen-00001-deployment-f5bfdc858-j9bcb,7.568324
I0417 13:59:37.237084,default/fastfouriertransform-00001-deployment-7f6c4dd4f-mbwzl,5.273862
I0417 13:59:37.929558,default/grayscale-00001-deployment-5875667469-h68gh,11.619044
I0417 13:59:38.933900,default/genmatrix-00001-deployment-57fdd67855-wlmrd,11.103726
I0417 13:59:41.201550,default/pagerank-00001-deployment-669c956d7d-4mq5b,6.616165
I0417 13:59:41.934753,default/resnet-00001-deployment-5ccbb786c-98b4q,6.698981
I0417 13:59:42.981816,default/graphgen-00001-deployment-f5bfdc858-vbcjb,20.672592
I0417 13:59:51.939579,default/matrixmul-00001-deployment-5975545bc-j2hsr,9.802386
I0417 13:59:56.931232,default/linpack-00001-deployment-59cb5bb6f4-6n29b,8.566675
I0417 13:59:59.924657,default/mobilenet-00001-deployment-69d9c64d47-tf7xr,7.616059
