timestamp,pod,scheduling_time_ms
I0427 16:36:31.958458,default/grayscale-00001-deployment-6c9cd67ccc-vl2rg,17.407112
I0427 16:36:32.025390,default/genmatrix-00001-deployment-7db687b66-sqfkn,87.0946
I0427 16:36:32.083674,default/fastfouriertransform-00001-deployment-6bbbdc9c67-wf85p,57.109
I0427 16:36:33.608031,default/pagerank-00001-deployment-54689999dc-hv5wb,12.84845
I0427 16:36:33.626335,default/graphgen-00001-deployment-545ff9c679-qzkpq,28.783601
I0427 16:36:33.719272,default/resnet-00001-deployment-7fcbc8c8cb-2b4tg,14.677134
I0427 16:36:35.791174,default/matrixmul-00001-deployment-8468c5dd88-dm24x,28.725027
I0427 16:36:35.818426,default/linpack-00001-deployment-545d8788cc-8wdcq,123.04662
I0427 16:36:35.892160,default/mobilenet-00001-deployment-5d6d9ff4b-2nxvc,23.667811
I0427 16:36:39.596957,default/fetchdata-00001-deployment-7c46bb466c-75gq5,12.174821
I0427 16:38:37.608660,default/grayscale-00001-deployment-6c9cd67ccc-lrwjs,10.71649
I0427 16:42:21.630818,default/grayscale-00001-deployment-6c9cd67ccc-c9tlw,8.73527
I0427 16:48:37.729560,default/fastfouriertransform-00001-deployment-6bbbdc9c67-67fcf,20.116095
I0427 16:48:37.755175,default/grayscale-00001-deployment-6c9cd67ccc-r65kf,12.450453
I0427 16:48:37.955573,default/genmatrix-00001-deployment-7db687b66-rt5km,22.910853
I0427 16:48:38.336695,default/pagerank-00001-deployment-54689999dc-pwd9l,9.262456
I0427 16:48:38.542013,default/resnet-00001-deployment-7fcbc8c8cb-2bmmr,10.649936
I0427 16:48:38.759323,default/graphgen-00001-deployment-545ff9c679-xcc59,30.958828
I0427 16:48:40.537734,default/matrixmul-00001-deployment-8468c5dd88-79tnw,8.205049
I0427 16:48:41.531700,default/linpack-00001-deployment-545d8788cc-hsd2b,7.23881
I0427 16:48:42.161243,default/mobilenet-00001-deployment-5d6d9ff4b-bkrmq,17.709819
I0427 16:48:45.345406,default/fetchdata-00001-deployment-7c46bb466c-hm4pm,14.880711
I0427 16:48:57.586547,default/grayscale-00001-deployment-6c9cd67ccc-22jfk,9.207178
I0427 16:50:45.614050,default/grayscale-00001-deployment-6c9cd67ccc-l6km5,8.916123
I0427 16:54:27.726766,default/grayscale-00001-deployment-6c9cd67ccc-kqt86,9.313808
I0428 09:02:51.799176,default/fastfouriertransform-00001-deployment-6bbbdc9c67-gvxrv,10.235431
I0428 09:02:51.833069,default/grayscale-00001-deployment-6c9cd67ccc-4zq9w,14.467
I0428 09:02:52.012056,default/genmatrix-00001-deployment-7db687b66-w99ll,7.529935
I0428 09:02:52.416733,default/pagerank-00001-deployment-54689999dc-rvw8x,9.481432
I0428 09:02:52.606928,default/resnet-00001-deployment-7fcbc8c8cb-mm8q5,5.903437
I0428 09:02:52.806970,default/graphgen-00001-deployment-545ff9c679-87bzz,7.821768
I0428 09:02:54.633790,default/matrixmul-00001-deployment-8468c5dd88-22ghb,18.266439
I0428 09:02:55.608363,default/linpack-00001-deployment-545d8788cc-vgw2p,6.697287
I0428 09:02:56.215872,default/mobilenet-00001-deployment-5d6d9ff4b-dl8fq,10.153005
I0428 09:02:59.410964,default/fetchdata-00001-deployment-7c46bb466c-67m7d,9.742506
I0428 09:04:59.665460,default/grayscale-00001-deployment-6c9cd67ccc-89z48,6.335121
I0428 09:05:03.592477,default/grayscale-00001-deployment-6c9cd67ccc-t5jzf,13.604778
I0428 09:07:03.808186,default/grayscale-00001-deployment-6c9cd67ccc-ldf8j,7.118564
I0428 09:08:42.363170,default/grayscale-00001-deployment-6c9cd67ccc-gqngj,5.566122
I0428 09:16:46.686047,default/fastfouriertransform-00001-deployment-6bbbdc9c67-jrlxl,8.270915
I0428 09:16:46.848387,default/grayscale-00001-deployment-6c9cd67ccc-rd8wv,18.590364
I0428 09:16:47.035019,default/genmatrix-00001-deployment-7db687b66-89gxg,14.473092
I0428 09:16:47.382247,default/pagerank-00001-deployment-54689999dc-7jkrn,8.474951
I0428 09:16:47.582177,default/resnet-00001-deployment-7fcbc8c8cb-t7fdn,8.636414
I0428 09:16:47.784451,default/graphgen-00001-deployment-545ff9c679-gbnpx,7.066453
I0428 09:16:49.624946,default/matrixmul-00001-deployment-8468c5dd88-79np7,20.721269
I0428 09:16:50.587466,default/linpack-00001-deployment-545d8788cc-85jcl,11.085559
I0428 09:16:51.175042,default/mobilenet-00001-deployment-5d6d9ff4b-bgf64,7.511824
I0428 09:16:54.380050,default/fetchdata-00001-deployment-7c46bb466c-svp77,10.670411
I0428 09:18:53.702282,default/grayscale-00001-deployment-6c9cd67ccc-6kpfz,6.366492
I0428 09:22:37.771911,default/grayscale-00001-deployment-6c9cd67ccc-xx586,8.402008
I0428 09:34:57.814591,default/fastfouriertransform-00001-deployment-6bbbdc9c67-hhf2x,9.975307
I0428 09:34:57.855604,default/grayscale-00001-deployment-6c9cd67ccc-q9h4p,11.1446
I0428 09:34:58.044362,default/genmatrix-00001-deployment-7db687b66-mt5z7,8.248922
I0428 09:34:58.432565,default/pagerank-00001-deployment-54689999dc-mgpjw,8.223052
I0428 09:34:58.635779,default/resnet-00001-deployment-7fcbc8c8cb-vf864,10.638545
I0428 09:34:58.923075,default/graphgen-00001-deployment-545ff9c679-2rm29,22.525995
I0428 09:35:00.633926,default/matrixmul-00001-deployment-8468c5dd88-q5j6h,11.574895
I0428 09:35:01.633453,default/linpack-00001-deployment-545d8788cc-hwkz4,8.256219
I0428 09:35:02.235240,default/mobilenet-00001-deployment-5d6d9ff4b-x5q94,9.93951
I0428 09:35:05.439186,default/fetchdata-00001-deployment-7c46bb466c-2kd4q,7.451165
I0428 09:35:17.584546,default/grayscale-00001-deployment-6c9cd67ccc-rkwnm,9.487697
I0428 09:37:05.835341,default/grayscale-00001-deployment-6c9cd67ccc-bsftc,5.758431
I0428 09:40:47.628230,default/grayscale-00001-deployment-6c9cd67ccc-25g7d,8.719111
I0428 09:47:14.877978,default/fastfouriertransform-00001-deployment-6bbbdc9c67-hxc2m,13.259901
I0428 09:47:14.907209,default/grayscale-00001-deployment-6c9cd67ccc-pkxjp,6.215025
I0428 09:47:15.086194,default/genmatrix-00001-deployment-7db687b66-clng2,10.880962
I0428 09:47:15.484299,default/pagerank-00001-deployment-54689999dc-nh7pw,9.107817
I0428 09:47:15.688350,default/resnet-00001-deployment-7fcbc8c8cb-bj4z4,13.501309
I0428 09:47:15.905156,default/graphgen-00001-deployment-545ff9c679-fwk4m,20.975331
I0428 09:47:17.675558,default/matrixmul-00001-deployment-8468c5dd88-mdnhf,6.726617
I0428 09:47:18.680890,default/linpack-00001-deployment-545d8788cc-fbztr,6.965357
I0428 09:47:19.340982,default/mobilenet-00001-deployment-5d6d9ff4b-79gdg,9.063409
I0428 09:47:22.479221,default/fetchdata-00001-deployment-7c46bb466c-5sldn,9.892741
I0428 09:47:35.589897,default/grayscale-00001-deployment-6c9cd67ccc-hsdz8,11.357646
I0428 09:49:22.358491,default/grayscale-00001-deployment-6c9cd67ccc-gdkxp,6.013267
I0428 09:53:05.630224,default/grayscale-00001-deployment-6c9cd67ccc-45bzg,8.844263
I0428 09:59:54.364713,default/fastfouriertransform-00001-deployment-6bbbdc9c67-mmh4v,9.214448
I0428 09:59:54.527184,default/grayscale-00001-deployment-6c9cd67ccc-l9q2q,12.620702
I0428 09:59:54.733297,default/genmatrix-00001-deployment-7db687b66-56sgf,19.821227
I0428 09:59:55.123935,default/pagerank-00001-deployment-54689999dc-gtzmn,7.406285
I0428 09:59:55.345683,default/resnet-00001-deployment-7fcbc8c8cb-slvtr,14.522199
I0428 09:59:55.523238,default/graphgen-00001-deployment-545ff9c679-g7kx8,7.220006
I0428 09:59:57.333984,default/matrixmul-00001-deployment-8468c5dd88-jk4vv,10.51826
I0428 09:59:58.321177,default/linpack-00001-deployment-545d8788cc-8jfmm,8.271949
I0428 09:59:58.925929,default/mobilenet-00001-deployment-5d6d9ff4b-l24jh,14.779087
I0428 10:00:02.136796,default/fetchdata-00001-deployment-7c46bb466c-789t6,12.821072
I0428 10:00:15.574718,default/grayscale-00001-deployment-6c9cd67ccc-2ptwm,5.759472
I0428 10:02:01.602719,default/grayscale-00001-deployment-6c9cd67ccc-hp7mg,10.177465
I0428 10:05:46.359248,default/grayscale-00001-deployment-6c9cd67ccc-klrrf,6.046342
I0428 10:12:59.294082,default/fastfouriertransform-00001-deployment-6bbbdc9c67-zkl8f,15.04405
I0428 10:12:59.327537,default/grayscale-00001-deployment-6c9cd67ccc-fglvt,9.711107
I0428 10:12:59.507730,default/genmatrix-00001-deployment-7db687b66-bzrdm,8.556756
I0428 10:12:59.907228,default/pagerank-00001-deployment-54689999dc-f9lxq,11.070626
I0428 10:13:00.120726,default/resnet-00001-deployment-7fcbc8c8cb-94zmf,24.024528
I0428 10:13:00.304420,default/graphgen-00001-deployment-545ff9c679-fvgqk,10.012348
I0428 10:13:02.102874,default/matrixmul-00001-deployment-8468c5dd88-jdsmp,8.739849
I0428 10:13:03.104750,default/linpack-00001-deployment-545d8788cc-znhmh,10.529051
I0428 10:13:03.804005,default/mobilenet-00001-deployment-5d6d9ff4b-jh5vn,18.159605
I0428 10:13:06.903403,default/fetchdata-00001-deployment-7c46bb466c-zzkb8,12.971255
I0428 10:13:19.594539,default/grayscale-00001-deployment-6c9cd67ccc-ddds5,15.772216
I0428 10:15:07.936536,default/grayscale-00001-deployment-6c9cd67ccc-lnch6,5.553182
I0428 10:18:49.620985,default/grayscale-00001-deployment-6c9cd67ccc-2x2lc,8.067623
I0428 10:25:09.941585,default/fastfouriertransform-00001-deployment-6bbbdc9c67-j5fd7,11.187618
I0428 10:25:09.963460,default/grayscale-00001-deployment-6c9cd67ccc-kxmtp,11.368396
I0428 10:25:10.152174,default/genmatrix-00001-deployment-7db687b66-cfx99,8.70864
I0428 10:25:10.598192,default/pagerank-00001-deployment-54689999dc-dkj9k,6.717808
I0428 10:25:10.755053,default/resnet-00001-deployment-7fcbc8c8cb-hl2tf,9.062713
I0428 10:25:10.951117,default/graphgen-00001-deployment-545ff9c679-tswzh,10.53223
