timestamp,pod,scheduling_time_ms
I0422 12:13:18.006911,default/fastfouriertransform-00001-deployment-657cc65f49-q8w6z,9.5695
I0422 12:13:18.008087,default/grayscale-00001-deployment-5bdd67fc57-wmc7j,8.302814
I0422 12:13:19.559444,default/genmatrix-00001-deployment-5df4b84798-p5rhc,9.53187
I0422 12:13:19.585225,default/pagerank-00001-deployment-5868dc586f-q7l9v,36.377906
I0422 12:13:19.599857,default/resnet-00001-deployment-58d467dc88-c4hh5,15.848629
I0422 12:13:19.610044,default/graphgen-00001-deployment-6f84b8d49c-qzm54,7.120629
I0422 12:13:21.554325,default/matrixmul-00001-deployment-7bd6bb5956-tmznm,6.750814
I0422 12:13:21.572179,default/linpack-00001-deployment-5786f975fd-swbf6,32.033684
I0422 12:13:23.549373,default/mobilenet-00001-deployment-799ff7446f-bwkvs,5.084444
I0422 12:13:25.549464,default/fetchdata-00001-deployment-6f7fd5c6-l6lw7,6.53
I0422 12:13:37.551051,default/grayscale-00001-deployment-5bdd67fc57-fv46j,6.078407
I0422 12:15:23.657829,default/grayscale-00001-deployment-5bdd67fc57-zd7m2,6.146334
I0422 12:19:08.179889,default/grayscale-00001-deployment-5bdd67fc57-ngjkn,5.573797
I0422 12:23:58.784381,default/fastfouriertransform-00001-deployment-657cc65f49-vq94k,4.563631
I0422 12:23:58.961798,default/grayscale-00001-deployment-5bdd67fc57-6pq7f,5.506058
I0422 12:23:59.161988,default/genmatrix-00001-deployment-5df4b84798-2dwbr,5.643057
I0422 12:23:59.559388,default/pagerank-00001-deployment-5868dc586f-zswdv,6.869928
I0422 12:23:59.758741,default/resnet-00001-deployment-58d467dc88-khgfr,5.567742
I0422 12:23:59.960286,default/graphgen-00001-deployment-6f84b8d49c-bq7xp,6.936835
I0422 12:24:01.758500,default/matrixmul-00001-deployment-7bd6bb5956-ndqgb,5.297261
I0422 12:24:02.759269,default/linpack-00001-deployment-5786f975fd-hkpkt,4.875557
I0422 12:24:03.360408,default/mobilenet-00001-deployment-799ff7446f-ddjx6,5.336761
I0422 12:24:06.560970,default/fetchdata-00001-deployment-6f7fd5c6-67kvx,5.766076
I0422 12:24:15.550699,default/grayscale-00001-deployment-5bdd67fc57-kmvn2,5.846279
I0422 12:25:41.563882,default/grayscale-00001-deployment-5bdd67fc57-4tb2c,5.745816
I0422 12:29:49.570263,default/grayscale-00001-deployment-5bdd67fc57-4qtk7,6.033872
I0422 12:36:26.470274,default/fastfouriertransform-00001-deployment-657cc65f49-hhzgs,6.750753
I0422 12:36:26.486601,default/grayscale-00001-deployment-5bdd67fc57-s2cj4,9.703006
I0422 12:36:26.676726,default/genmatrix-00001-deployment-5df4b84798-9fdrf,3.883351
