timestamp,pod,scheduling_time_ms
I0416 07:51:31.076925,default/resnet-00001-deployment-5ccbb786c-274bb,34.340577
I0416 07:51:31.077450,default/fastfouriertransform-00001-deployment-7f6c4dd4f-ktpr8,37.21589
I0416 07:51:31.175221,default/matrixmul-00001-deployment-5975545bc-wv4wk,41.187221
I0416 07:51:31.175221,default/genmatrix-00001-deployment-57fdd67855-r6vhc,37.555371
I0416 07:51:31.302340,default/grayscale-00001-deployment-5875667469-frtq2,38.353297
I0416 07:51:31.373403,default/mobilenet-00001-deployment-69d9c64d47-4qtsj,40.606425
I0416 07:51:31.560588,default/graphgen-00001-deployment-f5bfdc858-44q4p,18.106325
I0416 07:51:31.829105,default/pagerank-00001-deployment-669c956d7d-nx4lt,445.655477
I0416 07:51:31.904546,default/linpack-00001-deployment-59cb5bb6f4-ch46p,7.666219
I0416 07:51:32.880049,default/resnet-00001-deployment-5ccbb786c-mr9tz,12.747272
I0416 07:51:32.880250,default/fastfouriertransform-00001-deployment-7f6c4dd4f-hcrq5,12.22268
I0416 07:51:33.285035,default/fetchdata-00001-deployment-95bdf5d98-lcw7z,14.574456
I0416 07:51:33.421632,default/genmatrix-00001-deployment-57fdd67855-n8kxj,33.57967
I0416 07:51:35.025445,default/fastfouriertransform-00001-deployment-7f6c4dd4f-wrf4w,115.057427
I0416 07:51:35.069511,default/mobilenet-00001-deployment-69d9c64d47-vb45m,106.258413
I0416 07:51:35.181092,default/linpack-00001-deployment-59cb5bb6f4-lbjsd,41.617203
I0416 07:51:35.273269,default/graphgen-00001-deployment-f5bfdc858-rn2h5,52.113401
I0416 07:51:35.285856,default/pagerank-00001-deployment-669c956d7d-24pwb,62.339526
I0416 07:51:35.291548,default/grayscale-00001-deployment-5875667469-pwbd2,51.965976
I0416 07:51:36.872049,default/fastfouriertransform-00001-deployment-7f6c4dd4f-k2wdz,9.784477
I0416 07:51:36.948207,default/fetchdata-00001-deployment-95bdf5d98-6fjpl,51.031495
I0416 07:51:37.068950,default/grayscale-00001-deployment-5875667469-6fp74,58.393288
I0416 07:51:37.107453,default/pagerank-00001-deployment-669c956d7d-cj88h,38.487519
I0416 07:51:37.183205,default/linpack-00001-deployment-59cb5bb6f4-jbx5g,23.526267
I0416 07:51:38.971602,default/pagerank-00001-deployment-669c956d7d-zgbvn,32.987781
I0416 07:51:39.154965,default/mobilenet-00001-deployment-69d9c64d47-86657,82.813406
I0416 07:51:39.237156,default/linpack-00001-deployment-59cb5bb6f4-7tmrg,59.357936
I0416 07:51:39.256207,default/graphgen-00001-deployment-f5bfdc858-rhj8c,76.631353
I0416 07:51:40.901284,default/grayscale-00001-deployment-5875667469-dzcwf,27.841154
I0416 07:51:40.922178,default/graphgen-00001-deployment-f5bfdc858-dsdmj,31.57393
I0416 07:51:42.910455,default/graphgen-00001-deployment-f5bfdc858-vqd6d,17.973973
I0416 07:51:42.941338,default/grayscale-00001-deployment-5875667469-kv4lg,30.840504
I0416 07:51:44.876634,default/grayscale-00001-deployment-5875667469-jnk4s,16.304196
I0416 07:51:51.091157,default/matrixmul-00001-deployment-5975545bc-xcq6v,7.678311
I0416 07:52:52.911910,default/grayscale-00001-deployment-5875667469-4nzrv,6.687405
I0416 07:52:58.879740,default/grayscale-00001-deployment-5875667469-nq2sc,16.351233
I0416 07:58:47.860036,default/fastfouriertransform-00001-deployment-7f6c4dd4f-8fchp,61.841156
I0416 07:58:47.936875,default/grayscale-00001-deployment-5875667469-b28t9,26.17645
I0416 07:58:48.081068,default/genmatrix-00001-deployment-57fdd67855-fn96v,40.393685
I0416 07:58:48.204616,default/pagerank-00001-deployment-669c956d7d-4gvpx,58.854842
I0416 07:58:48.240249,default/resnet-00001-deployment-5ccbb786c-2xclj,31.610744
I0416 07:58:48.359261,default/graphgen-00001-deployment-f5bfdc858-knt5q,10.257199
I0416 07:58:48.537503,default/matrixmul-00001-deployment-5975545bc-z6zq6,8.168237
I0416 07:58:48.767942,default/linpack-00001-deployment-59cb5bb6f4-7whk2,6.383793
I0416 07:58:48.915839,default/mobilenet-00001-deployment-69d9c64d47-68dr6,8.07231
I0416 07:58:49.717149,default/fetchdata-00001-deployment-95bdf5d98-8qhz6,9.292292
