timestamp,pod,scheduling_time_ms
I0417 15:26:55.255279,default/grayscale-00001-deployment-5875667469-qr9gk,18.245168
I0417 15:26:55.256592,default/fastfouriertransform-00001-deployment-7f6c4dd4f-g8dww,17.181316
I0417 15:26:56.306266,default/resnet-00001-deployment-5ccbb786c-pd7rg,18.193223
I0417 15:26:56.331808,default/fetchdata-00001-deployment-95bdf5d98-6q2cx,38.596263
I0417 15:26:56.457087,default/matrixmul-00001-deployment-5975545bc-t8rpv,41.805799
I0417 15:26:56.478192,default/linpack-00001-deployment-59cb5bb6f4-qfcmr,56.78493
I0417 15:26:56.554793,default/genmatrix-00001-deployment-57fdd67855-t7l62,27.304224
I0417 15:26:56.739392,default/mobilenet-00001-deployment-69d9c64d47-f5lnv,32.325558
I0417 15:26:56.945063,default/graphgen-00001-deployment-f5bfdc858-qvkwn,29.536613
I0417 15:26:57.047466,default/pagerank-00001-deployment-669c956d7d-djftb,32.004447
I0417 15:26:58.333500,default/resnet-00001-deployment-5ccbb786c-2jjx2,33.601373
I0417 15:26:58.333894,default/fastfouriertransform-00001-deployment-7f6c4dd4f-br9f2,25.027946
I0417 15:26:58.515057,default/genmatrix-00001-deployment-57fdd67855-zhk8b,56.540671
I0417 15:27:00.274726,default/linpack-00001-deployment-59cb5bb6f4-jwzcz,15.174334
I0417 15:27:00.326335,default/genmatrix-00001-deployment-57fdd67855-9rmcc,13.170797
I0417 15:27:00.367893,default/pagerank-00001-deployment-669c956d7d-cv86x,31.87441
I0417 15:27:00.530154,default/graphgen-00001-deployment-f5bfdc858-7nhmd,85.828061
I0417 15:27:00.573623,default/grayscale-00001-deployment-5875667469-xz52w,42.600614
I0417 15:27:02.297937,default/graphgen-00001-deployment-f5bfdc858-9cxx7,13.245705
I0417 15:27:02.353198,default/linpack-00001-deployment-59cb5bb6f4-m89fc,23.373612
I0417 15:27:02.457951,default/grayscale-00001-deployment-5875667469-c99rj,32.550799
I0417 15:27:04.281332,default/grayscale-00001-deployment-5875667469-d8ll2,15.580372
I0417 15:27:16.301909,default/matrixmul-00001-deployment-5975545bc-pf8d2,25.127279
I0417 15:27:30.278655,default/grayscale-00001-deployment-5875667469-dzm8r,9.016742
I0417 15:28:30.336966,default/grayscale-00001-deployment-5875667469-9rvxl,21.821574
I0417 15:28:30.342253,default/grayscale-00001-deployment-5875667469-j5cmq,15.601944
I0417 15:35:49.114822,default/fastfouriertransform-00001-deployment-7f6c4dd4f-ccx7m,13.098867
I0417 15:35:49.137983,default/genmatrix-00001-deployment-57fdd67855-plrct,15.829237
I0417 15:35:49.139098,default/grayscale-00001-deployment-5875667469-zh2bx,18.034866
I0417 15:35:49.387503,default/pagerank-00001-deployment-669c956d7d-wlcjb,68.276372
I0417 15:35:49.483525,default/resnet-00001-deployment-5ccbb786c-lgp6m,24.278791
I0417 15:35:49.555421,default/graphgen-00001-deployment-f5bfdc858-4jww8,27.486753
I0417 15:35:49.735718,default/matrixmul-00001-deployment-5975545bc-nz868,8.450757
I0417 15:35:50.001841,default/linpack-00001-deployment-59cb5bb6f4-d5kh6,14.301663
I0417 15:35:50.144955,default/mobilenet-00001-deployment-69d9c64d47-skpgv,8.411924
I0417 15:35:51.005346,default/fetchdata-00001-deployment-95bdf5d98-6b462,24.517365
I0417 15:35:52.276924,default/genmatrix-00001-deployment-57fdd67855-4jjfb,16.535681
I0417 15:35:54.276841,default/grayscale-00001-deployment-5875667469-ffczt,14.771775
I0417 15:35:56.283867,default/linpack-00001-deployment-59cb5bb6f4-hrv8d,15.01146
I0417 15:35:58.369142,default/grayscale-00001-deployment-5875667469-hz792,108.417158
I0417 15:36:02.289566,default/grayscale-00001-deployment-5875667469-6kmmn,11.139275
I0417 15:36:06.274494,default/grayscale-00001-deployment-5875667469-72nt6,14.740182
I0417 15:36:10.267850,default/matrixmul-00001-deployment-5975545bc-7b4rq,8.499646
I0417 15:36:30.455411,default/fastfouriertransform-00001-deployment-7f6c4dd4f-7h9v7,6.299906
I0417 15:42:41.449834,default/fastfouriertransform-00001-deployment-7f6c4dd4f-46qlh,11.852162
I0417 15:42:41.511142,default/grayscale-00001-deployment-5875667469-sv2jx,11.147996
I0417 15:42:41.600980,default/genmatrix-00001-deployment-57fdd67855-wm92q,25.101806
I0417 15:42:41.740338,default/resnet-00001-deployment-5ccbb786c-lqk5d,18.718678
I0417 15:42:41.752528,default/pagerank-00001-deployment-669c956d7d-qx9mv,41.805689
I0417 15:42:41.881467,default/graphgen-00001-deployment-f5bfdc858-rsb9z,39.945579
I0417 15:42:42.175099,default/matrixmul-00001-deployment-5975545bc-57zqb,19.817142
I0417 15:42:42.420793,default/linpack-00001-deployment-59cb5bb6f4-dx7kr,7.897571
I0417 15:42:42.600357,default/mobilenet-00001-deployment-69d9c64d47-pw76d,18.741808
I0417 15:42:43.357464,default/fetchdata-00001-deployment-95bdf5d98-c72dx,7.414108
I0417 15:42:48.285925,default/linpack-00001-deployment-59cb5bb6f4-rfdb9,22.347493
