timestamp,pod,scheduling_time_ms
I0424 10:47:08.890125,default/pagerank-00001-deployment-54689999dc-62csd,21.521997
I0424 10:47:08.890153,default/genmatrix-00001-deployment-7db687b66-m5dl7,19.376301
I0424 10:47:09.038258,default/grayscale-00001-deployment-6c9cd67ccc-fm4wh,54.423112
I0424 10:47:09.145596,default/matrixmul-00001-deployment-8468c5dd88-wd558,44.211232
I0424 10:47:09.287053,default/resnet-00001-deployment-7fcbc8c8cb-hvcm4,92.136904
I0424 10:47:09.357638,default/fastfouriertransform-00001-deployment-6bbbdc9c67-w9rtb,51.330144
I0424 10:47:09.463050,default/graphgen-00001-deployment-545ff9c679-rr6l2,51.533887
I0424 10:47:10.654450,default/fastfouriertransform-00001-deployment-6bbbdc9c67-qkptq,8.476615
I0424 10:47:10.664281,default/mobilenet-00001-deployment-5d6d9ff4b-d55cw,27.910047
I0424 10:47:10.793481,default/linpack-00001-deployment-545d8788cc-8s7m5,22.610863
I0424 10:47:10.827476,default/fetchdata-00001-deployment-7c46bb466c-7qn6r,32.304051
I0424 10:47:12.680858,default/linpack-00001-deployment-545d8788cc-9x5fv,20.862118
I0424 10:47:14.662669,default/linpack-00001-deployment-545d8788cc-rqnxt,31.205944
I0424 10:47:14.682374,default/grayscale-00001-deployment-6c9cd67ccc-7p2df,37.83283
I0424 10:47:14.761287,default/graphgen-00001-deployment-545ff9c679-ds669,19.641082
I0424 10:47:16.665805,default/grayscale-00001-deployment-6c9cd67ccc-fr6rq,14.037135
I0424 10:47:16.695526,default/linpack-00001-deployment-545d8788cc-p4qnb,21.606369
I0424 10:47:18.638381,default/grayscale-00001-deployment-6c9cd67ccc-bn9l2,14.086396
I0424 10:48:28.725576,default/matrixmul-00001-deployment-8468c5dd88-mwz5b,9.154865
I0424 11:20:20.447966,default/genmatrix-00001-deployment-7db687b66-sfn64,19.872859
I0424 11:20:20.466491,default/fastfouriertransform-00001-deployment-6bbbdc9c67-xfzbz,36.522345
I0424 11:20:20.470532,default/grayscale-00001-deployment-6c9cd67ccc-ttjsr,39.524197
I0424 11:20:20.689905,default/resnet-00001-deployment-7fcbc8c8cb-mxlnk,43.824455
I0424 11:20:20.708332,default/pagerank-00001-deployment-54689999dc-xvr9l,59.91136
I0424 11:20:20.827219,default/graphgen-00001-deployment-545ff9c679-r89dj,64.142653
I0424 11:20:21.124778,default/matrixmul-00001-deployment-8468c5dd88-lqrxj,16.475317
I0424 11:20:21.332075,default/linpack-00001-deployment-545d8788cc-mrl4g,16.171961
I0424 11:20:21.506012,default/mobilenet-00001-deployment-5d6d9ff4b-mg8c9,14.347068
I0424 11:20:22.396375,default/fetchdata-00001-deployment-7c46bb466c-rtqkc,16.663098
I0424 11:20:22.673844,default/fastfouriertransform-00001-deployment-6bbbdc9c67-8trh7,9.928698
I0424 11:20:24.711665,default/linpack-00001-deployment-545d8788cc-9f89m,94.669572
I0424 11:20:26.633090,default/grayscale-00001-deployment-6c9cd67ccc-58hmn,13.112275
I0424 11:20:28.645203,default/grayscale-00001-deployment-6c9cd67ccc-55l8w,19.052498
I0424 11:20:28.679969,default/linpack-00001-deployment-545d8788cc-98r75,22.248296
I0424 11:20:30.644724,default/grayscale-00001-deployment-6c9cd67ccc-nf4z5,18.825939
I0424 11:20:42.659543,default/matrixmul-00001-deployment-8468c5dd88-tptr2,18.008058
I0424 11:28:36.114086,default/fastfouriertransform-00001-deployment-6bbbdc9c67-k6xrj,18.66244
I0424 11:28:36.124101,default/grayscale-00001-deployment-6c9cd67ccc-9qhxt,25.413822
I0424 11:28:36.240130,default/genmatrix-00001-deployment-7db687b66-92c9h,23.432056
I0424 11:28:36.376293,default/pagerank-00001-deployment-54689999dc-9s4k8,53.905757
I0424 11:28:36.569082,default/resnet-00001-deployment-7fcbc8c8cb-stc8j,31.508251
I0424 11:28:36.636184,default/graphgen-00001-deployment-545ff9c679-529vn,60.584897
I0424 11:28:36.891656,default/matrixmul-00001-deployment-8468c5dd88-nf8q5,18.937832
I0424 11:28:37.063700,default/linpack-00001-deployment-545d8788cc-vrdrn,9.444453
I0424 11:28:37.212086,default/mobilenet-00001-deployment-5d6d9ff4b-rqjxw,12.373879
I0424 11:28:38.154243,default/fetchdata-00001-deployment-7c46bb466c-wjtjd,36.647705
I0424 11:28:40.634198,default/grayscale-00001-deployment-6c9cd67ccc-8j487,9.147523
I0424 11:28:44.627259,default/grayscale-00001-deployment-6c9cd67ccc-qv8cz,7.262184
I0424 11:28:58.729598,default/grayscale-00001-deployment-6c9cd67ccc-qrdjf,26.031516
