Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh,Label
2026-08-17,14:36:30,66.5,241.5,0.496,0.208,apiserver_2s_rep1
2026-08-17,14:36:31,66.8,241.7,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:32,66.8,241.7,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:33,66.8,241.7,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:34,66.8,241.7,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:35,66.8,241.7,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:36,66.3,241.9,0.495,0.208,apiserver_2s_rep1
2026-08-17,14:36:37,66.3,241.9,0.495,0.208,apiserver_2s_rep1
2026-08-17,14:36:38,66.3,241.9,0.495,0.208,apiserver_2s_rep1
2026-08-17,14:36:39,66.3,241.9,0.495,0.208,apiserver_2s_rep1
2026-08-17,14:36:40,66.3,241.9,0.495,0.208,apiserver_2s_rep1
2026-08-17,14:36:41,66.8,241.0,0.503,0.208,apiserver_2s_rep1
2026-08-17,14:36:42,66.8,241.0,0.503,0.208,apiserver_2s_rep1
2026-08-17,14:36:43,66.8,241.0,0.503,0.208,apiserver_2s_rep1
2026-08-17,14:36:44,66.8,241.0,0.503,0.208,apiserver_2s_rep1
2026-08-17,14:36:45,66.8,241.0,0.503,0.208,apiserver_2s_rep1
2026-08-17,14:36:46,67.0,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:47,67.0,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:48,67.0,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:49,67.0,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:50,67.0,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:51,66.4,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:52,66.4,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:53,66.4,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:54,66.4,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:55,66.4,241.9,0.497,0.208,apiserver_2s_rep1
2026-08-17,14:36:56,67.0,240.9,0.505,0.208,apiserver_2s_rep1
2026-08-17,14:36:57,67.0,240.9,0.505,0.208,apiserver_2s_rep1
2026-08-17,14:36:58,67.0,240.9,0.505,0.208,apiserver_2s_rep1
2026-08-17,14:36:59,67.0,240.9,0.505,0.208,apiserver_2s_rep1
2026-08-17,14:37:00,67.0,240.9,0.505,0.208,apiserver_2s_rep1
2026-08-17,14:37:01,68.5,241.2,0.513,0.208,apiserver_2s_rep1
2026-08-17,14:37:02,68.5,241.2,0.513,0.208,apiserver_2s_rep1
2026-08-17,14:37:03,68.5,241.2,0.513,0.208,apiserver_2s_rep1
2026-08-17,14:37:04,68.5,241.2,0.513,0.208,apiserver_2s_rep1
2026-08-17,14:37:05,68.5,241.2,0.513,0.208,apiserver_2s_rep1
2026-08-17,14:37:06,66.0,241.0,0.498,0.208,apiserver_2s_rep1
2026-08-17,14:37:07,66.0,241.0,0.498,0.208,apiserver_2s_rep1
2026-08-17,14:37:08,66.0,241.0,0.498,0.208,apiserver_2s_rep1
2026-08-17,14:37:09,66.0,241.0,0.498,0.208,apiserver_2s_rep1
2026-08-17,14:37:10,66.0,241.0,0.498,0.208,apiserver_2s_rep1
2026-08-17,14:37:11,66.7,241.9,0.499,0.208,apiserver_2s_rep1
2026-08-17,14:37:12,66.7,241.9,0.499,0.208,apiserver_2s_rep1
2026-08-17,14:37:13,66.7,241.9,0.499,0.208,apiserver_2s_rep1
2026-08-17,14:37:14,66.7,241.9,0.499,0.208,apiserver_2s_rep1
2026-08-17,14:37:15,66.7,241.9,0.499,0.208,apiserver_2s_rep1
2026-08-17,14:37:16,67.1,241.0,0.506,0.208,apiserver_2s_rep1
2026-08-17,14:37:17,67.1,241.0,0.506,0.208,apiserver_2s_rep1
2026-08-17,14:37:18,67.1,241.0,0.506,0.208,apiserver_2s_rep1
2026-08-17,14:37:19,67.1,241.0,0.506,0.208,apiserver_2s_rep1
