index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,1859.68,1859.67,0.01,4.88,1854.79,False,,0.0,4.05,0.01,0.82,4.88,1
1,1,genmatrix,small,cold,200,1589.83,1589.83,0.01,8.05,1581.78,True,,0.0,0.04,,8.0,8.05,2
2,2,fetchdata,small,cold,200,6912.79,6912.78,0.0,5101.56,1811.22,True,5101.5,0.0,0.04,0.0,,5101.56,3
3,3,fastfouriertransform,large,cold,200,1839.08,1839.08,0.0,4.69,1834.39,False,,0.0,3.92,0.0,0.77,4.69,4
4,4,linpack,small,cold,200,1703.61,1703.6,0.0,9.14,1694.47,True,,0.0,0.42,7.63,1.08,9.13,5
5,5,linpack,medium,cold,200,5941.01,5941.0,0.0,692.29,5248.71,False,,0.0,0.34,4.06,687.88,692.29,6
6,6,fastfouriertransform,small,cold,200,3307.85,3307.85,0.0,5.46,3302.39,False,,0.0,4.62,0.0,0.82,5.46,7
7,7,fastfouriertransform,small,cold,200,1775.45,1775.45,0.0,4.98,1770.47,False,,0.0,4.1,0.01,0.86,4.98,8
8,8,fetchdata,large,cold,200,8685.71,8685.7,0.01,78.9,8606.8,False,78.86,0.0,0.03,0.0,,78.9,9
9,9,linpack,small,cold,200,1721.15,1721.14,0.01,5.42,1715.72,False,,0.0,0.39,4.12,0.9,5.42,10
10,10,linpack,small,cold,200,1667.49,1667.49,0.0,5.33,1662.16,False,,0.0,0.44,4.08,0.79,5.32,11
11,11,linpack,medium,cold,200,4483.75,4483.75,0.01,667.87,3815.88,False,,0.0,0.39,4.02,663.46,667.87,12
12,12,fetchdata,medium,cold,200,8568.4,8568.39,0.0,89.06,8479.33,False,89.01,0.0,0.04,0.0,,89.06,13
13,13,linpack,medium,cold,200,6575.55,6575.55,0.0,719.07,5856.47,False,,0.0,0.36,4.07,714.64,719.07,14
14,14,fastfouriertransform,small,cold,200,2499.26,2499.26,0.0,4.92,2494.33,False,,0.0,4.05,0.0,0.86,4.92,15
15,15,matrixmul,medium,cold,200,2167.59,2160.55,7.03,521.29,1639.26,True,,0.0,0.42,4.18,516.68,521.29,16
16,16,genmatrix,small,cold,200,1681.79,1681.78,0.0,0.13,1681.65,False,,0.0,0.02,,0.1,0.13,17
17,17,fetchdata,medium,cold,200,8815.23,8815.22,0.01,77.5,8737.72,False,77.44,0.0,0.05,0.0,,77.5,18
18,18,fastfouriertransform,small,cold,200,2450.71,2450.71,0.0,5.0,2445.71,False,,0.0,4.11,0.01,0.88,5.0,19
19,19,matrixmul,small,cold,200,2414.19,2173.07,241.12,4.96,2168.11,False,,0.0,0.38,4.0,0.57,4.95,20
20,20,genmatrix,medium,cold,200,1859.24,1659.85,199.39,0.22,1659.63,False,,0.0,0.02,,0.2,0.22,21
21,21,linpack,medium,cold,200,5075.25,5075.24,0.01,665.07,4410.17,False,,0.0,0.37,3.97,660.72,665.07,22
22,22,fastfouriertransform,large,cold,200,1678.39,1678.39,0.0,4.87,1673.52,False,,0.0,4.02,0.0,0.84,4.87,23
23,23,matrixmul,large,cold,200,2152.2,2147.06,5.14,4.97,2142.09,False,,0.0,0.38,4.02,0.57,4.97,24
24,24,fastfouriertransform,medium,cold,200,3955.81,3955.8,0.01,790.19,3165.61,False,,0.0,4.92,0.0,785.26,790.19,25
25,25,fastfouriertransform,large,cold,200,1581.0,1581.0,0.0,5.85,1575.15,False,,0.0,4.71,0.01,1.12,5.85,26
26,26,genmatrix,large,cold,200,1841.12,1575.83,265.29,0.89,1574.95,False,,0.0,0.02,,0.86,0.88,27
27,27,linpack,medium,cold,200,7181.31,7181.31,0.0,699.43,6481.88,False,,0.0,0.35,3.97,695.11,699.43,28
28,28,linpack,small,cold,200,5023.21,5023.2,0.0,5.08,5018.13,False,,0.0,0.36,3.98,0.73,5.07,29
29,29,fastfouriertransform,small,cold,200,1619.36,1619.35,0.0,4.91,1614.44,False,,0.0,4.06,0.0,0.84,4.91,30
30,30,fetchdata,medium,cold,200,8538.67,8538.67,0.0,73.85,8464.82,False,73.82,0.0,0.02,0.0,,73.85,31
31,31,fastfouriertransform,small,cold,200,2319.63,2319.63,0.0,4.93,2314.7,False,,0.0,4.07,0.01,0.85,4.93,32
32,32,fastfouriertransform,medium,cold,200,3033.5,3033.5,0.0,727.83,2305.67,False,,0.0,4.03,0.0,723.79,727.83,33
33,33,genmatrix,medium,cold,200,1517.89,1509.5,8.39,0.22,1509.28,False,,0.0,0.02,,0.19,0.22,34
34,34,genmatrix,small,cold,200,1726.53,1518.61,207.92,0.14,1518.48,False,,0.0,0.03,,0.1,0.13,35
35,35,genmatrix,medium,cold,200,1717.58,1519.45,198.13,0.23,1519.22,False,,0.0,0.03,,0.2,0.23,36
36,36,fetchdata,large,cold,200,8555.18,8555.17,0.0,75.01,8480.17,False,74.98,0.0,0.02,0.0,,75.0,37
37,37,genmatrix,large,cold,200,1553.29,1366.47,186.82,0.86,1365.61,False,,0.0,0.03,,0.82,0.86,38
38,38,fastfouriertransform,large,cold,200,2207.29,2207.28,0.0,4.87,2202.42,False,,0.0,3.97,0.0,0.89,4.86,39
39,39,fetchdata,large,cold,200,8207.56,8207.56,0.0,83.37,8124.19,False,83.32,0.0,0.03,0.0,,83.37,40
40,40,fetchdata,small,cold,200,8097.38,8097.38,0.0,83.52,8013.85,False,83.43,0.0,0.07,0.0,,83.52,41
41,41,matrixmul,medium,cold,200,2495.57,2488.93,6.63,525.8,1963.13,False,,0.0,0.38,4.01,521.41,525.8,42
42,42,genmatrix,large,cold,200,1239.1,1206.08,33.02,0.93,1205.14,False,,0.0,0.02,,0.9,0.93,43
43,43,linpack,small,cold,200,6315.55,6315.54,0.0,5.11,6310.43,False,,0.0,0.37,3.99,0.74,5.11,44
44,44,genmatrix,small,cold,200,1342.24,1342.23,0.0,0.15,1342.08,False,,0.0,0.03,,0.11,0.15,45
45,45,fetchdata,small,cold,200,7779.48,7779.48,0.0,76.04,7703.43,False,76.01,0.0,0.02,0.0,,76.04,46
46,46,genmatrix,medium,cold,200,1362.46,1348.33,14.13,0.22,1348.1,False,,0.0,0.03,,0.19,0.22,47
47,47,genmatrix,small,cold,200,1164.1,1164.09,0.01,0.14,1163.95,False,,0.0,0.03,,0.11,0.14,48
48,48,fetchdata,large,cold,200,7966.84,7966.82,0.02,93.29,7873.53,False,93.24,0.0,0.03,0.0,,93.28,49
49,49,genmatrix,small,cold,200,1156.38,1156.38,0.0,0.12,1156.26,False,,0.0,0.02,,0.09,0.11,50
50,50,matrixmul,medium,cold,200,2981.37,2981.36,0.0,561.09,2420.27,False,,0.0,0.4,4.08,556.61,561.09,51
51,51,matrixmul,small,cold,200,2991.15,2986.02,5.13,6.06,2979.96,False,,0.0,1.18,4.17,0.7,6.06,52
52,52,genmatrix,small,cold,200,1293.21,1259.39,33.82,0.16,1259.23,False,,0.0,0.04,,0.11,0.16,53
53,53,fetchdata,large,cold,200,7622.13,7622.13,0.0,83.93,7538.2,False,83.86,0.0,0.06,0.0,,83.93,54
54,54,linpack,large,cold,200,4776.4,4776.39,0.01,5.25,4771.14,False,,0.0,0.38,4.05,0.81,5.25,55
55,55,genmatrix,large,cold,200,1534.73,1204.57,330.16,0.84,1203.73,False,,0.0,0.02,,0.81,0.84,56
56,56,linpack,medium,cold,200,7588.86,7588.86,0.0,694.27,6894.59,False,,0.0,0.41,4.06,689.8,694.26,57
57,57,linpack,medium,cold,200,2586.11,2586.11,0.0,713.87,1872.24,False,,0.0,0.36,3.97,709.53,713.87,58
58,58,genmatrix,small,cold,200,1104.02,1104.01,0.01,0.12,1103.89,False,,0.0,0.03,,0.09,0.12,59
59,59,fetchdata,large,cold,200,7479.65,7479.65,0.01,83.63,7396.01,False,83.6,0.0,0.02,0.0,,83.63,60
60,60,matrixmul,small,cold,200,4042.03,4031.2,10.83,4.96,4026.24,False,,0.0,0.38,4.0,0.58,4.96,61
61,61,fastfouriertransform,small,cold,200,1260.89,1260.88,0.0,5.08,1255.8,False,,0.0,4.12,0.0,0.95,5.08,62
62,62,fetchdata,large,cold,200,7696.73,7696.72,0.0,84.17,7612.55,False,84.12,0.0,0.03,0.0,,84.16,63
63,63,fetchdata,large,cold,200,6479.78,6479.78,0.0,77.56,6402.21,False,77.52,0.0,0.03,0.0,,77.56,64
64,64,matrixmul,large,cold,200,2857.26,2857.25,0.0,5.34,2851.91,False,,0.0,0.46,4.18,0.69,5.34,65
65,65,fastfouriertransform,medium,cold,200,1906.55,1906.54,0.01,652.3,1254.24,False,,0.0,4.02,0.0,648.27,652.3,66
66,66,matrixmul,large,cold,200,2860.34,2860.33,0.0,5.41,2854.92,False,,0.0,0.42,4.2,0.78,5.41,67
67,67,matrixmul,large,cold,200,1675.9,1671.5,4.4,4.95,1666.55,False,,0.0,0.38,4.0,0.56,4.94,68
68,68,genmatrix,large,warm,200,1031.43,993.08,38.35,0.78,992.3,False,,0.0,0.02,,0.75,0.78,69
69,69,fastfouriertransform,large,cold,200,1421.34,1421.34,0.01,4.92,1416.42,False,,0.0,4.02,0.0,0.89,4.92,70
70,70,fastfouriertransform,large,cold,200,2714.53,2714.52,0.01,6.33,2708.19,False,,0.0,5.18,0.0,1.13,6.33,71
71,71,linpack,medium,cold,200,1736.3,1736.3,0.01,674.56,1061.73,False,,0.0,0.39,4.42,669.75,674.56,72
72,72,genmatrix,small,cold,200,1053.32,1053.31,0.01,0.12,1053.19,False,,0.0,0.02,,0.09,0.12,73
73,73,genmatrix,medium,cold,200,1131.03,1035.27,95.76,0.2,1035.07,False,,0.0,0.02,,0.17,0.19,74
74,74,fetchdata,medium,cold,200,6743.48,6743.48,0.0,99.97,6643.51,False,99.91,0.0,0.04,0.0,,99.96,75
75,75,fastfouriertransform,large,cold,200,1145.98,1145.98,0.0,5.34,1140.64,False,,0.0,4.48,0.0,0.85,5.34,76
76,76,genmatrix,large,warm,200,1275.1,946.84,328.25,0.8,946.04,False,,0.0,0.02,,0.77,0.8,77
77,77,fetchdata,large,cold,200,6616.48,6616.47,0.01,92.99,6523.48,False,92.93,0.0,0.04,0.0,,92.98,78
78,78,fastfouriertransform,large,cold,200,1113.12,1113.11,0.0,5.07,1108.04,False,,0.0,4.17,0.01,0.89,5.07,79
79,79,genmatrix,large,cold,200,1177.95,1075.15,102.8,0.83,1074.32,False,,0.0,0.02,,0.8,0.83,80
80,80,linpack,large,warm,200,986.47,986.46,0.0,5.98,980.49,False,,0.0,0.38,4.77,0.81,5.97,81
81,81,fetchdata,small,cold,200,6399.88,6399.88,0.01,91.35,6308.52,False,91.29,0.0,0.04,0.0,,91.35,82
82,82,genmatrix,small,warm,200,986.32,953.2,33.12,0.13,953.07,False,,0.0,0.03,,0.09,0.13,83
83,83,linpack,large,cold,200,4457.01,4457.0,0.01,5.12,4451.88,False,,0.0,0.38,3.99,0.74,5.12,84
84,84,fastfouriertransform,large,warm,200,1000.67,1000.66,0.01,5.06,995.61,False,,0.0,4.01,0.01,1.02,5.05,85
85,85,genmatrix,medium,warm,200,973.93,933.93,40.0,0.21,933.72,False,,0.0,0.03,,0.18,0.21,86
86,86,fastfouriertransform,small,cold,200,1745.07,1745.06,0.01,4.93,1740.14,False,,0.0,4.06,0.0,0.85,4.93,87
87,87,genmatrix,medium,warm,200,939.84,900.07,39.77,0.23,899.84,False,,0.0,0.03,,0.19,0.23,88
88,88,fetchdata,small,cold,200,6408.7,6408.7,0.0,85.55,6323.15,False,85.48,0.0,0.06,0.0,,85.55,89
89,89,fetchdata,large,cold,200,6679.35,6679.34,0.01,85.34,6594.0,False,85.3,0.0,0.03,0.0,,85.34,90
90,90,fastfouriertransform,small,cold,200,3320.32,3320.32,0.0,5.1,3315.22,False,,0.0,4.19,0.0,0.9,5.1,91
91,91,matrixmul,small,cold,200,1451.55,1447.32,4.23,4.93,1442.39,False,,0.0,0.37,3.99,0.57,4.93,92
92,92,linpack,small,cold,200,4380.5,4380.49,0.0,5.2,4375.29,False,,0.0,0.35,4.01,0.83,5.2,93
93,93,fetchdata,large,cold,200,6890.64,6890.63,0.01,88.29,6802.34,False,88.26,0.0,0.03,0.0,,88.29,94
94,94,matrixmul,large,cold,200,2598.81,2598.81,0.01,6.8,2592.0,False,,0.0,0.4,5.73,0.67,6.8,95
95,95,fetchdata,medium,cold,200,6788.49,6788.48,0.01,76.49,6711.99,False,76.46,0.0,0.02,0.0,,76.49,96
96,96,linpack,large,cold,200,2971.45,2971.44,0.01,5.14,2966.3,False,,0.0,0.37,4.01,0.75,5.14,97
