Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh
2026-07-23,13:39:20,62.2,239.8,0.481,30.607
2026-07-23,13:39:21,62.2,239.8,0.481,30.607
2026-07-23,13:39:22,62.2,239.8,0.481,30.607
2026-07-23,13:39:23,62.2,239.8,0.481,30.607
2026-07-23,13:39:24,62.2,239.8,0.481,30.607
2026-07-23,13:39:25,62.2,239.8,0.481,30.607
2026-07-23,13:39:26,62.2,239.8,0.481,30.607
2026-07-23,13:39:27,62.2,239.8,0.481,30.607
2026-07-23,13:39:28,62.2,239.8,0.481,30.607
2026-07-23,13:39:29,62.2,239.8,0.481,30.607
2026-07-23,13:39:30,62.2,239.8,0.481,30.607
2026-07-23,13:39:31,62.2,239.8,0.481,30.607
2026-07-23,13:39:32,62.2,239.8,0.481,30.607
2026-07-23,13:39:33,62.2,239.8,0.481,30.607
2026-07-23,13:39:34,62.2,239.8,0.481,30.607
2026-07-23,13:39:35,62.2,239.8,0.481,30.607
2026-07-23,13:39:36,62.2,239.8,0.481,30.607
2026-07-23,13:39:37,62.2,239.8,0.481,30.607
2026-07-23,13:39:38,62.2,239.8,0.481,30.607
2026-07-23,13:39:39,62.2,239.8,0.481,30.607
2026-07-23,13:39:40,62.2,239.8,0.481,30.607
2026-07-23,13:39:41,62.2,239.8,0.481,30.607
2026-07-23,13:39:42,62.2,239.8,0.481,30.607
2026-07-23,13:39:43,62.2,239.8,0.481,30.607
2026-07-23,13:39:44,62.2,239.8,0.481,30.607
2026-07-23,13:39:45,62.2,239.8,0.481,30.607
2026-07-23,13:39:46,62.2,239.8,0.481,30.607
2026-07-23,13:39:47,62.2,239.8,0.481,30.607
2026-07-23,13:39:48,62.2,239.8,0.481,30.607
2026-07-23,13:39:49,62.2,239.8,0.481,30.607
2026-07-23,13:39:50,62.2,239.8,0.481,30.607
2026-07-23,13:39:51,62.2,239.8,0.481,30.607
2026-07-23,13:39:52,62.2,239.8,0.481,30.607
2026-07-23,13:39:53,62.2,239.8,0.481,30.607
2026-07-23,13:39:54,62.2,239.8,0.481,30.607
2026-07-23,13:39:55,62.2,239.8,0.481,30.607
2026-07-23,13:39:56,62.2,239.8,0.481,30.607
2026-07-23,13:39:57,62.2,239.8,0.481,30.607
2026-07-23,13:39:58,62.2,239.8,0.481,30.607
2026-07-23,13:39:59,62.2,239.8,0.481,30.607
2026-07-23,13:40:00,62.2,239.8,0.481,30.607
2026-07-23,13:40:01,62.2,239.8,0.481,30.607
2026-07-23,13:40:02,62.2,239.8,0.481,30.607
2026-07-23,13:40:03,62.2,239.8,0.481,30.607
2026-07-23,13:40:04,62.2,239.8,0.481,30.607
2026-07-23,13:40:05,62.2,239.8,0.481,30.607
2026-07-23,13:40:06,62.2,239.8,0.481,30.607
2026-07-23,13:40:07,62.2,239.8,0.481,30.607
2026-07-23,13:40:08,62.2,239.8,0.481,30.607
2026-07-23,13:40:09,62.2,239.8,0.481,30.607
2026-07-23,13:40:10,62.2,239.8,0.481,30.607
2026-07-23,13:40:11,62.2,239.8,0.481,30.607
2026-07-23,13:40:12,62.2,239.8,0.481,30.607
2026-07-23,13:40:13,62.2,239.8,0.481,30.607
2026-07-23,13:40:14,62.2,239.8,0.481,30.607
2026-07-23,13:40:15,62.2,239.8,0.481,30.607
2026-07-23,13:40:16,62.2,239.8,0.481,30.607
2026-07-23,13:40:17,62.2,239.8,0.481,30.607
2026-07-23,13:40:18,62.2,239.8,0.481,30.607
2026-07-23,13:40:19,62.2,239.8,0.481,30.607
2026-07-23,13:40:20,62.2,239.8,0.481,30.607
2026-07-23,13:40:21,62.2,239.8,0.481,30.607
2026-07-23,13:40:22,62.2,239.8,0.481,30.607
2026-07-23,13:40:23,62.2,239.8,0.481,30.607
2026-07-23,13:40:24,62.2,239.8,0.481,30.607
2026-07-23,13:40:25,62.2,239.8,0.481,30.607
2026-07-23,13:40:26,62.2,239.8,0.481,30.607
2026-07-23,13:40:27,62.2,239.8,0.481,30.607
2026-07-23,13:40:28,62.2,239.8,0.481,30.607
2026-07-23,13:40:29,62.2,239.8,0.481,30.607
2026-07-23,13:40:30,62.2,239.8,0.481,30.607
2026-07-23,13:40:31,62.2,239.8,0.481,30.607
2026-07-23,13:40:32,62.2,239.8,0.481,30.607
2026-07-23,13:40:33,62.2,239.8,0.481,30.607
2026-07-23,13:40:34,62.2,239.8,0.481,30.607
2026-07-23,13:40:35,62.2,239.8,0.481,30.607
2026-07-23,13:40:36,62.2,239.8,0.481,30.607
2026-07-23,13:40:37,62.2,239.8,0.481,30.607
2026-07-23,13:40:38,62.2,239.8,0.481,30.607
2026-07-23,13:40:39,62.2,239.8,0.481,30.607
2026-07-23,13:40:40,62.2,239.8,0.481,30.607
2026-07-23,13:40:41,62.2,239.8,0.481,30.607
2026-07-23,13:40:42,62.2,239.8,0.481,30.607
2026-07-23,13:40:43,62.2,239.8,0.481,30.607
2026-07-23,13:40:44,62.2,239.8,0.481,30.607
2026-07-23,13:40:45,62.2,239.8,0.481,30.607
2026-07-23,13:40:46,62.2,239.8,0.481,30.607
2026-07-23,13:40:47,62.2,239.8,0.481,30.607
2026-07-23,13:40:48,62.2,239.8,0.481,30.607
2026-07-23,13:40:49,62.2,239.8,0.481,30.607
2026-07-23,13:40:50,62.2,239.8,0.481,30.607
2026-07-23,13:40:51,62.2,239.8,0.481,30.607
2026-07-23,13:40:52,62.2,239.8,0.481,30.607
2026-07-23,13:40:53,62.2,239.8,0.481,30.607
2026-07-23,13:40:54,62.2,239.8,0.481,30.607
2026-07-23,13:40:55,62.2,239.8,0.481,30.607
2026-07-23,13:40:56,62.2,239.8,0.481,30.607
2026-07-23,13:40:57,62.2,239.8,0.481,30.607
2026-07-23,13:40:58,62.2,239.8,0.481,30.607
2026-07-23,13:40:59,62.2,239.8,0.481,30.607
2026-07-23,13:41:00,62.2,239.8,0.481,30.607
2026-07-23,13:41:01,62.2,239.8,0.481,30.607
2026-07-23,13:41:02,62.2,239.8,0.481,30.607
2026-07-23,13:41:03,62.2,239.8,0.481,30.607
2026-07-23,13:41:04,62.2,239.8,0.481,30.607
2026-07-23,13:41:05,62.2,239.8,0.481,30.607
2026-07-23,13:41:06,62.2,239.8,0.481,30.607
2026-07-23,13:41:07,62.2,239.8,0.481,30.607
2026-07-23,13:41:08,62.2,239.8,0.481,30.607
2026-07-23,13:41:09,62.2,239.8,0.481,30.607
2026-07-23,13:41:10,62.2,239.8,0.481,30.607
2026-07-23,13:41:11,62.2,239.8,0.481,30.607
2026-07-23,13:41:12,62.2,239.8,0.481,30.607
2026-07-23,13:41:13,62.2,239.8,0.481,30.607
2026-07-23,13:41:14,62.2,239.8,0.481,30.607
2026-07-23,13:41:15,62.2,239.8,0.481,30.607
2026-07-23,13:41:16,62.2,239.8,0.481,30.607
2026-07-23,13:41:17,62.2,239.8,0.481,30.607
2026-07-23,13:41:18,62.2,239.8,0.481,30.607
2026-07-23,13:41:19,62.2,239.8,0.481,30.607
2026-07-23,13:41:20,62.2,239.8,0.481,30.607
2026-07-23,13:41:21,62.2,239.8,0.481,30.607
2026-07-23,13:41:22,62.2,239.8,0.481,30.607
2026-07-23,13:41:23,62.2,239.8,0.481,30.607
2026-07-23,13:41:24,62.2,239.8,0.481,30.607
2026-07-23,13:41:25,62.2,239.8,0.481,30.607
2026-07-23,13:41:26,62.2,239.8,0.481,30.607
2026-07-23,13:41:27,62.2,239.8,0.481,30.607
2026-07-23,13:41:29,62.2,239.8,0.481,30.607
2026-07-23,13:41:30,62.2,239.8,0.481,30.607
2026-07-23,13:41:31,62.2,239.8,0.481,30.607
2026-07-23,13:41:32,62.2,239.8,0.481,30.607
2026-07-23,13:41:33,62.2,239.8,0.481,30.607
2026-07-23,13:41:34,62.2,239.8,0.481,30.607
2026-07-23,13:41:35,62.2,239.8,0.481,30.607
2026-07-23,13:41:36,62.2,239.8,0.481,30.607
2026-07-23,13:41:37,62.2,239.8,0.481,30.607
2026-07-23,13:41:38,62.2,239.8,0.481,30.607
2026-07-23,13:41:39,62.2,239.8,0.481,30.607
2026-07-23,13:41:40,62.2,239.8,0.481,30.607
2026-07-23,13:41:41,62.2,239.8,0.481,30.607
2026-07-23,13:41:42,62.2,239.8,0.481,30.607
2026-07-23,13:41:43,62.2,239.8,0.481,30.607
2026-07-23,13:41:44,62.2,239.8,0.481,30.607
2026-07-23,13:41:45,62.2,239.8,0.481,30.607
2026-07-23,13:41:46,62.2,239.8,0.481,30.607
2026-07-23,13:41:47,62.2,239.8,0.481,30.607
2026-07-23,13:41:48,62.2,239.8,0.481,30.607
2026-07-23,13:41:49,117.9,240.8,0.807,30.607
2026-07-23,13:41:50,117.9,240.8,0.807,30.607
2026-07-23,13:41:51,117.9,240.8,0.807,30.607
2026-07-23,13:41:52,117.9,240.8,0.807,30.607
2026-07-23,13:41:53,117.9,240.8,0.807,30.607
2026-07-23,13:41:54,117.9,240.8,0.807,30.607
2026-07-23,13:41:55,117.9,240.8,0.807,30.607
2026-07-23,13:41:56,117.9,240.8,0.807,30.607
2026-07-23,13:41:57,117.9,240.8,0.807,30.607
2026-07-23,13:41:58,117.9,240.8,0.807,30.607
2026-07-23,13:41:59,117.9,240.8,0.807,30.607
2026-07-23,13:42:00,117.9,240.8,0.807,30.607
2026-07-23,13:42:01,117.9,240.8,0.807,30.607
2026-07-23,13:42:02,117.9,240.8,0.807,30.607
2026-07-23,13:42:03,117.9,240.8,0.807,30.607
2026-07-23,13:42:04,117.9,240.8,0.807,30.607
2026-07-23,13:42:05,117.9,240.8,0.807,30.607
2026-07-23,13:42:06,117.9,240.8,0.807,30.607
2026-07-23,13:42:07,117.9,240.8,0.807,30.607
2026-07-23,13:42:08,117.9,240.8,0.807,30.607
2026-07-23,13:42:09,117.9,240.8,0.807,30.607
2026-07-23,13:42:10,117.9,240.8,0.807,30.607
2026-07-23,13:42:11,117.9,240.8,0.807,30.607
2026-07-23,13:42:12,117.9,240.8,0.807,30.607
2026-07-23,13:42:13,117.9,240.8,0.807,30.607
2026-07-23,13:42:14,117.9,240.8,0.807,30.607
2026-07-23,13:42:15,117.9,240.8,0.807,30.607
2026-07-23,13:42:16,117.9,240.8,0.807,30.607
2026-07-23,13:42:17,117.9,240.8,0.807,30.607
2026-07-23,13:42:18,117.9,240.8,0.807,30.607
2026-07-23,13:42:19,117.9,240.8,0.807,30.607
2026-07-23,13:42:20,117.9,240.8,0.807,30.607
2026-07-23,13:42:21,117.9,240.8,0.807,30.607
2026-07-23,13:42:22,117.9,240.8,0.807,30.607
2026-07-23,13:42:23,117.9,240.8,0.807,30.607
2026-07-23,13:42:24,80.7,240.3,0.598,30.607
2026-07-23,13:42:25,80.7,240.3,0.598,30.607
2026-07-23,13:42:26,80.7,240.3,0.598,30.607
2026-07-23,13:42:27,80.7,240.3,0.598,30.607
2026-07-23,13:42:28,80.7,240.3,0.598,30.607
2026-07-23,13:42:29,80.7,240.3,0.598,30.607
2026-07-23,13:42:30,80.7,240.3,0.598,30.607
2026-07-23,13:42:31,80.7,240.3,0.598,30.607
2026-07-23,13:42:32,80.7,240.3,0.598,30.607
2026-07-23,13:42:33,80.7,240.3,0.598,30.607
2026-07-23,13:42:34,71.9,240.2,0.542,30.607
2026-07-23,13:42:35,71.9,240.2,0.542,30.607
2026-07-23,13:42:36,71.9,240.2,0.542,30.607
2026-07-23,13:42:37,71.9,240.2,0.542,30.607
2026-07-23,13:42:38,71.9,240.2,0.542,30.607
2026-07-23,13:42:39,66.7,240.4,0.517,30.607
2026-07-23,13:42:40,66.7,240.4,0.517,30.607
2026-07-23,13:42:41,66.7,240.4,0.517,30.607
2026-07-23,13:42:42,66.7,240.4,0.517,30.607
2026-07-23,13:42:43,66.7,240.4,0.517,30.607
2026-07-23,13:42:44,74.0,239.9,0.565,30.607
2026-07-23,13:42:45,74.0,239.9,0.565,30.607
2026-07-23,13:42:46,74.0,239.9,0.565,30.607
2026-07-23,13:42:47,74.0,239.9,0.565,30.607
2026-07-23,13:42:48,74.0,239.9,0.565,30.607
2026-07-23,13:42:49,67.7,240.5,0.52,30.607
2026-07-23,13:42:50,67.7,240.5,0.52,30.607
2026-07-23,13:42:51,67.7,240.5,0.52,30.607
