request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,1545.04,1545.01,0.03,6.15,1538.86,True,,0.0,3.83,0.0,2.31,6.15,1
1,genmatrix,small,cold,200,1388.01,1387.42,0.59,6.18,1381.25,True,,0.0,0.03,,6.14,6.17,2
2,fetchdata,small,cold,200,1539.37,1539.35,0.02,123.73,1415.62,True,123.7,0.0,0.02,0.0,,123.73,2
3,fastfouriertransform,large,warm,200,25.41,25.4,0.01,4.74,20.66,False,,0.0,3.88,0.0,0.85,4.74,2
4,linpack,small,cold,200,1406.25,1406.23,0.02,5.24,1401.0,True,,0.0,0.37,4.05,0.81,5.23,1
5,linpack,medium,warm,200,1049.55,1049.54,0.01,642.1,407.44,False,,0.0,0.34,4.02,637.74,642.1,2
6,fastfouriertransform,small,warm,200,26.79,26.78,0.01,6.07,20.71,False,,0.0,5.03,0.01,1.02,6.07,2
7,fastfouriertransform,small,warm,200,42.97,42.95,0.02,6.59,36.36,False,,0.0,5.48,0.01,1.1,6.59,1
8,fetchdata,large,warm,200,86.99,86.97,0.02,80.37,6.6,False,80.33,0.0,0.03,0.0,,80.37,1
9,linpack,small,warm,200,17.96,17.94,0.02,5.11,12.83,False,,0.0,0.35,4.02,0.74,5.11,1
10,linpack,small,warm,200,20.33,20.31,0.02,8.02,12.3,False,,0.0,0.52,6.36,1.13,8.01,1
11,linpack,medium,warm,200,680.16,680.14,0.02,666.65,13.5,False,,0.0,0.52,6.42,659.7,666.64,1
12,fetchdata,medium,warm,200,85.91,85.89,0.02,79.65,6.24,False,79.61,0.0,0.03,0.0,,79.65,1
13,linpack,medium,warm,200,662.02,662.0,0.02,645.09,16.9,False,,0.0,0.34,3.99,640.76,645.09,1
14,fastfouriertransform,small,warm,200,39.3,39.28,0.02,4.73,34.55,False,,0.0,3.91,0.01,0.81,4.73,1
15,matrixmul,medium,cold,200,1796.75,1794.44,2.31,506.01,1288.43,True,,0.0,0.34,4.01,501.66,506.0,1
16,genmatrix,small,warm,200,11.98,11.34,0.64,0.15,11.19,False,,0.0,0.04,,0.1,0.14,2
17,fetchdata,medium,warm,200,88.26,88.24,0.02,81.59,6.64,False,81.55,0.0,0.03,0.0,,81.59,1
18,fastfouriertransform,small,warm,200,25.06,25.05,0.01,5.76,19.29,False,,0.0,4.82,0.0,0.93,5.76,1
19,matrixmul,small,warm,200,24.42,22.03,2.4,4.87,17.16,False,,0.0,0.35,3.95,0.56,4.87,1
20,genmatrix,medium,warm,200,15.9,13.69,2.21,0.33,13.36,False,,0.0,0.03,,0.28,0.33,1
21,linpack,medium,warm,200,696.18,696.16,0.02,683.59,12.57,False,,0.0,0.55,6.43,676.61,683.59,1
22,fastfouriertransform,large,warm,200,24.49,24.48,0.01,4.68,19.81,False,,0.0,3.86,0.0,0.81,4.68,1
23,matrixmul,large,warm,200,28.74,26.7,2.04,7.72,18.98,False,,0.0,0.52,6.33,0.86,7.72,1
24,fastfouriertransform,medium,warm,200,676.52,676.5,0.02,641.74,34.76,False,,0.0,6.29,0.01,635.44,641.74,1
25,fastfouriertransform,large,warm,200,38.37,38.35,0.02,4.62,33.73,False,,0.0,3.85,0.0,0.76,4.61,1
26,genmatrix,large,warm,200,58.98,46.87,12.11,1.35,45.52,False,,0.0,0.03,,1.3,1.35,1
27,linpack,medium,warm,200,694.57,694.55,0.02,681.83,12.72,False,,0.0,0.6,6.37,674.86,681.83,1
