request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,1475.23,1475.22,0.02,4.55,1470.67,False,,0.0,3.82,0.0,0.72,4.55,1
1,genmatrix,small,cold,200,1276.35,1275.68,0.66,6.33,1269.35,True,,0.0,0.03,,6.3,6.33,2
2,fetchdata,small,cold,200,1823.39,1823.38,0.01,137.28,1686.1,True,137.24,0.0,0.03,0.0,,137.27,3
3,fastfouriertransform,large,warm,200,868.53,868.51,0.02,4.53,863.98,False,,0.0,3.79,0.0,0.74,4.53,4
4,linpack,small,cold,200,1374.62,1374.6,0.02,5.66,1368.94,True,,0.0,0.39,4.29,0.98,5.66,5
5,linpack,medium,cold,200,1841.61,1841.6,0.01,652.24,1189.36,False,,0.0,0.41,4.1,647.72,652.24,6
6,fastfouriertransform,small,warm,200,257.25,257.22,0.03,6.03,251.19,True,,0.0,3.88,0.0,2.14,6.03,7
7,fastfouriertransform,small,warm,200,62.26,62.2,0.06,4.62,57.58,False,,0.0,3.84,0.0,0.77,4.62,8
8,fetchdata,large,warm,200,714.88,714.86,0.02,89.13,625.73,False,89.1,0.0,0.02,0.0,,89.13,4
9,linpack,small,warm,200,388.62,388.62,0.01,5.18,383.44,False,,0.0,0.43,3.97,0.77,5.17,5
10,linpack,small,warm,200,182.46,182.45,0.01,5.08,177.37,False,,0.0,0.36,3.97,0.74,5.08,6
11,linpack,medium,warm,200,1300.15,1300.08,0.07,655.19,644.89,False,,0.0,0.34,3.96,650.88,655.19,4
12,fetchdata,medium,warm,200,98.22,98.2,0.02,92.76,5.45,False,92.72,0.0,0.02,0.0,,92.75,3
13,linpack,medium,warm,200,1548.95,1548.93,0.02,648.4,900.53,False,,0.0,0.37,3.97,644.05,648.39,3
14,fastfouriertransform,small,warm,200,40.82,40.81,0.01,4.58,36.22,False,,0.0,3.83,0.0,0.75,4.58,4
15,matrixmul,medium,cold,200,1791.04,1789.5,1.54,505.91,1283.6,True,,0.0,0.36,4.0,501.55,505.9,3
16,genmatrix,small,warm,200,7.31,6.83,0.48,0.11,6.72,False,,0.0,0.02,,0.09,0.11,4
17,fetchdata,medium,warm,200,102.34,102.33,0.02,96.87,5.46,False,96.83,0.0,0.02,0.0,,96.86,4
18,fastfouriertransform,small,warm,200,24.54,24.53,0.01,4.55,19.98,False,,0.0,3.8,0.0,0.74,4.55,3
19,matrixmul,small,warm,200,1012.02,1000.97,11.05,4.9,996.07,False,,0.0,0.34,3.99,0.56,4.9,3
20,genmatrix,medium,warm,200,13.91,12.02,1.9,0.24,11.78,False,,0.0,0.03,,0.2,0.23,4
21,linpack,medium,warm,200,656.3,656.3,0.01,646.92,9.37,False,,0.0,0.34,3.95,642.62,646.92,3
22,fastfouriertransform,large,warm,200,24.23,24.22,0.01,4.64,19.58,False,,0.0,3.9,0.0,0.74,4.64,4
23,matrixmul,large,warm,200,214.88,214.69,0.19,4.87,209.82,False,,0.0,0.34,3.98,0.55,4.87,4
24,fastfouriertransform,medium,warm,200,619.93,619.91,0.02,600.72,19.19,False,,0.0,3.8,0.0,596.92,600.72,4
25,fastfouriertransform,large,warm,200,427.6,427.58,0.03,4.49,423.08,False,,0.0,3.78,0.0,0.7,4.49,2
26,genmatrix,large,warm,200,51.61,32.38,19.23,0.93,31.45,False,,0.0,0.03,,0.9,0.93,3
27,linpack,medium,warm,200,658.28,658.26,0.02,646.24,12.02,False,,0.0,0.34,3.96,641.93,646.24,3
28,linpack,small,warm,200,465.44,465.42,0.02,5.4,460.02,False,,0.0,0.41,4.25,0.74,5.4,2
29,fastfouriertransform,small,warm,200,44.47,44.46,0.01,6.37,38.09,False,,0.0,5.37,0.0,1.0,6.37,3
30,fetchdata,medium,warm,200,93.23,93.23,0.01,88.08,5.15,False,88.05,0.0,0.02,0.0,,88.08,3
31,fastfouriertransform,small,warm,200,27.17,27.16,0.01,7.21,19.95,False,,0.0,6.08,0.0,1.12,7.21,1
32,fastfouriertransform,medium,warm,200,654.04,654.03,0.01,619.13,34.9,False,,0.0,6.02,0.0,613.1,619.13,1
33,genmatrix,medium,warm,200,12.72,10.34,2.38,0.21,10.13,False,,0.0,0.02,,0.18,0.21,2
34,genmatrix,small,warm,200,7.21,6.52,0.69,0.12,6.4,False,,0.0,0.02,,0.09,0.12,2
