request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,1496.82,1496.81,0.01,18.11,1478.71,True,,0.0,3.97,0.0,14.13,18.1,1
1,fetchdata,small,cold,200,1994.03,1994.02,0.01,141.64,1852.38,True,141.6,0.0,0.02,0.0,,141.64,1
2,genmatrix,small,cold,200,1397.85,1396.54,1.31,6.19,1390.35,True,,0.0,0.03,,6.16,6.19,1
3,fastfouriertransform,large,warm,200,24.78,24.77,0.01,6.19,18.58,False,,0.0,5.1,0.0,1.08,6.19,1
4,fastfouriertransform,large,warm,200,26.54,26.53,0.01,7.41,19.12,False,,0.0,6.27,0.0,1.13,7.4,1
5,linpack,small,cold,200,1388.18,1388.17,0.01,5.16,1383.01,True,,0.0,0.36,4.0,0.81,5.16,1
6,fastfouriertransform,small,warm,200,25.78,25.77,0.01,7.35,18.42,False,,0.0,6.2,0.0,1.14,7.35,1
7,genmatrix,small,warm,200,9.47,8.37,1.1,0.15,8.22,False,,0.0,0.03,,0.12,0.15,1
8,fastfouriertransform,large,warm,200,25.92,25.92,0.01,7.36,18.56,False,,0.0,6.21,0.0,1.13,7.36,1
9,genmatrix,large,warm,200,59.0,49.2,9.8,1.41,47.79,False,,0.0,0.04,,1.36,1.41,1
10,linpack,small,warm,200,20.67,20.66,0.01,8.07,12.59,False,,0.0,0.54,6.35,1.18,8.07,1
11,linpack,large,warm,200,22.2,22.19,0.01,8.13,14.07,False,,0.0,0.52,6.43,1.17,8.12,1
12,fetchdata,small,warm,200,94.74,94.73,0.01,87.76,6.98,False,87.72,0.0,0.03,0.0,,87.75,1
13,genmatrix,large,warm,200,53.86,45.15,8.71,1.14,44.01,False,,0.0,0.03,,1.1,1.14,1
14,linpack,medium,warm,200,687.83,687.82,0.01,675.47,12.35,False,,0.0,0.52,6.37,668.58,675.47,1
15,fetchdata,small,warm,200,89.36,89.35,0.01,82.13,7.23,False,82.09,0.0,0.03,0.0,,82.12,1
