Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh,Label
2026-08-25,14:37:59,67.6,239.1,0.487,0.364,idle
2026-08-25,14:38:00,67.6,239.1,0.487,0.364,idle
2026-08-25,14:38:01,67.6,239.1,0.487,0.364,idle
2026-08-25,14:38:02,67.6,239.1,0.487,0.364,idle
2026-08-25,14:38:03,67.6,239.1,0.487,0.364,idle
2026-08-25,14:38:04,66.6,239.6,0.477,0.364,idle
2026-08-25,14:38:05,66.6,239.6,0.477,0.364,idle
2026-08-25,14:38:06,66.6,239.6,0.477,0.364,idle
2026-08-25,14:38:07,66.6,239.6,0.477,0.364,idle
2026-08-25,14:38:08,68.2,239.6,0.489,0.364,idle
2026-08-25,14:38:09,68.2,239.6,0.489,0.364,idle
2026-08-25,14:38:10,68.2,239.6,0.489,0.364,idle
2026-08-25,14:38:11,68.2,239.6,0.489,0.364,idle
2026-08-25,14:38:12,68.2,239.6,0.489,0.364,idle
2026-08-25,14:38:13,68.2,239.6,0.489,0.364,idle
2026-08-25,14:38:14,66.7,240.0,0.479,0.364,idle
2026-08-25,14:38:15,66.7,240.0,0.479,0.364,idle
2026-08-25,14:38:16,66.7,240.0,0.479,0.364,idle
2026-08-25,14:38:17,66.7,240.0,0.479,0.364,idle
2026-08-25,14:38:18,68.1,239.9,0.489,0.364,idle
2026-08-25,14:38:19,68.1,239.9,0.489,0.364,idle
2026-08-25,14:38:20,68.1,239.9,0.489,0.364,idle
2026-08-25,14:38:21,68.1,239.9,0.489,0.364,idle
2026-08-25,14:38:22,68.1,239.9,0.489,0.364,idle
2026-08-25,14:38:23,68.1,239.9,0.489,0.364,idle
2026-08-25,14:38:24,66.7,239.8,0.48,0.364,idle
2026-08-25,14:38:25,66.7,239.8,0.48,0.364,idle
2026-08-25,14:38:26,66.7,239.8,0.48,0.364,idle
2026-08-25,14:38:27,66.7,239.8,0.48,0.364,idle
2026-08-25,14:38:28,70.3,239.1,0.502,0.364,idle
2026-08-25,14:38:29,70.3,239.1,0.502,0.364,idle
2026-08-25,14:38:30,70.3,239.1,0.502,0.364,idle
2026-08-25,14:38:31,70.3,239.1,0.502,0.364,idle
2026-08-25,14:38:32,70.3,239.1,0.502,0.364,idle
2026-08-25,14:38:33,68.6,239.1,0.493,0.364,idle
2026-08-25,14:38:34,68.6,239.1,0.493,0.364,idle
2026-08-25,14:38:35,68.6,239.1,0.493,0.364,idle
2026-08-25,14:38:36,68.6,239.1,0.493,0.364,idle
2026-08-25,14:38:37,68.6,239.1,0.493,0.364,idle
2026-08-25,14:38:38,67.8,239.5,0.486,0.364,idle
2026-08-25,14:38:39,67.8,239.5,0.486,0.364,idle
2026-08-25,14:38:40,67.8,239.5,0.486,0.364,idle
2026-08-25,14:38:41,67.8,239.5,0.486,0.364,idle
2026-08-25,14:38:42,67.8,239.5,0.486,0.364,idle
2026-08-25,14:38:43,67.2,239.5,0.484,0.364,idle
2026-08-25,14:38:44,67.2,239.5,0.484,0.364,idle
2026-08-25,14:38:45,67.2,239.5,0.484,0.364,idle
2026-08-25,14:38:46,67.2,239.5,0.484,0.364,idle
2026-08-25,14:38:47,67.2,239.5,0.484,0.364,idle
2026-08-25,14:38:48,65.9,239.8,0.476,0.364,idle
2026-08-25,14:38:49,65.9,239.8,0.476,0.364,idle
2026-08-25,14:38:50,65.9,239.8,0.476,0.364,idle
2026-08-25,14:38:51,65.9,239.8,0.476,0.364,idle
2026-08-25,14:38:52,65.9,239.8,0.476,0.364,idle
2026-08-25,14:38:53,66.9,239.7,0.482,0.364,idle
2026-08-25,14:38:54,66.9,239.7,0.482,0.364,adaptive_10s_rep1
2026-08-25,14:38:55,66.9,239.7,0.482,0.364,adaptive_10s_rep1
2026-08-25,14:38:56,66.9,239.7,0.482,0.364,adaptive_10s_rep1
2026-08-25,14:38:57,66.9,239.7,0.482,0.364,adaptive_10s_rep1
2026-08-25,14:38:58,66.0,239.8,0.475,0.364,adaptive_10s_rep1
2026-08-25,14:38:59,66.0,239.8,0.475,0.364,adaptive_10s_rep1
2026-08-25,14:39:00,66.0,239.8,0.475,0.364,adaptive_10s_rep1
2026-08-25,14:39:01,66.0,239.8,0.475,0.364,adaptive_10s_rep1
2026-08-25,14:39:02,66.0,239.8,0.475,0.364,adaptive_10s_rep1
2026-08-25,14:39:03,69.2,239.5,0.493,0.364,adaptive_10s_rep1
2026-08-25,14:39:04,69.2,239.5,0.493,0.364,adaptive_10s_rep1
2026-08-25,14:39:05,69.2,239.5,0.493,0.364,adaptive_10s_rep1
2026-08-25,14:39:06,69.2,239.5,0.493,0.364,idle
2026-08-25,14:39:07,69.2,239.5,0.493,0.364,idle
2026-08-25,14:39:08,65.9,239.2,0.475,0.364,idle
2026-08-25,14:39:09,65.9,239.2,0.475,0.364,idle
