index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
0,0,mobilenet,small,cold,200,1643.41,1643.4,0.01,34.61,1608.79,1
1,1,resnet,small,cold,200,1707.42,1707.42,0.0,132.12,1575.3,2
2,2,mobilenet,small,cold,200,1589.08,1589.07,0.01,17.79,1571.29,3
3,3,mobilenet,large,cold,200,1500.71,1500.7,0.01,17.95,1482.75,4
4,4,mobilenet,large,cold,200,1266.5,1266.5,0.0,17.97,1248.53,5
5,5,resnet,small,cold,200,1943.62,1943.61,0.0,146.09,1797.53,6
6,6,mobilenet,small,cold,200,1093.45,1093.45,0.0,18.21,1075.24,7
7,7,mobilenet,small,warm,200,1008.8,1008.79,0.01,18.54,990.25,8
8,8,mobilenet,large,warm,200,929.78,929.78,0.01,19.08,910.7,9
9,9,mobilenet,large,warm,200,848.05,848.04,0.01,17.67,830.37,10
10,10,resnet,small,cold,200,1594.51,1594.5,0.0,150.56,1443.95,11
11,11,resnet,large,cold,200,1621.63,1621.63,0.01,124.99,1496.64,12
12,12,resnet,small,warm,200,745.44,745.44,0.0,136.6,608.84,13
13,13,mobilenet,large,warm,200,465.62,465.61,0.01,17.61,448.01,14
14,14,resnet,medium,warm,200,760.38,760.38,0.0,220.6,539.78,15
15,15,resnet,small,warm,200,799.25,799.25,0.0,130.24,669.01,16
16,16,mobilenet,medium,warm,200,218.86,218.86,0.01,17.6,201.25,17
17,17,mobilenet,small,warm,200,138.93,138.93,0.0,17.77,121.16,15
18,18,resnet,small,warm,200,1137.44,1137.43,0.01,219.46,917.97,10
19,19,resnet,medium,cold,200,2059.98,2059.98,0.0,124.33,1935.65,8
20,20,resnet,small,warm,200,1075.37,1075.37,0.0,127.32,948.05,8
21,21,resnet,large,cold,200,1989.15,1989.14,0.0,122.71,1866.43,9
22,22,mobilenet,medium,warm,200,29.61,29.61,0.0,17.94,11.66,9
23,23,mobilenet,large,warm,200,28.28,28.28,0.0,17.9,10.38,8
24,24,resnet,large,warm,200,804.47,804.47,0.0,129.24,675.23,8
25,25,resnet,large,warm,200,827.34,827.34,0.0,123.24,704.1,8
26,26,mobilenet,large,warm,200,127.69,127.69,0.01,19.45,108.24,8
27,27,mobilenet,small,warm,200,49.51,49.5,0.01,17.92,31.58,9
28,28,mobilenet,medium,warm,200,47.07,47.07,0.0,27.45,19.61,7
29,29,mobilenet,small,warm,200,34.5,34.5,0.0,18.63,15.86,7
30,30,mobilenet,medium,warm,200,26.94,26.93,0.0,17.42,9.51,6
31,31,resnet,medium,warm,200,365.65,365.65,0.0,130.4,235.25,5
32,32,resnet,small,warm,200,506.03,506.03,0.0,243.75,262.28,6
33,33,resnet,medium,warm,200,535.49,535.49,0.01,129.05,406.44,6
34,34,mobilenet,large,warm,200,29.89,29.89,0.0,18.35,11.54,6
35,35,resnet,large,warm,200,705.39,705.39,0.0,120.51,584.88,5
36,36,mobilenet,large,warm,200,36.29,36.29,0.0,24.12,12.17,6
37,37,mobilenet,large,warm,200,44.5,44.49,0.0,17.98,26.51,6
38,38,mobilenet,small,warm,200,31.19,31.19,0.0,17.95,13.23,5
39,39,resnet,medium,warm,200,548.22,548.22,0.0,238.23,309.99,4
40,40,resnet,large,warm,200,610.97,610.96,0.01,159.77,451.19,4
41,41,mobilenet,large,warm,200,27.87,27.87,0.0,17.79,10.08,4
42,42,resnet,small,warm,200,542.68,542.68,0.0,130.81,411.87,4
43,43,mobilenet,small,warm,200,26.58,26.58,0.0,17.77,8.81,4
44,44,resnet,medium,warm,200,470.58,470.58,0.0,121.93,348.64,4
45,45,resnet,small,warm,200,489.06,489.05,0.0,123.73,365.33,4
46,46,mobilenet,large,warm,200,32.62,32.62,0.0,17.95,14.67,5
47,47,resnet,small,warm,200,418.7,418.69,0.0,125.71,292.98,4
48,48,resnet,medium,warm,200,454.18,454.18,0.0,130.84,323.34,4
49,49,resnet,small,warm,200,586.1,586.1,0.0,231.94,354.16,4
50,50,resnet,small,warm,200,146.24,146.23,0.01,131.67,14.56,4
51,51,mobilenet,large,warm,200,28.44,28.44,0.01,17.66,10.78,5
52,52,resnet,large,warm,200,142.06,142.05,0.0,128.2,13.86,3
53,53,resnet,large,warm,200,312.2,312.19,0.01,127.84,184.35,3
54,54,resnet,medium,warm,200,143.25,143.24,0.01,130.48,12.76,3
55,55,mobilenet,small,warm,200,32.09,32.09,0.01,18.51,13.58,3
56,56,resnet,small,warm,200,132.0,132.0,0.0,119.6,12.4,2
57,57,mobilenet,small,warm,200,30.38,30.37,0.0,17.57,12.81,2
58,58,mobilenet,large,warm,200,29.64,29.64,0.0,18.1,11.54,1
59,59,mobilenet,large,warm,200,31.23,31.22,0.0,18.01,13.21,1
60,60,resnet,large,warm,200,187.97,187.96,0.01,174.73,13.23,1
61,61,mobilenet,medium,warm,200,28.96,28.95,0.0,18.37,10.58,2
62,62,resnet,large,warm,200,136.92,136.92,0.0,119.45,17.47,1
63,63,resnet,large,warm,200,144.13,144.12,0.0,128.74,15.39,2
64,64,resnet,large,warm,200,130.89,130.89,0.0,120.01,10.88,2
65,65,mobilenet,large,warm,200,31.77,31.77,0.0,18.24,13.53,2
66,66,mobilenet,large,warm,200,39.2,39.2,0.0,23.04,16.16,1
67,67,resnet,large,warm,200,131.9,131.89,0.0,120.85,11.05,1
68,68,resnet,small,warm,200,140.9,140.9,0.0,125.68,15.22,2
69,69,resnet,medium,warm,200,272.53,272.52,0.0,226.34,46.19,2
70,70,mobilenet,medium,warm,200,29.86,29.85,0.0,18.09,11.77,2
71,71,mobilenet,large,warm,200,27.24,27.24,0.0,17.79,9.45,2
72,72,resnet,large,warm,200,131.78,131.78,0.0,119.22,12.56,1
73,73,mobilenet,large,warm,200,33.51,33.51,0.0,23.03,10.47,2
74,74,mobilenet,large,warm,200,35.32,35.31,0.0,20.41,14.9,1
75,75,resnet,large,warm,200,138.51,138.51,0.0,125.9,12.61,1
76,76,mobilenet,small,warm,200,34.56,34.55,0.0,21.49,13.06,2
77,77,resnet,small,warm,200,165.77,165.76,0.01,152.76,13.0,1
78,78,mobilenet,large,warm,200,35.25,35.25,0.0,23.46,11.79,2
79,79,resnet,medium,warm,200,135.35,135.34,0.0,125.23,10.11,1
80,80,mobilenet,small,warm,200,33.59,33.58,0.0,21.05,12.53,2
81,81,resnet,medium,warm,200,134.12,134.11,0.0,122.54,11.58,1
82,82,mobilenet,small,warm,200,37.32,37.32,0.0,22.68,14.64,2
83,83,mobilenet,large,warm,200,32.45,32.44,0.0,20.8,11.64,1
84,84,mobilenet,small,warm,200,51.77,51.76,0.0,39.0,12.77,1
85,85,resnet,small,warm,200,141.54,141.54,0.0,130.61,10.92,1
86,86,mobilenet,small,warm,200,34.43,34.43,0.0,23.2,11.23,2
87,87,resnet,large,warm,200,205.94,205.94,0.0,194.16,11.78,1
88,88,mobilenet,medium,warm,200,34.45,34.44,0.0,21.52,12.93,2
89,89,resnet,small,warm,200,136.17,136.16,0.0,122.23,13.93,2
90,90,mobilenet,large,warm,200,33.77,33.77,0.0,23.24,10.53,2
91,91,resnet,medium,warm,200,130.05,130.05,0.0,118.83,11.21,1
92,92,resnet,medium,warm,200,133.88,133.88,0.0,120.31,13.57,2
93,93,resnet,small,warm,200,139.94,139.93,0.01,130.61,9.32,2
94,94,mobilenet,small,warm,200,33.87,33.86,0.0,23.45,10.41,2
95,95,mobilenet,medium,warm,200,30.07,30.07,0.0,20.75,9.32,1
96,96,mobilenet,large,warm,200,145.45,145.45,0.0,35.04,110.41,1
97,97,mobilenet,large,warm,200,41.05,41.05,0.0,27.29,13.76,2
98,98,mobilenet,small,warm,200,30.71,30.7,0.0,21.27,9.44,1
99,99,mobilenet,large,warm,200,37.18,37.17,0.0,23.79,13.38,1
100,100,mobilenet,small,warm,200,31.15,31.15,0.0,20.88,10.27,1
101,101,mobilenet,small,warm,200,32.54,32.54,0.0,20.56,11.97,1
102,102,resnet,small,warm,200,130.34,130.33,0.0,121.64,8.7,1
103,103,mobilenet,medium,warm,200,33.84,33.83,0.01,22.67,11.16,2
104,104,resnet,small,warm,200,131.95,131.94,0.01,120.89,11.05,1
105,105,mobilenet,large,warm,200,36.04,36.04,0.0,24.2,11.84,2
106,106,resnet,small,warm,200,133.49,133.49,0.0,120.34,13.15,1
107,107,resnet,medium,warm,200,150.03,150.03,0.01,137.98,12.05,2
108,108,mobilenet,small,warm,200,34.76,34.75,0.0,23.38,11.38,2
109,109,mobilenet,large,warm,200,34.4,34.39,0.0,22.8,11.59,1
110,110,resnet,medium,warm,200,134.79,134.79,0.0,124.25,10.54,1
111,111,resnet,medium,warm,200,134.67,134.66,0.0,119.15,15.51,2
112,112,resnet,large,warm,200,238.35,238.34,0.0,226.24,12.1,2
113,113,mobilenet,large,warm,200,135.7,135.7,0.0,23.44,112.26,2
114,114,mobilenet,small,warm,200,36.95,36.95,0.0,23.58,13.36,3
115,115,resnet,large,warm,200,137.81,137.81,0.01,121.64,16.17,1
116,116,resnet,small,warm,200,173.23,173.22,0.01,128.67,44.55,2
117,117,mobilenet,small,warm,200,34.16,34.16,0.0,23.59,10.57,2
118,118,mobilenet,large,warm,200,38.77,38.76,0.0,27.34,11.42,1
119,119,resnet,small,warm,200,131.72,131.72,0.0,121.08,10.64,1
120,120,resnet,small,warm,200,199.2,199.19,0.0,188.97,10.22,2
121,121,resnet,medium,warm,200,130.74,130.74,0.0,119.41,11.33,2
122,122,mobilenet,small,warm,200,36.26,36.26,0.0,22.93,13.33,2
123,123,resnet,large,warm,200,147.75,147.74,0.01,135.0,12.74,1
124,124,mobilenet,small,warm,200,33.06,33.06,0.0,21.96,11.09,2
125,125,mobilenet,small,warm,200,36.43,36.43,0.0,23.59,12.84,1
126,126,mobilenet,small,warm,200,36.12,36.11,0.0,22.5,13.61,1
127,127,resnet,medium,warm,200,156.46,156.45,0.0,144.21,12.24,1
128,128,resnet,small,warm,200,150.47,150.46,0.0,140.43,10.03,2
129,129,resnet,small,warm,200,136.29,136.28,0.0,123.51,12.77,2
130,130,mobilenet,medium,warm,200,36.45,36.45,0.0,23.13,13.31,2
131,131,mobilenet,medium,warm,200,130.9,130.9,0.0,22.92,107.98,1
132,132,resnet,medium,warm,200,133.68,133.68,0.0,120.98,12.7,2
133,133,resnet,medium,warm,200,129.63,129.62,0.0,120.29,9.34,2
134,134,resnet,small,warm,200,217.58,217.57,0.01,201.53,16.04,2
135,135,mobilenet,medium,warm,200,33.83,33.83,0.0,22.95,10.88,2
136,136,mobilenet,small,warm,200,36.5,36.49,0.01,22.75,13.75,2
