request_id,function,size,type,status,latency_ms,ttfb_ms,execution_time_ms,system_overhead_ms,in_flight
0,mobilenet,small,cold,200,1570.35,1570.33,37.91,1532.42,1
1,resnet,small,cold,200,1987.35,1987.34,161.09,1826.26,2
2,mobilenet,small,cold,200,1225.16,1225.15,17.74,1207.41,3
3,mobilenet,large,warm,200,987.41,987.39,18.94,968.45,4
4,mobilenet,large,warm,200,844.73,844.72,18.41,826.32,5
5,resnet,small,cold,200,1538.05,1538.05,132.87,1405.18,6
6,mobilenet,small,warm,200,406.4,406.39,18.35,388.04,7
7,mobilenet,small,warm,200,264.09,264.09,17.93,246.16,8
8,mobilenet,large,warm,200,82.92,82.92,18.02,64.9,7
9,mobilenet,large,warm,200,28.29,28.27,21.04,7.23,3
10,resnet,small,warm,200,404.54,404.52,214.35,190.17,3
11,resnet,large,warm,200,460.45,460.43,119.71,340.72,3
12,resnet,small,warm,200,382.06,382.04,119.97,262.07,4
13,mobilenet,large,warm,200,28.76,28.74,17.78,10.97,3
14,resnet,medium,warm,200,132.62,132.6,126.73,5.87,1
15,resnet,small,warm,200,236.67,236.66,230.9,5.76,1
16,mobilenet,medium,warm,200,23.75,23.73,17.92,5.81,2
17,mobilenet,small,warm,200,22.39,22.39,17.67,4.71,1
18,resnet,small,warm,200,125.71,125.69,119.69,6.0,1
19,resnet,medium,warm,200,174.1,174.09,168.95,5.14,1
20,resnet,small,warm,200,126.14,126.13,121.15,4.98,1
21,resnet,large,warm,200,125.2,125.2,119.92,5.28,1
22,mobilenet,medium,warm,200,22.88,22.87,18.0,4.87,1
23,mobilenet,large,warm,200,23.47,23.45,17.8,5.65,1
24,resnet,large,warm,200,126.79,126.77,120.57,6.2,1
25,resnet,large,warm,200,146.35,146.34,140.66,5.68,1
26,mobilenet,large,warm,200,24.83,24.8,18.51,6.28,1
27,mobilenet,small,warm,200,24.84,24.82,17.71,7.11,1
28,mobilenet,medium,warm,200,23.02,23.01,17.62,5.38,1
29,mobilenet,small,warm,200,23.65,23.63,17.64,5.99,1
30,mobilenet,medium,warm,200,27.36,27.34,21.13,6.21,1
31,resnet,medium,warm,200,133.28,133.26,126.28,6.98,1
32,resnet,small,warm,200,130.28,130.26,123.65,6.61,1
33,resnet,medium,warm,200,131.79,131.78,125.49,6.29,1
34,mobilenet,large,warm,200,28.6,28.59,22.81,5.78,1
35,resnet,large,warm,200,143.1,143.08,136.77,6.31,1
36,mobilenet,large,warm,200,32.32,32.29,23.2,9.09,1
37,mobilenet,large,warm,200,30.01,29.94,23.09,6.84,1
38,mobilenet,small,warm,200,29.26,29.24,22.79,6.44,1
39,resnet,medium,warm,200,127.68,127.66,121.5,6.17,1
40,resnet,large,warm,200,132.1,132.08,125.62,6.46,1
41,mobilenet,large,warm,200,29.69,29.67,23.13,6.54,1
42,resnet,small,warm,200,137.06,137.06,130.85,6.21,1
43,mobilenet,small,warm,200,29.42,29.4,22.64,6.76,1
44,resnet,medium,warm,200,129.6,129.58,123.3,6.28,1
45,resnet,small,warm,200,240.56,240.54,231.09,9.45,1
46,mobilenet,large,warm,200,36.16,36.14,25.61,10.53,2
47,resnet,small,warm,200,131.45,131.44,125.25,6.19,1
48,resnet,medium,warm,200,128.44,128.42,122.0,6.42,1
49,resnet,small,warm,200,128.93,128.91,122.33,6.57,1
50,resnet,small,warm,200,133.49,133.47,127.29,6.18,1
51,mobilenet,large,warm,200,75.94,75.92,22.91,53.01,1
52,resnet,large,warm,200,134.96,134.95,129.28,5.67,1
53,resnet,large,warm,200,125.29,125.27,119.92,5.35,1
54,resnet,medium,warm,200,182.52,182.5,175.57,6.93,1
55,mobilenet,small,warm,200,29.48,29.46,22.97,6.48,1
56,resnet,small,warm,200,126.13,126.11,119.69,6.43,1
57,mobilenet,small,warm,200,32.71,32.7,23.07,9.64,1
