Date,Time,Power_W,Voltage_V,Current_A,Energy_kWh,Label
2026-08-13,17:34:27,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:28,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:29,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:30,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:31,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:32,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:33,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:34,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:35,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:36,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:37,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:38,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:39,66.3,243.2,0.524,0.374,idle
2026-08-13,17:34:40,65.6,244.3,0.514,0.374,idle
2026-08-13,17:34:41,65.6,244.3,0.514,0.374,idle
2026-08-13,17:34:42,65.6,244.3,0.514,0.374,idle
2026-08-13,17:34:43,65.6,244.3,0.514,0.374,idle
2026-08-13,17:34:44,65.6,244.3,0.514,0.374,idle
2026-08-13,17:34:45,66.5,244.6,0.522,0.374,idle
2026-08-13,17:34:46,66.5,244.6,0.522,0.374,idle
2026-08-13,17:34:47,66.5,244.6,0.522,0.374,idle
2026-08-13,17:34:48,66.5,244.6,0.522,0.374,idle
2026-08-13,17:34:49,66.5,244.6,0.522,0.374,idle
2026-08-13,17:34:50,66.1,244.0,0.519,0.374,idle
2026-08-13,17:34:51,66.1,244.0,0.519,0.374,idle
2026-08-13,17:34:52,66.1,244.0,0.519,0.374,idle
2026-08-13,17:34:53,66.1,244.0,0.519,0.374,idle
2026-08-13,17:34:54,66.1,244.0,0.519,0.374,idle
2026-08-13,17:34:55,64.9,244.2,0.517,0.374,idle
2026-08-13,17:34:56,64.9,244.2,0.517,0.374,idle
2026-08-13,17:34:57,64.9,244.2,0.517,0.374,idle
2026-08-13,17:34:58,64.9,244.2,0.517,0.374,idle
2026-08-13,17:34:59,64.9,244.2,0.517,0.374,idle
2026-08-13,17:35:00,64.4,244.7,0.51,0.374,idle
2026-08-13,17:35:01,64.4,244.7,0.51,0.374,idle
2026-08-13,17:35:02,64.4,244.7,0.51,0.374,idle
2026-08-13,17:35:03,64.4,244.7,0.51,0.374,idle
2026-08-13,17:35:04,64.4,244.7,0.51,0.374,idle
2026-08-13,17:35:05,66.1,243.8,0.521,0.374,idle
2026-08-13,17:35:06,66.1,243.8,0.521,0.374,idle
2026-08-13,17:35:07,66.1,243.8,0.521,0.374,idle
2026-08-13,17:35:08,66.1,243.8,0.521,0.374,adaptive_100ms_rep1
2026-08-13,17:35:09,66.1,243.8,0.521,0.374,adaptive_100ms_rep1
2026-08-13,17:35:10,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:11,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:12,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:13,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:14,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:15,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:16,64.6,243.9,0.515,0.374,adaptive_100ms_rep1
2026-08-13,17:35:17,64.6,243.9,0.515,0.374,idle
2026-08-13,17:35:18,64.6,243.9,0.515,0.374,idle
2026-08-13,17:35:20,64.6,243.9,0.515,0.374,idle
2026-08-13,17:35:21,82.4,243.7,0.61,0.374,idle
2026-08-13,17:35:22,82.4,243.7,0.61,0.374,idle
2026-08-13,17:35:23,82.4,243.7,0.61,0.374,idle
2026-08-13,17:35:24,82.4,243.7,0.61,0.374,idle
2026-08-13,17:35:25,82.4,243.7,0.61,0.374,idle
2026-08-13,17:35:26,82.4,243.7,0.61,0.374,idle
2026-08-13,17:35:27,71.3,243.7,0.544,0.374,idle
2026-08-13,17:35:28,71.3,243.7,0.544,0.374,idle
2026-08-13,17:35:29,71.3,243.7,0.544,0.374,idle
2026-08-13,17:35:30,71.3,243.7,0.544,0.374,idle
2026-08-13,17:35:31,72.6,244.4,0.559,0.374,idle
2026-08-13,17:35:32,72.6,244.4,0.559,0.374,idle
2026-08-13,17:35:33,72.6,244.4,0.559,0.374,idle
2026-08-13,17:35:34,72.6,244.4,0.559,0.374,idle
2026-08-13,17:35:35,72.6,244.4,0.559,0.374,idle
2026-08-13,17:35:36,71.7,243.4,0.548,0.374,idle
2026-08-13,17:35:37,71.7,243.4,0.548,0.374,idle
2026-08-13,17:35:38,71.7,243.4,0.548,0.374,idle
2026-08-13,17:35:39,71.7,243.4,0.548,0.374,idle
2026-08-13,17:35:40,71.7,243.4,0.548,0.374,idle
2026-08-13,17:35:41,72.5,244.2,0.555,0.374,idle
2026-08-13,17:35:42,72.5,244.2,0.555,0.374,idle
2026-08-13,17:35:43,72.5,244.2,0.555,0.374,idle
2026-08-13,17:35:44,72.5,244.2,0.555,0.374,idle
2026-08-13,17:35:45,72.5,244.2,0.555,0.374,idle
2026-08-13,17:35:46,74.2,243.5,0.573,0.374,idle
2026-08-13,17:35:47,74.2,243.5,0.573,0.374,idle
2026-08-13,17:35:48,74.2,243.5,0.573,0.374,idle
2026-08-13,17:35:49,74.2,243.5,0.573,0.374,idle
2026-08-13,17:35:50,74.2,243.5,0.573,0.374,idle
2026-08-13,17:35:51,72.1,243.6,0.553,0.374,idle
2026-08-13,17:35:52,72.1,243.6,0.553,0.374,idle
2026-08-13,17:35:53,72.1,243.6,0.553,0.374,idle
2026-08-13,17:35:54,72.1,243.6,0.553,0.374,idle
2026-08-13,17:35:55,72.1,243.6,0.553,0.374,idle
2026-08-13,17:35:56,77.0,243.4,0.589,0.374,idle
2026-08-13,17:35:57,77.0,243.4,0.589,0.374,idle
2026-08-13,17:35:58,77.0,243.4,0.589,0.374,idle
2026-08-13,17:35:59,77.0,243.4,0.589,0.374,idle
2026-08-13,17:36:00,77.0,243.4,0.589,0.374,idle
2026-08-13,17:36:01,72.8,243.1,0.556,0.374,idle
2026-08-13,17:36:02,72.8,243.1,0.556,0.374,idle
2026-08-13,17:36:03,72.8,243.1,0.556,0.374,idle
2026-08-13,17:36:04,72.8,243.1,0.556,0.374,idle
2026-08-13,17:36:05,72.8,243.1,0.556,0.374,idle
2026-08-13,17:36:06,73.7,243.2,0.562,0.374,idle
2026-08-13,17:36:07,73.7,243.2,0.562,0.374,idle
2026-08-13,17:36:08,73.7,243.2,0.562,0.374,idle
2026-08-13,17:36:09,73.7,243.2,0.562,0.374,idle
2026-08-13,17:36:10,73.7,243.2,0.562,0.374,idle
2026-08-13,17:36:11,72.2,243.5,0.559,0.374,idle
2026-08-13,17:36:12,72.2,243.5,0.559,0.374,idle
2026-08-13,17:36:13,72.2,243.5,0.559,0.374,idle
2026-08-13,17:36:14,72.2,243.5,0.559,0.374,idle
2026-08-13,17:36:15,72.2,243.5,0.559,0.374,idle
2026-08-13,17:36:16,73.9,242.9,0.567,0.374,idle
2026-08-13,17:36:17,73.9,242.9,0.567,0.374,idle
2026-08-13,17:36:18,73.9,242.9,0.567,0.374,idle
2026-08-13,17:36:19,73.9,242.9,0.567,0.374,idle
2026-08-13,17:36:20,73.9,242.9,0.567,0.374,idle
2026-08-13,17:36:21,70.9,243.4,0.544,0.374,idle
2026-08-13,17:36:22,70.9,243.4,0.544,0.374,idle
2026-08-13,17:36:23,70.9,243.4,0.544,0.374,idle
2026-08-13,17:36:24,70.9,243.4,0.544,0.374,idle
2026-08-13,17:36:25,70.9,243.4,0.544,0.374,idle
2026-08-13,17:36:26,71.1,243.3,0.55,0.374,idle
2026-08-13,17:36:27,71.1,243.3,0.55,0.374,idle
2026-08-13,17:36:28,71.1,243.3,0.55,0.374,idle
2026-08-13,17:36:29,71.1,243.3,0.55,0.374,idle
2026-08-13,17:36:30,71.1,243.3,0.55,0.374,idle
2026-08-13,17:36:31,74.2,243.3,0.567,0.374,idle
2026-08-13,17:36:32,74.2,243.3,0.567,0.374,idle
2026-08-13,17:36:33,74.2,243.3,0.567,0.374,idle
2026-08-13,17:36:34,74.2,243.3,0.567,0.374,idle
2026-08-13,17:36:35,74.2,243.3,0.567,0.374,idle
2026-08-13,17:36:36,75.0,243.4,0.574,0.374,idle
2026-08-13,17:36:37,75.0,243.4,0.574,0.374,idle
2026-08-13,17:36:38,75.0,243.4,0.574,0.374,idle
2026-08-13,17:36:39,75.0,243.4,0.574,0.374,idle
2026-08-13,17:36:40,75.0,243.4,0.574,0.374,idle
2026-08-13,17:36:41,74.0,242.8,0.567,0.374,idle
2026-08-13,17:36:42,74.0,242.8,0.567,0.374,idle
2026-08-13,17:36:43,74.0,242.8,0.567,0.374,idle
2026-08-13,17:36:44,74.0,242.8,0.567,0.374,idle
2026-08-13,17:36:45,74.0,242.8,0.567,0.374,idle
2026-08-13,17:36:46,75.0,243.0,0.572,0.374,idle
2026-08-13,17:36:47,75.0,243.0,0.572,0.374,idle
2026-08-13,17:36:48,75.0,243.0,0.572,0.374,idle
2026-08-13,17:36:49,75.0,243.0,0.572,0.374,idle
2026-08-13,17:36:50,75.0,243.0,0.572,0.374,idle
2026-08-13,17:36:51,71.0,243.7,0.55,0.374,idle
2026-08-13,17:36:52,71.0,243.7,0.55,0.374,idle
2026-08-13,17:36:53,71.0,243.7,0.55,0.374,idle
2026-08-13,17:36:54,71.0,243.7,0.55,0.374,idle
2026-08-13,17:36:55,71.0,243.7,0.55,0.374,idle
2026-08-13,17:36:56,75.3,243.3,0.581,0.374,idle
2026-08-13,17:36:57,75.3,243.3,0.581,0.374,idle
2026-08-13,17:36:58,75.3,243.3,0.581,0.374,idle
2026-08-13,17:36:59,75.3,243.3,0.581,0.374,idle
2026-08-13,17:37:00,75.3,243.3,0.581,0.374,idle
2026-08-13,17:37:01,73.0,243.8,0.567,0.374,idle
2026-08-13,17:37:02,73.0,243.8,0.567,0.374,idle
2026-08-13,17:37:03,73.0,243.8,0.567,0.374,idle
