index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,genmatrix,small,cold,200,1429.95,1429.94,0.01,7.06,1422.88,True,,0.0,0.04,,7.01,7.06,1
1,1,fastfouriertransform,large,cold,200,1613.34,1613.34,0.01,6.72,1606.62,True,,0.0,4.04,0.01,2.66,6.72,2
2,2,matrixmul,small,cold,200,1733.87,1521.95,211.92,5.47,1516.48,True,,0.0,0.46,4.32,0.68,5.47,3
3,3,mobilenet,small,cold,200,1654.03,1654.02,0.01,57.32,1596.7,True,,,,,,,4
4,4,genmatrix,small,cold,200,1484.43,1484.42,0.0,0.1,1484.32,False,,0.0,0.02,,0.08,0.1,5
5,5,genmatrix,large,cold,200,1631.19,1540.25,90.94,0.85,1539.4,False,,0.0,0.02,,0.82,0.85,6
6,6,resnet,small,cold,200,2256.59,2256.58,0.01,150.32,2106.26,True,,,,,,,7
7,7,resnet,medium,cold,200,8592.57,8592.56,0.01,437.27,8155.29,False,,,,,,,8
8,8,fastfouriertransform,small,cold,200,2222.64,2222.63,0.01,4.51,2218.12,False,,0.0,3.8,0.0,0.7,4.51,9
9,9,fastfouriertransform,small,cold,200,1544.66,1544.66,0.0,4.91,1539.75,False,,0.0,4.0,0.01,0.89,4.91,10
10,10,mobilenet,large,cold,200,1851.51,1851.51,0.0,18.03,1833.48,False,,,,,,,11
11,11,resnet,small,cold,200,5606.36,5606.36,0.01,139.75,5466.61,False,,,,,,,12
12,12,resnet,small,cold,200,6218.23,6218.22,0.0,369.1,5849.12,False,,,,,,,13
13,13,genmatrix,large,cold,200,1596.35,1531.23,65.12,0.8,1530.43,False,,0.0,0.02,,0.78,0.8,14
14,14,genmatrix,large,cold,200,1479.18,1417.92,61.26,0.83,1417.09,False,,0.0,0.02,,0.8,0.83,15
15,15,fetchdata,small,cold,200,1879.31,1879.3,0.01,122.52,1756.78,True,122.48,0.0,0.03,0.0,,122.51,16
16,16,fetchdata,large,cold,200,2787.17,2787.16,0.01,72.36,2714.81,False,72.33,0.0,0.02,0.0,,72.36,17
17,17,matrixmul,small,cold,200,4123.61,4112.51,11.1,5.17,4107.34,False,,0.0,0.34,4.18,0.64,5.17,18
18,18,linpack,small,cold,200,2174.26,2174.26,0.0,5.39,2168.86,True,,0.0,0.35,4.08,0.96,5.39,19
19,19,genmatrix,medium,cold,200,1264.81,1253.87,10.94,0.24,1253.63,False,,0.0,0.02,,0.22,0.24,20
20,20,matrixmul,medium,cold,200,3497.96,3492.36,5.6,518.33,2974.03,False,,0.0,0.37,4.1,513.85,518.32,21
21,21,mobilenet,small,cold,200,1710.37,1710.37,0.01,19.39,1690.97,False,,,,,,,22
22,22,linpack,medium,cold,200,7884.5,7884.49,0.01,703.04,7181.46,False,,0.0,0.34,4.05,698.64,703.03,23
23,23,fastfouriertransform,small,cold,200,1412.36,1412.36,0.0,4.81,1407.56,False,,0.0,3.95,0.01,0.84,4.8,24
24,24,fetchdata,small,cold,200,2554.32,2554.31,0.01,72.4,2481.91,False,72.38,0.0,0.02,0.0,,72.4,25
25,25,matrixmul,medium,cold,200,1831.87,1831.86,0.01,514.61,1317.25,False,,0.0,0.38,4.2,510.02,514.61,26
26,26,resnet,medium,cold,200,2701.42,2701.41,0.0,132.98,2568.43,False,,,,,,,27
27,27,linpack,small,cold,200,2092.42,2092.42,0.0,6.18,2086.23,False,,0.0,0.66,4.59,0.93,6.18,28
28,28,genmatrix,medium,cold,200,1186.99,1171.56,15.43,0.21,1171.35,False,,0.0,0.03,,0.18,0.21,29
29,29,resnet,small,cold,200,2195.34,2195.34,0.0,170.85,2024.49,False,,,,,,,30
30,30,fetchdata,small,cold,200,2417.36,2417.36,0.0,74.16,2343.19,False,74.14,0.0,0.02,0.0,,74.16,31
31,31,resnet,medium,cold,200,2326.81,2326.8,0.0,161.56,2165.24,False,,,,,,,32
32,32,linpack,large,cold,200,4777.1,4777.1,0.0,5.09,4772.0,False,,0.0,0.36,4.02,0.72,5.09,33
33,33,resnet,medium,cold,200,2482.12,2482.11,0.01,174.16,2307.95,False,,,,,,,34
34,34,resnet,small,cold,200,2736.51,2736.51,0.0,130.21,2606.3,False,,,,,,,35
35,35,genmatrix,small,cold,200,1303.66,1303.65,0.0,0.14,1303.51,False,,0.0,0.03,,0.11,0.14,36
36,36,fastfouriertransform,large,cold,200,1287.01,1287.0,0.01,4.83,1282.17,False,,0.0,3.97,0.01,0.84,4.83,37
37,37,mobilenet,medium,cold,200,1596.16,1596.15,0.01,18.58,1577.57,False,,,,,,,38
38,38,fastfouriertransform,small,cold,200,1919.76,1919.76,0.0,4.58,1915.18,False,,0.0,3.87,0.0,0.7,4.58,39
39,39,linpack,small,cold,200,4695.6,4695.59,0.0,5.08,4690.52,False,,0.0,0.38,3.97,0.72,5.08,40
40,40,fetchdata,medium,cold,200,1718.42,1718.41,0.0,74.59,1643.82,False,74.56,0.0,0.02,0.0,,74.59,41
41,41,fetchdata,large,cold,200,1763.81,1763.8,0.0,75.18,1688.62,False,75.14,0.0,0.03,0.0,,75.18,42
42,42,linpack,medium,cold,200,5336.12,5336.12,0.01,655.75,4680.36,False,,0.0,0.38,3.98,651.39,655.75,43
43,43,mobilenet,medium,cold,200,1307.33,1307.33,0.0,29.55,1277.78,False,,,,,,,44
44,44,matrixmul,small,cold,200,1133.76,1111.89,21.87,5.23,1106.65,False,,0.0,0.43,4.19,0.61,5.23,45
45,45,genmatrix,medium,cold,200,1010.99,1005.12,5.87,0.26,1004.87,False,,0.0,0.04,,0.21,0.25,46
