request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,genmatrix,small,cold,200,1480.57,1480.05,0.52,7.76,1472.29,True,,0.0,0.03,,7.73,7.76,1
1,fastfouriertransform,large,cold,200,1429.73,1429.72,0.01,6.54,1423.18,True,,0.0,3.98,0.01,2.55,6.54,2
2,matrixmul,small,cold,200,1863.95,1861.97,1.98,4.95,1857.02,True,,0.0,0.35,4.0,0.59,4.95,3
3,mobilenet,small,cold,200,1558.21,1558.19,0.02,26.76,1531.44,True,,,,,,,4
4,genmatrix,small,warm,200,712.88,710.13,2.75,0.13,710.0,False,,0.0,0.03,,0.09,0.12,5
5,genmatrix,large,warm,200,520.93,506.45,14.48,0.94,505.51,False,,0.0,0.02,,0.91,0.94,6
6,resnet,small,cold,200,2253.51,2253.5,0.01,127.79,2125.72,True,,,,,,,7
7,resnet,medium,cold,200,2321.05,2321.03,0.02,138.89,2182.14,False,,,,,,,8
8,fastfouriertransform,small,warm,200,43.23,43.22,0.01,5.0,38.22,False,,0.0,4.09,0.01,0.89,4.99,6
9,fastfouriertransform,small,warm,200,37.69,37.67,0.01,4.58,33.1,False,,0.0,3.83,0.0,0.74,4.57,5
10,mobilenet,large,warm,200,180.68,180.66,0.01,26.98,153.68,False,,,,,,,5
11,resnet,small,cold,200,1680.95,1680.93,0.02,158.98,1521.96,False,,,,,,,4
12,resnet,small,cold,200,1180.55,1180.55,0.01,124.96,1055.59,False,,,,,,,4
13,genmatrix,large,warm,200,42.31,30.58,11.73,0.75,29.83,False,,0.0,0.02,,0.72,0.75,5
14,genmatrix,large,warm,200,42.12,31.3,10.82,0.78,30.52,False,,0.0,0.02,,0.75,0.78,5
15,fetchdata,small,cold,200,2587.2,2587.19,0.01,131.5,2455.7,True,131.47,0.0,0.02,0.0,,131.5,5
16,fetchdata,large,cold,200,2538.85,2538.79,0.06,74.63,2464.16,False,74.6,0.0,0.02,0.0,,74.63,6
17,matrixmul,small,warm,200,24.04,22.22,1.82,4.88,17.34,False,,0.0,0.35,3.97,0.56,4.88,7
18,linpack,small,cold,200,1881.07,1881.05,0.02,5.21,1875.84,True,,0.0,0.37,4.02,0.82,5.21,5
19,genmatrix,medium,warm,200,11.02,9.51,1.51,0.2,9.31,False,,0.0,0.02,,0.18,0.2,5
20,matrixmul,medium,warm,200,527.92,525.45,2.46,509.58,15.88,False,,0.0,0.34,3.96,505.27,509.58,4
21,mobilenet,small,warm,200,35.07,35.04,0.02,28.63,6.41,False,,,,,,,5
22,linpack,medium,cold,200,1730.53,1730.52,0.02,642.19,1088.32,False,,0.0,0.35,3.95,637.89,642.19,5
23,fastfouriertransform,small,warm,200,29.05,29.04,0.01,4.56,24.48,False,,0.0,3.82,0.0,0.74,4.56,5
24,fetchdata,small,warm,200,863.28,863.28,0.01,74.36,788.92,False,74.33,0.0,0.02,0.0,,74.35,5
25,matrixmul,medium,warm,200,523.96,522.09,1.87,508.87,13.22,False,,0.0,0.36,3.94,504.57,508.86,6
26,resnet,medium,warm,200,126.17,126.15,0.02,120.14,6.01,False,,,,,,,7
27,linpack,small,warm,200,87.48,87.46,0.02,5.09,82.37,False,,0.0,0.34,3.98,0.77,5.09,7
28,genmatrix,medium,warm,200,10.7,8.82,1.87,0.22,8.61,False,,0.0,0.02,,0.19,0.22,4
29,resnet,small,warm,200,125.77,125.75,0.02,119.83,5.93,False,,,,,,,2
30,fetchdata,small,warm,200,80.52,80.5,0.02,75.15,5.35,False,75.11,0.0,0.03,0.0,,75.14,2
31,resnet,medium,warm,200,125.12,125.1,0.02,119.79,5.31,False,,,,,,,1
32,linpack,large,warm,200,16.96,16.93,0.02,5.06,11.88,False,,0.0,0.35,3.98,0.73,5.06,1
33,resnet,medium,warm,200,125.19,125.17,0.02,119.39,5.77,False,,,,,,,1
34,resnet,small,warm,200,125.54,125.53,0.02,119.55,5.97,False,,,,,,,1
35,genmatrix,small,warm,200,7.36,6.85,0.5,0.17,6.69,False,,0.0,0.04,,0.13,0.17,1
36,fastfouriertransform,large,warm,200,39.93,39.92,0.01,7.25,32.67,False,,0.0,6.12,0.0,1.12,7.25,1
37,mobilenet,medium,warm,200,35.31,35.29,0.03,28.35,6.94,False,,,,,,,1
38,fastfouriertransform,small,warm,200,40.29,40.28,0.01,7.26,33.02,False,,0.0,6.12,0.0,1.12,7.26,1
39,linpack,small,warm,200,16.66,16.64,0.02,5.08,11.56,False,,0.0,0.34,4.0,0.73,5.08,1
40,fetchdata,medium,warm,200,362.58,362.57,0.01,80.89,281.68,False,80.86,0.0,0.02,0.0,,80.88,1
41,fetchdata,large,warm,200,81.53,81.5,0.03,75.74,5.76,False,75.7,0.0,0.03,0.0,,75.74,2
42,linpack,medium,warm,200,656.11,656.08,0.02,644.78,11.3,False,,0.0,0.34,3.98,640.46,644.78,1
43,mobilenet,medium,warm,200,30.05,30.03,0.02,23.64,6.4,False,,,,,,,2
44,matrixmul,small,warm,200,28.94,27.03,1.91,7.7,19.33,False,,0.0,0.52,6.31,0.87,7.7,2
45,genmatrix,medium,warm,200,205.4,12.49,192.91,0.29,12.2,False,,0.0,0.03,,0.26,0.29,2
