request_id,scheduled_time,function,payload_size
0,0.0,genmatrix,small
1,1.0,fastfouriertransform,large
2,2.0,matrixmul,small
3,3.0,mobilenet,small
4,4.0,genmatrix,small
5,5.0,genmatrix,large
6,6.0,resnet,small
7,7.0,resnet,medium
8,8.0,fastfouriertransform,small
9,9.0,fastfouriertransform,small
10,10.0,mobilenet,large
11,11.0,resnet,small
12,12.0,resnet,small
13,13.0,genmatrix,large
14,14.0,genmatrix,large
15,15.0,fetchdata,small
16,16.0,fetchdata,large
17,17.0,matrixmul,small
18,18.0,linpack,small
19,19.0,genmatrix,medium
20,20.0,matrixmul,medium
21,21.0,mobilenet,small
22,22.0,linpack,medium
23,23.0,fastfouriertransform,small
24,24.0,fetchdata,small
25,25.0,matrixmul,medium
26,26.0,resnet,medium
27,27.0,linpack,small
28,28.0,genmatrix,medium
29,29.0,resnet,small
30,30.0,fetchdata,small
31,31.0,resnet,medium
32,32.0,linpack,large
33,33.0,resnet,medium
34,34.0,resnet,small
35,35.0,genmatrix,small
36,36.0,fastfouriertransform,large
37,37.0,mobilenet,medium
38,38.0,fastfouriertransform,small
39,39.0,linpack,small
40,40.0,fetchdata,medium
41,41.0,fetchdata,large
42,42.0,linpack,medium
43,43.0,mobilenet,medium
44,44.0,matrixmul,small
45,45.0,genmatrix,medium
46,46.0,genmatrix,large
47,47.0,genmatrix,small
48,48.0,resnet,large
49,49.0,mobilenet,large
50,50.0,genmatrix,small
51,51.0,mobilenet,medium
52,52.0,fetchdata,medium
53,53.0,genmatrix,large
54,54.0,resnet,small
55,55.0,genmatrix,medium
56,56.0,linpack,small
57,57.0,mobilenet,small
58,58.0,linpack,medium
59,59.0,fetchdata,medium
60,60.0,fastfouriertransform,small
61,61.0,resnet,large
62,62.0,matrixmul,small
63,63.0,genmatrix,medium
64,64.0,fetchdata,large
65,65.0,fetchdata,small
66,66.0,matrixmul,small
67,67.0,mobilenet,large
68,68.0,resnet,large
69,69.0,matrixmul,large
70,70.0,resnet,medium
71,71.0,resnet,medium
72,72.0,matrixmul,small
73,73.0,mobilenet,large
74,74.0,fetchdata,small
75,75.0,linpack,small
76,76.0,linpack,small
77,77.0,mobilenet,large
78,78.0,mobilenet,large
79,79.0,fetchdata,large
80,80.0,fastfouriertransform,medium
81,81.0,fetchdata,large
82,82.0,fetchdata,large
83,83.0,matrixmul,large
84,84.0,linpack,small
85,85.0,genmatrix,large
86,86.0,fastfouriertransform,large
87,87.0,resnet,medium
88,88.0,linpack,large
89,89.0,matrixmul,small
90,90.0,matrixmul,medium
91,91.0,mobilenet,medium
92,92.0,fastfouriertransform,large
93,93.0,genmatrix,medium
94,94.0,resnet,small
95,95.0,resnet,small
96,96.0,linpack,large
97,97.0,matrixmul,large
98,98.0,resnet,large
99,99.0,mobilenet,small
100,100.0,matrixmul,small
101,101.0,resnet,large
102,102.0,fastfouriertransform,large
103,103.0,matrixmul,medium
104,104.0,fastfouriertransform,small
105,105.0,matrixmul,medium
106,106.0,mobilenet,small
107,107.0,mobilenet,large
108,108.0,fastfouriertransform,small
109,109.0,genmatrix,medium
110,110.0,linpack,small
111,111.0,linpack,large
112,112.0,linpack,small
113,113.0,mobilenet,large
114,114.0,fetchdata,large
115,115.0,mobilenet,medium
116,116.0,resnet,large
117,117.0,fetchdata,small
118,118.0,resnet,large
119,119.0,genmatrix,small
120,120.0,genmatrix,medium
121,121.0,fetchdata,large
122,122.0,genmatrix,medium
123,123.0,fetchdata,large
124,124.0,fetchdata,small
125,125.0,mobilenet,small
126,126.0,fastfouriertransform,medium
127,127.0,fastfouriertransform,large
128,128.0,resnet,small
129,129.0,resnet,small
130,130.0,fastfouriertransform,small
131,131.0,genmatrix,large
132,132.0,fastfouriertransform,small
133,133.0,fastfouriertransform,small
134,134.0,linpack,medium
135,135.0,fastfouriertransform,large
136,136.0,mobilenet,medium
137,137.0,genmatrix,medium
138,138.0,mobilenet,large
139,139.0,mobilenet,large
140,140.0,resnet,large
141,141.0,fetchdata,small
142,142.0,linpack,medium
143,143.0,linpack,medium
144,144.0,mobilenet,small
145,145.0,fastfouriertransform,large
146,146.0,fetchdata,medium
147,147.0,fetchdata,medium
148,148.0,fetchdata,large
149,149.0,fastfouriertransform,large
150,150.0,genmatrix,large
151,151.0,fastfouriertransform,small
152,152.0,fetchdata,large
153,153.0,matrixmul,small
154,154.0,mobilenet,small
155,155.0,mobilenet,large
156,156.0,fetchdata,small
157,157.0,fetchdata,small
158,158.0,matrixmul,medium
159,159.0,mobilenet,small
160,160.0,fetchdata,large
161,161.0,fastfouriertransform,small
162,162.0,genmatrix,large
163,163.0,linpack,small
164,164.0,fastfouriertransform,small
165,165.0,mobilenet,medium
166,166.0,fetchdata,medium
167,167.0,mobilenet,medium
168,168.0,fastfouriertransform,small
169,169.0,fetchdata,small
170,170.0,fetchdata,medium
171,171.0,linpack,medium
172,172.0,matrixmul,medium
173,173.0,genmatrix,large
174,174.0,linpack,large
175,175.0,genmatrix,large
176,176.0,fetchdata,small
177,177.0,mobilenet,medium
178,178.0,mobilenet,small
179,179.0,resnet,large
180,180.0,resnet,small
181,181.0,genmatrix,medium
182,182.0,fastfouriertransform,small
183,183.0,resnet,medium
184,184.0,resnet,large
185,185.0,mobilenet,small
186,186.0,resnet,small
187,187.0,linpack,small
188,188.0,fastfouriertransform,large
189,189.0,fastfouriertransform,large
190,190.0,linpack,small
191,191.0,fetchdata,small
192,192.0,resnet,small
193,193.0,resnet,large
194,194.0,fastfouriertransform,large
195,195.0,fastfouriertransform,medium
196,196.0,genmatrix,large
197,197.0,resnet,large
198,198.0,matrixmul,medium
199,199.0,mobilenet,large
200,200.0,genmatrix,medium
201,201.0,mobilenet,medium
202,202.0,fetchdata,small
203,203.0,genmatrix,large
204,204.0,matrixmul,medium
205,205.0,matrixmul,small
206,206.0,fastfouriertransform,medium
207,207.0,resnet,large
208,208.0,fastfouriertransform,small
209,209.0,resnet,small
210,210.0,resnet,medium
211,211.0,mobilenet,medium
212,212.0,fastfouriertransform,small
213,213.0,matrixmul,medium
214,214.0,mobilenet,medium
215,215.0,linpack,large
216,216.0,genmatrix,medium
217,217.0,resnet,large
218,218.0,resnet,small
219,219.0,genmatrix,large
220,220.0,matrixmul,large
221,221.0,fastfouriertransform,small
222,222.0,matrixmul,small
223,223.0,fastfouriertransform,large
224,224.0,resnet,small
225,225.0,matrixmul,medium
226,226.0,resnet,small
227,227.0,genmatrix,medium
228,228.0,mobilenet,large
229,229.0,genmatrix,medium
230,230.0,resnet,medium
231,231.0,matrixmul,small
232,232.0,fastfouriertransform,large
233,233.0,fetchdata,medium
234,234.0,fastfouriertransform,small
235,235.0,matrixmul,small
236,236.0,genmatrix,medium
237,237.0,mobilenet,large
238,238.0,fetchdata,large
239,239.0,genmatrix,medium
240,240.0,resnet,small
241,241.0,fastfouriertransform,small
242,242.0,genmatrix,small
243,243.0,resnet,small
244,244.0,linpack,medium
245,245.0,resnet,large
246,246.0,mobilenet,medium
247,247.0,mobilenet,small
248,248.0,matrixmul,medium
249,249.0,linpack,small
250,250.0,matrixmul,small
251,251.0,genmatrix,small
252,252.0,genmatrix,small
253,253.0,matrixmul,large
254,254.0,linpack,medium
255,255.0,resnet,large
256,256.0,mobilenet,small
257,257.0,linpack,small
258,258.0,linpack,small
259,259.0,fetchdata,small
260,260.0,mobilenet,large
261,261.0,matrixmul,medium
262,262.0,linpack,large
263,263.0,linpack,large
264,264.0,linpack,small
265,265.0,matrixmul,small
266,266.0,linpack,large
267,267.0,fastfouriertransform,medium
268,268.0,linpack,small
269,269.0,linpack,medium
270,270.0,mobilenet,small
271,271.0,linpack,medium
272,272.0,matrixmul,medium
273,273.0,linpack,small
274,274.0,mobilenet,small
275,275.0,genmatrix,small
276,276.0,fetchdata,medium
277,277.0,matrixmul,small
278,278.0,linpack,medium
279,279.0,matrixmul,large
280,280.0,resnet,medium
281,281.0,genmatrix,large
282,282.0,matrixmul,small
283,283.0,fastfouriertransform,medium
284,284.0,mobilenet,large
285,285.0,matrixmul,small
286,286.0,fastfouriertransform,large
287,287.0,fetchdata,medium
288,288.0,genmatrix,medium
289,289.0,fetchdata,large
290,290.0,resnet,small
291,291.0,fetchdata,large
292,292.0,mobilenet,medium
293,293.0,fastfouriertransform,large
294,294.0,fetchdata,small
295,295.0,resnet,large
296,296.0,genmatrix,large
297,297.0,genmatrix,large
298,298.0,genmatrix,small
299,299.0,matrixmul,medium
300,300.0,fastfouriertransform,large
301,301.0,matrixmul,large
302,302.0,matrixmul,large
303,303.0,linpack,small
304,304.0,genmatrix,medium
305,305.0,resnet,medium
306,306.0,genmatrix,medium
307,307.0,matrixmul,medium
308,308.0,genmatrix,medium
309,309.0,resnet,small
310,310.0,mobilenet,medium
311,311.0,genmatrix,medium
312,312.0,genmatrix,large
313,313.0,mobilenet,large
314,314.0,resnet,medium
315,315.0,fetchdata,large
316,316.0,linpack,small
317,317.0,matrixmul,medium
318,318.0,mobilenet,medium
319,319.0,linpack,large
320,320.0,resnet,large
321,321.0,matrixmul,medium
322,322.0,fetchdata,medium
323,323.0,genmatrix,small
324,324.0,resnet,medium
325,325.0,linpack,large
326,326.0,mobilenet,large
327,327.0,fastfouriertransform,medium
328,328.0,resnet,large
329,329.0,genmatrix,large
330,330.0,matrixmul,small
331,331.0,linpack,small
332,332.0,genmatrix,medium
333,333.0,mobilenet,small
334,334.0,mobilenet,small
335,335.0,fastfouriertransform,small
336,336.0,fetchdata,large
337,337.0,linpack,small
338,338.0,fetchdata,medium
339,339.0,genmatrix,large
340,340.0,mobilenet,large
341,341.0,genmatrix,medium
342,342.0,fetchdata,medium
343,343.0,mobilenet,small
344,344.0,genmatrix,large
345,345.0,fastfouriertransform,small
346,346.0,linpack,medium
347,347.0,mobilenet,small
348,348.0,linpack,large
349,349.0,resnet,medium
350,350.0,fastfouriertransform,large
351,351.0,mobilenet,small
352,352.0,fetchdata,small
353,353.0,linpack,medium
354,354.0,genmatrix,large
355,355.0,resnet,large
356,356.0,matrixmul,medium
357,357.0,resnet,large
358,358.0,resnet,medium
359,359.0,linpack,large
360,360.0,fetchdata,small
361,361.0,genmatrix,medium
362,362.0,fetchdata,medium
363,363.0,linpack,small
364,364.0,linpack,large
365,365.0,matrixmul,large
366,366.0,fetchdata,large
367,367.0,mobilenet,medium
368,368.0,fetchdata,small
369,369.0,genmatrix,medium
370,370.0,mobilenet,medium
371,371.0,matrixmul,medium
372,372.0,resnet,small
373,373.0,mobilenet,small
374,374.0,mobilenet,medium
375,375.0,genmatrix,small
376,376.0,genmatrix,small
377,377.0,fastfouriertransform,medium
378,378.0,fetchdata,medium
379,379.0,resnet,medium
380,380.0,fetchdata,small
381,381.0,mobilenet,medium
382,382.0,fetchdata,large
383,383.0,genmatrix,small
384,384.0,linpack,large
385,385.0,fetchdata,medium
386,386.0,fastfouriertransform,medium
387,387.0,matrixmul,medium
388,388.0,linpack,medium
389,389.0,resnet,large
390,390.0,genmatrix,large
391,391.0,linpack,large
392,392.0,mobilenet,medium
393,393.0,mobilenet,medium
394,394.0,fetchdata,medium
395,395.0,fastfouriertransform,medium
396,396.0,matrixmul,large
397,397.0,genmatrix,medium
398,398.0,genmatrix,small
399,399.0,linpack,medium
400,400.0,mobilenet,large
401,401.0,resnet,small
402,402.0,fetchdata,large
403,403.0,resnet,large
404,404.0,fastfouriertransform,small
405,405.0,genmatrix,medium
406,406.0,mobilenet,medium
407,407.0,mobilenet,small
408,408.0,matrixmul,medium
409,409.0,matrixmul,small
410,410.0,fetchdata,medium
411,411.0,matrixmul,medium
412,412.0,matrixmul,medium
413,413.0,matrixmul,small
414,414.0,fetchdata,small
415,415.0,genmatrix,large
416,416.0,fastfouriertransform,medium
417,417.0,mobilenet,large
418,418.0,fastfouriertransform,large
419,419.0,fastfouriertransform,small
420,420.0,mobilenet,small
421,421.0,linpack,small
422,422.0,resnet,small
423,423.0,mobilenet,small
424,424.0,fetchdata,large
425,425.0,fastfouriertransform,large
426,426.0,mobilenet,medium
427,427.0,genmatrix,medium
428,428.0,linpack,medium
429,429.0,mobilenet,large
430,430.0,resnet,large
431,431.0,genmatrix,small
432,432.0,linpack,small
433,433.0,matrixmul,small
434,434.0,resnet,small
435,435.0,matrixmul,large
436,436.0,genmatrix,medium
437,437.0,fetchdata,large
438,438.0,mobilenet,small
439,439.0,resnet,large
440,440.0,linpack,large
441,441.0,mobilenet,small
442,442.0,genmatrix,medium
443,443.0,linpack,large
444,444.0,resnet,small
445,445.0,linpack,large
446,446.0,linpack,small
447,447.0,matrixmul,large
448,448.0,fetchdata,large
449,449.0,matrixmul,small
450,450.0,resnet,large
451,451.0,matrixmul,small
452,452.0,linpack,medium
453,453.0,linpack,medium
454,454.0,fastfouriertransform,medium
455,455.0,matrixmul,large
456,456.0,linpack,medium
457,457.0,genmatrix,small
458,458.0,fetchdata,small
459,459.0,genmatrix,large
460,460.0,genmatrix,medium
461,461.0,resnet,large
462,462.0,linpack,medium
463,463.0,fetchdata,medium
464,464.0,linpack,large
465,465.0,resnet,medium
466,466.0,matrixmul,small
467,467.0,linpack,small
468,468.0,matrixmul,medium
469,469.0,mobilenet,medium
470,470.0,resnet,large
471,471.0,genmatrix,medium
472,472.0,matrixmul,small
473,473.0,fetchdata,medium
474,474.0,mobilenet,medium
475,475.0,mobilenet,medium
476,476.0,linpack,medium
477,477.0,matrixmul,medium
478,478.0,resnet,large
479,479.0,matrixmul,large
480,480.0,fastfouriertransform,large
481,481.0,mobilenet,small
482,482.0,mobilenet,large
483,483.0,fetchdata,medium
484,484.0,resnet,small
485,485.0,genmatrix,medium
486,486.0,genmatrix,large
487,487.0,fetchdata,medium
488,488.0,linpack,small
