request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,fastfouriertransform,small,cold,200,1731.1,1731.09,0.01,6.06,1725.03,True,,0.0,3.87,0.0,2.18,6.06,1
1,fetchdata,small,cold,200,2436.69,2436.68,0.01,142.12,2294.56,True,142.08,0.0,0.03,0.0,,142.12,1
2,genmatrix,small,cold,200,1410.97,1409.06,1.91,6.72,1402.34,True,,0.0,0.03,,6.69,6.72,1
3,fastfouriertransform,large,warm,200,25.78,25.77,0.01,7.32,18.45,False,,0.0,6.13,0.0,1.18,7.32,1
4,fastfouriertransform,large,warm,200,26.2,26.19,0.01,7.31,18.88,False,,0.0,6.11,0.0,1.18,7.3,1
5,linpack,small,cold,200,1292.25,1292.24,0.01,5.19,1287.05,True,,0.0,0.36,4.0,0.81,5.19,1
6,fastfouriertransform,small,warm,200,24.5,24.49,0.01,7.31,17.18,False,,0.0,6.12,0.0,1.18,7.31,1
7,genmatrix,small,warm,200,12.3,10.75,1.55,0.16,10.6,False,,0.0,0.04,,0.11,0.16,1
8,fastfouriertransform,large,warm,200,26.69,26.69,0.01,7.35,19.34,False,,0.0,6.16,0.0,1.18,7.34,1
9,genmatrix,large,warm,200,58.67,46.99,11.67,1.4,45.6,False,,0.0,0.03,,1.36,1.4,1
10,linpack,small,warm,200,19.56,19.55,0.01,8.02,11.53,False,,0.0,0.52,6.33,1.16,8.02,1
11,linpack,large,warm,200,21.06,21.05,0.01,8.13,12.92,False,,0.0,0.59,6.38,1.16,8.13,1
12,fetchdata,small,warm,200,157.2,157.19,0.01,149.92,7.28,False,149.87,0.0,0.03,0.0,,149.91,1
13,genmatrix,large,warm,200,56.97,46.46,10.52,1.14,45.32,False,,0.0,0.03,,1.1,1.13,1
14,linpack,medium,warm,200,682.55,682.54,0.01,670.27,12.28,False,,0.0,0.52,6.33,663.41,670.26,1
15,fetchdata,small,warm,200,129.39,129.38,0.01,122.95,6.43,False,122.92,0.0,0.02,0.0,,122.95,1
16,genmatrix,medium,warm,200,17.06,13.2,3.87,0.28,12.92,False,,0.0,0.03,,0.25,0.28,1
17,fastfouriertransform,small,warm,200,26.07,26.06,0.01,7.34,18.72,False,,0.0,6.13,0.0,1.2,7.34,1
18,linpack,small,warm,200,21.51,21.5,0.01,8.07,13.44,False,,0.0,0.52,6.38,1.16,8.07,1
19,fetchdata,medium,warm,200,130.66,130.65,0.01,124.49,6.16,False,124.46,0.0,0.02,0.0,,124.49,1
20,fetchdata,small,warm,200,81.87,81.86,0.01,75.99,5.88,False,75.95,0.0,0.03,0.0,,75.98,1
21,linpack,large,warm,200,19.37,19.36,0.01,8.04,11.32,False,,0.0,0.53,6.37,1.13,8.04,1
22,fastfouriertransform,medium,warm,200,675.65,675.64,0.01,656.43,19.21,False,,0.0,6.17,0.0,650.25,656.43,1
23,fastfouriertransform,large,warm,200,22.56,22.55,0.01,4.7,17.86,False,,0.0,3.88,0.0,0.81,4.69,1
24,fetchdata,large,warm,200,89.78,89.77,0.01,82.82,6.95,False,82.78,0.0,0.03,0.0,,82.81,1
25,fetchdata,large,warm,200,81.26,81.26,0.01,75.26,5.99,False,75.23,0.0,0.03,0.0,,75.26,1
26,genmatrix,large,warm,200,57.48,44.16,13.32,1.2,42.96,False,,0.0,0.03,,1.17,1.2,1
27,fastfouriertransform,small,warm,200,24.79,24.78,0.01,7.46,17.33,False,,0.0,6.25,0.0,1.2,7.46,1
28,genmatrix,medium,warm,200,171.43,13.55,157.87,0.29,13.26,False,,0.0,0.03,,0.26,0.29,1
29,fastfouriertransform,small,warm,200,26.79,26.78,0.01,7.36,19.42,False,,0.0,6.13,0.0,1.22,7.36,1
30,fastfouriertransform,medium,warm,200,672.16,672.15,0.01,653.07,19.08,False,,0.0,6.25,0.0,646.81,653.07,1
31,fetchdata,medium,warm,200,132.84,132.83,0.01,126.74,6.09,False,126.71,0.0,0.03,0.0,,126.74,1
32,fetchdata,small,warm,200,89.03,89.02,0.01,82.3,6.72,False,82.27,0.0,0.03,0.0,,82.3,1
33,fetchdata,medium,warm,200,81.38,81.37,0.01,75.46,5.91,False,75.44,0.0,0.02,0.0,,75.46,1
34,genmatrix,large,warm,200,57.59,43.56,14.03,1.23,42.33,False,,0.0,0.04,,1.19,1.23,1
35,fetchdata,large,warm,200,82.23,82.22,0.01,75.93,6.29,False,75.9,0.0,0.02,0.0,,75.93,1
36,fastfouriertransform,large,warm,200,25.37,25.37,0.01,7.35,18.01,False,,0.0,6.12,0.0,1.23,7.35,1
37,genmatrix,large,warm,200,58.77,45.72,13.05,1.2,44.52,False,,0.0,0.03,,1.17,1.2,1
38,genmatrix,small,warm,200,9.49,7.68,1.81,0.14,7.54,False,,0.0,0.03,,0.11,0.14,1
39,linpack,medium,cold,200,2257.66,2257.65,0.01,646.72,1610.93,True,,0.0,0.36,4.05,642.31,646.72,1
40,fetchdata,large,warm,200,132.98,132.97,0.01,126.77,6.21,False,126.74,0.0,0.02,0.0,,126.76,1
41,genmatrix,large,warm,200,59.86,45.97,13.89,1.18,44.79,False,,0.0,0.03,,1.15,1.18,1
42,fetchdata,small,warm,200,82.04,82.04,0.01,75.91,6.12,False,75.89,0.0,0.02,0.0,,75.91,1
43,genmatrix,small,warm,200,9.77,8.01,1.76,0.14,7.86,False,,0.0,0.03,,0.11,0.14,1
44,fetchdata,medium,warm,200,88.11,88.1,0.01,81.29,6.81,False,81.26,0.0,0.03,0.0,,81.29,1
45,fetchdata,small,warm,200,81.22,81.22,0.01,75.07,6.15,False,75.04,0.0,0.02,0.0,,75.06,1
46,genmatrix,large,warm,200,60.23,45.3,14.93,1.2,44.1,False,,0.0,0.03,,1.17,1.2,1
47,fetchdata,small,warm,200,134.51,134.5,0.01,127.97,6.54,False,127.94,0.0,0.02,0.0,,127.96,1
48,linpack,medium,warm,200,687.52,687.51,0.01,675.01,12.5,False,,0.0,0.58,6.36,668.05,675.01,1
49,linpack,small,warm,200,17.6,17.6,0.01,5.08,12.51,False,,0.0,0.35,3.99,0.74,5.08,1
50,fetchdata,small,warm,200,81.3,81.29,0.01,75.29,6.01,False,75.26,0.0,0.02,0.0,,75.29,1
51,genmatrix,large,warm,200,59.77,46.35,13.43,1.21,45.13,False,,0.0,0.03,,1.18,1.21,1
52,fetchdata,large,warm,200,89.29,89.28,0.01,82.46,6.83,False,82.42,0.0,0.02,0.0,,82.45,1
53,linpack,large,warm,200,19.75,19.74,0.01,8.03,11.71,False,,0.0,0.52,6.36,1.15,8.03,1
54,linpack,medium,warm,200,679.98,679.97,0.01,666.15,13.82,False,,0.0,0.53,6.37,659.24,666.15,1
55,genmatrix,small,warm,200,9.48,8.14,1.35,0.14,8.0,False,,0.0,0.03,,0.11,0.14,1
56,linpack,small,warm,200,21.65,21.64,0.01,8.07,13.57,False,,0.0,0.54,6.38,1.14,8.07,1
57,fastfouriertransform,small,cold,200,1335.48,1335.48,0.01,5.99,1329.49,True,,0.0,3.86,0.0,2.12,5.99,1
58,genmatrix,large,warm,200,56.61,45.56,11.05,1.18,44.39,False,,0.0,0.03,,1.15,1.18,1
59,genmatrix,large,warm,200,61.29,46.01,15.29,1.18,44.82,False,,0.0,0.03,,1.15,1.18,1
60,linpack,large,warm,200,20.5,20.5,0.01,8.03,12.46,False,,0.0,0.52,6.37,1.14,8.03,1
61,fastfouriertransform,medium,warm,200,692.87,692.86,0.01,672.76,20.11,False,,0.0,6.05,0.0,666.7,672.76,1
62,linpack,large,warm,200,22.08,22.08,0.01,8.04,14.04,False,,0.0,0.53,6.36,1.14,8.04,1
63,linpack,large,warm,200,20.52,20.51,0.01,8.08,12.43,False,,0.0,0.52,6.4,1.16,8.08,1
64,fetchdata,large,warm,200,134.15,134.14,0.01,127.81,6.34,False,127.78,0.0,0.02,0.0,,127.8,1
65,fastfouriertransform,large,warm,200,33.27,33.27,0.01,7.25,26.01,False,,0.0,6.04,0.0,1.2,7.25,1
66,fastfouriertransform,large,warm,200,26.56,26.56,0.01,7.26,19.3,False,,0.0,6.07,0.0,1.18,7.26,1
67,fetchdata,large,warm,200,82.04,82.03,0.01,74.93,7.1,False,74.9,0.0,0.02,0.0,,74.93,1
