function,status,duration_ms,upstream_ms
grayscale,200,1384,1360
grayscale,200,956,929
grayscale,200,914,887
grayscale,200,1283,1256
genmatrix,200,1570,1561
genmatrix,200,749,737
genmatrix,200,1212,1200
genmatrix,200,1605,1535
genmatrix,200,879,867
genmatrix,200,1297,1285
genmatrix,200,1256,1167
grayscale,200,1018,907
genmatrix,200,758,684
grayscale,200,1463,1371
genmatrix,200,909,827
genmatrix,200,219,204
genmatrix,200,1516,1484
genmatrix,200,1650,1619
genmatrix,200,1297,1217
genmatrix,200,1709,1677
genmatrix,200,126,126
graphgen,200,1713,1673
genmatrix,200,1496,1419
graphgen,200,109,84
grayscale,200,470,369
graphgen,200,1266,1254
graphgen,200,1817,1729
genmatrix,200,184,127
pagerank,200,1852,1851
pagerank,200,988,988
pagerank,200,1493,1492
genmatrix,200,10,10
pagerank,200,1881,1881
fastfouriertransform,200,1988,1987
fastfouriertransform,200,291,291
resnet,200,341,340
fastfouriertransform,200,1304,1304
fastfouriertransform,200,1229,1229
fastfouriertransform,200,1632,1632
fastfouriertransform,200,581,580
fastfouriertransform,200,1958,1957
pagerank,200,1323,1323
fastfouriertransform,200,2001,2001
fastfouriertransform,200,1727,1727
fastfouriertransform,200,1754,1753
fastfouriertransform,200,1155,1155
fastfouriertransform,200,1877,1877
pagerank,200,1973,1972
genmatrix,200,40,40
genmatrix,200,41,41
genmatrix,200,48,37
resnet,200,2047,2046
pagerank,200,706,705
genmatrix,200,88,37
pagerank,200,338,338
pagerank,200,325,324
genmatrix,200,18,17
genmatrix,200,12,12
pagerank,200,202,202
pagerank,200,142,142
pagerank,200,261,206
resnet,200,1989,1989
resnet,200,2292,2291
mobilenet,200,2213,2212
mobilenet,200,1553,1553
mobilenet,200,634,634
mobilenet,200,1563,1562
genmatrix,200,8,7
mobilenet,200,583,582
mobilenet,200,502,501
genmatrix,200,33,28
pagerank,200,1604,1603
mobilenet,200,530,530
pagerank,200,412,411
mobilenet,200,633,633
resnet,200,2045,2045
matrixmul,200,2478,2476
mobilenet,200,679,679
matrixmul,200,1982,1979
matrixmul,200,2461,2459
mobilenet,200,398,398
matrixmul,200,2024,2022
mobilenet,200,566,565
mobilenet,200,646,646
fastfouriertransform,200,2071,2071
fastfouriertransform,200,2475,2475
mobilenet,200,582,581
fastfouriertransform,200,905,888
mobilenet,200,2348,2348
mobilenet,200,2184,2183
resnet,200,2229,2229
fetchdata,200,2410,2409
mobilenet,200,2142,2142
mobilenet,200,2332,2332
mobilenet,200,2369,2368
fetchdata,200,249,248
linpack,200,2055,2054
linpack,200,2342,2342
mobilenet,200,32,31
fetchdata,200,2374,2373
pagerank,200,2152,2151
resnet,200,2931,2931
fetchdata,200,982,981
mobilenet,200,21,21
fetchdata,200,2174,2174
resnet,200,2930,2929
matrixmul,200,1211,1134
matrixmul,200,2220,2216
fetchdata,200,2277,2277
fetchdata,200,2657,2656
pagerank,200,2439,2438
resnet,200,3034,3033
fetchdata,200,2745,2745
resnet,200,1259,1259
fetchdata,200,2678,2677
