index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,5736.2,0.007484,cold,200
1,grayscale,small,3903.3,0.016928,cold,200
2,genmatrix,small,2520.2,0.008131,cold,200
3,fastfouriertransform,large,2741.9,0.005231,cold,200
4,pagerank,small,2973.2,0.272715,cold,200
5,resnet,medium,3671.0,0.15341,cold,200
6,graphgen,small,2889.8,0.006343,cold,200
7,fastfouriertransform,small,15.9,0.004956,warm,200
8,genmatrix,large,38.0,0.001272,warm,200
9,resnet,small,129.8,0.122609,warm,200
10,pagerank,small,20.3,0.011117,warm,200
11,pagerank,medium,119.0,0.04537,warm,200
12,genmatrix,medium,12.1,0.000208,warm,200
13,resnet,medium,270.4,0.26304,warm,200
14,graphgen,small,53.9,0.00432,warm,200
15,matrixmul,medium,3943.3,0.504704,cold,200
16,grayscale,small,19.1,0.010859,warm,200
17,genmatrix,medium,14.8,0.000261,warm,200
18,fastfouriertransform,small,23.1,0.007812,warm,200
19,matrixmul,small,17.9,0.005037,warm,200
20,linpack,medium,3294.3,0.647674,cold,200
21,resnet,medium,144.7,0.138192,warm,200
22,graphgen,large,889.0,0.126248,warm,200
23,mobilenet,large,6615.1,0.035457,cold,200
24,fastfouriertransform,medium,614.2,0.598989,warm,200
25,fastfouriertransform,large,22.1,0.00685,warm,200
26,grayscale,large,2805.7,2.688434,cold,200
27,resnet,medium,136.7,0.13093,warm,200
28,resnet,small,127.7,0.122221,warm,200
29,fastfouriertransform,small,22.2,0.007707,warm,200
30,genmatrix,medium,16.1,0.000288,warm,200
31,fastfouriertransform,small,22.6,0.00774,warm,200
32,fastfouriertransform,medium,689.8,0.674758,warm,200
33,grayscale,medium,72.3,0.058616,warm,200
34,linpack,small,17.9,0.008127,warm,200
35,linpack,medium,687.5,0.678119,warm,200
36,genmatrix,large,38.2,0.00085,warm,200
37,grayscale,large,2815.3,2.698368,cold,200
38,fastfouriertransform,large,22.4,0.007797,warm,200
39,fetchdata,large,3820.4,0.14864,cold,200
40,genmatrix,small,6.8,0.000112,warm,200
41,mobilenet,medium,36.6,0.030821,warm,200
42,grayscale,large,2794.9,2.677406,cold,200
43,pagerank,small,26.0,0.015978,warm,200
44,linpack,small,13.8,0.005095,warm,200
45,genmatrix,small,8.0,0.000164,warm,200
