function,status,duration_ms,upstream_ms
grayscale,200,2123,2121
grayscale,200,13,11
pagerank,200,3303,3302
pagerank,200,2118,2118
resnet,200,3214,3214
pagerank,200,2018,2017
genmatrix,200,3926,3924
genmatrix,200,1936,1933
genmatrix,200,942,939
resnet,200,1767,1766
genmatrix,200,2775,2768
resnet,200,2750,2750
resnet,200,493,492
fastfouriertransform,200,5458,5458
resnet,200,207,207
resnet,200,130,130
genmatrix,200,10,7
fastfouriertransform,200,1310,1309
fastfouriertransform,200,1116,1115
fastfouriertransform,200,5521,5520
fastfouriertransform,200,4726,4726
fastfouriertransform,200,2533,2532
fastfouriertransform,200,339,339
fastfouriertransform,200,10,9
linpack,200,2673,2672
linpack,200,13,12
fastfouriertransform,200,615,615
genmatrix,200,36,29
fastfouriertransform,200,11,11
linpack,200,650,650
genmatrix,200,4,3
grayscale,200,2830,2766
grayscale,200,1469,1464
pagerank,200,25,25
graphgen,200,7427,7424
linpack,200,12,11
matrixmul,200,5815,5811
matrixmul,200,5026,5023
genmatrix,200,7,5
graphgen,200,6339,6329
graphgen,200,4745,4704
genmatrix,200,40,33
linpack,200,649,648
linpack,200,55,54
fetchdata,200,2305,2304
genmatrix,200,35,28
grayscale,200,1407,1406
grayscale,200,422,419
grayscale,200,3451,3384
mobilenet,200,6517,6516
mobilenet,200,936,936
mobilenet,200,2956,2955
mobilenet,200,1174,1173
pagerank,200,439,436
resnet,200,139,139
resnet,200,125,125
linpack,200,11,11
fetchdata,200,92,91
mobilenet,200,22,22
graphgen,200,37,34
fetchdata,200,88,88
fetchdata,200,88,88
matrixmul,200,21,18
matrixmul,200,20,18
mobilenet,200,28,28
fastfouriertransform,200,653,653
fastfouriertransform,200,13,12
pagerank,200,77,77
graphgen,200,526,486
linpack,200,11,11
fetchdata,200,102,101
graphgen,200,483,445
fetchdata,200,99,98
fastfouriertransform,200,11,11
genmatrix,200,8,6
grayscale,200,7861,5123
grayscale,200,5322,5254
grayscale,200,1730,1726
linpack,200,15,14
pagerank,200,472,470
pagerank,200,418,416
graphgen,200,85,74
graphgen,200,489,448
genmatrix,200,7,6
linpack,200,692,692
genmatrix,200,49,42
fastfouriertransform,200,12,12
mobilenet,200,40,40
linpack,200,940,940
pagerank,200,20,19
fetchdata,200,86,86
mobilenet,200,22,22
fetchdata,200,106,106
matrixmul,200,22,18
pagerank,200,470,468
genmatrix,200,51,44
pagerank,200,422,421
pagerank,200,80,79
fastfouriertransform,200,14,13
genmatrix,200,7,5
linpack,200,654,654
linpack,200,12,12
resnet,200,143,143
genmatrix,200,51,43
genmatrix,200,5,5
fastfouriertransform,200,10,9
graphgen,200,39,35
fastfouriertransform,200,10,9
linpack,200,15,14
pagerank,200,21,20
mobilenet,200,30,30
pagerank,200,70,70
resnet,200,126,126
mobilenet,200,28,28
mobilenet,200,22,21
genmatrix,200,6,5
fastfouriertransform,200,12,11
grayscale,200,10861,5424
grayscale,200,4510,4502
grayscale,200,9327,6531
grayscale,200,8755,8630
mobilenet,200,21,21
matrixmul,200,602,598
fastfouriertransform,200,11,11
graphgen,200,526,488
matrixmul,200,941,938
matrixmul,200,152,150
linpack,200,12,11
grayscale,200,2816,2752
genmatrix,200,5,4
genmatrix,200,36,29
mobilenet,200,22,22
matrixmul,200,19,17
grayscale,200,69,65
genmatrix,200,4,4
mobilenet,200,22,21
fastfouriertransform,200,15,15
pagerank,200,28,28
fastfouriertransform,200,14,13
fetchdata,200,97,97
mobilenet,200,22,21
genmatrix,200,10,8
graphgen,200,27,24
matrixmul,200,20,16
mobilenet,200,27,27
matrixmul,200,550,546
matrixmul,200,160,157
mobilenet,200,28,28
genmatrix,200,13,10
pagerank,200,418,417
genmatrix,200,5,5
resnet,200,155,154
pagerank,200,20,19
linpack,200,15,15
mobilenet,200,28,28
pagerank,200,20,19
graphgen,200,522,483
fastfouriertransform,200,14,13
fastfouriertransform,200,13,13
graphgen,200,486,449
fastfouriertransform,200,13,13
genmatrix,200,14,11
fastfouriertransform,200,13,13
genmatrix,200,50,44
resnet,200,126,125
resnet,200,125,125
matrixmul,200,19,16
resnet,200,125,125
pagerank,200,78,77
grayscale,200,11,10
linpack,200,16,15
grayscale,200,96,92
fetchdata,200,90,89
grayscale,200,65,63
linpack,200,15,15
graphgen,200,105,96
resnet,200,127,126
fastfouriertransform,200,10,10
pagerank,200,206,206
pagerank,200,77,77
fetchdata,200,95,94
fastfouriertransform,200,11,11
fetchdata,200,103,102
linpack,200,691,691
pagerank,200,469,468
pagerank,200,110,110
pagerank,200,76,76
fastfouriertransform,200,11,11
grayscale,200,12,11
fastfouriertransform,200,10,9
pagerank,200,20,19
grayscale,200,69,66
resnet,200,124,124
linpack,200,12,11
mobilenet,200,22,22
graphgen,200,39,35
grayscale,200,2812,2746
graphgen,200,37,36
linpack,200,11,11
