index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,1510.9,0.007365,warm,200
1,grayscale,small,1340.6,0.014883,warm,200
2,genmatrix,small,1922.6,0.00825,warm,200
3,fastfouriertransform,large,1391.2,0.004979,warm,200
4,pagerank,small,1730.3,0.249391,warm,200
5,resnet,medium,1880.5,0.184174,warm,200
6,graphgen,small,1791.5,0.005305,warm,200
7,fastfouriertransform,small,1196.4,0.005011,warm,200
8,genmatrix,large,1706.5,0.00089,warm,200
9,resnet,small,2186.8,0.175863,cold,200
10,pagerank,small,1445.8,0.012116,warm,200
11,pagerank,medium,1500.7,0.05011,warm,200
12,genmatrix,medium,1474.8,0.000247,warm,200
13,resnet,medium,2137.0,0.149409,cold,200
14,graphgen,small,1416.2,0.002969,warm,200
15,matrixmul,medium,2038.8,0.509141,cold,200
16,grayscale,small,599.8,0.006987,warm,200
17,genmatrix,medium,1221.9,0.000243,warm,200
18,fastfouriertransform,small,623.4,0.005669,warm,200
19,matrixmul,small,1849.7,0.004983,warm,200
20,linpack,medium,2203.7,0.642985,cold,200
21,resnet,medium,1893.1,0.155049,warm,200
22,graphgen,large,1862.4,0.10066,warm,200
23,mobilenet,large,1704.5,0.027476,warm,200
24,fastfouriertransform,medium,1061.6,0.714005,warm,200
25,fastfouriertransform,large,278.9,0.005415,warm,200
26,grayscale,large,2915.7,2.70969,cold,200
27,resnet,medium,1109.1,0.141634,warm,200
28,resnet,small,916.5,0.185627,warm,200
29,fastfouriertransform,small,84.8,0.005119,warm,200
30,genmatrix,medium,577.0,0.000253,warm,200
31,fastfouriertransform,small,718.1,0.004844,warm,200
32,fastfouriertransform,medium,1317.5,0.648573,warm,200
33,grayscale,medium,2603.1,0.067425,cold,200
34,linpack,small,1518.4,0.005118,warm,200
35,linpack,medium,2771.1,0.646302,cold,200
36,genmatrix,large,260.7,0.000947,warm,200
37,grayscale,large,18820.4,2.703654,cold,200
38,fastfouriertransform,large,1023.7,0.004882,warm,200
39,fetchdata,large,2166.7,0.157025,cold,200
40,genmatrix,small,27.2,0.000152,warm,200
41,mobilenet,medium,860.9,0.017706,warm,200
42,grayscale,large,18767.8,2.680848,cold,200
43,pagerank,small,17.6,0.009988,warm,200
44,linpack,small,1024.9,0.005072,warm,200
45,genmatrix,small,5.7,0.000124,warm,200
46,linpack,medium,1574.0,0.647084,warm,200
47,grayscale,small,1827.9,0.011839,warm,200
48,genmatrix,large,34.0,0.000784,warm,200
49,linpack,small,763.7,0.005132,warm,200
50,mobilenet,medium,392.9,0.017649,warm,200
51,mobilenet,small,324.1,0.018501,warm,200
52,grayscale,small,1579.9,0.011753,warm,200
53,genmatrix,large,34.8,0.000774,warm,200
54,pagerank,large,358.8,0.279309,warm,200
55,grayscale,large,18093.6,2.714912,cold,200
56,resnet,medium,356.4,0.210823,warm,200
57,resnet,medium,558.2,0.250654,warm,200
58,linpack,small,1629.3,0.005187,warm,200
59,fetchdata,large,1448.1,0.092287,warm,200
60,mobilenet,small,22.7,0.017729,warm,200
61,graphgen,small,40.2,0.002708,warm,200
62,fetchdata,large,1395.0,0.09121,warm,200
63,fetchdata,large,1157.3,0.091801,warm,200
64,matrixmul,large,18.6,0.005058,warm,200
65,fastfouriertransform,medium,624.4,0.609636,warm,200
66,matrixmul,large,16.3,0.005016,warm,200
67,mobilenet,large,28.1,0.021876,warm,200
68,grayscale,large,17499.9,2.669943,cold,200
69,graphgen,large,818.0,0.062973,warm,200
70,fastfouriertransform,large,381.5,0.004968,warm,200
71,pagerank,medium,66.0,0.044842,warm,200
72,linpack,small,935.5,0.005108,warm,200
73,grayscale,medium,669.0,0.057631,warm,200
74,fetchdata,medium,886.3,0.094146,warm,200
75,graphgen,large,1269.3,0.063521,warm,200
76,grayscale,large,17189.1,2.671845,cold,200
77,fetchdata,large,384.8,0.090855,warm,200
78,fastfouriertransform,large,16.3,0.00486,warm,200
79,grayscale,large,16864.7,2.668892,cold,200
80,pagerank,large,401.7,0.278192,warm,200
81,genmatrix,small,5.6,0.000105,warm,200
82,linpack,small,442.0,0.005073,warm,200
83,pagerank,large,572.9,0.285126,warm,200
84,graphgen,large,1109.4,0.063524,warm,200
85,linpack,medium,932.9,0.640885,warm,200
86,graphgen,small,537.8,0.002736,warm,200
87,linpack,medium,1484.7,0.649143,warm,200
88,genmatrix,small,4.7,0.000107,warm,200
89,genmatrix,large,35.0,0.000786,warm,200
90,fastfouriertransform,small,17.9,0.005102,warm,200
91,mobilenet,small,27.0,0.021682,warm,200
92,pagerank,small,137.0,0.01205,warm,200
93,fetchdata,large,98.2,0.092283,warm,200
94,mobilenet,large,26.3,0.020782,warm,200
95,fetchdata,medium,97.0,0.09235,warm,200
96,pagerank,large,414.4,0.281623,warm,200
97,matrixmul,small,18.8,0.005023,warm,200
98,pagerank,large,738.3,0.284269,warm,200
99,genmatrix,large,34.6,0.000775,warm,200
100,grayscale,medium,15697.4,0.058555,cold,200
101,linpack,medium,1418.4,0.641817,warm,200
102,pagerank,medium,170.1,0.045584,warm,200
103,fastfouriertransform,small,18.0,0.004956,warm,200
104,genmatrix,small,4.4,0.000103,warm,200
105,linpack,small,1234.6,0.005276,warm,200
106,resnet,large,126.4,0.122034,warm,200
107,genmatrix,large,34.3,0.000794,warm,200
108,genmatrix,small,5.1,0.000103,warm,200
109,fastfouriertransform,large,15.2,0.004947,warm,200
110,graphgen,small,40.1,0.002825,warm,200
111,fastfouriertransform,small,16.5,0.004934,warm,200
112,linpack,small,890.7,0.005273,warm,200
113,pagerank,small,17.2,0.009893,warm,200
114,grayscale,large,2814.7,2.685484,cold,200
115,mobilenet,small,29.6,0.02327,warm,200
116,pagerank,small,18.1,0.010047,warm,200
117,resnet,large,130.5,0.125237,warm,200
118,mobilenet,small,25.5,0.02016,warm,200
119,mobilenet,medium,31.9,0.027155,warm,200
120,genmatrix,small,6.0,0.000133,warm,200
121,fastfouriertransform,large,22.9,0.007641,warm,200
122,matrixmul,medium,561.0,0.545617,warm,200
