index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,1526.45,1526.45,0.01,6.26,1520.18,True,,0.0,3.98,0.0,2.27,6.26,1
1,1,genmatrix,small,cold,200,1385.92,1385.92,0.01,8.7,1377.22,True,,0.0,0.12,,8.56,8.7,2
2,2,fetchdata,small,cold,200,1997.34,1997.34,0.0,148.19,1849.14,True,148.16,0.0,0.03,0.0,,148.19,3
3,3,fastfouriertransform,large,cold,200,1250.54,1250.54,0.0,4.87,1245.67,False,,0.0,3.95,0.01,0.91,4.87,4
4,4,linpack,small,cold,200,1357.88,1357.88,0.0,6.08,1351.8,True,,0.0,0.64,4.58,0.85,6.08,5
5,5,linpack,medium,cold,200,3238.15,3238.14,0.0,647.24,2590.9,False,,0.0,0.38,4.06,642.8,647.24,6
6,6,fastfouriertransform,small,warm,200,945.74,945.73,0.0,4.78,940.95,False,,0.0,3.95,0.0,0.82,4.78,7
7,7,fastfouriertransform,small,warm,200,859.22,859.21,0.0,4.66,854.56,False,,0.0,3.91,0.0,0.74,4.66,8
8,8,fetchdata,large,cold,200,1477.99,1477.98,0.0,82.23,1395.75,False,82.2,0.0,0.02,0.0,,82.23,9
9,9,linpack,small,cold,200,2843.79,2843.78,0.01,5.3,2838.49,False,,0.0,0.37,4.2,0.73,5.3,10
10,10,linpack,small,cold,200,2751.79,2751.79,0.0,5.09,2746.69,False,,0.0,0.35,4.01,0.72,5.09,11
11,11,linpack,medium,warm,200,1314.47,1314.46,0.0,652.54,661.92,False,,0.0,0.36,3.99,648.19,652.54,12
12,12,fetchdata,medium,cold,200,1249.48,1249.47,0.0,82.67,1166.8,False,82.64,0.0,0.02,0.0,,82.67,13
13,13,linpack,medium,cold,200,1790.22,1790.21,0.0,672.56,1117.66,False,,0.0,0.37,4.14,668.04,672.55,14
14,14,fastfouriertransform,small,warm,200,138.37,138.37,0.0,4.82,133.55,False,,0.0,3.96,0.01,0.85,4.82,15
15,15,matrixmul,medium,cold,200,2073.17,2064.31,8.86,511.69,1552.62,True,,0.0,0.4,4.0,507.28,511.69,15
16,16,genmatrix,small,warm,200,13.59,13.59,0.0,0.13,13.46,False,,0.0,0.03,,0.1,0.13,11
17,17,fetchdata,medium,warm,200,665.28,665.27,0.0,80.8,584.48,False,80.76,0.0,0.03,0.0,,80.8,11
18,18,fastfouriertransform,small,warm,200,24.52,24.51,0.0,4.57,19.94,False,,0.0,3.83,0.0,0.73,4.57,11
19,19,matrixmul,small,cold,200,1686.53,1676.69,9.83,4.9,1671.79,False,,0.0,0.38,3.96,0.56,4.9,11
20,20,genmatrix,medium,warm,200,24.44,20.31,4.13,0.23,20.09,False,,0.0,0.03,,0.2,0.23,12
21,21,linpack,medium,cold,200,2309.63,2309.63,0.0,655.19,1654.43,False,,0.0,0.34,4.0,650.85,655.19,12
22,22,fastfouriertransform,large,warm,200,23.06,23.05,0.0,4.6,18.45,False,,0.0,3.86,0.0,0.73,4.6,12
23,23,matrixmul,large,cold,200,1291.34,1286.87,4.48,4.94,1281.93,False,,0.0,0.37,4.0,0.56,4.94,11
24,24,fastfouriertransform,medium,warm,200,640.49,640.48,0.0,621.49,18.99,False,,0.0,3.87,0.0,617.61,621.49,11
25,25,fastfouriertransform,large,warm,200,551.23,551.23,0.01,4.58,546.65,False,,0.0,3.82,0.0,0.75,4.58,10
26,26,genmatrix,large,warm,200,63.3,38.68,24.61,0.87,37.81,False,,0.0,0.03,,0.84,0.87,11
27,27,linpack,medium,cold,200,2388.84,2388.84,0.0,682.32,1706.51,False,,0.0,0.36,4.04,677.91,682.32,11
